p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
PF4V1	2.27135209223977e-13	0.0634423723505717	0.348	0.016	5.54119056422815e-09	Mast	PF4V1
RP11-326I19.2	1.67040377236261e-10	0.0501842218896291	0.261	0.012	4.07511704305583e-06	Mast	RP11-326I19.2
RP11-116D2.1	3.94509952886414e-10	0.0566767319986571	0.304	0.02	9.62446481061696e-06	Mast	RP11-116D2.1
RP11-962G15.1	3.50711758087785e-09	0.100710527293823	0.478	0.071	8.55596405030961e-05	Mast	RP11-962G15.1
RP11-412H8.2	2.58137249622551e-08	0.0614550389389858	0.348	0.04	0.000629751634179175	Mast	RP11-412H8.2
C15orf53	4.965541121969e-08	0.0841099094764062	0.565	0.111	0.00121139341211556	Mast	C15orf53
CTD-2140G10.2	8.34604407009627e-08	0.0617155492372964	0.391	0.056	0.00203610091134069	Mast	CTD-2140G10.2
SOX8	3.96820198288503e-07	0.0919183386157894	0.565	0.123	0.00968082555744632	Mast	SOX8
PRR18	5.83256803885817e-07	0.133172366018573	0.739	0.218	0.0142291329875984	Mast	PRR18
TOB2P1	9.07800061065837e-07	0.0781512055282592	0.652	0.159	0.0221466902897622	Mast	TOB2P1
RNU7-54P	1.11513911071663e-06	0.0817023442432672	0.87	0.337	0.0272049337450429	Mast	RNU7-54P
MIR300	1.22464899770983e-06	0.0806256114877346	0.522	0.127	0.029876536948129	Mast	MIR300
RP11-982M15.7	3.7290919585351e-15	0.192605890476393	0.916	0.649	9.09749274204222e-11	Pre-B	RP11-982M15.7
TCL6	1.13634440705371e-13	0.271117211235998	0.869	0.756	2.77222581544822e-09	Pre-B	TCL6
QRSL1	7.41086707627702e-13	0.244425032817046	0.701	0.333	1.80795513192854e-08	Pre-B	QRSL1
AC226118.1	4.9139789728911e-12	0.148126434067211	0.907	0.762	1.19881431022651e-07	Pre-B	AC226118.1
CD79B	2.08246085334998e-11	0.215067364198816	0.822	0.577	5.08037149783261e-07	Pre-B	CD79B
MAD1L1	7.09333243812268e-11	0.361142112481071	1	0.994	1.73048938160441e-06	Pre-B	MAD1L1
DDX54	7.09633214681551e-11	0.239344935092292	0.944	0.833	1.73122119053711e-06	Pre-B	DDX54
CSHL1	9.34323215646378e-11	0.104187607933113	0.682	0.339	2.2793749168909e-06	Pre-B	CSHL1
RN7SL363P	1.293020539909e-10	0.102330674294022	0.561	0.196	3.154452909162e-06	Pre-B	RN7SL363P
IQSEC1	2.67565797010572e-10	0.287944937074339	1	1	6.52753518386993e-06	Pre-B	IQSEC1
RNA5SP127	4.08112284304559e-10	0.0990320073225561	0.579	0.202	9.95630728789403e-06	Pre-B	RNA5SP127
RP11-164H13.1	5.08168191084504e-10	0.17019424774219	0.85	0.649	1.23972711896976e-05	Pre-B	RP11-164H13.1
GNG7	6.36204177377417e-10	0.371503752230274	1	1	1.55208371112995e-05	Pre-B	GNG7
IGLV10-54	6.94051842384861e-10	0.353927373320906	0.907	0.923	1.69320887468211e-05	Pre-B	IGLV10-54
RP11-725G5.2	8.61695322824885e-10	0.109727805951676	0.822	0.613	2.10219190956359e-05	Pre-B	RP11-725G5.2
RP11-216L13.16	8.84703581116767e-10	0.168818674911584	0.701	0.369	2.15832285649246e-05	Pre-B	RP11-216L13.16
AC102953.6	9.09084156836274e-10	0.121343546878126	0.925	0.815	2.21780170901777e-05	Pre-B	AC102953.6
TNFRSF13B	9.17506834188474e-10	0.153840965489401	0.841	0.637	2.2383496726862e-05	Pre-B	TNFRSF13B
MIR150	9.85875647770645e-10	0.136994945550804	0.72	0.381	2.40514223030127e-05	Pre-B	MIR150
DBNL	1.43349510267366e-09	0.234050066743554	0.916	0.774	3.49715465248267e-05	Pre-B	DBNL
LL22NC03-22A12.12	1.4422308718657e-09	0.10697707818794	0.757	0.494	3.51846643500355e-05	Pre-B	LL22NC03-22A12.12
ISG20	2.64271532006025e-09	0.234971348592946	0.953	0.935	6.44716829481898e-05	Pre-B	ISG20
STRADA	4.15190528190375e-09	0.230018824371413	0.981	0.958	0.000101289881257324	Pre-B	STRADA
CTC-264K15.6	4.53238452709633e-09	0.249252084728025	0.776	0.506	0.000110572052923042	Pre-B	CTC-264K15.6
LINC00426	4.60758909340732e-09	0.251545787783694	0.963	0.893	0.000112406743522765	Pre-B	LINC00426
IGLL5	5.69150651215955e-09	0.200416420564164	0.897	0.833	0.000138849992870644	Pre-B	IGLL5
PRAMENP	6.4405499211833e-09	0.234743186424624	0.673	0.411	0.000157123655877188	Pre-B	PRAMENP
CRIP2	6.71081829023333e-09	0.20478897421195	0.972	0.905	0.000163717123008532	Pre-B	CRIP2
AC019118.3	6.80208542589952e-09	0.089590620738616	0.421	0.113	0.000165943676050245	Pre-B	AC019118.3
AC104024.1	6.93115318413891e-09	0.135162059928345	0.813	0.56	0.000169092413080253	Pre-B	AC104024.1
RMI2	7.06869227507891e-09	0.286629344301697	1	0.976	0.000172447816742825	Pre-B	RMI2
FBXO10	7.25388903827449e-09	0.174700001086966	0.897	0.792	0.000176965876977744	Pre-B	FBXO10
RN7SL499P	8.11985531765814e-09	0.0907297301398726	1	0.982	0.000198091990329588	Pre-B	RN7SL499P
RN7SL692P	8.16267688501345e-09	0.0678601736179325	0.561	0.226	0.000199136665286788	Pre-B	RN7SL692P
RPL32P23	8.44251946048045e-09	0.0898075662758658	0.626	0.345	0.000205963704757881	Pre-B	RPL32P23
OLIG3	9.50291144689688e-09	0.239153719404175	0.533	0.226	0.000231833027658496	Pre-B	OLIG3
TMEM63C	9.70947854983881e-09	0.145042093536884	0.72	0.47	0.000236872438701868	Pre-B	TMEM63C
RP11-44H4.1	1.12975010552296e-08	0.118997056175351	0.72	0.417	0.000275613835743381	Pre-B	RP11-44H4.1
IKZF2	1.23233533422415e-08	0.272007834880983	0.925	0.786	0.000300640528137323	Pre-B	IKZF2
STRBP	1.41788370955952e-08	0.200888938294311	0.981	0.952	0.00034590690978414	Pre-B	STRBP
RUNX2	1.43935180470539e-08	0.376777481684125	0.953	0.899	0.000351144266275927	Pre-B	RUNX2
IGLV3-9	1.55232352089491e-08	0.0612679196333542	0.897	0.827	0.000378704846157523	Pre-B	IGLV3-9
RP11-13P5.1	1.60663501602589e-08	0.18766329381377	0.869	0.774	0.000391954678509676	Pre-B	RP11-13P5.1
RP11-87G24.3	1.65510959476881e-08	0.177810637560641	0.888	0.756	0.000403780536739798	Pre-B	RP11-87G24.3
CARD11	1.83043254234479e-08	0.266997555434552	0.972	0.923	0.000446552323030434	Pre-B	CARD11
RP1-153P14.7	2.07900548549206e-08	0.140862900234932	0.897	0.756	0.000507194178240643	Pre-B	RP1-153P14.7
