p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
Peak-23396-2	1.25254166972826e-19	0.0553470907901143	0.435	0.012	4.17865436604723e-14	Mast	Peak-23396-2
Peak-77302-1	2.10968576154894e-14	0.0756167519148099	0.478	0.036	7.03820705653388e-09	Mast	Peak-77302-1
Peak-141777-1	2.21645601625356e-14	0.0583431342575909	0.304	0.008	7.39440757406414e-09	Mast	Peak-141777-1
Peak-30389-1	2.56928501964367e-14	0.0506394863122957	0.391	0.02	8.57149452543405e-09	Mast	Peak-30389-1
Peak-73547-1	9.35763265031458e-14	0.0751839895760411	0.478	0.04	3.12183725900205e-08	Mast	Peak-73547-1
Peak-114872-1	1.56819362121145e-12	0.0834408605366404	0.348	0.02	5.23171346746838e-07	Mast	Peak-114872-1
Peak-74015-1	2.04940657189338e-12	0.0503507147062897	0.348	0.02	6.83710724075639e-07	Mast	Peak-74015-1
Peak-67323-1	2.255000830949e-12	0.0750841476857147	0.391	0.028	7.52299847216219e-07	Mast	Peak-67323-1
Peak-171151-1	5.91624564972657e-12	0.0596960629195858	0.261	0.008	1.97374237618788e-06	Mast	Peak-171151-1
Peak-22841-2	8.22057015549925e-12	0.0801039525443208	0.565	0.075	2.74249729185673e-06	Mast	Peak-22841-2
Peak-144712-1	1.05614290534078e-11	0.0609225483602177	0.348	0.024	3.5234405922236e-06	Mast	Peak-144712-1
Peak-4943-14	1.13676234714509e-11	0.06632465258352	0.391	0.032	3.79239833680463e-06	Mast	Peak-4943-14
Peak-166327-1	1.18961815420276e-11	0.099155130216264	0.391	0.032	3.968732708962e-06	Mast	Peak-166327-1
Peak-177486-1	1.5822205566675e-11	0.0546780454708159	0.304	0.016	5.2785092879207e-06	Mast	Peak-177486-1
Peak-75358-1	2.12852713913054e-11	0.0964441041928914	0.565	0.075	7.10106452993896e-06	Mast	Peak-75358-1
Peak-79978-1	2.44887759601701e-11	0.0508429624836834	0.348	0.024	8.1697985031762e-06	Mast	Peak-79978-1
Peak-10242-3	3.06982273718825e-11	0.0845153613324542	0.522	0.067	1.02413584264432e-05	Mast	Peak-10242-3
Peak-106886-1	3.12738434745667e-11	0.0563396781931	0.348	0.024	1.04333920169241e-05	Mast	Peak-106886-1
Peak-8829-2	3.74083079364217e-11	0.0524881557069793	0.435	0.044	1.24799352439014e-05	Mast	Peak-8829-2
Peak-84991-1	3.82083737970705e-11	0.0572191997941397	0.391	0.032	1.27468484159359e-05	Mast	Peak-84991-1
Peak-30930-2	4.9893672168518e-11	0.0838793600033922	0.522	0.067	1.6645227546828e-05	Mast	Peak-30930-2
Peak-18485-3	5.15418025895021e-11	0.0672580551392076	0.435	0.044	1.71950669290942e-05	Mast	Peak-18485-3
Peak-10297-2	8.01949777782821e-11	0.0718006106685517	0.348	0.028	2.67541673165238e-05	Mast	Peak-10297-2
Peak-183354-1	1.10735730525746e-10	0.0779212311715364	0.348	0.028	3.69429900036163e-05	Mast	Peak-183354-1
Peak-14722-1	1.12351789989052e-10	0.0533389818678914	0.391	0.036	3.74821300654074e-05	Mast	Peak-14722-1
Peak-136370-1	1.17711691973615e-10	0.0608280399808327	0.261	0.012	3.92702684060855e-05	Mast	Peak-136370-1
Peak-4349-6	1.27068865346688e-10	0.0682528156246848	0.348	0.028	4.23919524437699e-05	Mast	Peak-4349-6
Peak-18716-1	1.27068865346688e-10	0.0532334348927826	0.348	0.028	4.23919524437699e-05	Mast	Peak-18716-1
Peak-48246-2	1.33019435213782e-10	0.0777619676785231	0.348	0.028	4.43771458594107e-05	Mast	Peak-48246-2
Peak-95118-1	1.37458464900607e-10	0.0541413588069263	0.304	0.02	4.58580683093512e-05	Mast	Peak-95118-1
Peak-59427-1	1.39242066337322e-10	0.0588222986210218	0.348	0.028	4.64531027190593e-05	Mast	Peak-59427-1
Peak-154512-1	1.44620553424292e-10	0.0546521518003206	0.304	0.02	4.82474413100918e-05	Mast	Peak-154512-1
Peak-24204-4	1.49932510146311e-10	0.133163204049499	0.478	0.063	5.00195844399514e-05	Mast	Peak-24204-4
Peak-103826-1	1.60055548183809e-10	0.0676081609035206	0.304	0.02	5.33967716517931e-05	Mast	Peak-103826-1
Peak-3323-5	1.60055548183809e-10	0.0518971853333259	0.304	0.02	5.33967716517931e-05	Mast	Peak-3323-5
Peak-30937-1	1.68674145441663e-10	0.129219710695068	0.609	0.107	5.62720563573749e-05	Mast	Peak-30937-1
Peak-87588-1	1.86269161303972e-10	0.0541980267641286	0.304	0.02	6.21419999792633e-05	Mast	Peak-87588-1
Peak-101930-1	2.10612877891408e-10	0.0567444492934633	0.261	0.012	7.02634046448643e-05	Mast	Peak-101930-1
Peak-154359-1	2.16661726538459e-10	0.0594816252603589	0.304	0.02	7.22813852374014e-05	Mast	Peak-154359-1
Peak-102768-1	2.50999762068301e-10	0.090885093776409	0.391	0.04	8.37370346226543e-05	Mast	Peak-102768-1
Peak-12337-1	2.60363998903074e-10	0.0974833947079602	0.435	0.052	8.68610751300502e-05	Mast	Peak-12337-1
Peak-113469-1	3.06967366121635e-10	0.0816090834611357	0.391	0.04	0.000102408610881303	Mast	Peak-113469-1
Peak-143824-1	3.23374873904055e-10	0.0504750508125488	0.304	0.02	0.000107882385182627	Mast	Peak-143824-1
Peak-91457-1	3.62514981635377e-10	0.0976868332761724	0.435	0.052	0.000120940073083305	Mast	Peak-91457-1
Peak-113634-1	3.64863576779615e-10	0.0954162579083219	0.348	0.032	0.000121723597303754	Mast	Peak-113634-1
Peak-22811-1	8.59074307530096e-10	0.110999646811488	0.565	0.099	0.000286599216032345	Mast	Peak-22811-1
Peak-14040-3	8.60520649568712e-10	0.0542319629855588	0.348	0.032	0.000287081735985216	Mast	Peak-14040-3
Peak-88773-1	8.65315880397844e-10	0.0682813415381974	0.435	0.052	0.000288681492123046	Mast	Peak-88773-1
