orig.ident	nCount_ATAC	nFeature_ATAC	nCount_ACTIVITY	nFeature_ACTIVITY	tech	predicted.id	prediction.score.max	tSNE_1	tSNE_2	EPCAM	VIM	PTPRC	HBG1
GS_1_1-1	GS	82583	33564	38325.6361956025	14689	atac	Mast	0.473099478013694	-0.621950075873267	8.09684144447154	-0.613592699479393	-0.823974612600822	-0.114090522130813	0.857853142840857
GS_1_1-2	GS	82552	33330	38173.1590717379	14558	atac	Pre-B	0.648865866198592	5.25253085031946	0.441409445007608	0.241180242102164	-0.823974612600822	-0.114090522130813	-0.551304493497379
GS_1_1-3	GS	57546	23934	27257.5073679788	12541	atac	Erythrocyte	0.467982125103196	-2.38210298261139	5.91509343288707	0.534549259694618	-0.823974612600822	-0.114090522130813	1.34823936119951
GS_1_1-4	GS	56975	25486	28518.6992822884	12686	atac	Pre-B	0.456001765143816	-6.81230128901967	-5.18943802495321	0.490682100352355	-0.823974612600822	-0.114090522130813	-0.551304493497379
GS_1_1-5	GS	103468	36697	42572.798948876	14803	atac	Pre-B	0.885470827613254	8.03635228559548	0.911891474535755	-0.613592699479393	-0.823974612600822	-0.114090522130813	-0.551304493497379
GS_1_1-6	GS	79236	33162	37299.3021442023	13787	atac	Erythrocyte	0.37180857612354	-2.61959020218576	4.32622951547719	2.90887777150928	0.285911607815411	-0.114090522130813	-0.551304493497379
GS_1_1-8	GS	63994	26961	30901.6211876042	13211	atac	Erythrocyte	0.366534031873179	-5.23833055832525	7.13378316467769	0.416388330255914	0.353780075044456	-0.114090522130813	1.15274797131769
GS_1_2-1	GS	79854	30714	35407.7956283485	13964	atac	Pre-B	0.914589250495199	6.98768566135076	0.681740223642415	1.03147689393922	-0.823974612600822	-0.114090522130813	-0.551304493497379
GS_1_2-2	GS	51586	22225	25774.2438757916	12232	atac	Pre-B	0.769117820659584	6.61187111139098	6.14083178021226	-0.613592699479393	0.2239166857944	-0.114090522130813	-0.551304493497379
GS_1_2-4	GS	85432	34159	39411.6237414716	14792	atac	Pre-B	0.687806450850555	9.33185377201366	-1.90991360376627	0.217137386377492	-0.823974612600822	-0.114090522130813	-0.551304493497379
GS_1_2-5	GS	47748	21242	24778.5916244324	11978	atac	Erythrocyte	0.339385576673122	5.09636390311604	3.6500470192088	-0.613592699479393	-0.823974612600822	-0.114090522130813	-0.551304493497379
GS_1_2-6	GS	60073	26909	30408.5792949034	13116	atac	Erythrocyte	0.580173171539133	-10.7817836141187	1.17504729844158	-0.613592699479393	-0.823974612600822	-0.114090522130813	-0.551304493497379
GS_1_2-7	GS	96401	38685	42326.2474179786	14058	atac	Pre-B	0.520324038015063	-2.80817784177019	9.1421163177467	0.808063973232103	-0.679270457071901	-0.114090522130813	-0.551304493497379
GS_1_2-8	GS	78915	33195	37710.0331721151	14316	atac	Erythrocyte	0.335838481028066	-5.70058670083803	6.30545241055189	0.250534203333693	-0.823974612600822	-0.114090522130813	-0.551304493497379
GS_1_3-1	GS	53931	23793	26750.7172181942	12412	atac	B-Prol	0.388254423507725	-2.87694575006857	10.1728337647796	0.553182511494698	-0.823974612600822	-0.114090522130813	-0.551304493497379
