p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
TARID	2.2023298021186e-11	0.439572063866669	1	1	5.36179213623795e-07	Fibro	TARID
COL1A1	1.4366672307728e-09	0.351514166981633	1	1	3.49771004003947e-05	Fibro	COL1A1
LINC02135	2.38189496646356e-09	0.194066186237905	0.981	0.941	5.79896148535219e-05	Fibro	LINC02135
GLI2	2.70087191903101e-09	0.359314093162985	1	1	6.5755427740729e-05	Fibro	GLI2
PDZRN3	3.06054834582849e-09	0.45396668211433	1	1	7.45121100275405e-05	Fibro	PDZRN3
FENDRR	1.61378256366954e-08	0.346299250128215	1	1	0.000392891502950986	Fibro	FENDRR
MATN2	1.87255685988879e-08	0.30808007866603	1	0.971	0.000455892693108525	Fibro	MATN2
SLC30A8	3.60364248179935e-08	0.311810795817894	0.93	0.735	0.000877342798618869	Fibro	SLC30A8
ZNF438	6.27807828510673e-08	0.268564915942912	1	1	0.00152846093929209	Fibro	ZNF438
HSPB6	7.450873524266e-08	0.127587864441329	1	1	0.0018139896682178	Fibro	HSPB6
COL1A2	7.72058856093162e-08	0.321518223135078	0.995	0.971	0.00187965449104441	Fibro	COL1A2
ZNF451	1.21284619270254e-07	0.148612684578063	0.986	0.971	0.00295279534075359	Fibro	ZNF451
LINC01914	2.04230167571763e-07	0.212946129365276	1	1	0.00497218765970215	Fibro	LINC01914
COL14A1	2.47516800298367e-07	0.247569800268733	0.995	1	0.00602604402006405	Fibro	COL14A1
ADAMTS14	2.5788365115924e-07	0.334255869335723	1	1	0.00627843537112286	Fibro	ADAMTS14
LINC01730	2.70494383806599e-07	0.185527520559089	0.986	0.971	0.00658545626815547	Fibro	LINC01730
PRDM6	2.89456359326981e-07	0.456121375849442	0.967	0.971	0.00704710452417467	Fibro	PRDM6
RP11-87C12.6	3.67087492479223e-07	0.100915221245148	0.986	0.941	0.00893711209189916	Fibro	RP11-87C12.6
FBXL7	4.11675217600663e-07	0.275079921166717	0.995	0.971	0.0100226448477057	Fibro	FBXL7
OLFML3	4.45565238763443e-07	0.212202102892952	0.967	0.853	0.0108477313029348	Fibro	OLFML3
ZIM2	5.4888988316369e-07	0.190913386464924	1	1	0.0133632730955032	Fibro	ZIM2
ANK2	5.67423199589369e-07	0.26622337323637	0.986	0.971	0.0138144852172028	Fibro	ANK2
RN7SL472P	5.86452932068969e-07	0.198137556199783	0.967	1	0.0142777830841511	Fibro	RN7SL472P
RP11-805I24.3	6.43649432725598e-07	0.246887215864098	0.991	0.971	0.0156702890891374	Fibro	RP11-805I24.3
CTB-113P19.1	6.87642758095982e-07	0.233454215225161	1	1	0.0167413505886048	Fibro	CTB-113P19.1
FAM19A5	7.06033800515635e-07	0.287883832524584	0.995	1	0.0171890989073536	Fibro	FAM19A5
