p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
RP11-541G7.4	1.02926797434934e-27	0.184429644157695	0.714	0.057	2.50801727309703e-23	Endo	RP11-541G7.4
RP4-575N6.5	1.14510527251728e-24	0.165532406045247	0.75	0.079	2.79027801754286e-20	Endo	RP4-575N6.5
AC093106.4	1.65178694025052e-24	0.184456875902119	0.786	0.092	4.02490923730844e-20	Endo	AC093106.4
RP11-897M7.3	1.01912701582954e-19	0.210928431976441	0.821	0.155	2.48330679947184e-15	Endo	RP11-897M7.3
RP11-256L6.5	5.27560105977228e-18	0.419342867281707	0.964	0.373	1.28550571023471e-13	Endo	RP11-256L6.5
LINC00895	1.26865591554718e-17	0.293915793837685	0.929	0.297	3.0913338694138e-13	Endo	LINC00895
RP11-463H12.2	9.12662158274744e-17	0.280636217395809	0.929	0.234	2.22388388106807e-12	Endo	RP11-463H12.2
RFPL3	1.80378229426645e-16	0.117278108925155	0.571	0.066	4.39527631643907e-12	Endo	RFPL3
RN7SL88P	4.48701635196193e-16	0.12097689891888	0.786	0.161	1.09335127448256e-11	Endo	RN7SL88P
AC009498.1	5.44465577958954e-16	0.124802755276616	0.5	0.054	1.32669927381258e-11	Endo	AC009498.1
PODXL	1.35061332823018e-15	0.708029008379556	1	0.943	3.29103949689848e-11	Endo	PODXL
HSPC324	2.12572982029328e-15	0.387091174217432	0.929	0.367	5.17976585310864e-11	Endo	HSPC324
MRAP	3.38441411743921e-15	0.160401038794918	0.857	0.212	8.24680187996413e-11	Endo	MRAP
CTA-342B11.1	3.42659297034632e-15	0.223743328301294	0.714	0.133	8.34957909084288e-11	Endo	CTA-342B11.1
SLC22A24	6.1186984535233e-15	0.075430494323031	0.321	0.016	1.49094325217002e-10	Endo	SLC22A24
KRT18P67	1.13749261378379e-14	0.113402584332357	0.464	0.047	2.77172825200696e-10	Endo	KRT18P67
BOLA2P1	2.82142794705233e-14	0.269113635115906	0.929	0.304	6.87497347858242e-10	Endo	BOLA2P1
PZP	3.25274072579378e-14	0.104035953004367	0.393	0.035	7.9259533265417e-10	Endo	PZP
RNU2-21P	3.85173151844788e-14	0.167511128400257	0.75	0.193	9.38551419100194e-10	Endo	RNU2-21P
ADGRL4	4.49535692401058e-14	0.156511948550158	0.679	0.127	1.09538362167366e-09	Endo	ADGRL4
RP11-511P7.4	7.36853171019647e-14	0.141820131201568	0.643	0.108	1.79549012182357e-09	Endo	RP11-511P7.4
AFAP1L1	1.31695645564311e-13	0.494683633893641	1	0.978	3.20902779546557e-09	Endo	AFAP1L1
XXYLT1	1.33708419362339e-13	0.536839400222908	1	1	3.25807305460211e-09	Endo	XXYLT1
KDR	1.74870019592466e-13	0.385281378698234	0.929	0.484	4.26105776740961e-09	Endo	KDR
DLL4	2.28337810229711e-13	0.372679983149403	1	0.991	5.56390742186737e-09	Endo	DLL4
TCEA2	6.75331146761204e-13	0.413253145509077	1	0.994	1.64557940531303e-08	Endo	TCEA2
RP11-872D17.8	7.02799257263043e-13	0.353484715948504	1	0.883	1.71251095017286e-08	Endo	RP11-872D17.8
TCF15	8.31496130991177e-13	0.402708924448576	1	0.797	2.0261066223862e-08	Endo	TCF15
RP1-66N13.4	8.42461761106304e-13	0.126424002117854	0.714	0.146	2.05282657328773e-08	Endo	RP1-66N13.4
RP11-897M7.4	1.42559234626999e-12	0.1694655566561	0.786	0.193	3.47374087015609e-08	Endo	RP11-897M7.4
ELK3	1.49125782094672e-12	0.637033074810864	1	0.984	3.63374793230086e-08	Endo	ELK3
C2CD4B	1.73273788970598e-12	0.313282927613877	0.964	0.737	4.22216241584656e-08	Endo	C2CD4B
FLT1	2.86544940997592e-12	0.703814015294794	1	0.968	6.98224057728832e-08	Endo	FLT1
AC007319.1	2.93603586353162e-12	0.438583329917161	1	0.804	7.15423858866749e-08	Endo	AC007319.1
F2RL3	3.13492635780867e-12	0.383344671005631	0.929	0.494	7.63887505607238e-08	Endo	F2RL3
KIAA1462	3.25522019312234e-12	0.447002589440227	1	0.997	7.9319950445812e-08	Endo	KIAA1462
CLDN5	3.87762280780407e-12	0.311083832122634	1	0.823	9.44860349577617e-08	Endo	CLDN5
AC006372.5	4.44323256801512e-12	0.142913606316059	0.607	0.12	1.08268247984824e-07	Endo	AC006372.5
CTRB2	4.69499272709713e-12	0.155716766145156	0.679	0.155	1.14402887781176e-07	Endo	CTRB2
RP3-454B23.1	4.96442326859792e-12	0.242671911030563	0.929	0.494	1.20968101785925e-07	Endo	RP3-454B23.1
KIF26A	5.3115421766956e-12	0.416916907610531	1	0.962	1.29426348219542e-07	Endo	KIF26A
VWF	5.38935209359446e-12	0.632802900243217	1	0.972	1.31322342464616e-07	Endo	VWF
EXOC6	6.27122973231322e-12	0.434981189713111	1	0.905	1.52811054887276e-07	Endo	EXOC6
RP11-64B16.5	8.09034357992933e-12	0.122118346155561	0.536	0.092	1.97137402012138e-07	Endo	RP11-64B16.5
CYCSP26	9.56938533451132e-12	0.100108837597687	0.393	0.044	2.33177212446037e-07	Endo	CYCSP26
TIE1	9.86006450722235e-12	0.315809446533304	0.929	0.525	2.40260191847487e-07	Endo	TIE1
