p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
Peak-48776-1	4.50301114297365e-32	0.324010769458907	0.786	0.06	1.50226755945201e-26	Endo	Peak-48776-1
Peak-38854-2	3.63506714862773e-29	0.105120221772165	0.536	0.016	1.21270929172229e-23	Endo	Peak-38854-2
Peak-56418-1	1.10782216396185e-28	0.112378526987618	0.5	0.013	3.69584983407967e-23	Endo	Peak-56418-1
Peak-55935-1	2.32732745456506e-28	0.190756809402766	0.536	0.019	7.76429021427268e-23	Endo	Peak-55935-1
Peak-38854-1	4.34673366753383e-28	0.238393877637024	0.679	0.047	1.45013120576063e-22	Endo	Peak-38854-1
Peak-18059-2	4.48055674208661e-28	0.262363944184773	0.857	0.108	1.49477645695448e-22	Endo	Peak-18059-2
Peak-28688-1	3.3156885981144e-27	0.249518475458268	0.786	0.082	1.10616013597134e-21	Endo	Peak-28688-1
Peak-58586-1	7.09419149662797e-27	0.156230326897158	0.607	0.035	2.36672160195604e-21	Endo	Peak-58586-1
Peak-49318-1	7.7771302366782e-27	0.152213276251734	0.536	0.022	2.59455952677916e-21	Endo	Peak-49318-1
Peak-37754-2	4.67533952625504e-26	0.213019351176171	0.75	0.073	1.55975872071205e-20	Endo	Peak-37754-2
Peak-25517-23	6.09547656591436e-26	0.312025433633675	0.893	0.136	2.03353631906095e-20	Endo	Peak-25517-23
Peak-4397-2	1.0726758442037e-25	0.0984796868143008	0.679	0.054	3.57859679088174e-20	Endo	Peak-4397-2
Peak-32884-1	2.14514653607319e-25	0.251204499454513	0.714	0.066	7.15650916485521e-20	Endo	Peak-32884-1
Peak-39211-1	6.56435288900852e-25	0.240606178029689	0.75	0.079	2.18996002471369e-19	Endo	Peak-39211-1
Peak-28736-1	6.82228865623335e-25	0.231005177835551	0.679	0.063	2.27601100776063e-19	Endo	Peak-28736-1
Peak-19013-3	6.83821967789971e-25	0.133070178135692	0.571	0.032	2.28132581962284e-19	Endo	Peak-19013-3
Peak-17872-3	7.04870253872678e-25	0.302828394534694	0.821	0.12	2.3515458487548e-19	Endo	Peak-17872-3
Peak-25696-1	8.85321987816034e-25	0.176558189894508	0.75	0.076	2.95355809643258e-19	Endo	Peak-25696-1
Peak-31870-1	1.08183959072609e-24	0.171182950413031	0.607	0.041	3.60916833220492e-19	Endo	Peak-31870-1
Peak-13802-9	1.9792273509007e-24	0.205202923855183	0.786	0.089	6.60297953443387e-19	Endo	Peak-13802-9
Peak-41625-1	2.41537890492765e-24	0.179013125702823	0.607	0.044	8.05804217988534e-19	Endo	Peak-41625-1
Peak-40136-1	5.14817247179726e-24	0.187278238742223	0.679	0.06	1.71750241100617e-18	Endo	Peak-40136-1
Peak-344-5	5.70494665497537e-24	0.0797862755134398	0.536	0.028	1.90325007335295e-18	Endo	Peak-344-5
Peak-86036-1	7.81751799181236e-24	0.0992205114932488	0.429	0.013	2.60803344732049e-18	Endo	Peak-86036-1
Peak-45439-1	8.10854432671152e-24	0.154655775764435	0.571	0.038	2.70512390701154e-18	Endo	Peak-45439-1
Peak-22943-1	9.0938370802576e-24	0.155169771954787	0.643	0.054	3.03383136369306e-18	Endo	Peak-22943-1
Peak-43301-1	9.78593085415406e-24	0.214567289346287	0.679	0.063	3.26472353597775e-18	Endo	Peak-43301-1
Peak-9138-3	1.73705068588614e-23	0.113310210890979	0.571	0.038	5.79504427521218e-18	Endo	Peak-9138-3
Peak-39223-4	2.33252279063761e-23	0.143351745755779	0.571	0.038	7.78162258275777e-18	Endo	Peak-39223-4
Peak-42032-1	2.48522876688825e-23	0.184486677677805	0.643	0.057	8.29107109836658e-18	Endo	Peak-42032-1
