orig.ident	nCount_ATAC	nFeature_ATAC	nCount_ACTIVITY	nFeature_ACTIVITY	tech	predicted.id	prediction.score.max	tSNE_1	tSNE_2	EPCAM	VIM	PTPRC	HBG1
GJ_1_1-1	GJ	137517	44073	49996.0761152062	16637	atac	Endo	0.98260342381317	3.90080279189137	-5.8583609976655	-0.743060847069265	-0.374010548857642	-0.105528064926269	-0.195994254692559
GJ_1_1-2	GJ	114465	39747	45230.5746652187	16068	atac	Fibro-SCN7A	0.930754925421376	-5.83695117745897	-4.417053559585	1.42185008264054	-0.310587685733684	-0.105528064926269	-0.195994254692559
GJ_1_1-3	GJ	97962	33951	39085.0023044668	15153	atac	Fibro-SFRP2	0.445030958946121	-9.7474005071485	-3.18098597721748	1.70023257551206	-0.522132864811967	-0.105528064926269	-0.195994254692559
GJ_1_1-5	GJ	63286	26509	30301.0945690885	13795	atac	Fibro-SCN7A	0.518428141032014	-13.9338988967934	-0.752843467452571	-0.743060847069265	-0.353015061937658	-0.105528064926269	-0.195994254692559
GJ_1_1-6	GJ	148305	47895	53932.2664143921	17056	atac	Endo	0.964503189991896	3.02064997942012	-5.27837124638105	1.87195017193967	0.170448178636353	-0.105528064926269	-0.195994254692559
GJ_1_1-8	GJ	176261	55848	63841.2732901686	17783	atac	Fibro-SCN7A	0.658295217979289	-3.44381719490511	-3.7852475936751	0.868260706635621	-0.542012035246377	-0.105528064926269	-0.195994254692559
GJ_1_2-1	GJ	85372	32133	36669.5766629966	14892	atac	Endo	0.724333232707273	1.96011314683776	-6.18589851190871	0.682722081099022	-0.11978064475531	-0.105528064926269	-0.195994254692559
GJ_1_2-2	GJ	113439	40061	44324.2574055822	15982	atac	Glial	0.401489821666588	0.902192667682962	-1.42212435766999	-0.743060847069265	-1.16221988218215	-0.105528064926269	-0.195994254692559
GJ_1_2-3	GJ	82726	30073	35019.9198397993	14579	atac	SM	0.355921327868259	-0.972333215678024	-0.814219250585369	-0.743060847069265	-1.16221988218215	-0.105528064926269	-0.195994254692559
GJ_1_2-4	GJ	93257	34079	38276.9239135672	15023	atac	Immune	0.972502821008771	3.39419904995922	-10.5128509267132	1.74233403037856	-1.16221988218215	-0.105528064926269	-0.195994254692559
GJ_1_2-5	GJ	83215	30814	35989.1129059046	14547	atac	SM	0.815844680729213	11.8853083344341	6.34488064613134	0.70662752391866	-0.116517281381104	-0.105528064926269	-0.195994254692559
GJ_1_2-6	GJ	101783	35978	40903.1935185744	15543	atac	Fibro-SCN7A	0.627122059981331	-4.91757347550729	-4.83177693597628	0.550118118105391	0.271532909535802	-0.105528064926269	-0.195994254692559
GJ_1_2-7	GJ	98416	34866	39647.9215467449	15373	atac	Fibro-SCN7A	0.519936946178542	-5.57892977618793	-5.79373881278979	-0.743060847069265	0.555811636214476	-0.105528064926269	-0.195994254692559
GJ_1_2-8	GJ	202693	60619	68049.5282372734	18041	atac	Fibro-GUCY1A3	0.448528503620206	0.396973193889755	-3.34225729753447	0.0675963403410229	-0.256414309375968	-0.105528064926269	-0.195994254692559
GJ_1_3-1	GJ	73656	29560	33806.22736794	14388	atac	Fibro-SCN7A	0.530249656548707	7.81205977478926	-2.27836494202254	-0.743060847069265	-0.0569541565287252	-0.105528064926269	-0.195994254692559
GJ_1_3-2	GJ	64242	26772	30995.2073466698	13885	atac	Fibro-SCN7A	0.642085759625856	2.54971869605347	12.0091419788642	0.910222483069469	-1.16221988218215	-0.105528064926269	-0.195994254692559
GJ_1_3-3	GJ	101495	38672	43108.2925860743	15734	atac	Glial	0.700244604337736	-0.382828485232609	-2.46591475966337	1.51043072302657	-0.578019447458366	-0.105528064926269	-0.195994254692559
GJ_1_3-4	GJ	103358	36772	42240.5573532581	15474	atac	Fibro-SFRP2	0.532068875704663	-2.48774254065432	-4.10677981580328	-0.743060847069265	0.457298406116762	-0.105528064926269	-0.195994254692559
GJ_1_3-5	GJ	103340	37070	42250.2281837159	15455	atac	Fibro-COL11A1	0.788040820177503	1.40943484946647	-5.265471439306	1.5483635807975	0.487011608224014	-0.105528064926269	-0.195994254692559
GJ_1_3-6	GJ	78812	29490	33448.1850035866	14373	atac	Fibro-GUCY1A3	0.574233660401018	0.134488069153844	-1.41165859436127	0.803494859927911	-1.16221988218215	-0.105528064926269	-0.195994254692559
GJ_1_3-7	GJ	89913	32007	36800.6411615397	14742	atac	Fibro-SCN7A	0.873353223936082	-7.79619593081946	-4.68803935602673	0.678208340023707	0.714046475743314	-0.105528064926269	-0.195994254692559
GJ_1_3-8	GJ	181153	57905	64551.4609952679	17922	atac	Fibro-SCN7A	0.540704188294821	-1.40014740643161	-3.80136680588565	-0.743060847069265	0.305019765758729	-0.105528064926269	-0.195994254692559
GJ_1_4-1	GJ	94797	33367	37677.3044388591	14987	atac	Fibro-COL11A1	0.830896089387907	-0.343402908272917	0.359733812410949	0.648739837434568	0.386887479906696	-0.105528064926269	-0.195994254692559
GJ_1_4-2	GJ	109926	40156	46823.8352589556	16142	atac	SM	0.458471795176418	9.44551624026895	1.87604357431548	1.35984189606318	1.48084636505868	-0.105528064926269	-0.195994254692559
GJ_1_4-3	GJ	103443	35978	40847.2327301737	15236	atac	Fibro-SCN7A	0.69757513401817	-2.501236839357	-3.32727412479696	-0.743060847069265	-1.16221988218215	-0.105528064926269	-0.195994254692559
GJ_1_4-4	GJ	88818	32599	37177.0589624772	14916	atac	Endo	0.84392127655033	2.33423381027955	-6.54177568700347	0.665403074640645	-0.491706931107183	-0.105528064926269	5.49194815364701
GJ_1_4-5	GJ	86717	32417	38226.161118273	14944	atac	SM	0.631129112025493	12.48522556797	8.95006032070144	-0.743060847069265	1.33247781169471	-0.105528064926269	-0.195994254692559
GJ_1_4-6	GJ	53690	22926	26118.9020722783	12889	atac	Fibro-COL11A1	0.295148710634149	13.3261829032237	3.1664148330379	-0.743060847069265	0.239069666241697	-0.105528064926269	-0.195994254692559
GJ_1_4-7	GJ	70472	26609	30139.1336080872	13803	atac	Fibro-SCN7A	0.521071358563895	-6.08804933006597	-7.39465238844503	0.951047105069295	1.03802421899929	-0.105528064926269	-0.195994254692559
