p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
CTD-3073N11.5	6.86301844059496e-41	0.144010366629334	0.679	0.047	1.67450786932076e-36	Immune	CTD-3073N11.5
SIGLEC12	3.83357570482211e-28	0.0557736900192596	0.286	0.009	9.35354136219547e-24	Immune	SIGLEC12
CD84	5.63459856661723e-27	0.155306868915833	0.571	0.056	1.37478570426894e-22	Immune	CD84
RNU6-376P	7.99644698769975e-24	0.0796995752770235	0.357	0.021	1.95105310052886e-19	Immune	RNU6-376P
C10orf71	1.1882464492909e-21	0.088578092683744	0.429	0.037	2.89920251162486e-17	Immune	C10orf71
CD53	7.52586235502584e-21	0.273462301756541	0.679	0.12	1.83623515600275e-16	Immune	CD53
AC008694.2	7.74504579576761e-20	0.0877699832178224	0.357	0.028	1.88971372370934e-15	Immune	AC008694.2
GCSAM	2.11437143689711e-19	0.109018681806779	0.429	0.043	5.15885486888527e-15	Immune	GCSAM
MNDA	4.59275231456732e-19	0.0503163646363303	0.25	0.012	1.12058563723128e-14	Immune	MNDA
FASLG	6.57776876497825e-19	0.113461184652148	0.429	0.045	1.60490980096704e-14	Immune	FASLG
STAG3L5P	3.29169136485774e-18	0.140397074128699	0.75	0.163	8.03139776111641e-14	Immune	STAG3L5P
RGS1	3.29334396232307e-18	0.156997934734976	0.607	0.103	8.03542993367206e-14	Immune	RGS1
LINC02132	4.87897256562383e-18	0.102265296248006	0.536	0.075	1.19042051628656e-13	Immune	LINC02132
EMBP1	5.83778746574138e-18	0.106822594527167	0.536	0.075	1.42436176376624e-13	Immune	EMBP1
OCSTAMP	6.86662289989005e-18	0.0707818517513612	0.357	0.031	1.67538732134417e-13	Immune	OCSTAMP
CD200R1	9.34928761147369e-18	0.114493131139595	0.429	0.047	2.28113268432347e-13	Immune	CD200R1
LRMP	1.24831147105029e-17	0.303379250722477	0.857	0.269	3.0457551582156e-13	Immune	LRMP
CD69	1.80583943571294e-17	0.168071853270915	0.714	0.147	4.40606763919599e-13	Immune	CD69
RP11-762E8.1	9.20122527053861e-17	0.092888251356623	0.321	0.027	2.24500695375872e-12	Immune	RP11-762E8.1
MS4A14	9.924393901385e-17	0.0629615064316146	0.321	0.027	2.42145286799893e-12	Immune	MS4A14
CD48	1.8673800136225e-16	0.374842443385427	0.714	0.179	4.55622049523754e-12	Immune	CD48
LINC01146	3.06983144512912e-16	0.0624761579795893	0.321	0.028	7.49008174297054e-12	Immune	LINC01146
RNU6-1274P	3.42662681876466e-16	0.0576857871501913	0.321	0.028	8.36062677510388e-12	Immune	RNU6-1274P
C3AR1	5.18925907413986e-16	0.120530927187809	0.464	0.065	1.26612732149938e-11	Immune	C3AR1
CYTIP	5.85283386114886e-16	0.507595482263653	0.929	0.438	1.42803293378171e-11	Immune	CYTIP
RP6-91H8.3	8.06283193217814e-16	0.0910314672637719	0.5	0.074	1.96725036313215e-11	Immune	RP6-91H8.3
SAMSN1	1.19834687527658e-15	0.214549596219251	0.714	0.184	2.92384654098732e-11	Immune	SAMSN1
LCP1	1.32903765145361e-15	0.440817127842917	1	0.743	3.24271896578167e-11	Immune	LCP1
RAC2	1.45721676831994e-15	0.412543088194691	0.964	0.56	3.55546319302382e-11	Immune	RAC2
TSPOAP1-AS1	4.25730536214481e-15	0.476159586614481	1	0.98	1.03873993530971e-10	Immune	TSPOAP1-AS1
MS4A6A	1.17213757206087e-14	0.0868590597838197	0.357	0.039	2.85989846207132e-10	Immune	MS4A6A
AC092570.4	1.51649226437138e-14	0.0539449089289417	0.286	0.025	3.70008947583974e-10	Immune	AC092570.4
EMB	2.14768237312007e-14	0.0772499808080526	0.429	0.058	5.24013022217567e-10	Immune	EMB
CD300C	5.35803667463112e-14	0.0707887054950253	0.393	0.051	1.30730736824325e-09	Immune	CD300C
CD300A	8.22847152204036e-14	0.184596803021224	0.714	0.2	2.00766476666263e-09	Immune	CD300A
RP1-111C20.4	9.01982793041196e-14	0.448250151439613	0.964	0.567	2.20074781674121e-09	Immune	RP1-111C20.4
ARHGDIB	1.01235674837673e-13	0.439836314529133	0.964	0.531	2.47004923036439e-09	Immune	ARHGDIB
LINC01857	1.05487086130041e-13	0.0603409240473406	0.25	0.02	2.57377941448687e-09	Immune	LINC01857
CLN3	1.46816269974192e-13	0.191928388603015	0.607	0.147	3.58217017110032e-09	Immune	CLN3
GPR35	1.62701060807696e-13	0.314047585432516	0.75	0.253	3.96974318264697e-09	Immune	GPR35
ARHGAP30	2.54298308577356e-13	0.204173534455989	0.714	0.203	6.2046244309789e-09	Immune	ARHGAP30
RP11-528G1.2	2.71583916496571e-13	0.163892310245809	0.679	0.172	6.62637597859985e-09	Immune	RP11-528G1.2
CLEC7A	3.32330007656646e-13	0.08978864248496	0.393	0.055	8.1085198568145e-09	Immune	CLEC7A
NCKAP1L	3.58420994940564e-13	0.103220184876724	0.571	0.118	8.74511385555481e-09	Immune	NCKAP1L
IKZF1	6.45048615124549e-13	0.613998731468361	0.857	0.501	1.57385411604239e-08	Immune	IKZF1
C16orf54	7.16981392087847e-13	0.158467184848522	0.571	0.131	1.74936289855514e-08	Immune	C16orf54
UBAC2	7.60481480227064e-13	0.658408175299911	1	0.992	1.85549876360601e-08	Immune	UBAC2
RP4-742C19.12	8.58821804225265e-13	0.0774795312070811	0.357	0.048	2.09543932012923e-08	Immune	RP4-742C19.12
CD58	1.16821353043488e-12	0.311246001502974	1	0.953	2.85032419290807e-08	Immune	CD58
NKG7	1.52979152879125e-12	0.0848238934683211	0.5	0.093	3.73253835109776e-08	Immune	NKG7
ARHGAP25	1.81451378561022e-12	0.389100128622443	1	0.967	4.42723218551036e-08	Immune	ARHGAP25
MOB3A	2.54214103166235e-12	0.408537468911692	1	0.971	6.20256990315297e-08	Immune	MOB3A
STAP1	2.73292942113931e-12	0.093289476257571	0.464	0.082	6.66807449463781e-08	Immune	STAP1
OTUD5	3.58238022751073e-12	0.298498771582879	0.964	0.99	8.74064951710342e-08	Immune	OTUD5
CD300LB	3.90949087261473e-12	0.218888749400189	0.536	0.13	9.53876678009268e-08	Immune	CD300LB
MEFV	4.2019765853897e-12	0.0538203713241943	0.25	0.024	1.02524026706923e-07	Immune	MEFV
CLEC17A	4.32426548289938e-12	0.055928403016215	0.286	0.03	1.05507753517262e-07	Immune	CLEC17A
GPR132	4.56972806797218e-12	0.278044712893054	0.964	0.551	1.11496795130453e-07	Immune	GPR132
NFKB1	7.83122708752405e-12	0.633389049711794	1	0.939	1.91074109708499e-07	Immune	NFKB1
SH2B3	9.53189554302344e-12	0.438208357581636	1	0.996	2.32568719354229e-07	Immune	SH2B3
OSBPL3	1.23742958405478e-11	0.374798340837246	1	0.983	3.01920444213527e-07	Immune	OSBPL3
RP11-517H2.6	1.34415269296657e-11	0.417977452615962	0.857	0.489	3.27959815556913e-07	Immune	RP11-517H2.6
CD28	1.39578476455142e-11	0.136070591829426	0.5	0.104	3.40557524702901e-07	Immune	CD28
RP11-697H9.3	1.61214645955519e-11	0.0514137023028218	0.286	0.033	3.9334761466687e-07	Immune	RP11-697H9.3
TRAV14DV4	1.80392730098145e-11	0.0599762916328818	0.286	0.034	4.40140222166463e-07	Immune	TRAV14DV4
LINC01825	2.13767367731022e-11	0.200431664464304	0.714	0.242	5.21571000526921e-07	Immune	LINC01825
LINC-PINT	2.25932551224176e-11	0.383284654423365	1	0.979	5.51252831731866e-07	Immune	LINC-PINT
PIK3AP1	3.37820697432768e-11	0.455740709376549	0.893	0.636	8.2424871966621e-07	Immune	PIK3AP1
TUBGCP2	3.67051244931798e-11	0.358955949172586	1	0.93	8.95568332509093e-07	Immune	TUBGCP2
LY9	4.62950374528737e-11	0.0916954625659207	0.429	0.08	1.12955261881267e-06	Immune	LY9
VNN1	5.87573822068401e-11	0.0590111378522089	0.286	0.035	1.43362136846469e-06	Immune	VNN1
STK10	6.40417076718678e-11	0.364139534138706	1	1	1.5625536254859e-06	Immune	STK10
GPR65	7.52048919825101e-11	0.163869388476739	0.714	0.262	1.83492415948126e-06	Immune	GPR65
RP11-218M22.2	8.48081369828499e-11	0.206629594789684	0.679	0.22	2.06923373424456e-06	Immune	RP11-218M22.2
SLC25A3P1	9.67533164401449e-11	0.0762066025296986	0.393	0.069	2.36068416782309e-06	Immune	SLC25A3P1
SNX10	1.13822127603328e-10	0.35072457672519	0.929	0.698	2.7771460913936e-06	Immune	SNX10
LINC00299	1.15700787203256e-10	0.398581534547987	0.964	0.816	2.82298350697223e-06	Immune	LINC00299
RP11-13P5.1	1.18094707499298e-10	0.180151479354405	0.714	0.254	2.88139276827536e-06	Immune	RP11-13P5.1
SRGN	1.18217814403412e-10	0.458073385880225	0.929	0.672	2.88439645362885e-06	Immune	SRGN
LPXN	1.20135449595536e-10	0.231073502619004	1	0.992	2.93118483468149e-06	Immune	LPXN
ELF1	1.32775216127745e-10	0.393618652813017	1	1	3.23958249830086e-06	Immune	ELF1
LAPTM5	1.37889480042865e-10	0.412548441325109	1	0.976	3.36436542356586e-06	Immune	LAPTM5
RHOH	1.45378325514124e-10	0.456786764416073	0.821	0.471	3.54708576421912e-06	Immune	RHOH
MIR4425	1.70813715046118e-10	0.155044949852704	0.75	0.284	4.16768383341022e-06	Immune	MIR4425
RPL13AP5	1.72323135610252e-10	0.0518183812121434	0.286	0.036	4.20451218575455e-06	Immune	RPL13AP5
RP11-370F5.4	1.86549501719053e-10	0.0608981124768801	0.286	0.037	4.55162129244317e-06	Immune	RP11-370F5.4
TESPA1	1.8660409559678e-10	0.167367539103658	0.607	0.174	4.55295332846583e-06	Immune	TESPA1
RBM33	2.07761139437993e-10	0.278701125991821	0.929	0.473	5.06916404114759e-06	Immune	RBM33
RP11-543F8.2	2.20484184418737e-10	0.140956381033096	0.429	0.09	5.37959361563276e-06	Immune	RP11-543F8.2
CTD-3187F8.15	2.41570490282586e-10	0.0985084125013392	0.393	0.074	5.89407839240482e-06	Immune	CTD-3187F8.15
AKNA	2.58304893515105e-10	0.343394386011575	1	0.975	6.30238109687506e-06	Immune	AKNA
TNFAIP3	2.86771435132401e-10	0.480283927929529	0.964	0.757	6.99693624579546e-06	Immune	TNFAIP3
AIM1	2.92556160142596e-10	0.388440615678369	1	0.952	7.1380777513192e-06	Immune	AIM1
SLAMF1	3.70519070644622e-10	0.329501779242194	0.821	0.413	9.04029480465814e-06	Immune	SLAMF1
MMP9	4.5554616399902e-10	0.237651312589044	0.786	0.416	1.11148708554121e-05	Immune	MMP9
RIN3	4.86346746569734e-10	0.52039847572342	1	0.996	1.18663742695549e-05	Immune	RIN3
RHOG	4.97508301239499e-10	0.303297449983506	1	0.935	1.21387050419425e-05	Immune	RHOG
PRKCB	6.11549407470346e-10	0.373780113288015	0.929	0.675	1.4921193992869e-05	Immune	PRKCB
RP11-399B17.1	7.48250401423017e-10	0.085177516839468	0.393	0.078	1.82565615443202e-05	Immune	RP11-399B17.1
ADAM8	7.95934820859181e-10	0.280427879294732	0.964	0.797	1.94200136941432e-05	Immune	ADAM8
RASGEF1B	8.62564637630489e-10	0.360447284910027	1	0.996	2.10457145935463e-05	Immune	RASGEF1B
CSK	8.734910314658e-10	0.370469641083382	1	0.961	2.13123076767341e-05	Immune	CSK
CTD-2201E18.3	8.82416985516755e-10	0.363045592709121	1	1	2.15300920296233e-05	Immune	CTD-2201E18.3
TNFAIP8	1.0677252171891e-09	0.517470956961198	1	0.998	2.60514275741968e-05	Immune	TNFAIP8
RNU6-1180P	1.20475698191744e-09	0.0730471372091089	0.357	0.064	2.93948656018036e-05	Immune	RNU6-1180P
MIOS	1.35828011738777e-09	0.0892970956350156	0.357	0.064	3.31406765841442e-05	Immune	MIOS
ITGAX	1.46780653102902e-09	0.149947709122027	0.571	0.182	3.58130115505771e-05	Immune	ITGAX
SIGLEC6	1.46891028794484e-09	0.0593287357031066	0.321	0.051	3.58399421155662e-05	Immune	SIGLEC6
CASR	1.68178236078653e-09	0.213646508856047	0.607	0.212	4.10338078208305e-05	Immune	CASR
LINC00563	1.79447141264376e-09	0.0705465324386944	0.357	0.063	4.37833079970952e-05	Immune	LINC00563
DUSP2	1.8595122838907e-09	0.248997894459666	0.964	0.846	4.53702402146493e-05	Immune	DUSP2
CTLA4	1.89358828637614e-09	0.051355455280895	0.286	0.04	4.62016605992915e-05	Immune	CTLA4
CDC42SE2	1.9502014032113e-09	0.393456136279887	1	0.937	4.75829640369526e-05	Immune	CDC42SE2
DENND2D	1.952032610536e-09	0.289806207277628	0.893	0.606	4.7627643664468e-05	Immune	DENND2D
IL7R	2.09446642550247e-09	0.210235691134869	0.643	0.228	5.11028863158347e-05	Immune	IL7R
TMEM187	2.37743530031608e-09	0.0829334649937941	0.5	0.124	5.80070438924119e-05	Immune	TMEM187
CST7	2.57957988546166e-09	0.127208459274256	0.464	0.113	6.2939169625379e-05	Immune	CST7
AC015969.3	2.63288130417903e-09	0.128342177168562	0.536	0.157	6.4239670940664e-05	Immune	AC015969.3
OASL	2.84665273740276e-09	0.156017863263146	0.893	0.51	6.945548013989e-05	Immune	OASL
TM9SF2	2.84989918203436e-09	0.203198041166721	1	0.951	6.95346901424562e-05	Immune	TM9SF2
RNU6-919P	3.9808405609188e-09	0.0551863843734372	0.286	0.043	9.71285288458579e-05	Immune	RNU6-919P
MARCO	4.26691599932728e-09	0.086527568543726	0.286	0.043	0.000104108483467586	Immune	MARCO
IL23A	4.28304441431212e-09	0.129696233331806	0.5	0.133	0.000104502000664801	Immune	IL23A
LINC00996	5.03531010570359e-09	0.171467255202873	0.714	0.331	0.000122856531269062	Immune	LINC00996
MIR3680-2	5.19045325737072e-09	0.0505692884804781	0.286	0.043	0.000126641869026588	Immune	MIR3680-2
RFFL	5.85399644264611e-09	0.290659431786716	0.929	0.922	0.000142831659204122	Immune	RFFL
CCDC12	6.71850378781824e-09	0.284964158468556	1	1	0.000163924773918977	Immune	CCDC12
FCER1G	7.02964023222007e-09	0.144106555364781	0.964	0.992	0.000171516192025938	Immune	FCER1G
S1PR4	7.57599894530705e-09	0.191912937873208	0.821	0.397	0.000184846798266547	Immune	S1PR4
FAM105A	7.66001111933123e-09	0.248432156638372	0.964	0.871	0.000186896611300563	Immune	FAM105A
ZFR2	7.74134113412493e-09	0.245820657864874	0.786	0.473	0.000188880982331514	Immune	ZFR2
APBB1IP	8.03046580979798e-09	0.303452654823143	0.893	0.651	0.000195935335293261	Immune	APBB1IP
RPA2	8.04504596231351e-09	0.129879901211887	1	0.966	0.000196291076434487	Immune	RPA2
CREM	8.32848758389236e-09	0.247329081067301	1	0.973	0.00020320676855939	Immune	CREM
CYTH1	8.54812968479509e-09	0.373330491600819	1	0.994	0.000208565816179315	Immune	CYTH1
SP110	1.23292259517408e-08	0.210471754078118	0.929	0.666	0.000300820783996523	Immune	SP110
FYB	1.34428323490427e-08	0.277900688711634	0.821	0.482	0.000327991666484293	Immune	FYB
UBE2J1	1.41619101631378e-08	0.231509377277038	1	0.927	0.000345536446070398	Immune	UBE2J1
INPP4A	1.43989908819027e-08	0.419391836388755	0.964	0.951	0.000351320978527543	Immune	INPP4A
DTHD1	1.49128139808702e-08	0.194392762506726	0.643	0.245	0.000363857748319252	Immune	DTHD1
SCAMP2	1.49823441643405e-08	0.172994780467363	1	0.975	0.000365554215265744	Immune	SCAMP2
SATB1-AS1	1.52575732073319e-08	0.244224873261426	0.75	0.371	0.000372269528685692	Immune	SATB1-AS1
NPC1	1.56300359409532e-08	0.189139784251655	1	0.983	0.000381357246923317	Immune	NPC1
IL4I1	1.7147441690051e-08	0.246668289289888	1	0.993	0.000418380429795554	Immune	IL4I1
AC009133.24	1.80225513487797e-08	0.0676041280654558	1	0.965	0.000439732230358875	Immune	AC009133.24
RAB27A	1.87228842805134e-08	0.262897972684378	0.964	0.975	0.000456819653560245	Immune	RAB27A
RALGDS	1.8885332048757e-08	0.259007092258139	1	1	0.000460783216657623	Immune	RALGDS
LINC01588	1.92045301044487e-08	0.33249997971953	1	1	0.000468571330018443	Immune	LINC01588
EVL	1.9366087364559e-08	0.27679498275508	1	1	0.000472513165607875	Immune	EVL
IGLV9-49	1.96924330567104e-08	0.0712005346129107	0.393	0.085	0.000480475674150676	Immune	IGLV9-49
CARD11	2.07177641035758e-08	0.228593484381408	0.821	0.478	0.000505492726363147	Immune	CARD11
RP11-325F22.2	2.15492565310071e-08	0.324733102439306	1	0.949	0.000525780310100041	Immune	RP11-325F22.2
IPO11	2.19573217784976e-08	0.145790714237837	0.679	0.272	0.000535736694073564	Immune	IPO11
IL18RAP	2.210493823314e-08	0.183647523533378	0.929	0.656	0.000539338387950383	Immune	IL18RAP
UBASH3A	2.31616109668786e-08	0.216465959878506	0.964	0.715	0.000565120145980871	Immune	UBASH3A
MIR202HG	2.32902404905446e-08	0.184054974735765	0.786	0.399	0.000568258577728797	Immune	MIR202HG
RP11-460B17.3	2.52220115444895e-08	0.0809774052628383	0.429	0.101	0.000615391859673999	Immune	RP11-460B17.3
IKZF3	2.70511513437547e-08	0.269173837133063	0.714	0.376	0.000660021041636271	Immune	IKZF3
RP3-455J7.4	2.74817721353333e-08	0.200424388055233	1	0.993	0.000670527758329997	Immune	RP3-455J7.4
PPP6R1	2.75960376158596e-08	0.213700149943093	1	0.998	0.000673315721789358	Immune	PPP6R1
RP11-927P21.6	2.93624805532981e-08	0.0702606909666882	0.429	0.101	0.00071641516301992	Immune	RP11-927P21.6
RP11-496N12.9	2.98245585178893e-08	0.182089363139367	0.607	0.236	0.000727689403277981	Immune	RP11-496N12.9
RP11-61O1.1	3.14202671246648e-08	0.0851740736823373	0.429	0.107	0.000766623097574697	Immune	RP11-61O1.1
SNX20	3.14452161263444e-08	0.107379788654374	0.464	0.124	0.000767231828266676	Immune	SNX20
RP11-705C15.2	3.226587992665e-08	0.186551103729078	0.893	0.925	0.000787255204330334	Immune	RP11-705C15.2
GRK6	3.66880133377839e-08	0.241876271555169	1	1	0.000895150837428588	Immune	GRK6
VAV1	3.68321621803341e-08	0.315115801518939	0.964	0.825	0.000898667925037973	Immune	VAV1
CD22	3.92629037305599e-08	0.29607018203083	0.929	0.893	0.000957975588121932	Immune	CD22
RP11-67L14.1	3.93168778638391e-08	0.112036668992797	0.393	0.098	0.00095929250299981	Immune	RP11-67L14.1
IL18R1	4.00586495231343e-08	0.173065680229798	0.821	0.542	0.000977390989714955	Immune	IL18R1
RAB11A	4.03195668769064e-08	0.259707489601891	1	0.998	0.00098375711222964	Immune	RAB11A
OGDH	4.23502948990766e-08	0.291465001245107	1	0.999	0.00103330484524257	Immune	OGDH
MCF2L2	4.5397098725936e-08	0.330485983040926	1	0.99	0.00110764381181411	Immune	MCF2L2
RHOF	4.84594710425886e-08	0.221669390819377	1	1	0.00118236263396812	Immune	RHOF
PPCDC	5.0064468299116e-08	0.296133231034016	1	0.999	0.00122152296203013	Immune	PPCDC
RP11-83B20.7	5.09821755757309e-08	0.0670558113143845	0.357	0.076	0.00124391410187226	Immune	RP11-83B20.7
QRSL1	5.19695558217323e-08	0.0658551500019809	0.25	0.039	0.00126800519249445	Immune	QRSL1
BCL2A1	5.22073729900669e-08	0.0738311272397144	0.393	0.09	0.00127380769358464	Immune	BCL2A1
RP11-352M15.1	5.47472318693449e-08	0.176857653052938	0.679	0.304	0.00133577771038015	Immune	RP11-352M15.1
ILDR1	5.67625531970187e-08	0.227626660252688	0.643	0.3	0.00138494953545406	Immune	ILDR1
RGS18	5.77886173429912e-08	0.0625619830206209	0.321	0.062	0.00140998447455164	Immune	RGS18
EDEM1	5.950192388428e-08	0.269190871838293	0.714	0.369	0.00145178744085255	Immune	EDEM1
PIK3R5	6.00954717252777e-08	0.267149743147826	1	0.984	0.00146626941462505	Immune	PIK3R5
DOK2	6.54463214657446e-08	0.28093173399665	0.821	0.51	0.0015968247974427	Immune	DOK2
CD3D	6.77843451031397e-08	0.0950886045256027	0.357	0.078	0.00165387023617151	Immune	CD3D
SPN	6.85176158444435e-08	0.207500612469945	0.786	0.517	0.00167176130898858	Immune	SPN
ARAP2	7.05462416566728e-08	0.178142044222921	0.75	0.344	0.00172125775018116	Immune	ARAP2
RP11-563J2.3	7.13101513257257e-08	0.0751425776124631	0.429	0.107	0.00173989638219638	Immune	RP11-563J2.3
RP11-519G16.3	7.67699710655962e-08	0.232962765519091	0.893	0.815	0.00187311052402948	Immune	RP11-519G16.3
PCBP1-AS1	7.68588345161311e-08	0.275233966397354	1	1	0.00187527870335908	Immune	PCBP1-AS1
PTPN22	8.11198424589906e-08	0.165168797916503	0.679	0.291	0.00197924303615691	Immune	PTPN22
PRKRIP1	8.3279793227345e-08	0.213991993736134	1	0.994	0.00203194367495399	Immune	PRKRIP1
