p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
Peak-56409-1	3.32508499632046e-42	0.180001972298549	0.679	0.047	1.10929490596246e-36	Immune	Peak-56409-1
Peak-47827-1	1.61566956489748e-40	0.164666934224425	0.679	0.051	5.39009986223707e-35	Immune	Peak-47827-1
Peak-33232-1	2.67425140343519e-40	0.187924554315654	0.714	0.057	8.92167707705629e-35	Immune	Peak-33232-1
Peak-76184-1	1.04706803278853e-37	0.071365793165756	0.464	0.02	3.49316554690711e-32	Immune	Peak-76184-1
Peak-51903-2	4.12542575250021e-37	0.116151208168077	0.5	0.026	1.3762997869946e-31	Immune	Peak-51903-2
Peak-53286-1	2.42632877218466e-36	0.0992947050325018	0.571	0.037	8.09457247003612e-31	Immune	Peak-53286-1
Peak-105552-1	4.24244888162325e-35	0.0622316653367051	0.393	0.015	1.41534034119386e-29	Immune	Peak-105552-1
Peak-69494-1	1.34580638042843e-34	0.123514272200465	0.5	0.029	4.48979849800252e-29	Immune	Peak-69494-1
Peak-40318-1	3.52176455267652e-34	0.182858960118884	0.75	0.08	1.17490995947663e-28	Immune	Peak-40318-1
Peak-33730-1	8.10514255434598e-34	0.210168723033093	0.714	0.073	2.70398902812558e-28	Immune	Peak-33730-1
Peak-20825-1	1.55139062178655e-32	0.0911386561698422	0.5	0.03	5.17565630896696e-27	Immune	Peak-20825-1
Peak-132391-1	6.66287179869288e-32	0.113519408544948	0.321	0.01	2.22282731224913e-26	Immune	Peak-132391-1
Peak-34147-1	1.3413342596378e-31	0.1898911652767	0.643	0.063	4.47487887694803e-26	Immune	Peak-34147-1
Peak-55356-2	5.12580041077313e-31	0.128872445723884	0.536	0.039	1.71003877823967e-25	Immune	Peak-55356-2
Peak-85271-1	9.6995697494281e-31	0.113818793210883	0.429	0.024	3.23591226238571e-25	Immune	Peak-85271-1
Peak-110985-1	1.72117914231852e-30	0.0635581238052507	0.357	0.015	5.74209458385451e-25	Immune	Peak-110985-1
Peak-91513-1	2.17068483188176e-30	0.0946659999181218	0.429	0.024	7.24170849503402e-25	Immune	Peak-91513-1
Peak-106747-1	3.69890800167294e-30	0.101306074806995	0.464	0.029	1.23400749407012e-24	Immune	Peak-106747-1
