p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
COL6A3	1.28107633015746e-63	0.410747750467593	1	0.989	3.12646678374929e-59	Fibro-ITM2A	COL6A3
RP11-231C18.3	2.70299982846095e-55	0.347085466246442	1	0.998	6.59667108135894e-51	Fibro-ITM2A	RP11-231C18.3
COL3A1	3.74454658081607e-51	0.399959553323728	0.989	0.896	9.13856593048162e-47	Fibro-ITM2A	COL3A1
TBX20	5.49964106880796e-51	0.344609517715613	0.967	0.77	1.34218740284258e-46	Fibro-ITM2A	TBX20
THBS2	6.12610289645471e-51	0.347051092649546	0.984	0.901	1.49507541187977e-46	Fibro-ITM2A	THBS2
RP11-473E2.4	6.31190167942144e-51	0.365983840098685	0.995	0.874	1.5404196048628e-46	Fibro-ITM2A	RP11-473E2.4
COL1A1	1.39425761930277e-50	0.40070664750258	0.984	0.926	3.40268571990841e-46	Fibro-ITM2A	COL1A1
XXyac-YX65C7-A.2	3.47952161642285e-49	0.340004715218	0.995	0.915	8.49177250487996e-45	Fibro-ITM2A	XXyac-YX65C7-A.2
HAS2	2.34619061549115e-48	0.325303996521218	0.984	0.899	5.72587819710614e-44	Fibro-ITM2A	HAS2
COL1A2	1.16805357096696e-47	0.375869600382062	0.989	0.977	2.85063473994487e-43	Fibro-ITM2A	COL1A2
COL5A2	7.64688373769583e-47	0.379332783141014	1	0.96	1.86622197618467e-42	Fibro-ITM2A	COL5A2
FBN1	9.02399486318108e-47	0.426248144747163	1	0.986	2.20230594635934e-42	Fibro-ITM2A	FBN1
GDF6	6.56219703227583e-46	0.388958144443883	0.978	0.884	1.60150418572692e-41	Fibro-ITM2A	GDF6
PAPPA	1.27791678938216e-45	0.407860311796359	0.984	0.882	3.11875592448715e-41	Fibro-ITM2A	PAPPA
RP11-417E7.2	4.98804520454061e-45	0.0961410659223481	0.984	0.857	1.21733243216814e-40	Fibro-ITM2A	RP11-417E7.2
TBX18	1.9336488349927e-44	0.252201942531825	0.995	0.87	4.71906998179968e-40	Fibro-ITM2A	TBX18
FREM1	2.36293608484897e-44	0.412568567205534	0.984	0.879	5.76674551507391e-40	Fibro-ITM2A	FREM1
ADAMTS19	2.56466356690421e-44	0.373226815361883	0.962	0.71	6.25906143502972e-40	Fibro-ITM2A	ADAMTS19
PRKG1	7.65191859006122e-44	0.452122701768758	0.995	0.992	1.86745073190444e-39	Fibro-ITM2A	PRKG1
RP3-495K2.3	7.92305857567767e-44	0.0500469422113305	0.989	0.85	1.93362244539414e-39	Fibro-ITM2A	RP3-495K2.3
FBLN1	1.41598975448008e-43	0.445039700662678	1	0.977	3.45572299580865e-39	Fibro-ITM2A	FBLN1
PDLIM3	1.50721095033977e-43	0.357214516316295	0.995	0.897	3.67834832430422e-39	Fibro-ITM2A	PDLIM3
RP11-46E17.6	2.25231561878741e-42	0.0901281752643809	1	0.955	5.49677626765067e-38	Fibro-ITM2A	RP11-46E17.6
LPAR1	2.87322134965082e-42	0.421333548559009	0.973	0.858	7.01209670382284e-38	Fibro-ITM2A	LPAR1
LINC01500	5.49905211978891e-42	0.324635451951448	0.995	0.887	1.34204366983448e-37	Fibro-ITM2A	LINC01500
BICC1	6.75174098055306e-42	0.470648215961393	1	0.944	1.64776238630398e-37	Fibro-ITM2A	BICC1
CLCN3P1	1.01551231376046e-41	0.360891999415206	0.989	0.904	2.4783578017324e-37	Fibro-ITM2A	CLCN3P1
DCN	1.46138999150539e-41	0.35486422567742	0.984	0.934	3.5665222742689e-37	Fibro-ITM2A	DCN
LINC00536	1.55116519392396e-41	0.22600147785967	0.934	0.647	3.78561865577142e-37	Fibro-ITM2A	LINC00536
GLI2	1.78891488230069e-41	0.4459081629043	1	0.997	4.36584677025485e-37	Fibro-ITM2A	GLI2
ZIM2	2.75707656493502e-41	0.28073219996686	1	0.986	6.72864535672391e-37	Fibro-ITM2A	ZIM2
RP3-495K2.2	1.61154681791621e-40	0.0545280021771355	0.956	0.787	3.93298000912451e-36	Fibro-ITM2A	RP3-495K2.2
TARID	1.85479542951358e-40	0.500318702954835	0.995	0.962	4.52662824572789e-36	Fibro-ITM2A	TARID
VCAN	2.21418652011162e-40	0.304011609146345	1	0.972	5.4037222023324e-36	Fibro-ITM2A	VCAN
KIAA0408	3.99362732664701e-40	0.191555501892094	0.995	0.786	9.74644749068203e-36	Fibro-ITM2A	KIAA0408
SVEP1	5.25934490111558e-40	0.349681526564493	0.978	0.764	1.28354312311726e-35	Fibro-ITM2A	SVEP1
SMOC2	5.35137393486808e-40	0.463982816182678	0.989	0.924	1.30600280880456e-35	Fibro-ITM2A	SMOC2
C11orf44	1.26207915808658e-39	0.212270076779522	1	0.958	3.08010418531031e-35	Fibro-ITM2A	C11orf44
ANK2	1.42116868998476e-39	0.388578508773258	0.995	0.958	3.46836218790781e-35	Fibro-ITM2A	ANK2
GPC6	1.81041754114556e-39	0.368331906536311	1	0.991	4.41832400916575e-35	Fibro-ITM2A	GPC6
COL5A1	2.0120239565666e-39	0.360992196557193	1	0.998	4.91034446600078e-35	Fibro-ITM2A	COL5A1
TWIST2	2.44073651066301e-39	0.336975908191443	0.995	0.93	5.95661745427307e-35	Fibro-ITM2A	TWIST2
RP11-90C4.1	3.03821569374224e-39	0.365711188656807	1	0.958	7.41476540057794e-35	Fibro-ITM2A	RP11-90C4.1
NEGR1	7.03354342169084e-39	0.279681726346068	0.984	0.784	1.71653627206365e-34	Fibro-ITM2A	NEGR1
ADAMTS15	1.42973571164218e-38	0.273165600868654	1	0.96	3.48927000426273e-34	Fibro-ITM2A	ADAMTS15
NCAM1	1.92143270045542e-38	0.380722082828999	0.995	0.906	4.68925650546144e-34	Fibro-ITM2A	NCAM1
CTA-268H5.9	3.95859982821061e-38	0.0535583701463123	0.967	0.762	9.66096288074798e-34	Fibro-ITM2A	CTA-268H5.9
RBPJ	4.23154674335389e-38	0.328865858350197	0.995	0.993	1.03270898271552e-33	Fibro-ITM2A	RBPJ
C9orf92	1.07634899697911e-37	0.364145456466616	0.978	0.883	2.62682972712752e-33	Fibro-ITM2A	C9orf92
RALGPS1	1.46891660463295e-37	0.25920458876887	1	0.999	3.58489097360672e-33	Fibro-ITM2A	RALGPS1
TENM4	2.14262311317458e-37	0.377218373176262	0.995	0.985	5.22907170770257e-33	Fibro-ITM2A	TENM4
DCLK1	2.54333570273856e-37	0.368264078982348	0.995	0.932	6.20701078253346e-33	Fibro-ITM2A	DCLK1
CENPP	4.01580093171855e-37	0.352706450073673	0.995	0.937	9.80056217385912e-33	Fibro-ITM2A	CENPP
