orig.ident	nCount_ATAC	nFeature_ATAC	nCount_ACTIVITY	nFeature_ACTIVITY	tech	predicted.id	prediction.score.max	tSNE_1	tSNE_2	EPCAM	VIM	PTPRC	HBG1
ZXF_1_1-3	ZXF	71656	28040	30153.9600009301	13312	atac	Fibro-ITM2A	0.615746996180546	0.162716691149223	15.299824901537	0.743147755128727	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_1_1-5	ZXF	66115	27072	29304.4872676775	13030	atac	Fibro-ITM2A	0.39119452022388	-0.581640142441939	14.7756349802585	0.779818954207089	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_1_1-6	ZXF	62063	25225	27300.9187342889	12733	atac	Endo	0.35074899483335	3.21517745990421	-23.7046870318238	-0.71694823188969	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_1_1-7	ZXF	48778	20619	21979.6696713507	11329	atac	Glial	0.341623559454579	5.38705458153597	2.65862595477912	-0.71694823188969	2.6308527062121	-0.101067374115654	-0.211192920310229
ZXF_1_1-8	ZXF	130249	40680	43596.8401337746	15490	atac	Fibro-ITM2A	0.491048328987252	0.354821225330482	21.5500613434109	0.335819584237349	1.13921426838352	-0.101067374115654	-0.211192920310229
ZXF_1_2-1	ZXF	102156	36986	39372.3964829876	14870	atac	Fibro-ITM2A	0.410870021092816	0.49936493702693	18.1984952605264	-0.71694823188969	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_1_2-2	ZXF	32235	15516	16557.5180558129	9688	atac	Fibro-ITM2A	0.278986151261689	-9.65907741496014	6.46090517570045	-0.71694823188969	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_1_2-3	ZXF	94145	35272	37357.2609599459	14563	atac	Fibro-ADAMTS19	0.578763679238383	0.497867640680901	23.6223087785058	0.492264502844663	0.835748103857699	-0.101067374115654	-0.211192920310229
ZXF_1_2-4	ZXF	85862	34066	35994.863539251	14476	atac	Fibro-ADAMTS19	0.488673123462915	-3.26425094220497	19.6717195448931	-0.71694823188969	0.964095175071187	-0.101067374115654	-0.211192920310229
ZXF_1_2-5	ZXF	57364	21507	23257.237317812	11531	atac	Fibro-ITM2A	0.464455107806972	11.3522594242978	6.51136779413304	1.10638760594721	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_1_2-6	ZXF	42528	18569	19575.5392404944	10761	atac	Fibro-ITM2A	0.362583430614071	12.1913361758525	-1.14393179796152	-0.71694823188969	0.519351240641806	-0.101067374115654	-0.211192920310229
ZXF_1_2-8	ZXF	115362	39991	42468.9699626957	15273	atac	Fibro-ITM2A	0.41592652712019	10.8814201133782	5.69725361587592	1.25035667476099	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_1_3-1	ZXF	72317	28076	29889.6138730201	13249	atac	Fibro-ITM2A	0.322796894509218	0.0839397896203112	22.0024528543445	0.754364001291638	-0.43671573553928	-0.101067374115654	-0.211192920310229
ZXF_1_3-2	ZXF	88086	31888	34931.5777761879	13864	atac	Endo	0.947661059315749	11.3818245554352	-19.195287245919	-0.71694823188969	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_1_3-3	ZXF	65178	25252	27175.2322631859	12604	atac	Fibro-ITM2A	0.489809371701075	-1.03906655577674	21.7781811022225	-0.71694823188969	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_1_3-4	ZXF	82586	32281	34933.6626162889	13916	atac	Fibro-ITM2A	0.500239682877653	-1.6019262306971	20.7067754829225	2.44338904289736	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_1_3-5	ZXF	62900	24293	25438.6468667723	12191	atac	Glial	0.730928810359324	12.7548895018107	3.78764187951874	2.24037682644022	3.30259500965932	-0.101067374115654	-0.211192920310229
ZXF_1_3-6	ZXF	38157	18171	19328.8283644502	10450	atac	Endo	0.221658341897511	0.0787091918706151	8.14890524808538	-0.71694823188969	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_1_3-7	ZXF	49850	20826	22638.8694214384	11632	atac	Endo	0.490986737475963	14.0463005760049	-16.7297064813549	-0.71694823188969	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_1_3-8	ZXF	47730	19412	21049.7981168668	11174	atac	Glial	0.300133072676209	15.1545840824127	-3.87482115788242	1.26465698865296	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_1_4-1	ZXF	83626	31677	34059.681729217	13930	atac	Fibro-ITM2A	0.703289585289871	2.86483421720676	23.2383150453191	-0.71694823188969	0.178310714842592	-0.101067374115654	-0.211192920310229
ZXF_1_4-2	ZXF	67813	26953	29651.0832510757	13130	atac	Endo	0.669523533918164	5.68160745971831	-23.4810439298752	-0.71694823188969	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_1_4-3	ZXF	50998	20918	22061.2275159056	11394	atac	Fibro-ADAMTS19	0.443043658065381	6.6646875988583	4.40416780221085	3.66020138087803	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_1_4-4	ZXF	76451	30728	32073.4524852773	13462	atac	Glial	0.769523319018067	-15.4879618369721	4.09947995035652	3.41069580411116	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_1_4-5	ZXF	38002	16607	17747.7186233062	10103	atac	SM-ACTG2	0.233618459758807	12.1706204930354	-1.5291792957081	1.56133754085345	0.905291865469207	-0.101067374115654	-0.211192920310229
ZXF_1_4-6	ZXF	89958	33711	35864.2854692944	14176	atac	Fibro-ADAMTS19	0.322677613089858	1.67785505996597	18.8333031716683	-0.71694823188969	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_1_4-7	ZXF	63160	23890	26024.7237098259	12398	atac	Endo	0.888578667855876	12.3300502101218	-18.7388400732126	0.940714525739699	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_1_4-8	ZXF	53598	23234	24711.1924963415	11913	atac	SM-ACTG2	0.442326728479572	9.78592153060482	0.715076943481895	1.01538735494925	0.494384332451296	-0.101067374115654	-0.211192920310229
ZXF_1_5-1	ZXF	52159	22677	24340.1871570863	12151	atac	Glial	0.275372482391513	-6.0774839834918	20.0179120856339	1.03772492930065	-0.809452099380289	10	-0.211192920310229
ZXF_1_5-2	ZXF	53050	22431	24123.6097395533	11980	atac	SM-ACTG2	0.26749516562201	-4.97324426206312	10.3754534028188	1.05103567036004	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_1_5-3	ZXF	35492	16463	17317.9103315669	9554	atac	Fibro-ADAMTS19	0.451130925021217	5.71314056576651	3.93272183117796	-0.71694823188969	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_1_5-4	ZXF	71967	29493	31062.9317879371	13472	atac	Fibro-ITM2A	0.408580143352545	-5.57404081937107	16.796953331846	-0.71694823188969	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_1_5-5	ZXF	50714	22202	24026.4455400338	11811	atac	Endo	0.337432701992809	0.632634626775393	-5.83969418926219	4.27982567249888	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_1_5-7	ZXF	50463	21169	22073.8025169149	11322	atac	DC/Macro	0.894588231834641	-22.8039596419017	-14.7814883691592	1.18791524443673	0.624236856136536	-0.101067374115654	-0.211192920310229
ZXF_1_5-8	ZXF	50228	21241	22719.3614724466	11626	atac	SM-NOTCH3	0.358220588607212	18.5716044778256	-2.57739299223475	-0.71694823188969	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_1_6-1	ZXF	70364	27500	29813.2334445833	13184	atac	Endo	0.708813628240247	14.4935715828219	-15.6755260914944	0.757637218696189	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_1_6-2	ZXF	91387	33915	36738.0471122453	14192	atac	Fibro-ADAMTS19	0.604177492378509	-1.90218993292916	21.0399563729106	-0.71694823188969	2.48683966041762	-0.101067374115654	-0.211192920310229
ZXF_1_6-3	ZXF	69203	28113	29468.7982979614	13315	atac	T	0.586605282934415	-22.8619668752438	-10.3642795894669	-0.71694823188969	0.311637519197826	-0.101067374115654	-0.211192920310229
ZXF_1_6-4	ZXF	90717	35621	38308.0725406412	14453	atac	Endo	0.8300092331814	14.7423063545745	-19.4394233388848	0.465475332747198	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_1_6-5	ZXF	70618	27169	29715.5217463881	13165	atac	Endo	0.809611502700819	8.27483557322062	-22.0680511644002	2.84107086712247	0.303557310960357	-0.101067374115654	-0.211192920310229
ZXF_1_6-6	ZXF	58503	25234	27021.9205602357	12493	atac	Fibro-ADAMTS19	0.226289541794704	-5.52637851170645	18.5508541276357	-0.71694823188969	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_1_6-7	ZXF	40498	18121	19292.8488926086	10484	atac	Glial	0.32493949108942	-12.0253311511951	5.81755787960543	-0.71694823188969	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_1_6-8	ZXF	77699	30348	32026.388765315	13821	atac	Endo	0.543921175308296	14.6360697131251	-6.13253270747797	0.668373667286273	-0.460488173937907	-0.101067374115654	-0.211192920310229
ZXF_1_7-1	ZXF	45694	20481	21732.4931640566	11167	atac	Fibro-ITM2A	0.233929096389154	0.686481263412207	4.31381587649254	-0.71694823188969	0.406229676753003	-0.101067374115654	-0.211192920310229
ZXF_1_7-2	ZXF	76411	28278	30715.9863872453	13439	atac	Endo	0.89018626238322	12.1948713201222	-17.6170507864687	-0.71694823188969	0.0887165044481634	-0.101067374115654	-0.211192920310229
ZXF_1_7-3	ZXF	43062	19310	20412.2503781805	10956	atac	Fibro-ADAMTS19	0.309922648551965	5.24681231081323	2.71282633308716	-0.71694823188969	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_1_7-6	ZXF	64887	24303	25857.8227675953	12487	atac	Glial	0.4678669626491	14.6842669239174	-6.07041827193444	0.949840484569688	0.236294131404777	-0.101067374115654	-0.211192920310229
ZXF_1_7-7	ZXF	39183	16377	17743.4932699745	10046	atac	Fibro-ITM2A	0.262002945622896	15.0424648436487	-4.11210153921322	-0.71694823188969	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_1_7-8	ZXF	53940	22473	24009.9021274848	11919	atac	Endo	0.393878542403448	14.7779836976019	-4.7984695470384	-0.71694823188969	0.306105137719304	-0.101067374115654	-0.211192920310229
ZXF_1_8-1	ZXF	80067	29877	32501.7648697377	13722	atac	Fibro-ITM2A	0.444796299781823	3.86545625986086	21.3866352788421	-0.71694823188969	2.2076631848313	-0.101067374115654	-0.211192920310229
ZXF_1_8-2	ZXF	92194	32554	34756.5945185879	14172	atac	Endo	0.699704705482027	12.4482245503939	-15.938693045217	-0.71694823188969	0.934575259093894	-0.101067374115654	-0.211192920310229
ZXF_1_8-3	ZXF	40563	18904	19593.0386949553	10781	atac	Fibro-ITM2A	0.242157793972319	-3.38022132779887	9.305632159853	1.3852937776814	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_1_8-5	ZXF	74181	28644	30886.7669362761	13431	atac	Endo	0.721182323377291	11.5764381928598	-14.1611162504225	-0.71694823188969	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_1_8-6	ZXF	48674	20086	21576.4397282363	11271	atac	DC/Macro	0.452929173806593	14.8672723661671	-5.06748345470475	2.62700130858954	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_1_8-8	ZXF	77052	29500	31754.1912587409	13657	atac	Fibro-ITM2A	0.538260491488651	-5.2109576194922	16.3835854109702	-0.71694823188969	0.241023941872277	-0.101067374115654	-0.211192920310229
ZXF_1_9-2	ZXF	50004	21894	22937.186476133	11628	atac	DC/Macro	0.972852538680293	-23.7954367512685	-13.5002108706554	1.1277320226377	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_1_9-4	ZXF	65340	27440	29457.5687860355	13194	atac	Fibro-ADAMTS19	0.288104791681299	-2.53197881819119	1.89923392692712	0.773074107399575	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_1_9-7	ZXF	83590	31216	32201.1537737426	13446	atac	DC/Macro	0.978851199086191	-22.4186124192576	-13.9805086765783	0.661785833183503	1.04421314011514	-0.101067374115654	-0.211192920310229
ZXF_1_10-2	ZXF	30425	14085	15111.1397178992	9161	atac	Fibro-ITM2A	0.545955137694298	10.2034531901158	-2.35729386015279	-0.71694823188969	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_1_10-3	ZXF	69764	27472	28829.4644791009	13360	atac	T	0.368149639100493	-23.1564929070007	-10.1369502751918	-0.71694823188969	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_1_10-4	ZXF	105192	39882	42488.9923853009	15160	atac	Fibro-ITM2A	0.400867181774467	-0.386381822024633	16.1836112959584	1.24958747399381	0.740655650898047	-0.101067374115654	-0.211192920310229
ZXF_1_10-5	ZXF	80545	31444	33518.46438778	13732	atac	Fibro-ADAMTS19	0.628658453623119	-3.67752486986904	17.9815930230069	0.614086644359332	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_1_10-6	ZXF	65144	26145	28115.4155750089	12821	atac	SM-ACTG2	0.319011766236517	-2.74897859159744	21.5848143462063	-0.71694823188969	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_1_10-7	ZXF	32677	15787	16599.3267816786	9754	atac	Fibro-ADAMTS19	0.393665428612881	-18.4387125740188	11.9946029541269	-0.71694823188969	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_1_10-8	ZXF	58363	22183	24021.1542567803	12016	atac	Endo	0.487944230853509	13.386901460881	-7.75020738954994	-0.71694823188969	0.305651661807521	-0.101067374115654	-0.211192920310229
ZXF_1_11-1	ZXF	76041	29121	31247.1100575839	13498	atac	Fibro-ADAMTS19	0.397776827695576	0.992190056512838	23.161010374569	0.698536808421173	2.71028956478615	-0.101067374115654	-0.211192920310229
ZXF_1_11-2	ZXF	80205	30981	33571.5944949498	13864	atac	Fibro-ITM2A	0.452533219268421	-0.577326924810779	18.8738364154921	-0.71694823188969	2.54736666212542	-0.101067374115654	-0.211192920310229
ZXF_1_11-3	ZXF	62232	25261	26537.3739959736	12377	atac	Glial	0.521295540020496	13.4743538037502	-1.64124160574383	0.913303155020135	0.417551009858858	-0.101067374115654	-0.211192920310229
ZXF_1_11-4	ZXF	122158	42691	44857.5710849223	15566	atac	Fibro-ITM2A	0.34748845470834	-2.89026350577897	18.6372959966943	1.1626963395531	0.605255933959576	-0.101067374115654	-0.211192920310229
ZXF_1_11-5	ZXF	91592	34269	36855.4872157275	14367	atac	Endo	0.935020862434999	11.054099466195	-13.5003578364019	0.506899639376121	0.111672799108709	-0.101067374115654	-0.211192920310229
ZXF_1_11-6	ZXF	78899	31868	34018.8910235882	14022	atac	CACNA1A	0.37686816648714	-6.27963483539916	17.7258903662792	-0.71694823188969	2.51783664116223	-0.101067374115654	-0.211192920310229
ZXF_1_11-8	ZXF	97032	35536	37762.8135153626	14735	atac	Endo	0.813961268887011	13.709891003496	-13.3102681887931	0.480690322940991	0.091946447077876	-0.101067374115654	-0.211192920310229
ZXF_1_12-1	ZXF	133236	44572	47379.489294873	15735	atac	Fibro-HTR2A	0.40866512298015	0.394942357942503	18.2900619741606	1.07832404157012	0.54175341355688	-0.101067374115654	-0.211192920310229
ZXF_1_12-2	ZXF	72855	28056	30156.8760912312	13421	atac	Endo	0.777234283267817	12.4505491268301	-15.46350077824	0.743024985040666	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_1_12-3	ZXF	81501	31391	33502.3153119539	13755	atac	Fibro-ADAMTS19	0.616655488351914	0.108253508143975	23.6540570580817	0.614651290471161	0.192771709363204	-0.101067374115654	-0.211192920310229
ZXF_1_12-4	ZXF	67842	30278	30998.1365405577	13269	atac	Fibro-ITM2A	0.512619006858132	-6.7811883079123	18.8522514599059	1.82115969141352	0.263372236270318	-0.101067374115654	-0.211192920310229
ZXF_1_12-5	ZXF	71418	27695	29814.9491943508	13208	atac	Endo	0.685670712256229	11.4094383025398	-19.4618955953651	0.757563530713611	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_1_12-6	ZXF	91119	34668	37102.2444171909	14532	atac	Endo	0.855781947781078	11.8169794991489	-18.0071514155207	1.48114226272777	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_1_12-7	ZXF	94055	35564	38185.0473117658	14491	atac	Fibro-ITM2A	0.388098170426476	1.33016069476163	20.1298517453749	2.23878542080932	0.806633872678378	-0.101067374115654	-0.211192920310229
ZXF_1_12-8	ZXF	62850	25903	27761.2915580183	12734	atac	Fibro-ITM2A	0.354269260956038	-2.32569946963771	14.6730942533229	2.04909626428169	0.173013591934309	-0.101067374115654	-0.211192920310229
ZXF_2_1-1	ZXF	82131	31734	34229.3746687118	14075	atac	Fibro-ADAMTS19	0.372373178762434	-5.35890741939575	18.7880859259126	-0.71694823188969	0.956101081989555	-0.101067374115654	-0.211192920310229
ZXF_2_1-2	ZXF	63998	27220	28793.1290137185	12889	atac	SM-NOTCH3	0.380291684538467	9.04011880079892	0.517923463131843	-0.71694823188969	1.85391037157026	-0.101067374115654	-0.211192920310229
ZXF_2_1-3	ZXF	70331	28059	30075.5270915996	13384	atac	Fibro-ADAMTS19	0.607585946790763	-5.13883915609628	20.0377306133321	-0.71694823188969	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_2_1-5	ZXF	70017	29660	31703.0395450291	13465	atac	Fibro-ADAMTS19	0.425120156347846	-7.22999098729609	18.4989869984879	2.67792509386193	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_2_1-6	ZXF	97940	36519	38095.3696398228	14888	atac	DC/Macro	0.647982579823334	-22.7217957825899	-11.4182331402336	-0.71694823188969	1.35376116465102	-0.101067374115654	-0.211192920310229
ZXF_2_1-7	ZXF	109775	39057	41949.9862582537	15059	atac	Endo	0.957082307189088	12.2775920560092	-15.382511643148	0.373024427225585	0.566956905475384	-0.101067374115654	-0.211192920310229
ZXF_2_1-8	ZXF	126168	43655	46503.0501564813	15711	atac	Fibro-ADAMTS19	0.529399338615231	0.95068751400401	18.0660649991351	0.276026377625643	-0.0620931686939541	-0.101067374115654	-0.211192920310229
ZXF_2_2-1	ZXF	109064	40636	42989.7955631036	15282	atac	Fibro-ITM2A	0.605314825834631	1.76717935385518	19.113996253645	-0.71694823188969	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_2_2-2	ZXF	84114	32828	35051.3030508301	14084	atac	Fibro-ADAMTS19	0.546898709377503	1.82002255671237	24.6210480610926	0.562598041995143	-0.011629974705722	-0.101067374115654	-0.211192920310229
ZXF_2_2-3	ZXF	65276	27871	29338.7941777161	13222	atac	Fibro-ADAMTS19	0.666376383737531	8.98394130789269	3.14184192195513	0.778302033352215	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_2_2-4	ZXF	79970	33443	35244.0406706931	13839	atac	Fibro-ITM2A	0.444664597228692	-5.58653791522307	8.22703753546641	0.556405937640918	0.14893354452845	-0.101067374115654	-0.211192920310229
ZXF_2_2-5	ZXF	145979	48456	51528.5543691395	16110	atac	Fibro-ADAMTS19	0.35952000366175	1.0789615272309	21.1323638114493	1.62210876336708	-0.249176094077032	-0.101067374115654	2.71750923027658
ZXF_2_2-6	ZXF	102640	40048	41749.76795541	14908	atac	Fibro-ITM2A	0.415325273060323	0.0939255624268808	25.3177545771088	0.377728402141617	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_2_2-7	ZXF	102014	37875	40984.4307995799	14981	atac	Endo	0.855986200827766	7.70750283627788	-21.2204395081961	1.30913718810819	-0.117353420526483	-0.101067374115654	-0.211192920310229
ZXF_2_2-8	ZXF	134828	48453	51149.4357790758	16253	atac	Fibro-ADAMTS19	0.475826706811925	4.2981953086608	14.46769865313	0.193400081755121	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_2_3-1	ZXF	69096	29679	30717.0050469764	12778	atac	Glial	0.39245352132546	9.93202594859005	1.15225729540525	0.719822298716098	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_2_3-2	ZXF	83668	32717	34921.4675612334	14149	atac	Fibro-ITM2A	0.485298006346631	-1.4007624126553	16.6381211600828	-0.71694823188969	0.15675925044235	-0.101067374115654	-0.211192920310229
ZXF_2_3-4	ZXF	86696	33636	36012.4697950473	14064	atac	Fibro-ADAMTS19	0.52431590608513	-1.9740841078428	20.0479920832514	-0.71694823188969	0.753060913045724	-0.101067374115654	-0.211192920310229
ZXF_2_3-5	ZXF	72748	29459	31547.5757857788	13423	atac	Fibro-ADAMTS19	0.464980554280006	-5.98995050952602	16.0435233537391	0.686751568796978	0.067549506835985	-0.101067374115654	-0.211192920310229
ZXF_2_3-6	ZXF	102469	36758	39400.3515253174	14787	atac	Endo	0.916683473928964	11.513753425694	-17.505090003262	-0.71694823188969	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_2_3-7	ZXF	111779	40347	43611.8753132147	15274	atac	Endo	0.920077414436421	11.5654691875902	-18.2235746733422	1.20740297636681	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_2_3-8	ZXF	74812	28429	30687.0084018855	13403	atac	DC/Macro	0.311249648675901	17.093322753328	18.9769826838869	0.721046044712606	0.0894726228404139	-0.101067374115654	-0.211192920310229
ZXF_2_4-1	ZXF	91971	34471	36463.2393062338	14374	atac	Fibro-ITM2A	0.584179421939095	2.58789601403832	23.5130304612674	-0.71694823188969	2.41827217036309	-0.101067374115654	-0.211192920310229
ZXF_2_4-2	ZXF	93047	34549	36927.4613983177	14468	atac	Fibro-ITM2A	0.45366809380125	0.276980323309642	18.0352899929133	-0.71694823188969	-0.809452099380289	-0.101067374115654	-0.211192920310229
ZXF_2_4-5	ZXF	65014	25743	27808.3555641674	12723	atac	Endo	0.253284258711673	14.3707018023883	-4.07647230756479	-0.71694823188969	-0.809452099380289	-0.101067374115654	-0.211192920310229
