RNA_cell	ATAC_cell	score
ZDM_D-A3_17	ZXF_1_1-3	0.2
ZDM_D-A3_89	ZXF_1_1-3	0.3
ZDM_D-A5_35	ZXF_1_1-3	0.2
BM_D-C1_27	ZXF_1_2-3	0.3
BM_D-C1_49	ZXF_1_2-3	0.425
BM_D-C4_45	ZXF_1_2-3	0.275
BM_D-C5_44	ZXF_1_2-3	0.325
ZDM_D-A4_23	ZXF_1_2-4	0.25
FDM_D-A1_48	ZXF_1_3-2	0.65
FDM_D-A1_80	ZXF_1_3-2	0.65
FDM_D-C2_35	ZXF_1_3-2	0.575
FDM_D-C4_12	ZXF_1_3-2	0.575
ZDM_D-A4_41	ZXF_1_3-2	0.625
ZDM_D-A3_87	ZXF_1_4-1	0.35
ZDM_D-A5_81	ZXF_1_4-1	0.35
FDM_D-A1_07	ZXF_1_5-7	0.975
BM_D-C5_16	ZXF_1_5-7	1
ZDM_D-A4_95	ZXF_1_5-7	1
BM_D-C1_02	ZXF_1_6-2	0.375
BM_D-C2_94	ZXF_1_6-2	0.3
FDM_D-C3_03	ZXF_1_6-3	0.825
FDM_D-C3_84	ZXF_1_6-3	0.8
BM_D-C1_18	ZXF_1_7-1	0.175
BM_D-C4_61	ZXF_1_8-3	0
ZDM_D-C1_55	ZXF_1_9-2	1
FDM_D-A1_07	ZXF_1_9-7	1
ZDM_D-C1_59	ZXF_1_9-7	1
FDM_D-C4_27	ZXF_1_9-7	1
ZDM_D-A2_32	ZXF_1_9-7	1
ZDM_D-A4_80	ZXF_1_9-7	1
ZDM_D-A3_91	ZXF_1_11-2	0.3
BM_D-C1_07	ZXF_1_11-3	0.275
BM_D-C4_70	ZXF_1_11-6	0.3
ZDM_D-A4_94	ZXF_1_11-6	0.25
BM_D-C4_01	ZXF_1_12-1	0.2
BM_D-C5_19	ZXF_1_12-1	0.325
ZDM_D-A2_44	ZXF_1_12-1	0.175
BM_D-C3_04	ZXF_1_12-7	0.15
ZDM_D-A2_08	ZXF_1_12-7	0.125
BM_D-C3_17	ZXF_2_1-3	0.475
BM_D-C5_11	ZXF_2_1-3	0.15
BM_D-C2_18	ZXF_2_1-8	0.225
BM_D-C3_88	ZXF_2_1-8	0.25
BM_D-C4_25	ZXF_2_1-8	0.175
FDM_D-A1_54	ZXF_2_2-1	0.325
ZDM_D-C1_36	ZXF_2_2-1	0.375
ZDM_D-A2_49	ZXF_2_2-1	0.425
BM_D-C4_12	ZXF_2_2-3	0.425
BM_D-C4_49	ZXF_2_2-3	0.375
BM_D-C1_51	ZXF_2_2-5	0.325
BM_D-C1_56	ZXF_2_2-8	0.35
BM_D-C3_16	ZXF_2_2-8	0.225
ZDM_D-A2_15	ZXF_2_3-1	0.275
ZDM_D-C1_29	ZXF_2_3-4	0
BM_D-C4_41	ZXF_2_3-4	0.3
ZDM_D-A5_91	ZXF_2_3-4	0.1
BM_D-C2_94	ZXF_2_3-5	0.325
ZDM_D-A3_42	ZXF_2_4-6	0.225
ZDM_D-A5_72	ZXF_2_4-6	0.075
FDM_D-C5_11	ZXF_2_5-1	0.2
BM_D-C5_81	ZXF_2_5-4	0.45
ZDM_D-A4_69	ZXF_2_5-4	0.375
FDM_D-C3_17	ZXF_2_5-7	0.175
FDM_D-C4_89	ZXF_2_5-7	0.3
ZDM_D-A2_68	ZXF_2_5-7	0
ZDM_D-A5_31	ZXF_2_5-7	0.25
FDM_D-C5_12	ZXF_2_6-3	0.475
FDM_D-C5_57	ZXF_2_6-3	0.375
FDM_D-A1_53	ZXF_2_6-4	0.275
FDM_D-C2_64	ZXF_2_6-4	0.275
FDM_D-C5_11	ZXF_2_6-4	0.275
FDM_D-C5_75	ZXF_2_6-4	0.3
ZDM_D-A2_68	ZXF_2_6-4	0.25
BM_D-C3_26	ZXF_2_6-5	0.175
FDM_D-C2_21	ZXF_2_7-1	1
FDM_D-C2_44	ZXF_2_7-1	0.975
FDM_D-C2_74	ZXF_2_7-1	1
FDM_D-C3_12	ZXF_2_7-1	1
FDM_D-C4_51	ZXF_2_7-1	1
BM_D-C2_19	ZXF_2_7-2	0.425
BM_D-C2_47	ZXF_2_7-2	0.5
BM_D-C3_48	ZXF_2_7-2	0.475
BM_D-C5_03	ZXF_2_7-2	0.425
BM_D-C5_07	ZXF_2_7-2	0.375
BM_D-C3_75	ZXF_2_7-3	0.6
ZDM_D-A2_69	ZXF_2_7-4	0.075
BM_D-C3_32	ZXF_2_8-3	0.2
BM_D-C1_43	ZXF_2_9-2	0.2
FDM_D-A1_54	ZXF_2_9-8	0.4
ZDM_D-A5_92	ZXF_2_9-8	0.225
BM_D-C4_85	ZXF_2_10-2	0.325
FDM_D-C4_36	ZXF_2_10-4	0.275
ZDM_D-A3_79	ZXF_2_10-8	0.15
BM_D-C3_51	ZXF_2_11-5	0.35
BM_D-C3_76	ZXF_2_11-5	0.325
ZDM_D-A3_37	ZXF_2_11-8	0.25
ZDM_D-A4_46	ZXF_2_11-8	0.25
ZDM_D-A5_02	ZXF_2_11-8	0.35
ZDM_D-A5_78	ZXF_2_12-3	0.125
FDM_D-C3_08	ZXF_2_12-4	0.4
FDM_D-C5_58	ZXF_2_12-4	0.65
ZDM_D-A2_56	ZXF_2_12-4	0.45
FDM_D-C2_43	ZXF_2_12-8	0.45
FDM_D-C2_93	ZXF_2_12-8	0.4
