p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
RP11-533K9.3	3.38310537797418e-16	0.0740388381142582	0.2	0.004	8.25207063795462e-12	Erythrocyte	RP11-533K9.3
BGLT3	9.06954592800683e-15	0.0799848429207666	0.133	0.001	2.21224364275942e-10	Erythrocyte	BGLT3
RP11-673E1.4	2.63740745339425e-13	0.187842869441188	0.333	0.022	6.43316426031926e-09	Erythrocyte	RP11-673E1.4
HBG1	2.45431607431807e-12	0.110889990622785	0.2	0.007	5.98656776847663e-08	Erythrocyte	HBG1
RP11-48B3.2	2.85617131237326e-11	0.0842826229967796	0.133	0.003	6.96677306514084e-07	Erythrocyte	RP11-48B3.2
RP11-342M1.6	2.85617131237326e-11	0.0557566331100658	0.133	0.003	6.96677306514084e-07	Erythrocyte	RP11-342M1.6
LRRIQ4	3.26549799767281e-11	0.0604601272276225	0.133	0.003	7.96520271592353e-07	Erythrocyte	LRRIQ4
RNU6-1219P	7.45296774169224e-10	0.0765397712775098	0.2	0.01	1.81792789155357e-05	Erythrocyte	RNU6-1219P
MIR4703	5.28327927281091e-09	0.0842351609078511	0.2	0.012	0.000128869748022404	Erythrocyte	MIR4703
SERPINA12	5.47615507287428e-09	0.0755371871388723	0.2	0.012	0.000133574374537549	Erythrocyte	SERPINA12
IL12RB1	8.20493328387028e-08	0.470835582520664	0.933	0.689	0.00200134732660164	Erythrocyte	IL12RB1
RRP9	1.03759221324015e-07	0.226417915265399	1	0.987	0.00253089492653538	Erythrocyte	RRP9
TIMM23	1.77832121483873e-07	0.115666867450102	0.267	0.028	0.00433768110723463	Erythrocyte	TIMM23
EVL	2.46098471304309e-07	0.488144215381441	1	0.994	0.00600283391205471	Erythrocyte	EVL
KCTD9	2.69036064226723e-07	0.361275148179892	1	0.993	0.00656232767861824	Erythrocyte	KCTD9
WARS	9.78574515581661e-07	0.372162879553238	1	0.997	0.0238693895840679	Erythrocyte	WARS
RP11-414H23.2	9.83814439541986e-07	0.0758412458133887	0.133	0.007	0.0239972018093081	Erythrocyte	RP11-414H23.2
RP11-638I2.8	1.2662970573537e-06	0.328078886194693	0.933	0.942	0.0308875178229715	Erythrocyte	RP11-638I2.8
SLC25A47	1.70986539533961e-06	0.40417394570582	0.933	0.952	0.0417070367231237	Erythrocyte	SLC25A47
CTB-92J24.3	2.98034896548549e-42	0.16656687775675	0.683	0.057	7.2696671966122e-38	Fibro-BMP5	CTB-92J24.3
RP11-449D8.2	3.57916452675012e-25	0.0934863948256526	0.415	0.033	8.73029811364889e-21	Fibro-BMP5	RP11-449D8.2
GLP2R	1.45439234208763e-20	0.375430588254116	0.732	0.175	3.54755380082015e-16	Fibro-BMP5	GLP2R
AC144450.1	1.15196794668195e-15	0.558103316788222	0.951	0.909	2.80988021554662e-11	Fibro-BMP5	AC144450.1
DEFB108B	2.53871438538751e-15	0.0531900652929481	0.195	0.011	6.19243212883722e-11	Fibro-BMP5	DEFB108B
RP11-889D3.1	2.98381904538862e-15	0.0905823273936194	0.707	0.201	7.27813141551192e-11	Fibro-BMP5	RP11-889D3.1
RP11-515E23.1	3.37486208392706e-15	0.3766171256047	0.976	0.926	8.2319635951149e-11	Fibro-BMP5	RP11-515E23.1
CHODL-AS1	3.58461548567104e-15	0.0578488487156129	0.244	0.02	8.74359409264881e-11	Fibro-BMP5	CHODL-AS1
RN7SL556P	8.87211623734268e-15	0.0937820327630746	0.439	0.074	2.16408659261263e-10	Fibro-BMP5	RN7SL556P
SALL1	1.0023045993053e-14	0.387754222141626	0.902	0.548	2.44482137862549e-10	Fibro-BMP5	SALL1
LINC01915	2.73262961875676e-14	0.203797399392538	0.561	0.154	6.66543016607149e-10	Fibro-BMP5	LINC01915
TLR8-AS1	3.12197275976025e-14	0.0511330260286731	0.22	0.017	7.6151159556072e-10	Fibro-BMP5	TLR8-AS1
TBX3	3.14733787875257e-14	0.399317471489632	0.976	0.959	7.67698655385327e-10	Fibro-BMP5	TBX3
FLJ42102	3.23962940168747e-14	0.184141461319082	0.732	0.251	7.90210403659607e-10	Fibro-BMP5	FLJ42102
AP000867.14	3.28253696092947e-14	0.0849149759234299	0.732	0.195	8.00676415509916e-10	Fibro-BMP5	AP000867.14
TBXAS1	2.17974053487119e-13	0.385275992641507	0.951	0.835	5.3168231126578e-09	Fibro-BMP5	TBXAS1
LINC01445	3.3422510334863e-13	0.0576264647335408	0.244	0.024	8.15241872087977e-09	Fibro-BMP5	LINC01445
FZD10	3.5309049196069e-13	0.0722238821465821	0.317	0.045	8.61258327990515e-09	Fibro-BMP5	FZD10
LINC01081	1.07605401812026e-12	0.341632150129184	0.976	0.974	2.62471096099895e-08	Fibro-BMP5	LINC01081
RP11-265O12.1	1.23757724403793e-12	0.0943373006041549	0.415	0.082	3.01869841365731e-08	Fibro-BMP5	RP11-265O12.1
AC022816.2	1.49072550739439e-12	0.226336935294903	0.78	0.369	3.6361776576364e-08	Fibro-BMP5	AC022816.2
