orig.ident	nCount_ATAC	nFeature_ATAC	nCount_ACTIVITY	nFeature_ACTIVITY	tech	predicted.id	prediction.score.max	tSNE_1	tSNE_2	EPCAM	VIM	PTPRC	HBG1
AC_1_1-1	AC	39891	17314	19574.3914521014	9654	atac	Erythrocyte	0.536237650813297	18.3193422055843	18.3173982228246	-1.53708977628265	0.839060830597916	-0.119451526893827	-0.112244693790026
AC_1_1-2	AC	23385	11622	13806.9548894472	8749	atac	Fibro-BMP5	0.294431726665256	-8.62887925773813	10.4190293212826	-1.53708977628265	-0.664303797229196	-0.119451526893827	-0.112244693790026
AC_1_1-3	AC	90401	33038	39506.0834740539	15221	atac	SM-Vascular	0.688561426505904	-6.68623229070788	-4.39423802753778	-1.53708977628265	-0.664303797229196	-0.119451526893827	-0.112244693790026
AC_1_1-5	AC	116524	40550	48251.9521869048	16074	atac	SM-Vascular	0.683278435890596	-8.43643046864091	-1.53767795344161	-1.53708977628265	0.539344329481072	-0.119451526893827	-0.112244693790026
AC_1_1-6	AC	89554	34014	39258.3472011815	15272	atac	DC/Macro	0.969286424701858	-15.7606697586774	15.4251222956434	-1.53708977628265	0.969266307115542	-0.119451526893827	-0.112244693790026
AC_1_1-7	AC	14558	7421	8748.09744000805	6582	atac	Glial	0.480513029051159	-17.0157892986624	-6.87656488420642	1.07427301075001	-0.664303797229196	-0.119451526893827	-0.112244693790026
AC_1_1-8	AC	91452	35328	43348.3973212285	15855	atac	Fibro-DPT	0.856496443143867	6.55895191142389	18.4308741568305	-0.973509735339131	0.754610531984977	-0.119451526893827	-0.112244693790026
AC_1_2-1	AC	99332	34490	41259.5586570863	15061	atac	SM-Vascular	0.775536218473821	-4.84405046520648	-0.903137745905332	-1.53708977628265	-0.664303797229196	-0.119451526893827	-0.112244693790026
AC_1_2-2	AC	81732	32432	39712.8031416648	15232	atac	Fibro-DPT	0.769336487116535	1.06061418656355	-14.2952195821964	-0.429683475908849	-0.523084355389108	-0.119451526893827	-0.112244693790026
AC_1_2-3	AC	79248	30098	35776.601588167	14242	atac	SM-Visceral	0.749313000794455	1.54807426368504	-3.15145187030017	-1.53708977628265	-0.664303797229196	-0.119451526893827	-0.112244693790026
AC_1_2-4	AC	18740	9454	12060.365269653	8189	atac	Erythrocyte	0.614521717727856	3.24678241767739	-9.07322598782089	-1.53708977628265	-0.664303797229196	-0.119451526893827	-0.112244693790026
AC_1_2-5	AC	81226	34427	41134.1532878528	14975	atac	Endo	0.997828703049894	-18.8356283263093	-1.92341280281844	-0.779152102099446	-0.664303797229196	-0.119451526893827	-0.112244693790026
AC_1_2-6	AC	101162	37717	45308.7345206853	16074	atac	Fibro-BMP5	0.507310656084044	-9.81538026696823	0.29711552720487	-0.54438698378314	1.62100754951945	-0.119451526893827	-0.112244693790026
AC_1_2-7	AC	41317	19451	23320.1869231846	12078	atac	Glial	0.53462280505563	-9.08504136039306	-6.87466677551347	-0.568230544380584	-0.664303797229196	-0.119451526893827	-0.112244693790026
AC_1_2-8	AC	91886	36159	43832.6967779018	15507	atac	Fibro-DPT	0.887550047524013	-7.26611855261136	-14.0493424037329	-0.356300298751957	1.67772712251386	-0.119451526893827	-0.112244693790026
AC_1_3-1	AC	50201	20432	23979.6022442225	12102	atac	T	1	-17.3920027280895	13.5552469500739	-0.590730939853058	0.605444081306242	-0.119451526893827	-0.112244693790026
AC_1_3-2	AC	120150	44469	55841.1413795853	17005	atac	Epi	0.560671965065135	12.3213197277193	10.0987745807234	0.444126353647972	-0.664303797229196	-0.119451526893827	-0.112244693790026
AC_1_3-3	AC	140962	47317	54725.8080025787	17164	atac	Glial	0.634432968929367	-9.47937751885671	-7.78178526562998	0.472636599660151	1.68382471727132	-0.119451526893827	-0.112244693790026
AC_1_3-4	AC	76117	31214	38574.6130231154	15080	atac	Fibro-DPT	0.627384414312924	5.12513588114242	-11.2919569065517	0.174420873914432	0.992525459153335	-0.119451526893827	-0.112244693790026
AC_1_3-5	AC	31765	16024	19205.1690949031	10791	atac	Fibro-ADAMDEC1	0.260348355852343	-5.58034435860584	13.3607087711041	-0.399020942927655	-0.664303797229196	-0.119451526893827	-0.112244693790026
AC_1_3-6	AC	85990	33841	39447.4010801286	15340	atac	Glial	0.396272648034643	-7.16242642961616	-3.92923920928491	-1.53708977628265	-0.664303797229196	-0.119451526893827	-0.112244693790026
AC_1_3-7	AC	13384	7055	8107.43133376413	5901	atac	Endo	0.311556354034436	-19.0611534386707	-11.6938791850961	0.644587178772983	-0.664303797229196	-0.119451526893827	-0.112244693790026
