p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
RP1-63G5.8	1.32766342431389e-35	0.167012965851127	0.701	0.197	3.23976428801075e-31	B-MS4A1-	RP1-63G5.8
RSPH14	4.40455382896697e-35	0.516713942059217	1	0.996	1.07479922534452e-30	B-MS4A1-	RSPH14
IGLL5	1.34961921083167e-32	0.293735470414736	0.977	0.902	3.29334079827145e-28	B-MS4A1-	IGLL5
IGLV3-22	1.31931462632928e-29	0.0741132892483714	0.977	0.782	3.21939155116871e-25	B-MS4A1-	IGLV3-22
RP11-350E12.4	5.30241755989781e-29	0.107288187092819	0.552	0.129	1.29389593296626e-24	B-MS4A1-	RP11-350E12.4
IGLV3-4	1.09137283534501e-28	0.0833074519279837	0.977	0.896	2.6631679928089e-24	B-MS4A1-	IGLV3-4
CD79B	2.72722211173113e-28	0.293531756281237	0.92	0.636	6.6549673970463e-24	B-MS4A1-	CD79B
PRAMENP	1.37177123909225e-27	0.366771850691234	0.908	0.502	3.34739617763291e-23	B-MS4A1-	PRAMENP
BCR	2.38206776472039e-27	0.493033674127366	1	0.997	5.81272175947069e-23	B-MS4A1-	BCR
TCL6	4.08966521463943e-27	0.299499943170636	0.989	0.856	9.97960105676315e-23	B-MS4A1-	TCL6
LL22NC03-24A12.8	8.80512963576284e-27	0.0888632532309614	0.977	0.884	2.14862773371885e-22	B-MS4A1-	LL22NC03-24A12.8
NOXA1	1.5042298970372e-26	0.212304239628836	0.805	0.371	3.67062179475018e-22	B-MS4A1-	NOXA1
IQSEC1	4.65692840850513e-26	0.349022405547925	1	1	1.13638367024342e-21	B-MS4A1-	IQSEC1
SYVN1	5.84575520812723e-26	0.265755382492804	0.989	0.985	1.42648118588721e-21	B-MS4A1-	SYVN1
IGLC2	8.22429709909514e-26	0.0868835214871422	0.977	0.9	2.0068929781212e-21	B-MS4A1-	IGLC2
IGLV3-9	9.49099360564731e-26	0.0686931341538737	0.977	0.901	2.31599225965006e-21	B-MS4A1-	IGLV3-9
IGLV3-25	2.3172060633948e-25	0.175617454160009	0.977	0.754	5.65444623589598e-21	B-MS4A1-	IGLV3-25
RP11-87G24.3	2.80984612394992e-25	0.273211536683297	0.989	0.897	6.85658651166259e-21	B-MS4A1-	RP11-87G24.3
IGLVI-20	4.66947463164635e-25	0.102177868313846	0.977	0.857	1.13944519961434e-20	B-MS4A1-	IGLVI-20
IGLC5	5.71839332435848e-25	0.0917841833987103	0.977	0.901	1.39540233900996e-20	B-MS4A1-	IGLC5
RP4-536B24.3	5.90678290490039e-25	0.311217575307887	0.966	0.846	1.44137316445379e-20	B-MS4A1-	RP4-536B24.3
PICSAR	7.37311677917604e-25	0.205533627011795	0.943	0.808	1.79918795645454e-20	B-MS4A1-	PICSAR
IGLV3-7	1.76267958046543e-24	0.0530162687850325	0.977	0.87	4.30129071225173e-20	B-MS4A1-	IGLV3-7
RGS19	1.91604168634842e-24	0.295367448092252	0.977	0.828	4.67552492302741e-20	B-MS4A1-	RGS19
PSD2-AS1	3.55157598438587e-24	0.23378144571936	1	0.991	8.6665557170984e-20	B-MS4A1-	PSD2-AS1
N4BP3	4.06988478127698e-24	0.356439830442943	1	0.959	9.93133284327208e-20	B-MS4A1-	N4BP3
SCN4A	7.21622491360456e-24	0.307977630703258	0.989	0.947	1.76090320341779e-19	B-MS4A1-	SCN4A
GNB1	9.02559410719432e-24	0.40663132528073	1	0.997	2.20242547403756e-19	B-MS4A1-	GNB1
IGLV10-54	9.09708668768214e-24	0.506071570936378	0.989	0.94	2.2198710935282e-19	B-MS4A1-	IGLV10-54
RP11-164H13.1	1.2689019128435e-23	0.262515466145129	0.966	0.841	3.09637444772072e-19	B-MS4A1-	RP11-164H13.1
LL22NC03-84E4.13	1.3763535637369e-23	0.0569451682496433	0.977	0.868	3.35857796623077e-19	B-MS4A1-	LL22NC03-84E4.13
ZCCHC7	1.60120888371171e-23	0.359678175425316	1	0.989	3.90726991803331e-19	B-MS4A1-	ZCCHC7
LCN8	2.37992039447889e-23	0.16306542319557	0.805	0.412	5.80748174660738e-19	B-MS4A1-	LCN8
MAD1L1	3.79376790899725e-23	0.420263395704447	1	1	9.25755245153509e-19	B-MS4A1-	MAD1L1
