RNA_cell	ATAC_cell	score
GZS5_D-C5_29	S4_1_1-2	0.852941176470588
GZS5_D-C5_37	S4_1_1-2	0.794117647058823
GZ7623_D-A2_24	S4_1_1-2	0.705882352941177
GZS4_D-A5_44	S4_1_1-5	0.352941176470588
GZS4_D-A6_32	S4_1_1-5	0.382352941176471
GZS4_D-A6_38	S4_1_1-5	0.382352941176471
GZS5_D-C3_52	S4_1_1-5	0.176470588235294
GZ7623_D-A4_79	S4_1_1-5	0.0882352941176471
GZS4_D-A6_48	S4_1_1-6	0.382352941176471
GZS8_D-A2_34	S4_1_1-6	0.411764705882353
GZS8_D-A6_84	S4_1_1-6	0.323529411764706
GZ7623_D-A2_63	S4_1_1-7	0.382352941176471
GZS4_D-A3_68	S4_1_1-8	0.235294117647059
GZS4_D-A4_78	S4_1_2-3	0.235294117647059
GZS5_D-C2_24	S4_1_2-3	0.382352941176471
GZS4_D-A4_43	S4_1_2-4	0.558823529411765
GZS4_D-A5_78	S4_1_2-4	0.617647058823529
GZS5_D-C2_86	S4_1_2-4	0.558823529411765
GZ7623_D-A2_80	S4_1_2-4	0.705882352941177
GZS4_D-A3_48	S4_1_2-5	0.617647058823529
GZS5_D-C2_28	S4_1_2-5	0.411764705882353
GZS5_D-C3_36	S4_1_2-5	0.352941176470588
GZS8_D-A4_36	S4_1_2-5	0.470588235294118
GZS8_D-A6_16	S4_1_2-5	0.588235294117647
GZS4_D-A4_28	S4_1_2-6	1
GZS5_D-C1_80	S4_1_2-6	1
GZS8_D-A1_16	S4_1_2-6	1
GZS8_D-A4_50	S4_1_2-6	1
GZS8_D-A5_49	S4_1_2-6	1
GZS5_D-C3_29	S4_1_2-7	0.411764705882353
GZ7623_D-A3_51	S4_1_2-7	0.470588235294118
GZ7623_D-A3_83	S4_1_2-7	0.382352941176471
GZS4_D-A5_78	S4_1_2-8	0.558823529411765
GZS8_D-A5_44	S4_1_2-8	0.5
GZ7623_D-A2_80	S4_1_2-8	0.794117647058823
