p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
DCN	3.10517811853476e-85	0.391384969635369	1	0.989	7.57725564484852e-81	Fibro-0	DCN
MEOX2	4.37437565392723e-85	0.309583383048602	1	0.949	1.06743514707132e-80	Fibro-0	MEOX2
CCBE1	2.78808891590208e-76	0.494266113540577	1	0.997	6.80349457258426e-72	Fibro-0	CCBE1
PLXDC2	2.88877236955539e-76	0.339763947052354	1	0.996	7.04918233618906e-72	Fibro-0	PLXDC2
LINC01828	2.01868294016601e-74	0.370982301922333	0.997	0.974	4.9259901105931e-70	Fibro-0	LINC01828
WWOX	4.42919989142336e-74	0.303848466329567	1	1	1.08081335750513e-69	Fibro-0	WWOX
BBS9	1.49362986729034e-71	0.369617667783685	1	0.997	3.64475560216189e-67	Fibro-0	BBS9
RP11-398G24.2	6.59929287578988e-71	0.284643255723751	0.99	0.91	1.61035944755025e-66	Fibro-0	RP11-398G24.2
DYNC1I1	8.3357152692489e-71	0.282387072733835	0.993	0.97	2.03408124000212e-66	Fibro-0	DYNC1I1
ITGA8	1.23154071587453e-70	0.345932802359924	1	0.991	3.00520565487703e-66	Fibro-0	ITGA8
MEOX2-AS1	1.30072565312267e-70	0.067999692404979	0.993	0.838	3.17403073874995e-66	Fibro-0	MEOX2-AS1
RP11-770E5.1	2.60640262924333e-70	0.369232384940181	1	0.999	6.36014369587957e-66	Fibro-0	RP11-770E5.1
RP11-34C15.2	1.01538029092805e-69	0.0505624478568636	0.983	0.846	2.47773098592264e-65	Fibro-0	RP11-34C15.2
LINC00535	1.8939271612137e-69	0.29873575773372	1	0.997	4.62156105879368e-65	Fibro-0	LINC00535
COL6A6	1.25797037427203e-68	0.313725607048196	0.99	0.861	3.06969930729861e-64	Fibro-0	COL6A6
GUCY1B3	3.66365243689127e-67	0.283163636107979	1	0.993	8.94004467650208e-63	Fibro-0	GUCY1B3
AP001604.3	4.49386853872168e-66	0.322582516377678	0.986	0.835	1.09659380081886e-61	Fibro-0	AP001604.3
PIEZO2	1.43104606205103e-65	0.389856308829237	1	1	3.49203860061693e-61	Fibro-0	PIEZO2
COL5A2	2.2401847593295e-65	0.358102264553804	0.997	0.978	5.46649884971586e-61	Fibro-0	COL5A2
LUM	4.7568174504132e-65	0.181019942862049	0.997	0.935	1.16075859424983e-60	Fibro-0	LUM
BTG1P1	3.40081736486218e-64	0.193964093164354	0.99	0.836	8.29867453373668e-60	Fibro-0	BTG1P1
EPYC	4.75792117148234e-64	0.206166538622596	0.962	0.707	1.16102792426512e-59	Fibro-0	EPYC
NFIB	1.80128862811596e-61	0.344464740091313	1	1	4.39550451032857e-57	Fibro-0	NFIB
RP11-202G18.1	2.3343646530568e-61	0.257158571584804	0.944	0.732	5.69631662638921e-57	Fibro-0	RP11-202G18.1
RNU6-163P	9.94690972161714e-61	0.0589213190381886	0.986	0.864	2.42724491026901e-56	Fibro-0	RNU6-163P
COL1A2	1.84612479151933e-60	0.279022118043151	1	0.997	4.50491371626547e-56	Fibro-0	COL1A2
RP11-3G20.1	3.58491142109516e-60	0.100663681478616	0.997	0.94	8.7479008497564e-56	Fibro-0	RP11-3G20.1
SLC30A7	8.89688388912476e-60	0.244156912675085	0.965	0.84	2.17101760662422e-55	Fibro-0	SLC30A7
GNAI1	1.14882007624968e-59	0.33801256248853	0.997	0.986	2.80335075006446e-55	Fibro-0	GNAI1
RP11-536C12.1	1.3974097125395e-59	0.101506779094583	1	0.945	3.40995918053889e-55	Fibro-0	RP11-536C12.1
LINC01338	1.62927580396604e-59	0.23383048487903	0.948	0.822	3.97575881683793e-55	Fibro-0	LINC01338
RP11-6N13.1	1.02492374299181e-58	0.191902514260597	0.916	0.62	2.50101891764861e-54	Fibro-0	RP11-6N13.1
CES1P1	1.57516111885578e-58	0.123002644723772	0.836	0.422	3.84370816223189e-54	Fibro-0	CES1P1
LINC00703	2.07116349162616e-58	0.0579245411927605	0.986	0.83	5.05405315226617e-54	Fibro-0	LINC00703
LINC02006	3.04042933054211e-58	0.257091226923897	0.99	0.896	7.41925565238886e-54	Fibro-0	LINC02006
SYT6	3.79594786774811e-58	0.255681967296495	0.997	0.956	9.26287198687893e-54	Fibro-0	SYT6
IFT43	5.79910424441945e-58	0.30785276344917	1	0.996	1.41509741772323e-53	Fibro-0	IFT43
ADH1B	1.26170218665444e-57	0.220771442425006	0.944	0.776	3.07880567587418e-53	Fibro-0	ADH1B
RP11-588K22.2	3.13226115225089e-57	0.0550368419500115	0.986	0.811	7.64334366372263e-53	Fibro-0	RP11-588K22.2
RP11-627D16.1	4.05381136007259e-57	0.0954690357294935	0.798	0.341	9.89211048084913e-53	Fibro-0	RP11-627D16.1
LINC00972	4.22277954949726e-57	0.183510337436551	0.923	0.63	1.03044266566832e-52	Fibro-0	LINC00972
LINC01936	4.65482882285275e-57	0.136759634661802	0.993	0.934	1.13587132935253e-52	Fibro-0	LINC01936
LINC01697	8.86843554452588e-57	0.245229587330245	0.972	0.82	2.16407564157521e-52	Fibro-0	LINC01697
HNRNPA1P56	9.37334506512685e-57	0.110150315134544	0.882	0.578	2.28728366279225e-52	Fibro-0	HNRNPA1P56
TRIQK	1.05281529857459e-56	0.119710486645442	0.993	0.99	2.56907989158172e-52	Fibro-0	TRIQK
ADAM5	1.42101273340474e-56	0.0800599050224401	0.554	0.138	3.46755527205424e-52	Fibro-0	ADAM5
SVEP1	1.73347914435272e-56	0.296640756012087	0.969	0.874	4.23003580804952e-52	Fibro-0	SVEP1
LINC00922	2.27693962895437e-56	0.247488911904047	0.99	0.893	5.55618808257446e-52	Fibro-0	LINC00922
SLC9A9	2.96275692846196e-56	0.282843779716311	1	1	7.22971945683287e-52	Fibro-0	SLC9A9
AGTR1	1.05851506355548e-55	0.241571286107531	0.972	0.792	2.58298845808809e-51	Fibro-0	AGTR1
MEIS1	1.2603881021378e-55	0.381498194241415	1	0.999	3.07559904683666e-51	Fibro-0	MEIS1
