orig.ident	nCount_ATAC	nFeature_ATAC	nCount_ACTIVITY	nFeature_ACTIVITY	tech	predicted.id	prediction.score.max	tSNE_1	tSNE_2	EPCAM	VIM	PTPRC	HBG1
LC_1_1-1	LC	126857	44289	51863.347389549	16795	atac	Fibro-0	0.547342618957341	-9.81051489294064	-5.13103820064978	-0.751713306887398	-0.0133950939185121	-0.128692800604535	-0.216475272492763
LC_1_1-2	LC	160723	55163	65299.3500472437	17938	atac	Epi	1	13.4875631757276	-12.3900659973655	0.83512176996958	-0.753152385623717	-0.128692800604535	-0.216475272492763
LC_1_1-3	LC	128211	45035	52426.2146549325	16665	atac	SM-STC1	0.904584428157391	-13.1647606262102	4.74751059810756	-0.758740592274806	-0.753152385623717	-0.128692800604535	-0.216475272492763
LC_1_1-4	LC	127622	44017	51162.5992347694	16508	atac	Fibro-0	0.590892529460478	-2.49596799161512	1.53980241857023	-0.742766212631133	-0.753152385623717	-0.128692800604535	-0.216475272492763
LC_1_1-5	LC	118440	42721	50817.1788021899	16475	atac	Fibro-0	0.922585552882842	-4.39592816894473	-5.93844594535915	-0.122408789880545	1.34104136935338	-0.128692800604535	-0.216475272492763
LC_1_1-6	LC	134605	44538	52094.7305097611	16430	atac	Fibro-FOSB	0.536377767767518	2.43184877606403	8.71580661893627	1.91957070283651	-0.753152385623717	-0.128692800604535	-0.216475272492763
LC_1_1-7	LC	142600	49738	59837.1197659936	17399	atac	Epi	0.989184015736928	15.5693785799467	-8.09852129131656	0.99218385339397	-0.753152385623717	-0.128692800604535	-0.216475272492763
LC_1_1-8	LC	169976	54395	62828.0528355694	17588	atac	Fibro-0	0.816245717137162	-3.98660459626091	0.481210891509301	-0.867483139914545	-0.0969867036696689	-0.128692800604535	-0.216475272492763
LC_1_2-1	LC	143515	50987	59078.8690047635	17310	atac	Fibro-0	0.523857135460744	4.1220584116066	-13.6140998436888	-0.285426582478575	-0.753152385623717	-0.128692800604535	3.83937804343256
LC_1_2-2	LC	78070	29969	35637.1851257684	14538	atac	Fibro-0	0.669873152993397	20.5449858158335	-20.8845431541766	-0.464401921166215	0.345642971667625	-0.128692800604535	-0.216475272492763
LC_1_2-3	LC	168488	55399	66252.4508349545	17888	atac	Epi	0.997946751214055	17.1471337793969	-14.8355491132813	-0.397759096513969	-0.753152385623717	-0.128692800604535	-0.216475272492763
LC_1_2-4	LC	114361	40339	48268.0288935109	16024	atac	SM-HHIP	0.908884675503983	-15.8246345000272	18.9986709085172	-0.703292810613355	-0.753152385623717	-0.128692800604535	-0.216475272492763
LC_1_2-5	LC	105223	39678	47127.4756931635	15960	atac	Fibro-0	0.633141220370898	-2.20058106647054	-11.0036946085087	-0.686524200399513	1.97687886260176	-0.128692800604535	-0.216475272492763
LC_1_2-6	LC	136482	48989	58877.083293592	17142	atac	Epi	0.982282758283116	13.1552547777391	-0.446270353789499	-0.281921389763711	-0.0953234049272177	-0.128692800604535	-0.216475272492763
LC_1_2-7	LC	139119	48669	56518.6014191515	17034	atac	Epi	0.950254338129743	17.2248244909081	-1.76122107966147	1.3977565294662	-0.753152385623717	-0.128692800604535	-0.216475272492763
LC_1_2-8	LC	181667	61144	72215.8821838482	18372	atac	Pericyte	0.550980395702888	16.1251676500467	-10.2494031255368	0.981680269528609	-0.753152385623717	-0.128692800604535	3.14720580884713
LC_1_3-1	LC	121389	43574	51111.0689327443	16480	atac	Fibro-0	0.701248715471955	-6.27499333069017	-7.06474351899506	-0.742099386848499	-0.753152385623717	-0.128692800604535	-0.216475272492763
LC_1_3-2	LC	113029	41896	50001.354203922	16505	atac	Epi	0.940239797081738	-8.68463729741313	28.8294182047602	0.912898725073396	1.36820298884567	-0.128692800604535	-0.216475272492763
