p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
FLT1	2.28869224555176e-96	0.80490897486932	1	0.991	5.58532455604452e-92	Endo-FLT1	FLT1
KDR	2.21501136888202e-90	0.425658809105045	1	0.795	5.40551374461969e-86	Endo-FLT1	KDR
CD93	5.61639684899174e-88	0.439194144515789	1	0.984	1.37062548702794e-83	Endo-FLT1	CD93
PLVAP	6.08866374576925e-88	0.497988154112297	0.995	0.91	1.48587750051753e-83	Endo-FLT1	PLVAP
CDH5	3.33888600889533e-87	0.604203813337906	1	0.984	8.14821741610815e-83	Endo-FLT1	CDH5
EFNB2	3.0505261890499e-85	0.680661003122076	1	1	7.44450411175739e-81	Endo-FLT1	EFNB2
RP1L1	1.37840490871859e-79	0.430985010224979	1	0.945	3.36385933923685e-75	Endo-FLT1	RP1L1
THBD	9.25658923444596e-77	0.331482680296615	1	0.987	2.25897803677419e-72	Endo-FLT1	THBD
PCDH12	2.06963163658458e-76	0.332133533078182	1	1	5.05072904592101e-72	Endo-FLT1	PCDH12
LRRC32	2.27459756815439e-76	0.357666184278468	1	0.99	5.55092790532397e-72	Endo-FLT1	LRRC32
RN7SL822P	2.70900178731566e-76	0.0529725806783979	0.957	0.462	6.61104796176514e-72	Endo-FLT1	RN7SL822P
GATA2	3.34767342098936e-76	0.361212098475654	1	0.997	8.16966221658244e-72	Endo-FLT1	GATA2
RP11-282A11.4	1.26623906102379e-75	0.0909081700205724	1	0.927	3.09012980452247e-71	Endo-FLT1	RP11-282A11.4
ELK3	2.69110696829413e-74	0.574851221071756	1	0.998	6.56737744542499e-70	Endo-FLT1	ELK3
CLDN5	3.09527401495794e-74	0.295474844145549	1	0.916	7.55370670610337e-70	Endo-FLT1	CLDN5
BISPR	1.4782705784022e-72	0.274440892617424	1	0.878	3.60757151953272e-68	Endo-FLT1	BISPR
PODXL	2.07868371370423e-72	0.51595940244018	1	0.996	5.07281973492379e-68	Endo-FLT1	PODXL
RP11-256L6.5	2.96413499450184e-72	0.291440699939197	0.971	0.687	7.2336750405823e-68	Endo-FLT1	RP11-256L6.5
SOX7	5.79772757924547e-71	0.289289428189517	0.986	0.841	1.41487743843907e-66	Endo-FLT1	SOX7
CTD-2201E18.3	3.8183369940964e-69	0.345868953948989	1	1	9.31826960039285e-65	Endo-FLT1	CTD-2201E18.3
PECAM1	5.62408692540132e-69	0.571473893896303	1	0.983	1.37250217327494e-64	Endo-FLT1	PECAM1
RP11-129J12.1	1.63386093023924e-68	0.193032996383875	0.99	0.713	3.98727421415584e-64	Endo-FLT1	RP11-129J12.1
ZNF792	2.12322979046829e-67	0.219158578508681	0.981	0.794	5.18152998065881e-63	Endo-FLT1	ZNF792
SPRY4	1.60437001415783e-66	0.399554194675544	1	0.998	3.91530458255078e-62	Endo-FLT1	SPRY4
C2CD4B	3.20765686498823e-66	0.248975842830147	0.995	0.861	7.82796581331727e-62	Endo-FLT1	C2CD4B
RP11-716O23.1	4.34560908585797e-66	0.407254527918494	0.99	0.945	1.06050244131278e-61	Endo-FLT1	RP11-716O23.1
SEC11B	8.41735237817214e-66	0.0883556858284425	0.967	0.634	2.05417067436913e-61	Endo-FLT1	SEC11B
DENND3	1.25205523012633e-65	0.330709246106901	1	1	3.0555155836003e-61	Endo-FLT1	DENND3
LINC00895	1.85853557322161e-65	0.165665874923452	0.99	0.85	4.53557021289001e-61	Endo-FLT1	LINC00895
LINC02101	3.01750467523627e-65	0.0692712110588436	0.904	0.397	7.36391840944659e-61	Endo-FLT1	LINC02101
RP11-1028N23.4	4.96322902294545e-65	0.337381971432262	0.981	0.791	1.21122641075961e-60	Endo-FLT1	RP11-1028N23.4
RBM18	8.54095834918549e-65	0.287043133512681	0.995	0.972	2.08433547553523e-60	Endo-FLT1	RBM18
CD34	3.40493300869811e-64	0.479953142917485	1	0.95	8.30939851442687e-60	Endo-FLT1	CD34
RP11-672A2.5	1.42761514514077e-63	0.327790369909749	1	0.993	3.48395200020154e-59	Endo-FLT1	RP11-672A2.5
IQCJ-SCHIP1	2.02965936361451e-63	0.342880235429454	1	1	4.95318071096484e-59	Endo-FLT1	IQCJ-SCHIP1
COLGALT1	2.09405208828087e-63	0.276452780917186	1	0.994	5.11032471624062e-59	Endo-FLT1	COLGALT1
RP11-420L9.2	2.13467119047488e-63	0.107033778236986	0.986	0.908	5.20945157323489e-59	Endo-FLT1	RP11-420L9.2
LINC00443	2.29767014057022e-63	0.0893989339024929	0.99	0.775	5.60723421104756e-59	Endo-FLT1	LINC00443
RP11-530I17.1	3.32976582749471e-63	0.230677128361533	0.995	0.795	8.1259605254181e-59	Endo-FLT1	RP11-530I17.1
KIAA1462	1.51887379270528e-62	0.390953446080618	1	1	3.70665960371797e-58	Endo-FLT1	KIAA1462
DYSF	3.92264985103082e-62	0.394491227661549	1	0.998	9.57283469645562e-58	Endo-FLT1	DYSF
AC116035.2	4.23425802664896e-62	0.0575189727375439	0.947	0.541	1.03332832882341e-57	Endo-FLT1	AC116035.2
RP11-822P1.1	1.35517472569725e-61	0.0641011052694966	0.785	0.235	3.30716840059156e-57	Endo-FLT1	RP11-822P1.1
LINC00917	1.94212192194838e-61	0.309762861380746	0.995	0.921	4.73955433832284e-57	Endo-FLT1	LINC00917
RP4-753D10.3	2.83956293128893e-61	0.107656493376182	1	0.952	6.92966937751751e-57	Endo-FLT1	RP4-753D10.3
AF064858.8	5.60064428881306e-61	0.347164160336006	1	0.994	1.36678123224194e-56	Endo-FLT1	AF064858.8
TCF15	1.25570042909765e-60	0.254203028836139	0.99	0.925	3.0644113271699e-56	Endo-FLT1	TCF15
APLNR	1.40597138604774e-60	0.198798089364645	0.995	0.943	3.4311325705109e-56	Endo-FLT1	APLNR
HLX-AS1	1.48822919832431e-60	0.28110491815881	1	0.974	3.63187453559066e-56	Endo-FLT1	HLX-AS1
RP11-463H12.2	2.80302540137339e-60	0.253330537476816	0.967	0.693	6.84050318951162e-56	Endo-FLT1	RP11-463H12.2
BTF3P14	2.8121500203358e-60	0.112256792106306	0.957	0.56	6.86277090962748e-56	Endo-FLT1	BTF3P14
S1PR1	3.10993828409996e-60	0.28519815783092	0.986	0.936	7.58949338851754e-56	Endo-FLT1	S1PR1
ARAP3	3.27886055487912e-60	0.232915061253541	1	0.999	8.00173129812701e-56	Endo-FLT1	ARAP3
RP1-155D22.1	4.18413761667997e-60	0.202514302421277	0.981	0.727	1.02109694397458e-55	Endo-FLT1	RP1-155D22.1
TIE1	4.53610658299361e-60	0.30174733391503	0.971	0.673	1.10699145051376e-55	Endo-FLT1	TIE1
SOX17	4.59888393115148e-60	0.207592509259965	0.99	0.843	1.12231163455821e-55	Endo-FLT1	SOX17
NRN1	9.93291606267268e-60	0.348465431295468	0.99	0.93	2.42402883593464e-55	Endo-FLT1	NRN1
RP4-575N6.5	1.03180019461754e-59	0.11080770761315	0.933	0.54	2.51800519494464e-55	Endo-FLT1	RP4-575N6.5
CLEC1A	1.42506605015092e-59	0.381488086012858	0.895	0.481	3.4777311887883e-55	Endo-FLT1	CLEC1A
RP11-13A1.3	1.93181113762971e-59	0.404007818344119	1	0.975	4.71439190027154e-55	Endo-FLT1	RP11-13A1.3
PLEKHG1	3.36871877225685e-59	0.439512807953099	1	1	8.22102129181562e-55	Endo-FLT1	PLEKHG1
SEC14L1	3.91710404666585e-59	0.49259342278362	1	1	9.55930071548334e-55	Endo-FLT1	SEC14L1
TCF4	6.1552173240149e-59	0.383991237159223	1	1	1.5021192357526e-54	Endo-FLT1	TCF4
RP11-473M20.9	6.37435639097675e-59	0.208538992717451	0.971	0.848	1.55559793365397e-54	Endo-FLT1	RP11-473M20.9
CTD-2210P24.1	6.44630312325265e-59	0.0633879383206514	0.737	0.206	1.57315581419858e-54	Endo-FLT1	CTD-2210P24.1
LINC02011	7.62250044479269e-59	0.369071629451218	0.986	0.795	1.86019500854721e-54	Endo-FLT1	LINC02011
SLC25A5P7	7.71719565625006e-59	0.166833709190926	0.775	0.268	1.88330442795126e-54	Endo-FLT1	SLC25A5P7
RP11-472N13.3	9.84792228896962e-59	0.281834195502421	1	0.999	2.40328695540015e-54	Endo-FLT1	RP11-472N13.3
RP11-211G23.1	3.97826586476175e-58	0.206889952866126	1	0.89	9.70856001636457e-54	Endo-FLT1	RP11-211G23.1
MRRF	4.21100157507102e-58	0.233233533933957	0.986	0.853	1.02765282438033e-53	Endo-FLT1	MRRF
CDC42BPB	5.65795131323027e-58	0.318121867659986	1	0.999	1.38076643848072e-53	Endo-FLT1	CDC42BPB
GRAMD1A	6.61758940368305e-58	0.290160290668193	1	0.997	1.61495651807481e-53	Endo-FLT1	GRAMD1A
MAP3K3	1.01955874453137e-57	0.398241611058638	1	1	2.48813116015436e-53	Endo-FLT1	MAP3K3
RP11-53M11.5	1.63781816969672e-57	0.191561865540935	0.995	0.828	3.99693146132788e-53	Endo-FLT1	RP11-53M11.5
JAM3	2.60819849681715e-57	0.304526271619927	0.99	0.979	6.36504761163258e-53	Endo-FLT1	JAM3
TAL1	3.45906002563196e-57	0.370953301792379	0.981	0.862	8.44149008655224e-53	Endo-FLT1	TAL1
ITGA6	5.19967855854125e-57	0.359444660188732	1	0.998	1.26892955542641e-52	Endo-FLT1	ITGA6
LINC01565	1.22799324207525e-56	0.18772797711837	0.99	0.976	2.99679470796044e-52	Endo-FLT1	LINC01565
LY86	2.47523301639341e-56	0.158693217541281	1	0.953	6.04055865320647e-52	Endo-FLT1	LY86
RP11-1100L3.4	4.16486703529645e-56	0.16436340229582	0.986	0.86	1.01639415129375e-51	Endo-FLT1	RP11-1100L3.4
ITPKB	4.40497631482541e-56	0.370202341290095	1	1	1.07499041986999e-51	Endo-FLT1	ITPKB
RP11-702B10.2	7.31245986810583e-56	0.0685746050507905	0.99	0.846	1.78453270621255e-51	Endo-FLT1	RP11-702B10.2
MYCT1	7.87427868325889e-56	0.202765187178543	0.708	0.196	1.9216389698625e-51	Endo-FLT1	MYCT1
CD59	1.20559195017506e-55	0.294609556080652	1	0.999	2.94212659520721e-51	Endo-FLT1	CD59
EMCN	3.92381324262404e-55	0.29140750382663	0.967	0.643	9.5756738372997e-51	Endo-FLT1	EMCN
ADAMTS9-AS2	5.21300705392213e-55	0.400616986659924	1	0.983	1.27218224143916e-50	Endo-FLT1	ADAMTS9-AS2
HSPC324	8.31832379800575e-55	0.276399461826467	0.971	0.634	2.03000373966532e-50	Endo-FLT1	HSPC324
RP11-98P2.1	2.14315431976112e-54	0.0915050162012291	0.981	0.781	5.23015380194504e-50	Endo-FLT1	RP11-98P2.1
AFAP1L1	8.69500027999721e-54	0.317213781689598	1	0.964	2.12192786833052e-49	Endo-FLT1	AFAP1L1
RP11-332G1.1	1.53609271263359e-53	0.0597225884138869	0.933	0.445	3.74868065591102e-49	Endo-FLT1	RP11-332G1.1
TSHZ1	3.1999707501706e-53	0.413365001492163	0.99	0.954	7.80920861871633e-49	Endo-FLT1	TSHZ1
ERG	5.1617550030305e-53	0.451991879818121	1	1	1.25967469093956e-48	Endo-FLT1	ERG
USHBP1	5.64270433067423e-53	0.203785051134624	1	1	1.37704556485774e-48	Endo-FLT1	USHBP1
CTC-369M3.1	6.08807349218215e-53	0.187853938691791	0.952	0.705	1.48573345503213e-48	Endo-FLT1	CTC-369M3.1
RNA5SP481	7.21238191869739e-53	0.110544372310363	0.88	0.449	1.76010968343891e-48	Endo-FLT1	RNA5SP481
RP11-541G7.4	7.46049118129676e-53	0.123961246252094	0.66	0.17	1.82065826788366e-48	Endo-FLT1	RP11-541G7.4
RP4-737E23.7	8.7968463926539e-53	0.11153634551252	1	0.934	2.14678239366326e-48	Endo-FLT1	RP4-737E23.7
NDRG1	1.09366685766604e-52	0.577475187745862	0.995	1	2.66898459944821e-48	Endo-FLT1	NDRG1
RP11-359G22.4	1.31138256077954e-52	0.265267471914906	0.938	0.721	3.2002980013264e-48	Endo-FLT1	RP11-359G22.4
UNC13A	3.74717886628784e-52	0.237537024189237	1	0.97	9.14461530528884e-48	Endo-FLT1	UNC13A
CDC45	5.2994532945186e-52	0.251768046079957	0.99	0.886	1.29327858199432e-47	Endo-FLT1	CDC45
