p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
Peak-43000-1	1.98134389216295e-98	0.179019530519429	0.818	0.154	6.61004061240051e-93	Endo-FLT1	Peak-43000-1
Peak-37754-2	4.47240996256204e-91	0.179579891145035	0.794	0.157	1.49205857725017e-85	Endo-FLT1	Peak-37754-2
Peak-20331-3	5.18968487725166e-88	0.248811634686865	0.938	0.341	1.73135153063944e-82	Endo-FLT1	Peak-20331-3
Peak-27731-2	2.10886408272708e-87	0.142616189474336	0.775	0.151	7.03546582094912e-82	Endo-FLT1	Peak-27731-2
Peak-28906-1	2.73146569368039e-87	0.189169992538105	0.856	0.225	9.11255195931491e-82	Endo-FLT1	Peak-28906-1
Peak-846-8	3.30464146384955e-87	0.293838344489724	0.938	0.433	1.1024746573207e-81	Endo-FLT1	Peak-846-8
Peak-24283-1	8.03095866595945e-87	0.237007410669714	0.885	0.287	2.6792402443854e-81	Endo-FLT1	Peak-24283-1
Peak-14093-1	1.93945524648181e-86	0.157689520183728	0.789	0.16	6.47029422599783e-81	Endo-FLT1	Peak-14093-1
Peak-19875-1	1.09643748015164e-85	0.215655657217176	0.923	0.301	3.65786893503309e-80	Endo-FLT1	Peak-19875-1
Peak-14087-4	6.50135352709712e-84	0.197044744424452	0.88	0.264	2.16894255558898e-78	Endo-FLT1	Peak-14087-4
Peak-24550-3	7.46095656856713e-84	0.174323492937667	0.809	0.195	2.48907956466596e-78	Endo-FLT1	Peak-24550-3
Peak-23595-2	7.58547346391051e-83	0.185850470916273	0.818	0.216	2.53062014418904e-77	Endo-FLT1	Peak-23595-2
Peak-36463-1	2.43233355322936e-82	0.211491456832716	0.856	0.25	8.1146052602706e-77	Endo-FLT1	Peak-36463-1
Peak-28644-2	4.5885277787747e-81	0.196628285283144	0.804	0.207	1.53079710638814e-75	Endo-FLT1	Peak-28644-2
Peak-32172-2	7.88869511536754e-81	0.191653530839486	0.818	0.228	2.63177913221822e-75	Endo-FLT1	Peak-32172-2
Peak-20268-1	2.93723904091853e-80	0.169342925273005	0.818	0.206	9.79904065396993e-75	Endo-FLT1	Peak-20268-1
Peak-17872-3	5.81391726248065e-80	0.20938392144963	0.914	0.33	1.93960419360522e-74	Endo-FLT1	Peak-17872-3
Peak-22875-4	1.95060753463113e-79	0.197840644461458	0.871	0.282	6.50749982058431e-74	Endo-FLT1	Peak-22875-4
Peak-4066-4	1.97302859794113e-79	0.21830638178597	0.866	0.278	6.58229962673532e-74	Endo-FLT1	Peak-4066-4
Peak-45052-3	3.04040901450489e-79	0.204352925948971	0.856	0.259	1.01432301296503e-73	Endo-FLT1	Peak-45052-3
Peak-25637-1	3.34719568628731e-79	0.172159482572517	0.852	0.237	1.11667134168505e-73	Endo-FLT1	Peak-25637-1
Peak-28688-1	4.93466900461437e-79	0.184365455140526	0.828	0.233	1.64627466530542e-73	Endo-FLT1	Peak-28688-1
