orig.ident	nCount_ATAC	nFeature_ATAC	nCount_ACTIVITY	nFeature_ACTIVITY	tech	predicted.id	prediction.score.max	tSNE_1	tSNE_2	EPCAM	VIM	PTPRC	HBG1
Pan_1_1-1	Pan	176844	51656	55877.9696623474	16709	atac	Endo-FLT1	1	-7.20441396156102	-23.6571890703216	0.470425507606687	1.02906286045081	-0.122110260402251	2.7579734376879
Pan_1_1-2	Pan	144394	47733	49352.1166575886	16375	atac	Glial	0.997289491895055	28.1607744329851	8.50277062874055	0.695541907664134	1.53341173895707	-0.122110260402251	-0.266253905737883
Pan_1_1-3	Pan	50519	21255	22867.9033167658	11928	atac	Endo-NTS	0.47130319933911	-30.2888787598312	0.25041260824467	-1.67198124107753	-0.953399404370701	-0.122110260402251	-0.266253905737883
Pan_1_1-4	Pan	73275	28302	30088.4456072892	13670	atac	Fibro-PAMR1+SOX6+	0.189680073006033	-24.078197413625	3.17605684951277	-0.241505798833959	-0.953399404370701	-0.122110260402251	-0.266253905737883
Pan_1_1-5	Pan	180111	52018	54807.7890708394	17011	atac	Epi-CADPS	0.988115555388021	12.5854161857596	17.2529876808342	0.504314302045637	0.675570371406856	-0.122110260402251	-0.266253905737883
Pan_1_1-6	Pan	154055	51804	55423.4225042638	16861	atac	Fibro-PAMR1+SOX6+	0.707766484240946	11.0960750870398	-7.92887020342542	0.484687576896163	-0.0848064340409904	-0.122110260402251	-0.266253905737883
Pan_1_1-7	Pan	125952	40790	43881.7450714923	15716	atac	Fibro-PAMR1+SOX6-	0.397875358894189	-1.65851020704028	-25.6385288535467	-1.67198124107753	-0.953399404370701	-0.122110260402251	-0.266253905737883
Pan_1_1-8	Pan	153567	50217	53537.3189591467	16821	atac	Fibro-PAMR1+SOX6+	0.653069273513457	5.98623020139588	-11.8886948784505	-0.100891556714658	-0.953399404370701	-0.122110260402251	-0.266253905737883
Pan_1_2-1	Pan	132967	45854	49223.4172649958	16212	atac	Fibro-THBS2	0.418639224832088	13.4856292591235	3.68374770561538	-0.749988654214405	0.832032279717444	-0.122110260402251	-0.266253905737883
Pan_1_2-2	Pan	101139	35960	37493.184897063	14492	atac	B-IGHM	0.661384160859004	-18.6748612963143	-26.3980275471611	0.444790870621491	0.284611755789744	-0.122110260402251	-0.266253905737883
Pan_1_2-3	Pan	97643	35326	36928.2402199438	15006	atac	Epi-CADPS	0.602135388164617	-18.4576900775208	-15.5167791079914	-0.477322999819	-0.953399404370701	-0.122110260402251	-0.266253905737883
Pan_1_2-4	Pan	116955	40916	44403.6105765479	15477	atac	Fibro-PAMR1+SOX6+	0.569274026547704	11.2841691278088	-5.22064964140191	-1.67198124107753	0.993725987394268	-0.122110260402251	-0.266253905737883
Pan_1_2-5	Pan	96731	33798	36182.1634135112	14692	atac	Endo-NTS	0.856516261524222	-2.99233417117098	-15.6630824465406	-0.45546647128347	0.935536281561691	-0.122110260402251	-0.266253905737883
Pan_1_2-7	Pan	123908	42786	44517.7863377978	15622	atac	NKT	1	-28.1728555928406	-11.3974267712371	-0.661798005920358	0.629864479610348	-0.122110260402251	-0.266253905737883
Pan_1_2-8	Pan	170287	53118	57837.087135477	17190	atac	Epi-SPINK1	0.990426764388792	-9.24146224029501	21.7121387047789	0.948583676012452	-0.953399404370701	-0.122110260402251	-0.266253905737883
Pan_1_3-1	Pan	132938	45272	48549.3310128875	16079	atac	Fibro-ITGA8	0.677642292633449	14.019847436064	-7.93390855387854	0.0477644606619478	1.17035151291103	-0.122110260402251	-0.266253905737883
Pan_1_3-2	Pan	113612	38066	41999.5628218652	15129	atac	Endo-FLT1	1	-9.39034000481509	-19.7104239517697	0.256209331095	-0.953399404370701	-0.122110260402251	-0.266253905737883
Pan_1_3-3	Pan	139003	46367	51049.3664493432	16445	atac	Epi-SPINK1	0.960834177308977	-10.2876926348315	20.6881315249958	0.622260166456247	-0.953399404370701	-0.122110260402251	-0.266253905737883
Pan_1_3-4	Pan	101193	35304	37236.7416489859	14700	atac	B-IGHM	0.979449052728896	24.7569307584931	-8.57714462294751	-1.67198124107753	-0.953399404370701	-0.122110260402251	-0.266253905737883
