p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
CTD-3118D11.3	9.40220647675572e-85	0.0937786236814822	0.395	0.031	2.29460849065223e-80	SM-Visceral	CTD-3118D11.3
RP11-805I24.3	4.34032879011696e-54	0.360262054715226	1	0.963	1.05925724122805e-49	SM-Visceral	RP11-805I24.3
FENDRR	2.87270593111931e-53	0.418826297757463	1	0.965	7.01083882489668e-49	SM-Visceral	FENDRR
LINC00670	7.21586528884481e-52	0.208869833336473	0.95	0.582	1.76103192374258e-47	SM-Visceral	LINC00670
DEFB108B	4.28004896594356e-48	0.0952121395461901	0.47	0.103	1.04454595013853e-43	SM-Visceral	DEFB108B
RP4-668J24.2	4.91489262102588e-47	0.29533301255044	1	0.918	1.19947954416137e-42	SM-Visceral	RP4-668J24.2
RNU6-246P	2.6542405841954e-45	0.120587640587107	0.505	0.133	6.47767414572888e-41	SM-Visceral	RNU6-246P
PRDM6	6.4755761929611e-45	0.377332343657162	0.99	0.854	1.58036436989216e-40	SM-Visceral	PRDM6
RP11-381N20.1	1.25613343170859e-44	0.108441871593059	0.455	0.107	3.06559364008482e-40	SM-Visceral	RP11-381N20.1
SLC30A8	3.93193354208578e-44	0.37249207360373	0.96	0.733	9.59588380946034e-40	SM-Visceral	SLC30A8
PROM1	4.30781053265805e-44	0.570885694962068	0.96	0.793	1.0513211604952e-39	SM-Visceral	PROM1
LINC01248	1.77335808134805e-42	0.267059583744158	0.99	0.83	4.32788039752992e-38	SM-Visceral	LINC01248
SOX11	6.22429101035266e-42	0.309874168116686	0.975	0.79	1.51903822107657e-37	SM-Visceral	SOX11
STAMBPL1	8.65022200577168e-42	0.505898866532187	0.995	0.969	2.11108668050858e-37	SM-Visceral	STAMBPL1
FNDC1	1.03467901337321e-40	0.259915597446686	1	0.818	2.52513413213731e-36	SM-Visceral	FNDC1
C5orf66	6.94694915282071e-40	0.439993854113023	1	0.981	1.6954029407459e-35	SM-Visceral	C5orf66
LINC01081	2.31020691479745e-39	0.234804367921442	1	0.963	5.63805997556317e-35	SM-Visceral	LINC01081
ST5	4.04520907216796e-39	0.277633240392699	1	0.989	9.87233274062591e-35	SM-Visceral	ST5
NOG	6.12302153899806e-39	0.220091468522969	0.995	0.89	1.49432340659248e-34	SM-Visceral	NOG
GPR37	6.17666617893154e-39	0.360234474080039	0.85	0.528	1.50741538096824e-34	SM-Visceral	GPR37
FOXF2	5.64220088797254e-38	0.288683583778743	1	0.922	1.3769791267097e-33	SM-Visceral	FOXF2
C1orf198	2.91759000796239e-37	0.330798414663154	0.995	0.912	7.12037841443222e-33	SM-Visceral	C1orf198
RP11-489D6.2	3.54133001452935e-37	0.142609246443268	0.695	0.293	8.64261590045887e-33	SM-Visceral	RP11-489D6.2
CTB-113D17.1	2.45516799066598e-36	0.265973679104501	0.95	0.821	5.99183748122032e-32	SM-Visceral	CTB-113D17.1
TRAJ22	3.57193345068337e-36	0.0903527775096201	0.48	0.139	8.71730358639277e-32	SM-Visceral	TRAJ22
PTGER3	7.61972115881597e-36	0.215524230049184	0.92	0.676	1.85959294880904e-31	SM-Visceral	PTGER3
SBSPON	1.70231280177828e-35	0.197857386521302	0.965	0.74	4.15449439273989e-31	SM-Visceral	SBSPON
AC005034.2	2.26270758888452e-35	0.0533949997968228	0.24	0.033	5.52213787067268e-31	SM-Visceral	AC005034.2
MYOCD	3.43077193139149e-35	0.283933823193348	0.985	0.767	8.37279889856093e-31	SM-Visceral	MYOCD
LINC01798	6.18939205019561e-35	0.388152806624884	1	0.885	1.51052112985024e-30	SM-Visceral	LINC01798
TAGLN	6.19251832840243e-35	0.207850694923442	0.925	0.604	1.51128409804661e-30	SM-Visceral	TAGLN
RP11-834C11.12	1.02200691568836e-34	0.314689268527128	1	0.983	2.49420787773744e-30	SM-Visceral	RP11-834C11.12
