orig.ident	nCount_ATAC	nFeature_ATAC	nCount_ACTIVITY	nFeature_ACTIVITY	tech	predicted.id	prediction.score.max	tSNE_1	tSNE_2	EPCAM	VIM	PTPRC	HBG1
SIL_1_1-1	SIL	79017	30671	33525.9137681995	13489	atac	SM-Visceral	0.951706140497725	9.17487757807692	4.04393083355993	-0.906661292471857	-0.541481855822329	-0.0969315437301584	-0.118048786268476
SIL_1_1-2	SIL	98959	38771	42261.635721346	14991	atac	Fibro-GPC3	0.881952187013533	-0.990669017042023	5.0129097576338	-0.0416859814042115	1.75545701099421	-0.0969315437301584	-0.118048786268476
SIL_1_1-3	SIL	85369	33241	36599.0599135749	14052	atac	Fibro-COL6A5	0.874373455088769	15.4893173714175	5.27711109764356	-0.367409602083618	0.890499092998532	-0.0969315437301584	-0.118048786268476
SIL_1_1-4	SIL	74131	28922	31320.0738225191	13079	atac	SM-Visceral	0.967629249139262	8.60526425048868	3.52647550593118	0.593166767742462	-0.541481855822329	-0.0969315437301584	-0.118048786268476
SIL_1_1-5	SIL	123987	43462	47012.8681514993	15362	atac	Fibro-ZEB1	0.998613815790685	20.586879427131	3.44478922638213	0.195138317306377	-0.541481855822329	-0.0969315437301584	-0.118048786268476
SIL_1_1-6	SIL	42168	19792	21150.6453402799	10032	atac	Endo	1	-34.628640773076	6.36230553264643	-0.906661292471857	-0.541481855822329	-0.0969315437301584	-0.118048786268476
SIL_1_1-8	SIL	81558	29802	32610.2653876725	13270	atac	Fibro-VCAM1	0.541117477515412	25.7885453614064	7.90692077953161	-0.309567760110217	-0.541481855822329	-0.0969315437301584	-0.118048786268476
SIL_1_2-1	SIL	131035	46631	52633.9218283942	16402	atac	Epi	0.984717172063936	-5.72507917601637	-23.8169267073891	0.791702497125624	-0.541481855822329	-0.0969315437301584	-0.118048786268476
SIL_1_2-2	SIL	112035	38853	42237.6244418438	14553	atac	Fibro-GPC3	0.791873925078204	0.390567400368857	-0.306691107743363	-0.906661292471857	-0.541481855822329	-0.0969315437301584	-0.118048786268476
SIL_1_2-3	SIL	118318	40022	43000.5671453362	14235	atac	Fibro-ZEB1	0.970238575934003	23.1636770362659	2.06721043486377	-0.0540429308004809	0.698022278379027	-0.0969315437301584	-0.118048786268476
SIL_1_2-4	SIL	76091	29509	32335.213214493	13286	atac	Fibro-COL14A1	0.965601947840378	2.2135125347342	15.4012911412867	-0.577687860727576	-0.541481855822329	-0.0969315437301584	-0.118048786268476
SIL_1_2-5	SIL	82908	31577	34410.591733524	13803	atac	SM-Visceral	0.956820158165958	7.88638030950491	-0.298605507317479	-0.596212936459096	-0.541481855822329	-0.0969315437301584	-0.118048786268476
