p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
EIF1P3	1.92953585002382e-16	0.153673008508846	0.783	0.129	4.70150705216803e-12	Erythrocyte-Prol	EIF1P3
CRISP3	5.05663930605959e-14	0.242085987317729	1	0.428	1.23210073331448e-09	Erythrocyte-Prol	CRISP3
HEMGN	3.20532244632609e-13	0.476525733002639	1	0.858	7.81008867271814e-09	Erythrocyte-Prol	HEMGN
NFIA	3.69358344030414e-13	0.539273351675361	1	1	8.99978541064507e-09	Erythrocyte-Prol	NFIA
ALAS2	3.74839448264701e-13	0.33967898314637	1	0.446	9.1333379964177e-09	Erythrocyte-Prol	ALAS2
CRISP1	4.83886906335924e-13	0.291909536245202	1	0.406	1.17903883597811e-08	Erythrocyte-Prol	CRISP1
RP11-20B24.2	5.12141879771678e-13	0.194620969020731	1	0.532	1.24788490425167e-08	Erythrocyte-Prol	RP11-20B24.2
RP11-968A15.8	5.57152719266946e-13	0.537555819858791	1	0.997	1.35755831576584e-08	Erythrocyte-Prol	RP11-968A15.8
ERAL1	6.21474793700756e-13	0.411734058197716	1	0.569	1.51428548233126e-08	Erythrocyte-Prol	ERAL1
SLC4A1	7.43678937397782e-13	0.615461040075627	1	0.923	1.81204809886344e-08	Erythrocyte-Prol	SLC4A1
CTC-756D1.3	9.28859626442499e-13	0.348086671859245	1	0.775	2.26325936578979e-08	Erythrocyte-Prol	CTC-756D1.3
AC104304.4	1.06734764763884e-12	0.219573353593912	0.913	0.295	2.6006992782368e-08	Erythrocyte-Prol	AC104304.4
GFI1B	1.12606429977665e-12	0.512140894160666	1	0.969	2.74376827283577e-08	Erythrocyte-Prol	GFI1B
RP11-673E1.4	1.22448960149828e-12	0.244289469408073	0.783	0.212	2.98359136301071e-08	Erythrocyte-Prol	RP11-673E1.4
TFRC	1.27580387808799e-12	0.475111923333526	1	1	3.10862372934919e-08	Erythrocyte-Prol	TFRC
RP11-1148L6.5	1.96974148006334e-12	0.125776459610467	0.696	0.138	4.79947209032232e-08	Erythrocyte-Prol	RP11-1148L6.5
CRISP2	3.29641719294928e-12	0.165672748552862	1	0.391	8.03205013234022e-08	Erythrocyte-Prol	CRISP2
PP2D1	4.43164037479356e-12	0.257664951431252	0.957	0.471	1.0798134937222e-07	Erythrocyte-Prol	PP2D1
LINC02009	5.80218099212445e-12	0.196726072027589	0.957	0.434	1.41375942054104e-07	Erythrocyte-Prol	LINC02009
SNRPCP2	6.1438391772809e-12	0.189777607530034	0.957	0.452	1.49700785393626e-07	Erythrocyte-Prol	SNRPCP2
GYPE	1.2250199464783e-11	0.0754217433368486	0.435	0.049	2.98488360158903e-07	Erythrocyte-Prol	GYPE
RP11-372E1.4	1.33501885649625e-11	0.257650562649052	0.957	0.575	3.25290694573875e-07	Erythrocyte-Prol	RP11-372E1.4
TAL1	1.96248903989251e-11	0.517115046924881	1	0.883	4.78180079460208e-07	Erythrocyte-Prol	TAL1
RP11-319E16.1	2.07919090814945e-11	0.23535169805295	0.826	0.262	5.06615656679694e-07	Erythrocyte-Prol	RP11-319E16.1
RP11-50I19.1	2.20389824769155e-11	0.197425436639135	0.957	0.634	5.37001847032523e-07	Erythrocyte-Prol	RP11-50I19.1
HBQ1	2.51355650253232e-11	0.351941964428421	1	0.8	6.12453177407025e-07	Erythrocyte-Prol	HBQ1
TMEM56	2.66296193319967e-11	0.541534453435053	1	0.822	6.48857304643433e-07	Erythrocyte-Prol	TMEM56
HBA2	4.39934400925204e-11	0.174309420630051	0.957	0.397	1.07194416129435e-06	Erythrocyte-Prol	HBA2
BTNL10	6.02959243336755e-11	0.250940952992251	1	0.56	1.46917049231434e-06	Erythrocyte-Prol	BTNL10
CTD-2530H12.4	6.54630225154494e-11	0.437390296916742	1	0.991	1.59507200661144e-06	Erythrocyte-Prol	CTD-2530H12.4
RHAG	6.88128327813046e-11	0.274452723665119	1	0.471	1.67669348354927e-06	Erythrocyte-Prol	RHAG
RP5-877J2.1	7.77424429229702e-11	0.792745485400359	1	0.883	1.89427236426109e-06	Erythrocyte-Prol	RP5-877J2.1
ZDHHC19	8.11091465748506e-11	0.286234372713726	1	0.991	1.97630546544281e-06	Erythrocyte-Prol	ZDHHC19
NPRL3	8.70964815682469e-11	0.480805342100635	1	0.994	2.1221928698919e-06	Erythrocyte-Prol	NPRL3
TGFB1I1	9.5655423359438e-11	0.368563226090783	1	0.895	2.33074004557607e-06	Erythrocyte-Prol	TGFB1I1
EPHX1	9.75838101366995e-11	0.422609334325893	1	0.991	2.37772711779082e-06	Erythrocyte-Prol	EPHX1
RNF215	1.20676363097052e-10	0.350807834575524	1	0.988	2.94040026322277e-06	Erythrocyte-Prol	RNF215
