p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
Peak-93551-1	1.22345397984128e-22	0.164371569418122	0.739	0.074	4.08161376030767e-17	Erythrocyte-Prol	Peak-93551-1
Peak-110998-2	2.72943413832566e-22	0.194806599058426	0.783	0.095	9.10577440623377e-17	Erythrocyte-Prol	Peak-110998-2
Peak-93100-1	6.24629550568857e-22	0.269068471726579	0.87	0.132	2.08385162883479e-16	Erythrocyte-Prol	Peak-93100-1
Peak-105055-1	2.43895037331324e-20	0.140998430239091	0.609	0.052	8.13667989842522e-15	Erythrocyte-Prol	Peak-105055-1
Peak-43976-2	4.53859150807888e-20	0.250500262975735	0.913	0.178	1.51413766737623e-14	Erythrocyte-Prol	Peak-43976-2
Peak-137422-1	1.37843916599355e-19	0.0730622217563645	0.522	0.034	4.59866603923773e-14	Erythrocyte-Prol	Peak-137422-1
Peak-50149-1	1.64727414063572e-19	0.353575705686061	0.957	0.209	5.49553715154044e-14	Erythrocyte-Prol	Peak-50149-1
Peak-48407-1	2.15399867282203e-19	0.294784011263621	0.957	0.215	7.18604113234847e-14	Erythrocyte-Prol	Peak-48407-1
Peak-71572-1	2.47972328476945e-19	0.220412984444151	0.826	0.135	8.27270403925076e-14	Erythrocyte-Prol	Peak-71572-1
Peak-6209-1	4.9079393175394e-19	0.236167723923361	0.913	0.191	1.63735726748159e-13	Erythrocyte-Prol	Peak-6209-1
Peak-8751-17	1.19467914529108e-18	0.12588614018721	0.652	0.074	3.98561688377138e-13	Erythrocyte-Prol	Peak-8751-17
Peak-945-1	1.25858243158172e-18	0.238056031338996	0.87	0.169	4.19880719329705e-13	Erythrocyte-Prol	Peak-945-1
Peak-25208-1	1.70847389584358e-18	0.178144053492365	0.739	0.114	5.69970810287962e-13	Erythrocyte-Prol	Peak-25208-1
Peak-131363-1	2.50290210821694e-18	0.192995636941119	0.739	0.108	8.35003183930687e-13	Erythrocyte-Prol	Peak-131363-1
Peak-127146-1	3.03002673601e-18	0.117091489523244	0.565	0.052	1.01085933950724e-12	Erythrocyte-Prol	Peak-127146-1
Peak-64821-1	3.17217790166781e-18	0.293679969319573	0.913	0.206	1.058282958487e-12	Erythrocyte-Prol	Peak-64821-1
Peak-57640-1	3.8817724301124e-18	0.315983110590113	0.87	0.191	1.29501362749952e-12	Erythrocyte-Prol	Peak-57640-1
Peak-133517-1	5.30872575703641e-18	0.194439352526774	0.696	0.095	1.77106523470795e-12	Erythrocyte-Prol	Peak-133517-1
Peak-107894-1	6.66700123431374e-18	0.146462612995976	0.652	0.077	2.22420494978435e-12	Erythrocyte-Prol	Peak-107894-1
Peak-196033-1	7.54600618305924e-18	0.0605779176202028	0.391	0.018	2.51745330675513e-12	Erythrocyte-Prol	Peak-196033-1
Peak-29234-1	9.31669306412089e-18	0.455650144994099	1	0.338	3.10817923989363e-12	Erythrocyte-Prol	Peak-29234-1
Peak-73146-1	1.4887267038651e-17	0.264528580899668	0.783	0.142	4.96660070583251e-12	Erythrocyte-Prol	Peak-73146-1
Peak-68443-1	2.30489543853288e-17	0.190877898239151	0.783	0.129	7.68945386830709e-12	Erythrocyte-Prol	Peak-68443-1
Peak-3467-6	2.84150083061623e-17	0.356710771891365	0.913	0.246	9.47964458105203e-12	Erythrocyte-Prol	Peak-3467-6
Peak-40912-1	3.30957400676579e-17	0.314389825734154	0.957	0.255	1.10412022269316e-11	Erythrocyte-Prol	Peak-40912-1
Peak-47181-1	3.34051241164664e-17	0.286400908330436	0.957	0.249	1.11444170769908e-11	Erythrocyte-Prol	Peak-47181-1
Peak-113302-1	3.84428346348096e-17	0.179844212128742	0.739	0.117	1.28250678338574e-11	Erythrocyte-Prol	Peak-113302-1
Peak-130297-1	4.2679615698234e-17	0.0589406415907552	0.435	0.028	1.42385173115506e-11	Erythrocyte-Prol	Peak-130297-1
Peak-85214-1	4.56914929512836e-17	0.231684668091256	0.739	0.117	1.52433217294495e-11	Erythrocyte-Prol	Peak-85214-1
Peak-69720-1	4.9588302306248e-17	0.332041236023021	0.87	0.197	1.65433518855966e-11	Erythrocyte-Prol	Peak-69720-1
Peak-50057-1	4.9610627342683e-17	0.243358731528476	0.87	0.188	1.65507998303018e-11	Erythrocyte-Prol	Peak-50057-1
Peak-45849-1	5.61281315392364e-17	0.390200798212529	0.957	0.277	1.87251304753308e-11	Erythrocyte-Prol	Peak-45849-1
Peak-72259-1	7.07634686091366e-17	0.253217878983226	0.783	0.154	2.36076838165685e-11	Erythrocyte-Prol	Peak-72259-1
Peak-13710-6	7.5655798406314e-17	0.250984328452285	0.783	0.145	2.5239833529524e-11	Erythrocyte-Prol	Peak-13710-6
Peak-53109-1	7.7647116618633e-17	0.18377329545991	0.783	0.138	2.59041651636086e-11	Erythrocyte-Prol	Peak-53109-1
Peak-83246-1	7.77813086279637e-17	0.172651677938143	0.739	0.12	2.59489334966095e-11	Erythrocyte-Prol	Peak-83246-1
Peak-200821-1	9.56908665240126e-17	0.110300708888324	0.478	0.04	3.19238127445419e-11	Erythrocyte-Prol	Peak-200821-1
Peak-61856-1	9.89114654298251e-17	0.188106124379697	0.739	0.117	3.29982496279057e-11	Erythrocyte-Prol	Peak-61856-1
Peak-8515-4	1.00884555556871e-16	0.522810914995384	1	0.388	3.36565001175501e-11	Erythrocyte-Prol	Peak-8515-4
Peak-130069-1	1.03744722869602e-16	0.0953343982772037	0.565	0.058	3.46106919754195e-11	Erythrocyte-Prol	Peak-130069-1
Peak-36370-2	1.34571637966496e-16	0.14056655856778	0.609	0.074	4.48949824285546e-11	Erythrocyte-Prol	Peak-36370-2
Peak-34751-2	1.43768585170262e-16	0.337485630444133	0.913	0.243	4.79632127729919e-11	Erythrocyte-Prol	Peak-34751-2
Peak-10677-1	1.48830168132742e-16	0.212188571248058	0.696	0.114	4.96518277114364e-11	Erythrocyte-Prol	Peak-10677-1
Peak-61799-1	1.51032636020872e-16	0.207273196835867	0.913	0.206	5.0386601833467e-11	Erythrocyte-Prol	Peak-61799-1
Peak-44734-1	1.5171105049897e-16	0.291748200097993	0.913	0.24	5.06129304011635e-11	Erythrocyte-Prol	Peak-44734-1
Peak-118371-1	1.83202537818989e-16	0.154198187853271	0.652	0.092	6.11189314519442e-11	Erythrocyte-Prol	Peak-118371-1
Peak-52062-1	1.95506419441835e-16	0.324184557384193	0.957	0.262	6.52236786156682e-11	Erythrocyte-Prol	Peak-52062-1
Peak-111730-1	2.03584576260202e-16	0.14740165045974	0.609	0.077	6.79186648244712e-11	Erythrocyte-Prol	Peak-111730-1
Peak-89591-1	3.01742895528306e-16	0.191751074776555	0.783	0.148	1.0066565434878e-10	Erythrocyte-Prol	Peak-89591-1
Peak-52890-2	3.44665632898551e-16	0.271979050689674	0.913	0.265	1.14985280453817e-10	Erythrocyte-Prol	Peak-52890-2
Peak-42104-3	4.23255499915057e-16	0.136682683896774	0.739	0.114	1.41203960348662e-10	Erythrocyte-Prol	Peak-42104-3
