RNA_cell	ATAC_cell	score
PZ_C-B2_62	PZ_1_1-1	0.607142857142857
PZ_C-C2_63	PZ_1_1-1	0.607142857142857
PZ_D-C2_01	PZ_1_1-2	0.0714285714285714
PZ_D-C5_42	PZ_1_1-2	0.0714285714285714
PZ_C-C1_71	PZ_1_1-3	0.357142857142857
PZ_C-B4_71	PZ_1_1-3	0.535714285714286
PZ_C-C4_89	PZ_1_1-3	0.642857142857143
PZ_D-C2_39	PZ_1_1-3	0.642857142857143
PZ_C-C1_39	PZ_1_1-4	0.0357142857142857
PZ_C-C4_93	PZ_1_1-4	0.214285714285714
PZ_C-C5_30	PZ_1_1-4	0.321428571428571
PZ_C-C4_14	PZ_1_1-5	0.428571428571429
PZ_C-C6_86	PZ_1_1-5	0.607142857142857
PZ_D-C5_03	PZ_1_1-5	0.357142857142857
PZ_D-C5_73	PZ_1_1-5	0.392857142857143
PZ_C-B1_77	PZ_1_1-6	0.285714285714286
PZ_C-B2_24	PZ_1_1-6	0.107142857142857
PZ_C-B3_82	PZ_1_1-6	0.178571428571429
PZ_D-C2_32	PZ_1_1-6	0.107142857142857
PZ_D-C3_06	PZ_1_1-6	0.214285714285714
PZ_C-C1_89	PZ_1_1-7	0.964285714285714
PZ_C-B1_95	PZ_1_1-7	1
PZ_D-C1_59	PZ_1_1-7	0.928571428571429
PZ_D-C2_39	PZ_1_1-7	1
PZ_C-B4_69	PZ_1_2-1	0.107142857142857
PZ_C-C5_01	PZ_1_2-1	0.535714285714286
PZ_C-C5_68	PZ_1_2-1	0.357142857142857
PZ_C-C6_86	PZ_1_2-1	0.571428571428571
PZ_D-C1_72	PZ_1_2-1	0.25
PZ_C-B3_43	PZ_1_2-2	0.285714285714286
PZ_C-C4_92	PZ_1_2-2	0.285714285714286
PZ_D-C3_21	PZ_1_2-2	0.25
PZ_C-B1_01	PZ_1_2-3	0.178571428571429
PZ_C-B1_11	PZ_1_2-3	0.642857142857143
PZ_C-B4_84	PZ_1_2-3	0.357142857142857
PZ_C-C2_10	PZ_1_2-3	0.285714285714286
PZ_C-C6_53	PZ_1_2-3	0.214285714285714
PZ_D-C2_76	PZ_1_2-5	0.321428571428571
PZ_D-C2_95	PZ_1_2-5	0.321428571428571
PZ_D-C3_13	PZ_1_2-5	0.571428571428571
PZ_D-C5_74	PZ_1_2-5	0.321428571428571
PZ_C-C4_37	PZ_1_2-7	0.428571428571429
PZ_D-C5_73	PZ_1_2-7	0.25
PZ_C-C2_73	PZ_1_2-8	0.107142857142857
PZ_C-B3_44	PZ_1_3-1	0.285714285714286
PZ_C-C4_58	PZ_1_3-1	0.321428571428571
PZ_D-C3_57	PZ_1_3-1	0.428571428571429
PZ_D-C5_01	PZ_1_3-1	0.321428571428571
PZ_D-C5_47	PZ_1_3-1	0.142857142857143
PZ_C-C2_50	PZ_1_3-2	0.928571428571429
PZ_C-C3_48	PZ_1_3-2	0.892857142857143
PZ_C-C4_27	PZ_1_3-2	0.964285714285714
PZ_C-B2_67	PZ_1_3-3	0.0714285714285714
PZ_D-C1_65	PZ_1_3-3	0.0714285714285714
PZ_C-B1_85	PZ_1_3-4	0.214285714285714
PZ_C-C6_09	PZ_1_3-4	0.392857142857143
PZ_D-C2_72	PZ_1_3-5	0.285714285714286
PZ_D-C1_32	PZ_1_3-6	0.214285714285714
PZ_C-C4_36	PZ_1_3-7	1
PZ_D-C3_41	PZ_1_3-7	0.857142857142857
PZ_D-C1_44	PZ_1_3-8	0.642857142857143
PZ_D-C1_95	PZ_1_3-8	0.785714285714286
PZ_D-C2_93	PZ_1_3-8	0.714285714285714
PZ_D-C3_78	PZ_1_3-8	0.75
