p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
GALNT9	2.21468677008314e-64	0.294826249487905	1	0.999	5.40494306238791e-60	Fibro-ADAM28	GALNT9
LINC02135	5.99878289873861e-62	0.194511595309634	1	0.996	1.46400296643716e-57	Fibro-ADAM28	LINC02135
FENDRR	1.69203500473624e-61	0.278020227827669	1	0.999	4.12941142905879e-57	Fibro-ADAM28	FENDRR
FOXL1	2.9118560867575e-59	0.208407917987296	1	0.996	7.10638477973168e-55	Fibro-ADAM28	FOXL1
SHANK2	9.66428814093163e-53	0.307619053061939	1	0.999	2.35856952079437e-48	Fibro-ADAM28	SHANK2
WNT4	6.14801318887742e-47	0.206986554335138	1	0.996	1.50042261874553e-42	Fibro-ADAM28	WNT4
RP11-805I24.3	7.21004382953039e-47	0.208958152463135	1	1	1.75961119659689e-42	Fibro-ADAM28	RP11-805I24.3
EIF4BP3	4.29935007980309e-46	0.0633350649032542	0.997	0.912	1.04925638697594e-41	Fibro-ADAM28	EIF4BP3
SALL1	4.15456988268969e-45	0.187172506182108	0.997	0.939	1.01392277987042e-40	Fibro-ADAM28	SALL1
LINC01081	1.21049775415567e-44	0.182576926753835	1	0.997	2.95421976901691e-40	Fibro-ADAM28	LINC01081
ADAMTS8	4.64351791430555e-44	0.218689660538552	1	0.982	1.13325054698627e-39	Fibro-ADAM28	ADAMTS8
CELF4	2.19751033886634e-42	0.23632155523638	1	0.998	5.36302398200329e-38	Fibro-ADAM28	CELF4
SORCS3	2.89560692800761e-42	0.23841575081758	0.978	0.876	7.06672870780257e-38	Fibro-ADAM28	SORCS3
RP11-58A18.2	2.98134287924798e-42	0.0548750905842292	0.975	0.873	7.2759672968047e-38	Fibro-ADAM28	RP11-58A18.2
FGFR4	4.01696462374596e-42	0.180667623228352	0.997	0.987	9.80340216425202e-38	Fibro-ADAM28	FGFR4
LINC00163	8.24566224343783e-41	0.200692984831475	0.987	0.942	2.012353870511e-36	Fibro-ADAM28	LINC00163
HS3ST3B1	5.47477410453607e-40	0.190390805744451	1	1	1.33611862021203e-35	Fibro-ADAM28	HS3ST3B1
NTRK3	1.53745918371028e-38	0.216168401356296	0.997	0.966	3.75216913784493e-34	Fibro-ADAM28	NTRK3
MYCN	1.69184393515182e-38	0.199354394398528	0.991	0.961	4.12894512373801e-34	Fibro-ADAM28	MYCN
ZNF333	2.55837790200007e-38	0.0780019057477201	0.497	0.19	6.24372126983116e-34	Fibro-ADAM28	ZNF333
EXOC2	3.65298008624156e-38	0.201676753894064	0.997	0.969	8.91509790047252e-34	Fibro-ADAM28	EXOC2
LINC01503	5.70618600639662e-37	0.187746544977959	1	0.983	1.39259469486109e-32	Fibro-ADAM28	LINC01503
DIO3OS	7.80229218323421e-37	0.204969523613688	0.965	0.915	1.90414940731831e-32	Fibro-ADAM28	DIO3OS
KIAA1644	1.07979850842322e-36	0.221314109597512	1	0.988	2.63524825980687e-32	Fibro-ADAM28	KIAA1644
NTRK3-AS1	1.214153423733e-36	0.0616038418058586	0.978	0.86	2.96314143062038e-32	Fibro-ADAM28	NTRK3-AS1
TMEM119	4.25576862764798e-36	0.169399664814589	1	0.969	1.03862033357749e-31	Fibro-ADAM28	TMEM119
RP11-62L18.3	1.05969276236539e-35	0.15516705299643	0.984	0.891	2.58618018655272e-31	Fibro-ADAM28	RP11-62L18.3
RBFOX1	2.80687274407576e-35	0.157119543299704	0.816	0.569	6.85017293191689e-31	Fibro-ADAM28	RBFOX1
RP11-334E6.10	1.61992566970682e-34	0.11550271561159	0.991	0.908	3.9534285969195e-30	Fibro-ADAM28	RP11-334E6.10
AC011648.1	5.55322620927743e-34	0.139902475738821	0.997	0.982	1.35526485637416e-29	Fibro-ADAM28	AC011648.1
SMIM3	1.1264759731832e-33	0.178979708556728	0.997	0.988	2.7491646125536e-29	Fibro-ADAM28	SMIM3
