orig.ident	nCount_ATAC	nFeature_ATAC	nCount_ACTIVITY	nFeature_ACTIVITY	tech	predicted.id	prediction.score.max	tSNE_1	tSNE_2	EPCAM	VIM	PTPRC	HBG1
WT_1_1-1	WT	102724	38221	39870.1717105511	14905	atac	Fibro-ADAM28	0.405713394470539	2.15916753324263	20.5764986350546	-1.04018241792797	-0.955535269851143	-0.115666004720209	-0.092707651815819
WT_1_1-2	WT	103258	37768	39802.8686391617	14711	atac	Fibro-ADAM28	0.362284351923451	4.9538586290109	19.4733068327393	-0.183445984490494	1.82196060059798	-0.115666004720209	-0.092707651815819
WT_1_1-3	WT	94843	34681	37003.8373800738	14326	atac	Fibro-ADAM28	0.279021401810492	7.0301714609467	18.9996039810666	-0.125826482328802	0.63874174799761	-0.115666004720209	-0.092707651815819
WT_1_1-4	WT	114594	41749	44008.6875889326	15633	atac	Fibro-FBLN1	0.26808147153457	10.97966541376	18.4563496543238	1.82823553824864	1.65711457014128	-0.115666004720209	-0.092707651815819
WT_1_1-5	WT	76359	30483	32497.2715872782	13684	atac	Fibro-ADAM28	0.370146249823843	6.82747514374945	21.0398176164432	-0.0146848747416466	-0.955535269851143	-0.115666004720209	-0.092707651815819
WT_1_1-7	WT	113605	40220	42205.7052047012	15210	atac	Fibro-ADAM28	0.456023614458926	3.37254542174064	19.2783024209333	0.442507462461705	1.11805799081301	-0.115666004720209	-0.092707651815819
WT_1_2-1	WT	105028	38408	40435.4213238105	15102	atac	Fibro-ADAM28	0.320697624790948	5.38298043681652	22.516803224533	-0.195471497581665	-0.955535269851143	-0.115666004720209	-0.092707651815819
WT_1_2-2	WT	95564	36556	38244.7187547315	14484	atac	Fibro-FBLN1	0.521898193991086	11.2322280857848	19.1027255729714	-1.04018241792797	-0.955535269851143	-0.115666004720209	-0.092707651815819
WT_1_2-4	WT	104245	39336	40637.0455227547	15126	atac	Fibro-ADAM28	0.270743398956013	8.19732884554214	20.4792900522059	-0.199233671365791	-0.0568996638043651	-0.115666004720209	-0.092707651815819
WT_1_2-5	WT	66863	25816	27788.1095224192	12820	atac	Fibro-ADAM28	0.461170982670619	5.92459113203623	20.9497241610196	-1.04018241792797	-0.955535269851143	-0.115666004720209	-0.092707651815819
WT_1_2-6	WT	102868	38023	40376.5320599644	14916	atac	Fibro-FBLN1	0.623239264413304	10.0184853713292	16.5464129780397	0.497781605702928	-0.955535269851143	-0.115666004720209	-0.092707651815819
WT_1_2-8	WT	347577	92702	95176.2253550025	19238	atac	Epi	0.9039756330227	38.3879918412212	5.27535930313836	1.62146868757998	-0.101023028786557	3.54520772989781	-0.092707651815819
WT_1_3-2	WT	138813	46157	46467.7671932609	15402	atac	DC/Macro	0.873940934386316	-3.2152372844314	-38.4189301150257	-1.04018241792797	3.16107119836701	-0.115666004720209	-0.092707651815819
WT_1_3-3	WT	104446	36548	38338.7377140157	14475	atac	Fibro-NRK	0.425847101841749	12.7798881207577	20.2840790834438	-1.04018241792797	0.84982727274329	-0.115666004720209	-0.092707651815819
WT_1_3-4	WT	68333	27824	29287.8402975635	13131	atac	Fibro-ADAM28	0.269414325179943	4.28504848794934	16.095014241841	-1.04018241792797	-0.955535269851143	-0.115666004720209	-0.092707651815819
