p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
RPL39P38	3.7549243839563e-10	0.129728458283145	0.52	0.11	9.06588943262408e-06	Pre-T	RPL39P38
IRF4	5.81861524766801e-10	0.329859277792299	0.94	0.74	1.40484646539696e-05	Pre-T	IRF4
GIMAP8	8.19938501968235e-10	0.313935137369851	0.9	0.618	1.97965951915211e-05	Pre-T	GIMAP8
A2ML1	1.06023031927474e-09	0.232036176877114	0.74	0.324	2.55982008285694e-05	Pre-T	A2ML1
FAS	1.58429046037837e-09	0.0985008680729301	0.7	0.243	3.82511088753754e-05	Pre-T	FAS
ANKRD44	2.38778389883508e-09	0.309610656685312	1	1	5.76506544534743e-05	Pre-T	ANKRD44
MAP3K1	2.530707351815e-09	0.378816428281453	1	0.931	6.11013983022213e-05	Pre-T	MAP3K1
TGFBR2	5.67745215739755e-09	0.473470786723049	0.98	0.96	0.000137076404888206	Pre-T	TGFBR2
DUSP22	6.06629491379339e-09	0.25225750470473	1	0.942	0.000146464624398628	Pre-T	DUSP22
CLEC2D	2.72557506512374e-08	0.23691702321763	0.98	0.775	0.000658062843723476	Pre-T	CLEC2D
RP11-157D23.2	3.54311272451027e-08	0.217641026173664	0.76	0.405	0.000855449136205761	Pre-T	RP11-157D23.2
UBAC2	8.35714599179002e-08	0.3693407608129	1	0.994	0.00201774932825778	Pre-T	UBAC2
ICOS	9.99867632122404e-08	0.109611983673859	0.96	0.665	0.00241408041099633	Pre-T	ICOS
LINC00598	1.69635792692392e-07	0.355846058206926	1	0.971	0.00409568657876512	Pre-T	LINC00598
RP11-400F1.1	1.75967362683898e-07	0.103504856259855	0.8	0.405	0.00424855600464003	Pre-T	RP11-400F1.1
AC142391.3	1.84536406756209e-07	0.225937771573328	0.8	0.422	0.00445544700472191	Pre-T	AC142391.3
SFMBT2	1.91292474231307e-07	0.287522525742852	1	0.948	0.00461856549784067	Pre-T	SFMBT2
PLIN2	2.25256773983916e-07	0.20095959792298	1	0.844	0.00543859955106768	Pre-T	PLIN2
C3AR1	2.58351483560619e-07	0.0769705584886141	1	0.775	0.00623763821908759	Pre-T	C3AR1
