orig.ident	nCount_ATAC	nFeature_ATAC	nCount_ACTIVITY	nFeature_ACTIVITY	tech	predicted.id	prediction.score.max	tSNE_1	tSNE_2	EPCAM	VIM	PTPRC	HBG1
XoX_1_1-1	XoX	131558	46636	54868.4956387352	16053	atac	Pre-T	0.869351028753266	0.049793272121072	-1.5631848395552	0.939492022706376	0.738175318009818	-0.10409961653334	-0.379265570451422
XoX_1_1-2	XoX	56758	25326	29463.0844031667	13062	atac	T-DP	0.405121698968503	7.78357410517251	1.63020483371762	2.0818482502422	2.1810302582492	-0.10409961653334	-0.379265570451422
XoX_1_1-3	XoX	58890	24161	28653.848114407	12848	atac	T-DP	0.545458625041544	-4.73427724148028	-3.13482801715443	0.876474743959716	-0.591868132665948	-0.10409961653334	-0.379265570451422
XoX_1_1-4	XoX	74495	29475	34378.3035072533	13707	atac	Pre-T	0.49671835225947	-5.25285265322811	0.432130359213423	1.75368693676632	-0.591868132665948	-0.10409961653334	-0.379265570451422
XoX_1_1-5	XoX	48191	20121	23298.3690862322	11461	atac	T-DP	0.698286589714872	-6.74849625469844	-1.41767834328322	-0.773225872439981	-0.591868132665948	-0.10409961653334	-0.379265570451422
XoX_1_1-6	XoX	116587	41761	48951.2402529246	15495	atac	Pre-T	0.829814569043203	2.05982399422	-0.954339542857822	0.25115157592978	-0.591868132665948	-0.10409961653334	-0.379265570451422
XoX_1_1-7	XoX	73363	28669	33926.2026657783	13684	atac	Pre-T	0.641753883248974	2.07100177267245	-1.78651290735615	0.650338457739769	0.790722676153852	-0.10409961653334	-0.379265570451422
XoX_1_1-8	XoX	46523	20264	23852.5773091213	11922	atac	T-DP	0.881044888733733	0.730930067384083	8.14310416976078	-0.773225872439981	-0.591868132665948	-0.10409961653334	-0.379265570451422
XoX_1_2-1	XoX	57292	24058	28209.2009671378	12634	atac	T-DP	0.670246607001409	1.87110732015466	1.93674661124368	-0.773225872439981	-0.591868132665948	-0.10409961653334	-0.379265570451422
XoX_1_2-2	XoX	47492	20166	24155.4423529751	11942	atac	T-DP	0.676146060868353	3.41140958802828	-0.0155567821451968	-0.773225872439981	-0.591868132665948	-0.10409961653334	-0.379265570451422
