RNA_cell	ATAC_cell	score
XX_C-C2_46	XoX_1_1-1	0.666666666666667
XX_C-C4_40	XoX_1_1-1	1
XX_C-C4_53	XoX_1_1-1	1
XX_C-C4_83	XoX_1_1-1	1
XX_C-C5_87	XoX_1_1-1	1
XX_C-C1_07	XoX_1_1-2	0.333333333333333
XX_C-C2_27	XoX_1_1-2	0.916666666666667
XX_C-C4_61	XoX_1_1-2	0.333333333333333
XX_C-C4_94	XoX_1_1-2	0.583333333333333
XX_C-C5_29	XoX_1_1-2	0.25
XX_C-C1_44	XoX_1_1-3	0.333333333333333
XX_C-C3_44	XoX_1_1-3	0.75
XX_C-C5_56	XoX_1_1-3	0.333333333333333
XX_C-C2_55	XoX_1_1-4	0.0833333333333333
XX_C-C3_22	XoX_1_1-4	0.5
XX_C-C5_05	XoX_1_1-4	0.833333333333333
XX_C-C5_07	XoX_1_1-4	0.833333333333333
XX_C-C5_13	XoX_1_1-4	0.583333333333333
XX_C-C2_15	XoX_1_1-5	0.583333333333333
XX_C-C4_37	XoX_1_1-5	1
XX_C-C5_56	XoX_1_1-5	0.416666666666667
XX_C-C5_76	XoX_1_1-5	0.666666666666667
XX_C-C2_52	XoX_1_1-6	0.333333333333333
XX_C-C3_18	XoX_1_1-6	0.666666666666667
XX_C-C4_83	XoX_1_1-6	1
XX_C-C4_85	XoX_1_1-6	0.916666666666667
XX_C-C5_87	XoX_1_1-6	1
XX_C-C1_16	XoX_1_1-7	0.916666666666667
XX_C-C2_15	XoX_1_1-7	0.916666666666667
XX_C-C5_13	XoX_1_1-7	0.75
XX_C-C5_50	XoX_1_1-7	1
XX_C-C5_56	XoX_1_1-7	0.916666666666667
XX_C-C1_40	XoX_1_1-8	0.666666666666667
XX_C-C1_42	XoX_1_1-8	0.0833333333333333
XX_C-C2_03	XoX_1_1-8	0.5
XX_C-C3_61	XoX_1_1-8	0.166666666666667
XX_C-C5_17	XoX_1_1-8	0.5
XX_C-C3_46	XoX_1_2-1	0.75
XX_C-C4_26	XoX_1_2-1	0.75
XX_C-C4_86	XoX_1_2-1	0.333333333333333
XX_C-C4_51	XoX_1_2-2	0.666666666666667
XX_C-C4_63	XoX_1_2-2	0.5
XX_C-C1_09	XoX_1_2-3	0.583333333333333
XX_C-C2_68	XoX_1_2-3	0.583333333333333
XX_C-C2_96	XoX_1_2-3	0.5
XX_C-C3_74	XoX_1_2-3	0.333333333333333
XX_C-C1_87	XoX_1_2-4	0.333333333333333
XX_C-C3_03	XoX_1_2-4	0
XX_C-C5_39	XoX_1_2-4	0
XX_C-C5_81	XoX_1_2-4	0.166666666666667
XX_C-C1_06	XoX_1_2-5	0.833333333333333
XX_C-C3_07	XoX_1_2-5	0.833333333333333
XX_C-C3_68	XoX_1_2-5	0.5
XX_C-C4_36	XoX_1_2-5	1
XX_C-C4_88	XoX_1_2-5	1
XX_C-C1_09	XoX_1_2-6	0.666666666666667
XX_C-C1_20	XoX_1_2-6	0.833333333333333
XX_C-C3_70	XoX_1_2-6	0.916666666666667
XX_C-C5_24	XoX_1_2-6	0.833333333333333
XX_C-C5_31	XoX_1_2-6	0.333333333333333
XX_C-C2_12	XoX_1_2-7	1
XX_C-C4_12	XoX_1_2-7	1
XX_C-C5_22	XoX_1_2-7	0.916666666666667
XX_C-C5_53	XoX_1_2-7	1
XX_C-C2_03	XoX_1_2-8	0.5
XX_C-C5_17	XoX_1_2-8	0.666666666666667
XX_C-C5_68	XoX_1_2-8	0.5
XX_C-C3_71	XoX_1_3-1	0.75
XX_C-C4_23	XoX_1_3-1	0.833333333333333
XX_C-C4_62	XoX_1_3-1	0.75
XX_C-C5_81	XoX_1_3-1	0.583333333333333
XX_C-C5_94	XoX_1_3-1	0.666666666666667
XX_C-C1_06	XoX_1_3-2	0.666666666666667
XX_C-C1_38	XoX_1_3-2	1
XX_C-C1_68	XoX_1_3-2	0.5
XX_C-C2_14	XoX_1_3-2	0.916666666666667
XX_C-C1_55	XoX_1_3-3	0.666666666666667
XX_C-C2_37	XoX_1_3-3	0.666666666666667
XX_C-C2_40	XoX_1_3-3	0.75
XX_C-C1_61	XoX_1_3-7	1
XX_C-C2_32	XoX_1_3-7	0.916666666666667
XX_C-C3_47	XoX_1_3-7	1
XX_C-C4_80	XoX_1_3-7	0.333333333333333
XX_C-C1_32	XoX_1_3-8	1
XX_C-C4_05	XoX_1_3-8	0.583333333333333
XX_C-C4_23	XoX_1_3-8	1
XX_C-C4_40	XoX_1_3-8	1
XX_C-C5_29	XoX_1_4-1	0
XX_C-C5_31	XoX_1_4-1	1
XX_C-C5_55	XoX_1_4-1	0.5
XX_C-C5_62	XoX_1_4-1	0.666666666666667
XX_C-C5_80	XoX_1_4-1	0.0833333333333333
XX_C-C2_32	XoX_1_4-2	0.333333333333333
XX_C-C2_72	XoX_1_4-2	0.5
XX_C-C2_80	XoX_1_4-2	0.75
XX_C-C1_04	XoX_1_4-4	0.583333333333333
XX_C-C3_03	XoX_1_4-4	0.333333333333333
XX_C-C5_48	XoX_1_4-4	0.666666666666667
