orig.ident	nCount_ATAC	nFeature_ATAC	predicted.id	prediction.score.max	organ	clgrp	tSNE_1	tSNE_2
SIL_1_1-1	SIL	79017	21007	SM-Visceral	0.826507702716159	Small intestine	Smooth muscle	-11.1065333722952	34.6919778866987
SIL_1_1-2	SIL	98959	26777	Fibro-GPC3	0.606952823236175	Small intestine	Fibroblast	-8.94375722867348	39.3560567491651
SIL_1_1-3	SIL	85369	23058	Fibro-COL6A5	0.854257913181689	Small intestine	Fibroblast	-17.3741714623982	26.5869082560999
SIL_1_1-4	SIL	74131	19534	SM-Visceral	0.970792964322079	Small intestine	Smooth muscle	-11.3014366600011	32.3783254776979
SIL_1_1-5	SIL	123987	27958	Fibro-ZEB1	0.986690961748221	Small intestine	Fibroblast	-18.5010196283911	26.2297472524534
SIL_1_1-6	SIL	42168	13770	Endo	0.999999999999999	Small intestine	Endothelium	-42.4322048149027	-6.90615556078856
SIL_1_1-8	SIL	81558	18776	Fibro-COL6A5	0.561815733079919	Small intestine	Fibroblast	-14.99064534664	29.3115452710078
SIL_1_2-1	SIL	131035	31085	Epi	0.940333781999097	Small intestine	Epithelium	35.0757298964341	27.8502268975949
SIL_1_2-2	SIL	112035	25390	Fibro-COL14A1	0.722022870552588	Small intestine	Fibroblast	0.601493167353189	38.8745023288704
SIL_1_2-3	SIL	118318	24463	Fibro-ZEB1	0.628563546106594	Small intestine	Fibroblast	-16.5234518994739	27.5765823437317
SIL_1_2-4	SIL	76091	20009	Fibro-COL14A1	0.620235043247044	Small intestine	Fibroblast	-10.1157427325633	37.103451980274
SIL_1_2-5	SIL	82908	20942	SM-Visceral	0.848792988393805	Small intestine	Smooth muscle	-10.36433602414	32.4530533733739
SIL_1_2-6	SIL	112473	26948	DC/Macro	1	Small intestine	DC/Macrophage	23.9967874051687	-23.9834680061271
SIL_1_2-7	SIL	42407	14465	Fibro-KCNN3	0.728487923500443	Small intestine	Fibroblast	-19.0569416711549	35.8079125866152
SIL_1_2-8	SIL	85970	17797	Fibro-ZEB1	0.972109514178454	Small intestine	Fibroblast	-15.1349427123125	29.4702556692837
SIL_1_3-1	SIL	91970	23948	Fibro-COL14A1	0.809216817214107	Small intestine	Fibroblast	-8.46563534143914	42.1862484203831
SIL_1_3-2	SIL	200978	35439	SM-Visceral	0.966981103786721	Small intestine	Smooth muscle	-12.9811827937655	34.8427327909889
SIL_1_3-3	SIL	88725	23828	Fibro-COL14A1	0.903794124465407	Small intestine	Fibroblast	-10.0666215613936	42.8474826812317
SIL_1_3-4	SIL	74115	19909	B	0.794550811112274	Small intestine	B	7.5943805905851	-39.7164147597151
SIL_1_3-6	SIL	82190	18866	SM-Visceral	0.880312861859787	Small intestine	Smooth muscle	-9.37958935721001	33.5944497246955
SIL_1_3-7	SIL	71628	18067	Fibro-COL14A1	0.881776458515471	Small intestine	Fibroblast	-10.8891300768108	39.3095477271811
SIL_1_3-8	SIL	56639	17623	Endo	0.996908859379045	Small intestine	Endothelium	-42.0394368735176	-4.27356276367596
SIL_1_4-4	SIL	137779	29904	Fibro-COL14A1	0.888279749757029	Small intestine	Fibroblast	-14.1104610722153	47.4769650359575
SIL_1_4-6	SIL	63762	14245	Endo	1	Small intestine	Endothelium	-42.2192280477009	-6.17105074157632
SIL_1_4-7	SIL	93569	24080	Fibro-GPC3	0.642839828326699	Small intestine	Fibroblast	-9.13756397402855	39.3581240892923
SIL_1_4-8	SIL	154361	25830	Fibro-ZEB1	0.982710576083424	Small intestine	Fibroblast	-17.3383600752923	30.3449543704739
SIL_1_5-1	SIL	106039	27887	Epi	0.972987647169098	Small intestine	Epithelium	35.6686458473772	28.1676472485752
SIL_1_5-3	SIL	92353	24361	Endo	0.942240062479641	Small intestine	Endothelium	-36.9476739262688	5.6482889219708
SIL_1_5-4	SIL	49131	12197	Fibro-Prol	0.784078101790227	Small intestine	Fibroblast	-20.4430516989159	-26.5522349053744
SIL_1_5-5	SIL	96570	24608	Fibro-COL14A1	0.541324590750759	Small intestine	Fibroblast	-5.16063879362345	36.0332870320367
SIL_1_5-6	SIL	89917	25474	SM-Vascular	0.816684354106209	Small intestine	Smooth muscle	-11.8998571800596	18.1199458034351
SIL_1_5-7	SIL	123291	27428	Fibro-COL14A1	0.950794771521069	Small intestine	Fibroblast	-8.83293284108967	42.1106932547712
SIL_1_5-8	SIL	82284	22908	SM-Visceral	0.524667979051465	Small intestine	Smooth muscle	-14.2208325920338	40.2281275559162
SIL_1_6-1	SIL	125447	29611	Epi	0.925369020719337	Small intestine	Epithelium	29.4294864754956	25.8075285162074
SIL_1_6-3	SIL	26752	10163	Fibro-COL6A5	0.337142842189433	Small intestine	Fibroblast	-12.0738708302954	27.1521992693683
SIL_1_6-4	SIL	96794	24960	Epi	0.963250807221876	Small intestine	Epithelium	31.8690261885769	26.7050536079298
SIL_1_6-5	SIL	65454	21778	Epi	0.962662751824188	Small intestine	Epithelium	35.8231256043935	28.2887901018611
SIL_1_6-7	SIL	160694	36365	Epi	0.94757040317793	Small intestine	Epithelium	35.9397547696321	28.6353023277438
SIL_1_7-3	SIL	72428	16556	DC/Macro	1	Small intestine	DC/Macrophage	24.3418511310692	-14.3026279702965
SIL_1_7-4	SIL	58431	17000	Endo	1	Small intestine	Endothelium	-42.9611107264945	-4.61436035739288
SIL_1_7-8	SIL	102619	24675	Fibro-COL14A1	0.832217546427496	Small intestine	Fibroblast	-9.730473253859	42.4751325118109
SIL_1_8-1	SIL	140274	34467	Epi	0.974923375322363	Small intestine	Epithelium	35.9729590750685	28.3971983672304
SIL_1_8-2	SIL	110891	26989	Fibro-COL14A1	0.944792465652634	Small intestine	Fibroblast	-8.84731754720484	46.9057251125342
SIL_1_8-4	SIL	91962	23179	Fibro-COL14A1	0.487472769446032	Small intestine	Fibroblast	-9.17288517629869	41.5599698157955
SIL_1_8-5	SIL	140190	32347	Epi	0.948308452391046	Small intestine	Epithelium	35.7326877683366	28.5945711813438
SIL_1_8-6	SIL	71717	19126	Fibro-GPC3	0.525103193044156	Small intestine	Fibroblast	-9.06428807566181	39.0388191569904
SIL_1_9-2	SIL	54422	13960	Fibro-GPC3	0.459387956942321	Small intestine	Fibroblast	-16.7269586709291	37.1154974818253
SIL_1_9-3	SIL	107343	27985	Fibro-GPC3	0.538088209892155	Small intestine	Fibroblast	-5.87368543515149	43.2758609437187
SIL_1_9-4	SIL	37821	9623	Fibro-Prol	0.5176858619596	Small intestine	Fibroblast	-15.9346845410179	-32.3922590988367
SIL_1_9-5	SIL	87701	20805	SM-Visceral	0.593845527489646	Small intestine	Smooth muscle	-16.2584568922787	32.1748773440838
SIL_1_9-6	SIL	226022	40882	SM-Vascular	0.831299971613148	Small intestine	Smooth muscle	-11.7027056940009	18.072101600503
SIL_1_9-7	SIL	34482	11153	SM-Visceral	0.525917067756063	Small intestine	Smooth muscle	-11.5555446190767	29.556087745006
SIL_1_9-8	SIL	103604	23931	Fibro-COL14A1	0.518957879084269	Small intestine	Fibroblast	-8.18896375527652	47.6235361202486
SIL_1_10-1	SIL	124998	27176	SM-Vascular	1	Small intestine	Smooth muscle	-9.79926174756988	19.0483283839508
SIL_1_10-2	SIL	148134	33831	Epi	0.97422598757139	Small intestine	Epithelium	35.2295993639406	28.0535780740977
SIL_1_10-3	SIL	108391	26069	Fibro-COL6A5	0.740551655038456	Small intestine	Fibroblast	-17.7150023571979	27.1158726600377
SIL_1_10-4	SIL	29801	9371	Endo	0.874422946131831	Small intestine	Endothelium	-42.3956105602535	-7.59599200305942
SIL_1_10-5	SIL	97930	23159	Fibro-COL14A1	0.333876587706718	Small intestine	Fibroblast	-12.0382492622512	37.5545215497521
SIL_1_10-6	SIL	31581	9175	Fibro-KCNN3	0.834307388558637	Small intestine	Fibroblast	-8.54589885495101	29.9286076284631
SIL_1_11-1	SIL	86110	19733	Fibro-COL14A1	0.732346513416898	Small intestine	Fibroblast	-10.7691293299843	39.145593107001
SIL_1_11-3	SIL	56093	14631	SM-Visceral	0.7752557394337	Small intestine	Smooth muscle	-9.23146662137719	30.9377461070347
SIL_1_11-4	SIL	97489	23087	Fibro-VCAM1	0.577796801198907	Small intestine	Fibroblast	-17.1717323222924	30.0730188716804
SIL_1_11-5	SIL	118717	29630	Endo	1	Small intestine	Endothelium	-37.0834462589893	5.65748872392317
SIL_1_11-6	SIL	101299	21695	DC/Macro	1	Small intestine	DC/Macrophage	27.1664117483221	-21.0633408479248
SIL_1_11-7	SIL	105123	27545	Fibro-COL14A1	0.616227662480098	Small intestine	Fibroblast	-5.81175334480175	44.3415486175491
SIL_1_11-8	SIL	74704	19210	Fibro-GPC3	0.493242498945927	Small intestine	Fibroblast	-6.55208196161552	47.7150021730322
SIL_1_12-1	SIL	106412	28377	Fibro-COL14A1	0.773684806649861	Small intestine	Fibroblast	-5.71240605882475	44.5114945188641
SIL_1_12-3	SIL	42686	11664	Epi	0.940644852724383	Small intestine	Epithelium	25.9914188251907	23.2510190592196
SIL_1_12-4	SIL	132644	24761	Fibro-ZEB1	0.985454637808744	Small intestine	Fibroblast	-16.9017349224581	28.719681254605
SIL_1_12-5	SIL	139583	30902	SM-Vascular	0.918209962194151	Small intestine	Smooth muscle	-12.7993765366274	34.0191582252719
SIL_1_12-6	SIL	37887	12608	Endo	1	Small intestine	Endothelium	-41.6719485005969	-5.95487105368409
SIL_1_12-7	SIL	107097	23737	SM-Vascular	1	Small intestine	Smooth muscle	-10.1623467614184	19.947095066141
SIL_1_12-8	SIL	117807	27276	Fibro-ZEB1	0.514982039337585	Small intestine	Fibroblast	-17.6806046105877	26.134816508047
SIL_2_1-1	SIL	83227	20955	SM-Vascular	0.983851047565452	Small intestine	Smooth muscle	-10.5020218214476	19.9041804235844
SIL_2_1-3	SIL	68133	18518	T-Prog	0.851855293178856	Small intestine	T	19.8432654069608	-36.7382858833304
SIL_2_1-4	SIL	54613	14615	B	0.847979123196724	Small intestine	B	11.8062644772447	-53.6872749485698
SIL_2_1-8	SIL	119463	24823	DC/Macro	0.999999999999999	Small intestine	DC/Macrophage	26.7206712176033	-21.7998557899117
SIL_2_2-1	SIL	66927	18637	Fibro-COL6A5	0.7485916963475	Small intestine	Fibroblast	-15.3084104869182	27.4356515039123
SIL_2_2-3	SIL	85472	21632	SM-Vascular	0.998431698461104	Small intestine	Smooth muscle	-9.96257124792794	19.6033618938417
SIL_2_2-5	SIL	157354	31186	Endo	0.946700247405648	Small intestine	Endothelium	-37.1153405437189	7.08907879764831
SIL_2_2-7	SIL	166700	30222	Fibro-COL6A5	0.841268473569705	Small intestine	Fibroblast	-17.771254761534	26.8848873193292
SIL_2_3-1	SIL	76338	20987	DC/Macro	0.999999999999999	Small intestine	DC/Macrophage	25.0675967026238	-24.0789365108911
SIL_2_3-2	SIL	55724	15045	Fibro-COL14A1	0.627743769748077	Small intestine	Fibroblast	-9.1094229574333	34.0403283541283
SIL_2_3-3	SIL	118514	25164	Epi	0.928207633288884	Small intestine	Epithelium	26.7242575116487	24.6046697067798
SIL_2_3-4	SIL	84898	17683	Glial	1	Small intestine	Glial	15.5090929350335	47.9929132101135
SIL_2_3-5	SIL	85035	21159	Endo	1	Small intestine	Endothelium	-41.3543541075546	-5.26175405141772
SIL_2_3-7	SIL	42972	13721	SM-Visceral	0.878184529603123	Small intestine	Smooth muscle	-10.339447869095	30.942181113172
SIL_2_3-8	SIL	36183	9327	SM-Visceral	0.39102258472421	Small intestine	Smooth muscle	-8.59992751143052	30.1718839604051
SIL_2_4-1	SIL	99964	24320	Fibro-COL14A1	0.915764503305555	Small intestine	Fibroblast	-7.9774759036749	42.2931363008411
SIL_2_4-2	SIL	77538	21220	SM-Visceral	0.965584208421886	Small intestine	Smooth muscle	-9.89826744100137	35.9073555949598
SIL_2_4-3	SIL	60425	17479	Fibro-CXCL14	0.677518268149681	Small intestine	Fibroblast	-14.9093383230337	27.7039302626703
SIL_2_4-4	SIL	92124	20169	Fibro-ZEB1	0.612759859124398	Small intestine	Fibroblast	-14.6584787137825	30.048589330706
SIL_2_4-5	SIL	56146	17796	B	0.8302623491335	Small intestine	B	13.355827003801	-49.7420087291238
SIL_2_4-7	SIL	141535	33053	B	0.868837333473862	Small intestine	B	7.53715340110115	-39.5323194186414
SIL_2_4-8	SIL	106866	25152	SM-Vascular	0.984654660952348	Small intestine	Smooth muscle	-10.1413092160233	18.7932844139418
SIL_2_5-1	SIL	161581	36406	Epi	0.946927176764944	Small intestine	Epithelium	32.8097306925342	27.1692247821634
SIL_2_5-2	SIL	78537	22452	Fibro-COL14A1	0.5150761850376	Small intestine	Fibroblast	-5.88284478515056	43.2861998239259
SIL_2_5-5	SIL	116453	26559	Fibro-COL14A1	0.968277405016626	Small intestine	Fibroblast	-9.51697114351588	41.7459951291364
SIL_2_5-6	SIL	121912	28928	B	0.900712428618399	Small intestine	B	13.9586896935378	-49.0062129759688
