orig.ident	nCount_ATAC	nFeature_ATAC	nCount_ACTIVITY	nFeature_ACTIVITY	tech	predicted.id	prediction.score.max
PG_2_1-1	PG	195291	22900	1.00000000000006	9502	atac	Fibro	0.969904189060535
PG_2_1-2	PG	182810	22318	0.999999999999856	9351	atac	Fibro	0.957265893013114
PG_2_1-3	PG	192446	21614	1.0000000000001	8974	atac	Fibro	0.953911491168497
PG_2_1-4	PG	245985	27680	0.999999999999848	10137	atac	Fibro	0.987152721510278
PG_2_1-5	PG	192066	21522	0.999999999999839	9417	atac	Fibro	0.961880175060022
PG_2_1-6	PG	234846	26134	1.00000000000016	9941	atac	Fibro	0.988305570618259
PG_2_1-7	PG	311793	27572	0.999999999999993	10488	atac	Fibro	0.795039621246529
PG_2_1-8	PG	259675	24404	1.00000000000027	10318	atac	Fibro	0.996114628145758
PG_2_2-1	PG	410675	33700	1.00000000000021	11355	atac	Fibro	0.992430760908321
PG_2_2-2	PG	198975	22330	1.00000000000002	9501	atac	Fibro	0.985186127116378
PG_2_2-3	PG	260199	27569	0.999999999999807	10193	atac	Immune	0.583432374938915
PG_2_2-4	PG	173504	20893	1.00000000000014	9082	atac	Fibro	0.984248114565191
PG_2_2-5	PG	145170	18693	1.00000000000001	8242	atac	Fibro	0.94174203561637
PG_2_2-6	PG	148243	17749	0.999999999999734	8489	atac	Fibro	0.682920421932758
PG_2_2-7	PG	200691	20855	1.00000000000011	9088	atac	Fibro	0.971760941884263
PG_2_2-8	PG	273438	28398	0.999999999999776	10554	atac	Fibro	0.996890248211255
PG_2_3-1	PG	233284	25738	1.00000000000013	9651	atac	Fibro	0.931974756582749
PG_2_3-3	PG	279910	22354	1.00000000000029	9852	atac	Fibro	0.406217425492461
PG_2_3-4	PG	165655	21102	0.999999999999912	8943	atac	Fibro	0.980621497963115
PG_2_3-5	PG	119251	16890	0.999999999999852	7857	atac	Fibro	0.98464110762238
PG_2_3-6	PG	181769	21528	0.999999999999895	9368	atac	Fibro	0.604282990987997
PG_2_3-7	PG	192246	23645	1.00000000000001	9067	atac	Immune	0.656524890722173
PG_2_3-8	PG	255464	28152	0.99999999999999	10299	atac	Immune	0.708707705191093
PG_2_4-1	PG	221884	24701	1.00000000000007	9851	atac	SM	0.566882309756554
PG_2_4-2	PG	239469	24624	1.00000000000002	10092	atac	Fibro	0.336644994062813
PG_2_4-3	PG	178350	20466	0.999999999999788	9224	atac	Fibro	0.932207028586228
PG_2_4-4	PG	176229	20027	1.00000000000017	9180	atac	Fibro	0.49548225834525
PG_2_4-5	PG	172945	20402	1	9149	atac	Fibro	0.975637598095489
PG_2_4-6	PG	248515	26389	0.999999999999824	10225	atac	Fibro	0.973975164869242
PG_2_4-7	PG	175047	20706	0.999999999999764	8906	atac	Fibro	0.971304480531379
PG_2_4-8	PG	173984	20269	1.00000000000013	9119	atac	Fibro	0.985684484285542
PG_2_5-1	PG	173470	20421	1.00000000000003	8925	atac	Fibro	0.876490689974536
PG_2_5-2	PG	154952	19208	1.00000000000011	8553	atac	Fibro	0.819475737885032
PG_2_5-3	PG	139826	18447	0.999999999999976	8535	atac	Fibro	0.996107613078665
PG_2_5-4	PG	305973	32470	1.00000000000014	10577	atac	Fibro	0.430919955834038
PG_2_5-6	PG	263976	23140	1.00000000000002	10253	atac	Endo-PODXL	0.520739323325402
PG_2_5-7	PG	232869	27476	1.00000000000004	9712	atac	Immune	0.603511712757317
PG_2_5-8	PG	162414	19065	1.00000000000022	9019	atac	Fibro	0.554664471936889
PG_2_6-1	PG	197350	23985	0.999999999999924	9424	atac	Fibro	0.961484719759543
PG_2_6-2	PG	211646	24156	0.999999999999927	9716	atac	Fibro	0.951080470794927
PG_2_6-3	PG	183824	18790	1.00000000000003	8358	atac	Immune	0.519497550681123
PG_2_6-4	PG	295071	22844	0.999999999999923	9602	atac	Fibro	0.475893058494817
PG_2_6-5	PG	179733	21641	0.999999999999751	9050	atac	Fibro	0.805353408883559
PG_2_6-6	PG	258642	26330	1.00000000000025	9932	atac	Fibro	0.983096411054382
PG_2_6-7	PG	212383	23594	1.00000000000008	9816	atac	Fibro	0.990644250181094
PG_2_6-8	PG	229774	23488	0.99999999999994	9692	atac	Fibro	0.968062657780068
PG_2_7-1	PG	188196	21396	1.00000000000005	9300	atac	Fibro	0.49312304419179
PG_2_7-2	PG	232004	24980	1.00000000000023	9378	atac	Fibro	0.984287247086204
PG_2_7-3	PG	181709	21887	0.999999999999787	8892	atac	Fibro	0.962798120153317
PG_2_7-4	PG	156040	18149	1.00000000000007	8752	atac	Fibro	0.95107936848705
PG_2_7-5	PG	183306	20665	1.00000000000007	9031	atac	Fibro	0.971681061117799
PG_2_7-6	PG	154111	19578	1.00000000000014	8722	atac	Fibro	0.823692304345264
PG_2_7-7	PG	133993	16888	0.999999999999878	8140	atac	Fibro	0.748367141942762
PG_2_8-2	PG	152644	19514	1.00000000000018	8436	atac	Fibro	0.980107265666014
PG_2_8-3	PG	184069	20355	1.00000000000007	9388	atac	Fibro	0.658723635083827
PG_2_8-4	PG	234281	23274	0.999999999999958	9516	atac	Fibro	0.975975670878266
PG_2_8-5	PG	164908	21552	0.999999999999879	8984	atac	Fibro	0.975466269887781
PG_2_8-6	PG	180571	21666	1.00000000000013	9114	atac	Fibro	0.972452259793573
PG_2_8-7	PG	118389	16134	1.00000000000021	7423	atac	Fibro	0.892945758411919
PG_2_8-8	PG	187911	19507	0.999999999999933	8766	atac	Immune	0.663339092157792
PG_2_9-1	PG	219193	23663	0.999999999999874	9457	atac	Fibro	0.970669600394318
PG_2_9-2	PG	128913	17061	1.00000000000015	7842	atac	Fibro	0.961134182561956
PG_2_9-3	PG	146591	17815	1.00000000000004	8352	atac	Fibro	0.960789793799318
