orig.ident	nCount_ATAC	nFeature_ATAC	nCount_ACTIVITY	nFeature_ACTIVITY	tech	predicted.id	prediction.score.max
SD_3_1-1	SD	294302	26435	0.999999999999899	11799	atac	Immune	0.56506863640821
SD_3_1-2	SD	206086	24545	0.999999999999984	11375	atac	SM	0.316475628923589
SD_3_1-3	SD	280985	26717	1.00000000000009	11840	atac	Endo	0.68261121562064
SD_3_1-4	SD	458962	37719	0.999999999999905	13411	atac	Immune	0.68208466561039
SD_3_1-5	SD	180337	21680	0.999999999999973	10625	atac	Epi	0.473223832589196
SD_3_1-6	SD	317701	31640	0.99999999999995	12529	atac	Fibro-LRRC17	0.64555839778145
SD_3_1-7	SD	171263	21536	0.99999999999978	10846	atac	Epi	0.480648601454641
SD_3_1-8	SD	363574	33334	1.00000000000005	12940	atac	Epi	0.539913872471286
SD_3_2-2	SD	168348	20292	0.999999999999936	10707	atac	Immune	0.514912464799951
SD_3_2-3	SD	260625	25952	1.00000000000002	11699	atac	Glial	0.587986492807068
SD_3_2-5	SD	130385	17074	0.999999999999981	9909	atac	Epi	0.364031633557718
SD_3_3-1	SD	208225	23739	1.00000000000006	11346	atac	Fibro-LRRC17	0.294349745299635
SD_3_3-3	SD	178391	20006	0.99999999999992	10501	atac	Glial	0.547019785540842
SD_3_3-4	SD	177626	22194	1	10992	atac	Epi	0.542292954748268
SD_3_3-5	SD	134392	18786	1.00000000000011	9932	atac	SM	0.482795053133601
SD_3_3-7	SD	99265	14353	1.00000000000008	8971	atac	Fibro-C7	0.216703795624571
SD_3_3-8	SD	250136	27568	0.99999999999973	12049	atac	Epi	0.482587153579058
SD_3_4-1	SD	204790	23834	1.00000000000004	11163	atac	Epi	0.312375263708577
SD_3_4-2	SD	158405	20171	1.00000000000011	10607	atac	Epi	0.457239377611684
SD_3_4-3	SD	169128	21065	0.99999999999994	10603	atac	Epi	0.790622374424914
SD_3_4-4	SD	244874	25892	1.00000000000013	11883	atac	Epi	0.61119102945051
SD_3_4-5	SD	320243	26768	1.00000000000015	12234	atac	Endo	0.975336565989674
SD_3_4-6	SD	246257	27778	1.00000000000004	11970	atac	Epi	0.49651440028944
SD_3_4-7	SD	112968	15137	0.999999999999897	9156	atac	SM	0.278931228305387
SD_3_4-8	SD	274540	28319	1.00000000000011	12236	atac	Epi	0.944588917284859
SD_3_5-1	SD	234652	25985	0.999999999999872	11804	atac	SM	0.618599961694344
SD_3_5-2	SD	183861	22808	1.00000000000009	11073	atac	Fibro-C7	0.249781511884059
SD_3_5-3	SD	186982	22595	1.00000000000003	11014	atac	Fibro-LRRC17	0.467598333582606
SD_3_5-4	SD	393091	34947	0.999999999999978	12900	atac	Epi	1
SD_3_5-5	SD	104823	15006	0.999999999999953	9154	atac	Fibro-C7	0.288932625977885
SD_3_5-7	SD	184785	23505	0.999999999999826	10870	atac	Fibro-PLPPR4	0.50677187352387
SD_3_5-8	SD	307303	30495	1.00000000000002	12530	atac	SM	0.460495671126324
SD_3_6-1	SD	251489	25939	1.00000000000009	11822	atac	Fibro-PLPPR4	0.322680100454615
SD_3_6-2	SD	275332	29945	1.00000000000002	12278	atac	Epi	0.302999826025394
SD_3_6-3	SD	271876	26304	0.999999999999913	11529	atac	Epi	0.779640104397689
SD_3_6-4	SD	257904	25386	1.00000000000016	11598	atac	Epi	0.652316515924524
SD_3_6-5	SD	129067	17535	1.00000000000015	9726	atac	Fibro-C7	0.227013632054923
SD_3_6-6	SD	354722	31746	1.0000000000001	12476	atac	Epi	0.890632569998429
SD_3_6-7	SD	235881	26675	1.00000000000007	11818	atac	Fibro-PLPPR4	0.445133854920689
SD_3_7-2	SD	188607	22493	1.00000000000017	10917	atac	Fibro-LRRC17	0.393537734852251
SD_3_7-3	SD	204880	22798	0.999999999999983	11431	atac	Epi	0.978276674102297
SD_3_7-4	SD	247202	26923	1.00000000000017	11869	atac	Fibro-LRRC17	0.539464178503085
SD_3_7-5	SD	127815	17315	0.999999999999993	9742	atac	Fibro-C7	0.226375144137207
SD_3_7-6	SD	244857	26369	1.00000000000021	11889	atac	Glial	0.534244326435217
SD_3_7-8	SD	372612	32280	0.999999999999795	12800	atac	SM	0.861131825431312
SD_3_8-1	SD	312179	31300	1.00000000000021	12399	atac	Fibro-LRRC17	0.504313210232514
SD_3_8-2	SD	277177	29127	1.00000000000004	12281	atac	Fibro-LRRC17	0.324403021573412
SD_3_8-3	SD	178542	21691	0.999999999999925	10926	atac	Epi	0.569610602545747
SD_3_8-4	SD	362585	30945	1.00000000000014	12299	atac	Glial	0.569359496005024
SD_3_8-5	SD	151517	19809	0.999999999999996	10455	atac	SM	0.240910856389445
SD_3_8-7	SD	247317	25012	1.00000000000011	11822	atac	Immune	0.925426270981529
SD_3_8-8	SD	394832	34791	1.00000000000001	13031	atac	Epi	0.554158360233556
SD_3_9-1	SD	237785	24169	1.00000000000024	11614	atac	Epi	0.83377191738628
SD_3_9-2	SD	211895	24075	0.999999999999795	11289	atac	Epi	0.999361378292086
SD_3_9-3	SD	161115	17255	0.999999999999943	9616	atac	Epi	0.216465418434517
SD_3_9-4	SD	199163	23798	1.00000000000001	11258	atac	Epi	0.81647930746239
SD_3_9-5	SD	176215	22117	1.0000000000001	10843	atac	Fibro-LRRC17	0.381700328678345
SD_3_9-7	SD	136313	18040	0.999999999999924	9858	atac	Epi	0.369473099066337
SD_3_9-8	SD	316930	31478	0.999999999999851	12351	atac	Fibro-PLPPR4	0.393877925835029
SD_3_10-3	SD	169676	20529	0.999999999999944	10673	atac	Epi	0.64657779385441
SD_3_10-4	SD	463152	38125	0.999999999999922	13199	atac	SM	0.315733176240413
SD_3_10-5	SD	136536	17958	0.999999999999903	9849	atac	Epi	0.247248577078398
SD_3_10-6	SD	207611	22728	1.00000000000017	11042	atac	Fibro-C7	0.408111770128081
SD_3_10-7	SD	164855	19526	1.00000000000005	10233	atac	Epi	0.692613107682923
SD_3_10-8	SD	288066	29578	1.00000000000021	12348	atac	Epi	0.41966022429569
SD_3_11-1	SD	203036	23059	0.999999999999856	11006	atac	Epi	0.566663390361961
SD_3_11-2	SD	198638	23517	1.00000000000007	11179	atac	Fibro-PLPPR4	0.485677854965094
SD_3_11-3	SD	215082	22599	1.00000000000016	10898	atac	Epi	0.368550938436938
SD_3_11-4	SD	253334	27976	1.00000000000006	11876	atac	Epi	0.639660420753367
SD_3_11-5	SD	142124	18591	1.00000000000018	10114	atac	Epi	0.847645284644182
SD_3_11-6	SD	367833	31795	1.00000000000021	12462	atac	Endo	0.363851972931768
SD_3_11-7	SD	130443	17696	0.999999999999844	9867	atac	Epi	0.24488973657279
SD_3_11-8	SD	520881	37769	1.00000000000014	13307	atac	Epi	0.670014178189588
SD_3_12-1	SD	289747	28361	0.999999999999858	12389	atac	Epi	0.785861524152764
SD_3_12-2	SD	255717	26211	0.999999999999979	11918	atac	Fibro-LRRC17	0.515475847705253
SD_3_12-3	SD	169733	20580	1.00000000000012	10675	atac	Epi	0.401452526255005
SD_3_12-4	SD	307612	31520	0.999999999999882	12420	atac	Fibro-PLPPR4	0.342752781402333
SD_3_12-5	SD	186027	21409	1.00000000000009	10599	atac	Fibro-C7	0.266926413393644
SD_3_12-6	SD	325503	31213	1.00000000000009	12690	atac	Epi	0.830175169616816
SD_3_12-7	SD	246685	25186	1.0000000000001	11633	atac	Epi	0.532064860576291
SD_3_12-8	SD	474286	39827	1.00000000000012	13503	atac	Fibro-LRRC17	0.314773900291345
SD_1_1-1	SD	294693	29343	0.999999999999827	12482	atac	Glial	0.61150271729909
SD_1_1-2	SD	355114	33113	1.00000000000006	13001	atac	Fibro-C7	0.51364020292237
SD_1_1-3	SD	332668	32126	0.999999999999953	12784	atac	Fibro-LRRC17	0.539331426574984
SD_1_1-4	SD	365403	33856	1.00000000000007	13072	atac	Fibro-LRRC17	0.624325358071406
SD_1_1-5	SD	425498	36569	0.99999999999995	13370	atac	Endo	0.948750270095028
SD_1_1-6	SD	402422	34728	0.999999999999874	13257	atac	SM	0.940595925948815
SD_1_1-7	SD	257442	27268	0.999999999999856	12245	atac	SM	0.707535747958333
SD_1_1-8	SD	336329	31359	0.999999999999894	12762	atac	Immune	0.455626697030314
SD_1_2-1	SD	430525	35547	1.00000000000015	13256	atac	Fibro-PLPPR4	0.454834818798887
SD_1_2-2	SD	360330	32579	1.00000000000009	13071	atac	Endo	0.860513814628254
SD_1_2-3	SD	346915	33948	1.00000000000003	12924	atac	Fibro-LRRC17	0.802793701094129
SD_1_2-4	SD	415070	35300	0.999999999999879	13429	atac	Endo	0.941740724877858
