RNA_cell	ATAC_cell	score
SD_D-A3_26	SD_3_3-5	0.293040293040292
SD_D-A2_12	SD_3_4-1	0.293040293040292
SD_D-A4_31	SD_3_4-5	1
SD_D-A4_93	SD_3_4-5	0.84249084249084
SD_D-A3_90	SD_3_4-8	0.915750915750913
SD_D-A1_53	SD_3_5-4	1
SD_D-A1_71	SD_3_5-4	0.769230769230767
SD_D-A2_16	SD_3_5-4	1
SD_D-A4_45	SD_3_5-4	0.769230769230767
SD_D-A5_21	SD_3_6-1	0.256410256410256
SD_D-A2_27	SD_3_7-8	0.402930402930402
SD_D-A3_70	SD_3_7-8	0.622710622710621
SD_D-A3_44	SD_3_8-1	0.219780219780219
SD_D-A3_71	SD_3_8-1	0.10989010989011
SD_D-A5_95	SD_3_8-4	0.476190476190475
SD_D-A3_42	SD_3_8-7	0.879120879120877
SD_D-A3_47	SD_3_8-7	0.84249084249084
SD_D-A4_07	SD_3_8-7	0.915750915750913
SD_D-A5_96	SD_3_8-7	0.659340659340658
SD_D-A1_65	SD_3_9-2	0.732600732600731
SD_D-A1_71	SD_3_9-2	0.915750915750913
SD_D-A4_45	SD_3_9-2	0.915750915750913
SD_D-A3_04	SD_3_10-3	0.256410256410256
SD_D-A1_22	SD_3_10-5	0.512820512820512
SD_D-A3_24	SD_3_11-1	0.402930402930402
SD_D-A5_21	SD_3_11-7	0.183150183150183
SD_D-A5_44	SD_3_12-2	0.219780219780219
SD_D-A1_59	SD_3_12-5	0
SD_D-A1_63	SD_1_1-2	0.402930402930402
SD_D-A2_08	SD_1_1-5	0.659340659340658
SD_D-A3_08	SD_1_1-7	0.659340659340658
SD_D-A3_46	SD_1_1-7	0.659340659340658
SD_D-A3_74	SD_1_1-7	0.439560439560438
SD_D-A4_62	SD_1_1-8	0.146520146520146
SD_D-A2_25	SD_1_2-3	0.366300366300365
SD_D-A4_04	SD_1_2-4	0.732600732600731
SD_D-A5_16	SD_1_2-4	0.805860805860804
SD_D-A4_31	SD_1_2-6	0.95238095238095
SD_D-A2_07	SD_1_2-7	0
SD_D-A2_46	SD_1_2-8	0.293040293040292
SD_D-A3_84	SD_1_3-3	0.695970695970694
SD_D-A4_04	SD_1_3-3	0.732600732600731
SD_D-A5_12	SD_1_3-3	0.989010989010986
SD_D-A1_38	SD_1_3-5	0.329670329670329
SD_D-A4_56	SD_1_3-5	0.402930402930402
SD_D-A3_03	SD_1_3-8	0.512820512820512
SD_D-A5_24	SD_1_3-8	0.805860805860804
SD_D-A2_46	SD_1_4-6	0.0366300366300365
SD_D-A1_74	SD_1_4-8	0.293040293040292
SD_D-A2_36	SD_1_4-8	0.146520146520146
SD_D-A3_23	SD_1_5-1	0.402930402930402
SD_D-A4_25	SD_1_5-1	0.329670329670329
SD_D-A3_52	SD_1_5-2	0.366300366300365
SD_D-A3_80	SD_1_5-2	0
SD_D-A5_91	SD_1_5-2	0.293040293040292
SD_D-A3_53	SD_1_5-5	0.329670329670329
SD_D-A5_23	SD_1_5-5	0.329670329670329
SD_D-A2_37	SD_1_5-7	0.256410256410256
SD_D-A4_51	SD_1_6-2	0.329670329670329
SD_D-A2_73	SD_1_6-3	0.0366300366300365
SD_D-A5_07	SD_1_6-7	0.219780219780219
SD_D-A5_82	SD_1_6-7	0.293040293040292
SD_D-A4_59	SD_1_6-8	0.695970695970694
SD_D-A1_60	SD_1_7-3	0.146520146520146
SD_D-A1_34	SD_1_7-4	1
SD_D-A1_50	SD_1_7-4	1
SD_D-A1_76	SD_1_7-4	1
SD_D-A4_21	SD_1_7-5	0.439560439560438
SD_D-A5_11	SD_1_7-5	0.476190476190475
SD_D-A4_02	SD_1_7-6	0.219780219780219
SD_D-A5_78	SD_1_7-7	0.586080586080585
SD_D-A3_53	SD_1_7-8	0.10989010989011
SD_D-A2_53	SD_1_8-1	0.10989010989011
SD_D-A5_85	SD_1_8-6	0.146520146520146
SD_D-A2_51	SD_1_8-8	0.769230769230767
SD_D-A5_40	SD_1_9-2	0.293040293040292
SD_D-A3_42	SD_1_9-5	1
SD_D-A3_47	SD_1_9-5	0.805860805860804
SD_D-A4_07	SD_1_9-5	0.95238095238095
SD_D-A5_96	SD_1_9-5	0.732600732600731
SD_D-A4_73	SD_1_9-7	0.329670329670329
SD_D-A5_78	SD_1_9-7	0.366300366300365
SD_D-A2_36	SD_1_10-1	0.219780219780219
SD_D-A4_84	SD_1_10-1	0
SD_D-A1_23	SD_1_10-4	0.256410256410256
SD_D-A3_01	SD_1_10-4	0.329670329670329
SD_D-A1_53	SD_1_11-2	1
SD_D-A1_65	SD_1_11-2	0.805860805860804
SD_D-A1_71	SD_1_11-2	0.915750915750913
SD_D-A2_16	SD_1_11-2	1
SD_D-A4_45	SD_1_11-2	0.915750915750913
SD_D-A1_65	SD_1_11-6	0.84249084249084
SD_D-A1_71	SD_1_11-6	0.915750915750913
SD_D-A2_16	SD_1_11-6	1
SD_D-A5_02	SD_1_12-4	0.366300366300365
SD_D-A1_09	SD_10_1-2	0.95238095238095
SD_D-A3_08	SD_10_1-2	0.769230769230767
SD_D-A3_45	SD_10_1-2	0.989010989010986
SD_D-A4_61	SD_10_1-5	0.329670329670329
SD_D-A1_04	SD_10_1-7	0.879120879120877
SD_D-A3_42	SD_10_1-7	0.84249084249084
SD_D-A3_47	SD_10_1-7	0.659340659340658
SD_D-A4_07	SD_10_1-7	0.879120879120877
SD_D-A5_96	SD_10_1-7	0.695970695970694
SD_D-A1_81	SD_10_2-2	0.402930402930402
SD_D-A5_84	SD_10_2-2	0.183150183150183
SD_D-A1_09	SD_10_2-3	0.95238095238095
SD_D-A1_94	SD_10_2-3	0.805860805860804
SD_D-A3_08	SD_10_2-3	0.695970695970694
SD_D-A3_45	SD_10_2-4	1
SD_D-A5_24	SD_10_2-4	1
SD_D-A1_59	SD_10_2-5	0.183150183150183
SD_D-A4_08	SD_10_2-5	0.659340659340658
SD_D-A4_51	SD_10_2-7	0.293040293040292
SD_D-A4_62	SD_10_2-7	0.293040293040292
SD_D-A1_19	SD_10_3-1	0.256410256410256
SD_D-A1_10	SD_10_3-2	0.293040293040292
SD_D-A2_12	SD_10_3-3	0.402930402930402
SD_D-A2_49	SD_10_3-3	0.439560439560438
SD_D-A1_50	SD_10_3-4	1
SD_D-A3_32	SD_10_3-4	1
SD_D-A4_06	SD_10_3-4	1
SD_D-A4_12	SD_10_3-4	1
SD_D-A5_50	SD_10_3-4	1
SD_D-A2_17	SD_10_3-7	0.256410256410256
SD_D-A2_73	SD_10_3-8	0.293040293040292
SD_D-A3_63	SD_10_3-8	0.366300366300365
SD_D-A3_64	SD_10_3-8	0.293040293040292
SD_D-A4_39	SD_10_4-1	0.512820512820512
SD_D-A1_13	SD_10_4-5	0.879120879120877
SD_D-A1_45	SD_10_4-5	0.805860805860804
SD_D-A4_85	SD_10_4-5	0.915750915750913
SD_D-A5_42	SD_10_4-5	0.879120879120877
SD_D-A1_85	SD_10_4-7	0.329670329670329
SD_D-A2_23	SD_10_4-8	0.476190476190475
SD_D-A3_79	SD_10_4-8	0.402930402930402
SD_D-A1_70	SD_10_5-1	0.586080586080585
SD_D-A1_51	SD_10_5-4	0.256410256410256
SD_D-A1_67	SD_10_5-4	0.476190476190475
SD_D-A1_23	SD_10_5-7	0.366300366300365
SD_D-A2_65	SD_10_5-7	0.256410256410256
SD_D-A4_32	SD_10_5-7	0.366300366300365
SD_D-A1_70	SD_10_5-8	0.732600732600731
SD_D-A3_70	SD_10_5-8	0.512820512820512
SD_D-A4_29	SD_10_6-2	0.439560439560438
SD_D-A1_61	SD_10_6-3	0.183150183150183
SD_D-A5_48	SD_10_6-4	0.219780219780219
SD_D-A1_25	SD_10_6-7	1
SD_D-A4_85	SD_10_6-7	1
SD_D-A5_42	SD_10_6-7	0.989010989010986
SD_D-A2_68	SD_10_7-3	0.366300366300365
SD_D-A4_25	SD_10_7-6	0.293040293040292
SD_D-A5_46	SD_10_7-6	0.329670329670329
SD_D-A1_56	SD_10_7-8	0.439560439560438
SD_D-A3_44	SD_10_7-8	0.329670329670329
SD_D-A2_14	SD_10_8-4	0.219780219780219
SD_D-A3_84	SD_10_8-8	0.915750915750913
SD_D-A4_04	SD_10_8-8	0.879120879120877
SD_D-A1_59	SD_10_9-2	0.402930402930402
SD_D-A3_41	SD_10_9-3	0.476190476190475
SD_D-A1_34	SD_10_9-5	1
SD_D-A1_50	SD_10_9-5	1
SD_D-A2_88	SD_10_9-5	1
SD_D-A3_32	SD_10_9-5	1
SD_D-A5_50	SD_10_9-5	1
SD_D-A1_82	SD_10_9-8	0.805860805860804
SD_D-A1_52	SD_10_10-4	0.879120879120877
SD_D-A1_70	SD_10_10-4	0.695970695970694
SD_D-A2_27	SD_10_10-4	0.659340659340658
SD_D-A4_22	SD_10_10-4	0.732600732600731
SD_D-A3_51	SD_10_10-6	0.915750915750913
SD_D-A4_04	SD_10_10-6	0.732600732600731
SD_D-A5_12	SD_10_10-6	0.805860805860804
SD_D-A5_16	SD_10_10-6	0.915750915750913
SD_D-A1_88	SD_10_10-7	0.219780219780219
SD_D-A2_95	SD_10_10-7	0.183150183150183
SD_D-A3_29	SD_10_10-8	0.695970695970694
SD_D-A2_24	SD_10_11-1	0.0732600732600731
SD_D-A3_92	SD_10_11-1	0.219780219780219
SD_D-A3_95	SD_10_11-1	0.219780219780219
SD_D-A1_36	SD_10_11-5	0.476190476190475
SD_D-A4_56	SD_10_12-2	0.439560439560438
SD_D-A1_34	SD_10_12-4	1
SD_D-A2_88	SD_10_12-4	0.989010989010986
SD_D-A4_24	SD_10_12-4	0.622710622710621
SD_D-A2_17	SD_10_12-5	0.0732600732600731
SD_D-A4_64	SD_10_12-5	0.256410256410256
SD_D-A2_17	SD_10_12-6	0.293040293040292
SD_D-A5_78	SD_10_12-7	0.402930402930402
SD_D-A2_05	SD_11_1-5	0.512820512820512
SD_D-A4_03	SD_11_1-5	0.329670329670329
SD_D-A4_28	SD_11_1-5	0.219780219780219
SD_D-A5_58	SD_11_1-5	0.256410256410256
SD_D-A1_17	SD_11_2-7	0.769230769230767
SD_D-A2_06	SD_11_2-7	0.659340659340658
SD_D-A5_34	SD_11_2-7	0.805860805860804
SD_D-A2_94	SD_11_3-4	0.256410256410256
SD_D-A4_51	SD_11_3-4	0.0732600732600731
SD_D-A5_61	SD_11_3-4	0.219780219780219
SD_D-A1_22	SD_11_3-5	1
SD_D-A1_58	SD_11_3-5	1
SD_D-A3_32	SD_11_3-5	1
SD_D-A5_32	SD_11_3-5	0.95238095238095
SD_D-A5_50	SD_11_3-5	1
SD_D-A3_05	SD_11_4-4	0.183150183150183
SD_D-A1_67	SD_11_4-7	0.329670329670329
SD_D-A1_65	SD_11_5-1	0.769230769230767
SD_D-A1_53	SD_11_5-3	1
SD_D-A1_54	SD_11_5-4	0.366300366300365
SD_D-A4_15	SD_11_5-4	0.439560439560438
SD_D-A5_46	SD_11_5-4	0.146520146520146
SD_D-A4_08	SD_11_5-5	0.293040293040292
SD_D-A3_24	SD_11_5-6	0.0732600732600731
SD_D-A4_55	SD_11_5-6	0.439560439560438
SD_D-A1_18	SD_11_5-8	0.915750915750913
SD_D-A2_56	SD_11_5-8	0.695970695970694
SD_D-A5_25	SD_11_6-3	0.183150183150183
SD_D-A1_01	SD_11_6-4	0.549450549450548
SD_D-A3_46	SD_11_6-4	0.915750915750913
SD_D-A5_91	SD_11_6-4	0.549450549450548
SD_D-A4_45	SD_11_6-5	0.695970695970694
SD_D-A3_63	SD_11_6-7	0.146520146520146
SD_D-A1_13	SD_11_7-1	0.805860805860804
SD_D-A1_45	SD_11_7-2	0.879120879120877
SD_D-A4_64	SD_11_7-3	0.256410256410256
SD_D-A3_41	SD_11_7-4	0.293040293040292
SD_D-A4_05	SD_11_7-7	0.329670329670329
SD_D-A1_44	SD_11_8-1	0.293040293040292
SD_D-A3_84	SD_11_8-3	0.915750915750913
SD_D-A4_04	SD_11_8-3	0.84249084249084
SD_D-A4_31	SD_11_8-3	0.805860805860804
SD_D-A5_12	SD_11_8-3	1
SD_D-A5_34	SD_11_8-3	0.695970695970694
SD_D-A5_90	SD_11_8-6	0.476190476190475
SD_D-A4_71	SD_11_9-1	1
SD_D-A5_19	SD_11_9-3	0.622710622710621
SD_D-A1_80	SD_11_9-4	0.439560439560438
SD_D-A2_05	SD_11_9-4	0.439560439560438
SD_D-A1_06	SD_11_9-5	0.219780219780219
SD_D-A2_24	SD_11_9-5	0.293040293040292
SD_D-A4_51	SD_11_9-5	0.622710622710621
SD_D-A3_61	SD_11_10-2	0.256410256410256
SD_D-A4_11	SD_11_10-2	0.256410256410256
SD_D-A1_46	SD_11_10-3	0.256410256410256
SD_D-A3_34	SD_11_10-7	0.219780219780219
SD_D-A4_39	SD_11_10-7	0.439560439560438
SD_D-A5_84	SD_11_10-7	0.0366300366300365
SD_D-A1_10	SD_11_10-8	0.0732600732600731
SD_D-A2_49	SD_11_10-8	0.329670329670329
SD_D-A5_34	SD_11_11-2	0.915750915750913
SD_D-A4_40	SD_11_11-4	0.293040293040292
SD_D-A5_82	SD_11_11-4	0.512820512820512
SD_D-A1_05	SD_11_11-7	0.402930402930402
SD_D-A4_57	SD_11_11-8	0.256410256410256
SD_D-A2_86	SD_11_12-3	0.402930402930402
SD_D-A1_75	SD_11_12-7	1
SD_D-A2_62	SD_11_12-8	0.769230769230767
SD_D-A3_51	SD_11_12-8	0.879120879120877
SD_D-A4_01	SD_12_1-2	0.439560439560438
SD_D-A4_02	SD_12_1-2	0.219780219780219
SD_D-A5_43	SD_12_1-2	0.329670329670329
SD_D-A5_71	SD_12_1-2	0.329670329670329
SD_D-A1_51	SD_12_1-3	0.402930402930402
SD_D-A3_95	SD_12_1-3	0.0366300366300365
SD_D-A2_25	SD_12_1-4	0.0366300366300365
SD_D-A5_13	SD_12_2-1	0.146520146520146
SD_D-A5_75	SD_12_2-2	0.183150183150183
SD_D-A5_89	SD_12_2-5	0.695970695970694
SD_D-A4_65	SD_12_2-8	0.146520146520146
SD_D-A3_01	SD_12_3-1	0.293040293040292
SD_D-A3_54	SD_12_3-5	0.146520146520146
SD_D-A2_54	SD_12_3-8	0.219780219780219
SD_D-A2_39	SD_12_4-4	0.622710622710621
SD_D-A5_22	SD_12_4-7	0.256410256410256
SD_D-A2_02	SD_12_5-4	0.256410256410256
SD_D-A3_55	SD_12_5-4	0.146520146520146
SD_D-A3_53	SD_12_5-7	0.146520146520146
SD_D-A1_46	SD_12_6-4	0.402930402930402
SD_D-A3_54	SD_12_7-2	0.183150183150183
SD_D-A4_48	SD_12_7-6	0.879120879120877
SD_D-A1_49	SD_12_7-7	0.439560439560438
SD_D-A1_60	SD_12_7-7	0.293040293040292
SD_D-A3_52	SD_12_7-7	0.329670329670329
SD_D-A4_62	SD_12_7-7	0.366300366300365
SD_D-A5_52	SD_12_7-7	0.366300366300365
SD_D-A3_29	SD_12_7-8	0.512820512820512
SD_D-A3_55	SD_12_8-2	0.256410256410256
SD_D-A4_39	SD_12_8-2	0.0732600732600731
SD_D-A5_58	SD_12_8-2	0
SD_D-A1_16	SD_12_8-5	0.256410256410256
SD_D-A1_15	SD_12_9-7	0.10989010989011
SD_D-A4_61	SD_12_10-1	0.146520146520146
SD_D-A1_67	SD_12_10-2	0.329670329670329
SD_D-A5_61	SD_12_10-2	0.10989010989011
SD_D-A1_65	SD_12_10-3	0.769230769230767
SD_D-A1_71	SD_12_10-3	0.95238095238095
SD_D-A4_45	SD_12_10-3	0.732600732600731
SD_D-A4_82	SD_12_10-5	0.805860805860804
SD_D-A3_21	SD_12_10-6	0.329670329670329
SD_D-A4_38	SD_12_10-7	0.549450549450548
SD_D-A4_82	SD_12_10-7	0.695970695970694
SD_D-A5_63	SD_12_10-7	0.476190476190475
SD_D-A2_07	SD_12_10-8	0.183150183150183
SD_D-A4_59	SD_12_11-5	0.439560439560438
SD_D-A3_71	SD_12_11-7	0.219780219780219
SD_D-A5_58	SD_12_11-7	0.329670329670329
SD_D-A5_05	SD_12_11-8	0.95238095238095
SD_D-A5_31	SD_12_11-8	0.732600732600731
SD_D-A3_21	SD_12_12-1	0.366300366300365
SD_D-A1_77	SD_12_12-3	0.0732600732600731
SD_D-A3_85	SD_12_12-8	0.256410256410256
SD_D-A5_90	SD_2_1-2	0.476190476190475
SD_D-A1_34	SD_2_1-4	1
SD_D-A4_34	SD_2_1-4	0.915750915750913
SD_D-A5_32	SD_2_1-4	0.95238095238095
SD_D-A1_70	SD_2_2-2	0.95238095238095
SD_D-A3_45	SD_2_2-2	0.989010989010986
SD_D-A4_22	SD_2_2-2	0.989010989010986
SD_D-A4_44	SD_2_2-2	0.695970695970694
SD_D-A5_24	SD_2_2-2	1
SD_D-A1_20	SD_2_2-4	0.695970695970694
SD_D-A3_03	SD_2_2-4	0.586080586080585
SD_D-A2_24	SD_2_2-8	0.146520146520146
SD_D-A2_55	SD_2_3-1	0.256410256410256
SD_D-A4_13	SD_2_3-2	0.439560439560438
SD_D-A5_15	SD_2_3-3	0.146520146520146
SD_D-A4_52	SD_2_3-4	0.659340659340658
SD_D-A2_57	SD_2_3-7	0.10989010989011
SD_D-A2_65	SD_2_3-7	0.293040293040292
SD_D-A5_53	SD_2_3-7	0.10989010989011
SD_D-A3_84	SD_2_3-8	0.805860805860804
SD_D-A4_31	SD_2_3-8	0.915750915750913
SD_D-A4_93	SD_2_3-8	0.989010989010986
SD_D-A4_52	SD_2_4-1	0.915750915750913
SD_D-A5_63	SD_2_4-1	0.695970695970694
SD_D-A5_95	SD_2_4-1	0.476190476190475
SD_D-A2_44	SD_2_4-2	0.293040293040292
SD_D-A1_16	SD_2_4-5	0.439560439560438
SD_D-A1_29	SD_2_4-5	0.183150183150183
