p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
Peak-4676	1.82167887809834e-33	0.262031366637437	1	0.936	3.27563365786375e-28	Fibro-ADAMTS19	Peak-4676
Peak-46761	1.17160754058688e-13	0.37006679060679	1	0.941	2.10671438303089e-08	Fibro-HTR2A	Peak-4676
Peak-6529	3.38605130844714e-148	0.436477789902517	0.998	0.879	6.08859429977114e-143	Endo	Peak-6529
Peak-12116	6.28931805973872e-132	0.471793666667369	1	0.959	1.13090743759386e-126	Endo	Peak-12116
Peak-9686	2.12253129808612e-125	0.342505101291607	0.987	0.822	3.81660842834057e-120	Endo	Peak-9686
Peak-4491	1.51522045368343e-114	0.276082177280626	0.996	0.881	2.72457850658632e-109	Endo	Peak-4491
Peak-11414	1.37563852711132e-104	0.257184026912895	0.986	0.846	2.47359066113996e-99	Endo	Peak-11414
Peak-6319	3.49922665547673e-97	0.31563625315963	0.998	0.945	6.29209941827894e-92	Endo	Peak-6319
Peak-9933	1.81674055925594e-95	0.255358463250725	0.944	0.622	3.26675386922047e-90	Endo	Peak-9933
Peak-13217	1.96866777344211e-67	0.381297598633624	0.995	0.929	3.53994027013719e-62	Endo	Peak-13217
Peak-399121	3.7244586632403e-30	0.299701508430475	0.934	0.45	6.69709810071892e-25	DC/Macro	Peak-39912
Peak-5054	9.05669842337404e-18	0.334332239790629	0.984	0.886	1.62852117030058e-12	DC/Macro	Peak-5054
Peak-46279	3.10087317370194e-15	0.293707803176591	0.918	0.648	5.57580408856041e-10	DC/Macro	Peak-46279
Peak-6240	3.07861029414622e-12	0.250860001483176	0.951	0.894	5.53577231431609e-07	DC/Macro	Peak-6240
Peak-8457	1.48610355412266e-34	0.300631736126959	0.966	0.768	2.67222224481011e-29	SM-NOTCH3	Peak-8457
