RNA_cell	ATAC_cell	score
BM_D-C4_45	ZXF_1_1-8	0.0882352941176471
BM_D-C4_01	ZXF_1_2-3	0.294117647058824
BM_D-C2_53	ZXF_1_2-4	0.0882352941176471
ZDM_D-A4_41	ZXF_1_3-2	0.411764705882353
FDM_D-A1_90	ZXF_1_3-5	1
ZDM_D-C1_13	ZXF_1_3-5	0.970588235294118
FDM_D-C3_64	ZXF_1_3-5	1
FDM_D-C4_05	ZXF_1_3-5	0.970588235294118
ZDM_D-A5_26	ZXF_1_3-5	1
BM_D-C3_27	ZXF_1_3-6	0.147058823529412
FDM_D-C2_82	ZXF_1_4-3	0.294117647058824
FDM_D-A1_71	ZXF_1_5-7	1
ZDM_D-C1_55	ZXF_1_5-7	1
ZDM_D-A3_56	ZXF_1_5-7	1
ZDM_D-A4_80	ZXF_1_5-7	1
ZDM_D-A4_88	ZXF_1_5-7	1
FDM_D-C3_04	ZXF_1_6-2	0.323529411764706
ZDM_D-A2_07	ZXF_1_6-2	0
FDM_D-A1_15	ZXF_1_6-3	0.852941176470588
FDM_D-C2_81	ZXF_1_6-3	0.794117647058823
FDM_D-C3_84	ZXF_1_6-3	0.794117647058823
FDM_D-C2_12	ZXF_1_7-1	0.441176470588235
ZDM_D-A3_29	ZXF_1_8-1	0.264705882352941
BM_D-C5_53	ZXF_1_8-2	0.647058823529412
FDM_D-C3_72	ZXF_1_9-7	1
ZDM_D-A2_85	ZXF_1_9-7	1
ZDM_D-A3_44	ZXF_1_9-7	1
ZDM_D-A4_65	ZXF_1_9-7	1
ZDM_D-A4_80	ZXF_1_9-7	1
BM_D-C1_40	ZXF_1_10-3	0.411764705882353
BM_D-C3_46	ZXF_1_10-3	0.382352941176471
FDM_D-C5_23	ZXF_1_10-3	0.264705882352941
ZDM_D-A3_62	ZXF_1_10-3	0.264705882352941
BM_D-C1_38	ZXF_1_10-4	0.294117647058824
BM_D-C1_25	ZXF_1_11-2	0.0588235294117647
FDM_D-C2_84	ZXF_1_11-2	0.294117647058824
BM_D-C3_29	ZXF_1_12-1	0.470588235294118
BM_D-C4_43	ZXF_1_12-1	0.441176470588235
BM_D-C5_92	ZXF_1_12-1	0.352941176470588
FDM_D-C5_86	ZXF_1_12-1	0.470588235294118
BM_D-C2_23	ZXF_1_12-3	0.294117647058824
BM_D-C1_17	ZXF_2_1-8	0.176470588235294
BM_D-C1_49	ZXF_2_1-8	0.205882352941176
BM_D-C5_37	ZXF_2_1-8	0.117647058823529
BM_D-C5_63	ZXF_2_1-8	0.147058823529412
FDM_D-A1_26	ZXF_2_2-1	0.382352941176471
BM_D-C1_08	ZXF_2_2-4	0.529411764705882
BM_D-C2_31	ZXF_2_2-4	0.264705882352941
BM_D-C2_77	ZXF_2_2-4	0.411764705882353
BM_D-C4_76	ZXF_2_2-4	0.470588235294118
ZDM_D-C1_78	ZXF_2_2-5	0.176470588235294
BM_D-C2_45	ZXF_2_2-6	0.676470588235294
BM_D-C2_57	ZXF_2_2-6	0.529411764705882
BM_D-C3_67	ZXF_2_2-6	0.529411764705882
BM_D-C4_16	ZXF_2_2-6	0.5
ZDM_D-A4_24	ZXF_2_3-2	0.0294117647058824
BM_D-C2_86	ZXF_2_3-4	0.205882352941176
ZDM_D-A5_16	ZXF_2_4-6	0.0294117647058824
ZDM_D-A5_60	ZXF_2_5-1	0.117647058823529
ZDM_D-C1_90	ZXF_2_6-4	0.470588235294118
FDM_D-C5_75	ZXF_2_6-4	0.0294117647058824
BM_D-C2_31	ZXF_2_6-5	0.117647058823529
FDM_D-A1_37	ZXF_2_7-1	0.882352941176471
FDM_D-C2_85	ZXF_2_7-1	0.882352941176471
FDM_D-C3_12	ZXF_2_7-1	0.852941176470588
FDM_D-C5_70	ZXF_2_7-1	0.911764705882353
ZDM_D-A4_96	ZXF_2_7-1	0.911764705882353
BM_D-C1_07	ZXF_2_8-5	0.411764705882353
BM_D-C1_51	ZXF_2_8-7	0.411764705882353
ZDM_D-A4_69	ZXF_2_9-2	0.0882352941176471
FDM_D-C3_47	ZXF_2_9-5	0.588235294117647
ZDM_D-A4_44	ZXF_2_9-5	0.470588235294118
ZDM_D-A4_04	ZXF_2_9-6	0.352941176470588
FDM_D-C2_50	ZXF_2_10-4	0.264705882352941
BM_D-C5_75	ZXF_2_10-5	0.323529411764706
BM_D-C1_28	ZXF_2_11-1	0.529411764705882
BM_D-C3_96	ZXF_2_11-1	0.352941176470588
BM_D-C4_51	ZXF_2_11-1	0.529411764705882
BM_D-C5_38	ZXF_2_11-1	0.529411764705882
ZDM_D-A3_43	ZXF_2_11-6	0.117647058823529
FDM_D-C5_38	ZXF_2_12-6	0.647058823529412
FDM_D-C5_69	ZXF_2_12-8	0.147058823529412
ZDM_D-A4_15	ZXF_2_12-8	0.235294117647059
FDM_D-C3_17	ZXF_4_1-6	0.0294117647058824
