orig.ident	nCount_ATAC	nFeature_ATAC	nCount_ACTIVITY	nFeature_ACTIVITY	tech	predicted.id	prediction.score.max
RC_3_1-1	RC	301453	31062	0.999999999999975	13917	atac	LoH	0.986106266260053
RC_3_1-2	RC	167460	18984	0.999999999999972	11734	atac	Fibro-ALDH1A2	0.594794241704842
RC_3_1-3	RC	282341	30995	0.999999999999994	14312	atac	DT	0.633845732901267
RC_3_1-4	RC	223922	24999	1.00000000000003	13505	atac	LoH	0.369816946073565
RC_3_1-5	RC	184789	17601	0.999999999999967	10292	atac	Fibro-PTGER2	0.458141935030525
RC_3_1-6	RC	154318	18867	0.999999999999871	11531	atac	Fibro-ALDH1A2	0.515868732508471
RC_3_1-7	RC	693840	38718	0.999999999999984	13985	atac	Fibro-PTGER2	0.863534761046835
RC_3_1-8	RC	139479	17128	0.999999999999866	11452	atac	Podocyte-PLA2R1	0.95682446988601
RC_3_2-1	RC	597314	32898	1.00000000000012	13002	atac	Podocyte-PLA2R1	0.295194679276896
RC_3_2-2	RC	97599	11946	0.999999999999851	9113	atac	Podocyte-PLA2R1	0.379540085043492
RC_3_2-3	RC	265200	27314	1.00000000000006	13319	atac	LoH	0.934579717276358
RC_3_2-4	RC	292826	31026	0.999999999999938	14453	atac	CM	0.441564117535593
RC_3_2-6	RC	252557	23708	1.00000000000012	12705	atac	Fibro-PTGER2	0.57420680517774
RC_3_2-7	RC	176195	21929	0.999999999999995	12577	atac	Podocyte-GPC3	0.877773045908234
RC_3_3-1	RC	175070	20998	0.999999999999907	12439	atac	Podocyte-GPC3	0.883441353218707
RC_3_3-3	RC	177078	20791	0.999999999999959	11234	atac	PT	0.364215665470107
RC_3_3-4	RC	189467	22374	1.00000000000014	12749	atac	CM	0.854433247179947
RC_3_3-5	RC	92217	10686	0.999999999999944	9044	atac	Erythrocyte	0.848936004962762
RC_3_3-6	RC	158360	19488	1.00000000000004	12032	atac	Fibro-ALDH1A2	0.307414063626792
RC_3_3-7	RC	121320	17216	1.00000000000002	11576	atac	PC-BCAT1	0.67392767201923
