RNA_cell	ATAC_cell	score
HJC_D-C4_42	AC_1_1-2	0.0588235294117647
SJC_D-A3_38	AC_1_1-3	0.676470588235294
SJC_D-A2_43	AC_1_1-5	0.735294117647059
SJC_D-A5_20	AC_1_1-5	0.676470588235294
HJC_D-C2_15	AC_1_1-6	1
HJC_D-C3_65	AC_1_1-6	1
HJC_D-C4_19	AC_1_1-6	1
JJC_D-A3_50	AC_1_1-6	1
HJC_D-C2_73	AC_1_1-8	0.352941176470588
HJC_D-C4_40	AC_1_1-8	0.588235294117647
SJC_D-A3_78	AC_1_1-8	0.588235294117647
SJC_D-A4_47	AC_1_1-8	0.470588235294118
SJC_D-A4_59	AC_1_1-8	0.5
HJC_D-C1_29	AC_1_2-1	0.911764705882353
HJC_D-C1_40	AC_1_2-2	0.5
HJC_D-C4_70	AC_1_2-2	0.176470588235294
SJC_D-A5_72	AC_1_2-2	0.205882352941176
HJC_D-C5_42	AC_1_2-3	0.0294117647058824
JJC_D-A2_25	AC_1_2-4	0.323529411764706
JJC_D-A4_53	AC_1_2-4	0.235294117647059
SJC_D-A4_82	AC_1_2-4	0.176470588235294
SJC_D-A5_29	AC_1_2-4	0.352941176470588
HJC_D-C3_22	AC_1_2-5	0.970588235294118
HJC_D-C1_41	AC_1_2-6	0.676470588235294
HJC_D-C4_94	AC_1_2-6	0.676470588235294
JJC_D-A3_18	AC_1_2-6	0.205882352941176
HJC_D-C1_73	AC_1_2-8	0.529411764705882
HJC_D-C3_73	AC_1_2-8	0.352941176470588
JJC_D-A4_17	AC_1_3-1	0.911764705882353
JJC_D-A5_24	AC_1_3-1	0.911764705882353
JJC_D-A5_32	AC_1_3-1	0.970588235294118
JJC_D-A5_62	AC_1_3-1	1
SJC_D-A2_79	AC_1_3-1	1
HJC_D-C1_13	AC_1_3-3	1
JJC_D-A1_65	AC_1_3-4	0.0588235294117647
HJC_D-C4_40	AC_1_3-4	0.323529411764706
JJC_D-A1_18	AC_1_3-5	0.5
JJC_D-A4_47	AC_1_3-5	0.441176470588235
JJC_D-A5_78	AC_1_3-5	0.470588235294118
HJC_D-C2_24	AC_1_3-8	0.294117647058824
HJC_D-C5_25	AC_1_4-1	0.117647058823529
SJC_D-A4_01	AC_1_4-1	0.0882352941176471
HJC_D-C5_81	AC_1_4-3	0.382352941176471
JJC_D-A4_65	AC_1_4-3	0.264705882352941
SJC_D-A2_40	AC_1_4-3	0.0882352941176471
SJC_D-A4_13	AC_1_4-3	0.117647058823529
HJC_D-C1_24	AC_1_4-4	0.5
HJC_D-C2_36	AC_1_4-4	0.352941176470588
HJC_D-C4_43	AC_1_4-4	0.441176470588235
SJC_D-A2_13	AC_1_4-4	0.352941176470588
SJC_D-A5_74	AC_1_4-4	0.529411764705882
HJC_D-C1_49	AC_1_4-5	1
JJC_D-A1_80	AC_1_4-5	0.941176470588235
HJC_D-C4_13	AC_1_4-5	0.823529411764706
HJC_D-C5_08	AC_1_4-5	0.970588235294118
JJC_D-A5_08	AC_1_4-5	1
JJC_D-A3_81	AC_1_4-7	0.529411764705882
JJC_D-A5_54	AC_1_4-7	0.264705882352941
HJC_D-C1_64	AC_1_4-8	0.323529411764706
SJC_D-A1_50	AC_1_4-8	0.529411764705882
SJC_D-A3_27	AC_1_4-8	0.294117647058824
SJC_D-A3_41	AC_1_4-8	0.294117647058824
SJC_D-A5_03	AC_1_4-8	0.205882352941176
HJC_D-C3_14	AC_1_5-3	0.558823529411765
HJC_D-C4_79	AC_1_5-3	0.352941176470588
HJC_D-C5_25	AC_1_5-3	0.264705882352941
SJC_D-A2_91	AC_1_5-3	0.323529411764706
SJC_D-A3_73	AC_1_5-3	0.205882352941176
HJC_D-C1_52	AC_1_5-4	0.117647058823529
HJC_D-C2_20	AC_1_5-4	0.205882352941176
HJC_D-C4_09	AC_1_5-5	0.823529411764706
HJC_D-C4_27	AC_1_5-5	0.823529411764706
SJC_D-A4_92	AC_1_5-5	0.764705882352941
JJC_D-A2_39	AC_1_5-6	0.176470588235294
JJC_D-A3_26	AC_1_5-6	0.441176470588235
HJC_D-C1_22	AC_1_6-3	0.294117647058824
HJC_D-C5_40	AC_1_6-3	0.235294117647059
SJC_D-A2_21	AC_1_6-3	0.176470588235294
SJC_D-A2_86	AC_1_6-3	0.352941176470588
SJC_D-A5_23	AC_1_6-3	0.294117647058824
SJC_D-A5_01	AC_1_6-4	0.0882352941176471
HJC_D-C5_59	AC_1_6-6	0.205882352941176
HJC_D-C5_84	AC_1_6-6	0.205882352941176
JJC_D-A1_53	AC_1_7-3	0.705882352941177
HJC_D-C4_15	AC_1_7-3	0.558823529411765
JJC_D-A2_02	AC_1_7-3	0.676470588235294
JJC_D-A5_59	AC_1_7-3	0.558823529411765
SJC_D-A2_05	AC_1_7-3	0.705882352941177
JJC_D-A1_46	AC_1_7-6	0.470588235294118
SJC_D-A1_71	AC_1_7-6	0.5
HJC_D-C5_10	AC_1_7-6	0.264705882352941
JJC_D-A3_26	AC_1_7-6	0.235294117647059
SJC_D-A5_77	AC_1_7-6	0.294117647058824
HJC_D-C1_26	AC_1_7-7	1
HJC_D-C1_49	AC_1_7-7	0.941176470588235
HJC_D-C4_24	AC_1_7-7	1
JJC_D-A4_27	AC_1_7-7	1
JJC_D-A5_32	AC_1_7-7	1
SJC_D-A1_57	AC_1_7-8	0.941176470588235
JJC_D-A4_63	AC_1_7-8	0.941176470588235
SJC_D-A2_36	AC_1_8-3	0.264705882352941
HJC_D-C2_08	AC_1_8-5	0.205882352941176
HJC_D-C2_37	AC_1_8-8	0.382352941176471
HJC_D-C3_36	AC_1_8-8	0.0588235294117647
HJC_D-C5_91	AC_1_9-1	0.970588235294118
JJC_D-A4_68	AC_1_9-1	1
SJC_D-A5_09	AC_1_9-1	1
HJC_D-C3_51	AC_1_9-3	0.0882352941176471
JJC_D-A3_79	AC_1_9-3	0.382352941176471
HJC_D-C3_26	AC_1_9-4	0.235294117647059
HJC_D-C1_49	AC_1_9-5	0.882352941176471
HJC_D-C3_68	AC_1_9-5	1
HJC_D-C4_12	AC_1_9-5	1
HJC_D-C5_44	AC_1_9-5	0.882352941176471
JJC_D-A2_78	AC_1_9-5	1
HJC_D-C5_16	AC_1_9-6	0.147058823529412
SJC_D-A4_35	AC_1_9-6	0.411764705882353
HJC_D-C3_12	AC_1_9-7	0
SJC_D-A5_23	AC_1_9-7	0.294117647058824
SJC_D-A5_90	AC_1_9-7	0.0882352941176471
HJC_D-C5_87	AC_1_9-8	0.176470588235294
JJC_D-A2_53	AC_1_9-8	0.0882352941176471
SJC_D-A4_56	AC_1_9-8	0.352941176470588
SJC_D-A1_01	AC_1_10-1	0.176470588235294
HJC_D-C3_57	AC_1_10-1	0.235294117647059
SJC_D-A2_12	AC_1_10-1	0.352941176470588
SJC_D-A4_07	AC_1_10-4	0.411764705882353
SJC_D-A4_53	AC_1_10-4	0.735294117647059
SJC_D-A4_55	AC_1_10-4	0.117647058823529
JJC_D-A1_14	AC_1_10-7	0.147058823529412
JJC_D-A5_88	AC_1_10-7	0.117647058823529
SJC_D-A4_61	AC_1_10-7	0.176470588235294
HJC_D-C2_08	AC_1_11-1	0.294117647058824
HJC_D-C1_31	AC_1_11-2	0.764705882352941
JJC_D-A1_88	AC_1_11-2	0.764705882352941
HJC_D-C5_13	AC_1_11-2	0.705882352941177
JJC_D-A2_24	AC_1_11-2	0.852941176470588
JJC_D-A4_53	AC_1_11-2	0.735294117647059
HJC_D-C5_05	AC_1_11-4	0
SJC_D-A4_58	AC_1_11-4	0.176470588235294
SJC_D-A4_80	AC_1_11-4	0.117647058823529
HJC_D-C5_95	AC_1_11-5	0.441176470588235
SJC_D-A1_28	AC_1_11-6	0.441176470588235
HJC_D-C2_70	AC_1_11-6	0.647058823529412
HJC_D-C3_93	AC_1_11-6	0.352941176470588
HJC_D-C5_40	AC_1_11-6	0.411764705882353
SJC_D-A4_59	AC_1_11-6	0.529411764705882
HJC_D-C5_96	AC_1_11-7	0.617647058823529
JJC_D-A4_77	AC_1_11-7	0.647058823529412
SJC_D-A3_39	AC_1_11-7	0.205882352941176
JJC_D-A2_34	AC_1_11-8	0.941176470588235
HJC_D-C2_12	AC_1_12-1	0.176470588235294
HJC_D-C2_90	AC_1_12-1	0
HJC_D-C4_79	AC_1_12-1	0.0294117647058824
SJC_D-A4_50	AC_1_12-1	0.235294117647059
HJC_D-C2_28	AC_1_12-2	0.382352941176471
HJC_D-C3_12	AC_1_12-2	0.117647058823529
HJC_D-C3_36	AC_1_12-2	0.176470588235294
HJC_D-C4_05	AC_1_12-2	0.147058823529412
HJC_D-C4_29	AC_1_12-2	0.176470588235294
SJC_D-A1_82	AC_1_12-3	0.588235294117647
SJC_D-A5_61	AC_1_12-3	0.470588235294118
HJC_D-C1_05	AC_1_12-5	0.205882352941176
HJC_D-C5_01	AC_1_12-5	0.411764705882353
HJC_D-C5_61	AC_1_12-5	0.323529411764706
SJC_D-A5_34	AC_1_12-5	0.264705882352941
SJC_D-A3_74	AC_1_12-6	0.911764705882353
HJC_D-C3_22	AC_1_12-7	1
HJC_D-C4_49	AC_1_12-7	1
HJC_D-C5_63	AC_1_12-7	1
SJC_D-A3_74	AC_1_12-7	1
SJC_D-A5_53	AC_1_12-7	1
SJC_D-A5_34	AC_1_12-8	0.205882352941176
HJC_D-C3_76	AC_2_1-3	0.264705882352941
JJC_D-A2_57	AC_2_1-3	0.470588235294118
JJC_D-A4_27	AC_2_1-5	0.735294117647059
SJC_D-A4_72	AC_2_1-5	0.735294117647059
SJC_D-A1_42	AC_2_1-7	0.411764705882353
JJC_D-A3_79	AC_2_1-7	0.441176470588235
SJC_D-A4_48	AC_2_1-7	0.588235294117647
HJC_D-C4_31	AC_2_2-3	0.117647058823529
HJC_D-C1_09	AC_2_2-5	0.441176470588235
HJC_D-C4_58	AC_2_2-5	0.5
HJC_D-C5_94	AC_2_2-5	0.588235294117647
SJC_D-A2_01	AC_2_2-5	0.588235294117647
SJC_D-A4_76	AC_2_2-5	0.5
HJC_D-C3_39	AC_2_2-6	0.235294117647059
JJC_D-A2_86	AC_2_2-6	0.264705882352941
HJC_D-C2_70	AC_2_2-7	0.441176470588235
HJC_D-C4_78	AC_2_2-8	0.264705882352941
HJC_D-C5_81	AC_2_2-8	0.264705882352941
SJC_D-A5_74	AC_2_2-8	0.294117647058824
HJC_D-C1_47	AC_2_3-1	0.735294117647059
JJC_D-A5_32	AC_2_3-1	0.970588235294118
JJC_D-A5_57	AC_2_3-1	0.705882352941177
SJC_D-A3_39	AC_2_3-2	0.117647058823529
SJC_D-A5_47	AC_2_3-3	0.205882352941176
SJC_D-A3_47	AC_2_4-3	0
SJC_D-A5_51	AC_2_4-3	0.588235294117647
SJC_D-A5_60	AC_2_4-3	0.176470588235294
HJC_D-C2_37	AC_2_4-4	0.264705882352941
