p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
Peak-26048	4.20437897794628e-38	0.466853575069713	0.981	0.35	8.56474041597437e-33	B-MS4A1-	Peak-26048
Peak-28663	2.91705249682211e-28	0.34551539878747	0.981	0.555	5.94232764127632e-23	B-MS4A1-	Peak-28663
Peak-24278	6.00582040895686e-26	0.280286089298005	0.962	0.495	1.2234456755086e-20	B-MS4A1-	Peak-24278
Peak-14161	2.69434963916653e-24	0.261652447869509	0.943	0.549	5.48865964994614e-19	B-MS4A1-	Peak-14161
Peak-30933	2.26327611873959e-23	0.355809099382256	1	0.748	4.61051978148442e-18	B-MS4A1-	Peak-30933
Peak-19624	1.80083636020053e-21	0.25700046158847	0.925	0.512	3.6684837493645e-16	B-MS4A1-	Peak-19624
Peak-10881	1.94126706749899e-20	0.306220100823285	1	0.82	3.9545551432022e-15	B-MS4A1-	Peak-10881
Peak-7975	2.3542512136816e-20	0.251511982668177	1	0.858	4.79584514739079e-15	B-MS4A1-	Peak-7975
Peak-12958	3.53895934344968e-20	0.300087185254131	0.962	0.82	7.20921407854135e-15	B-MS4A1-	Peak-12958
Peak-11595	4.97789549730628e-20	0.277279978627098	1	0.858	1.01404709175626e-14	B-MS4A1-	Peak-11595
Peak-9322	4.16373209759162e-19	0.282636953385708	0.962	0.885	8.48193865600389e-14	B-MS4A1-	Peak-9322
Peak-6322	9.14369024189524e-19	0.321138828250712	1	0.894	1.86266113917648e-13	B-MS4A1-	Peak-6322
Peak-6729	1.14601412885469e-18	0.332238539065371	0.981	0.886	2.33454538188989e-13	B-MS4A1-	Peak-6729
Peak-11547	2.04024037584928e-18	0.279317204538309	0.981	0.862	4.15617366964256e-13	B-MS4A1-	Peak-11547
Peak-10812	2.43791221786489e-18	0.26680029385809	0.981	0.768	4.96627097901257e-13	B-MS4A1-	Peak-10812
Peak-1392	4.93503953012356e-15	0.292162728540114	1	1	1.00531690268147e-09	B-MS4A1-	Peak-1392
Peak-4880	3.20578318520654e-28	0.491477576301284	1	0.969	6.53050092658424e-23	NKT-IL2RB	Peak-4880
Peak-4019	2.39517609998814e-19	0.272020927662419	0.986	0.973	4.87921323328585e-14	NKT-IL2RB	Peak-4019
Peak-366	1.15803936502624e-15	0.276259767763823	1	1	2.35904199049496e-10	NKT-IL2RB	Peak-366
Peak-29787	3.9889028971206e-74	0.359355716091049	0.964	0.452	8.12579409172438e-69	Endo-Portal	Peak-29787
Peak-26676	1.77159384032693e-62	0.351583137989591	0.964	0.579	3.60891381212999e-57	Endo-Portal	Peak-26676
Peak-16229	3.70691654071721e-61	0.268692264589121	0.993	0.619	7.55135968509503e-56	Endo-Portal	Peak-16229
Peak-7819	5.63025641318013e-58	0.469676328148285	1	0.973	1.14693953392892e-52	Endo-Portal	Peak-7819
Peak-19252	1.3219297751377e-55	0.253867272502372	0.971	0.697	2.69290314493302e-50	Endo-Portal	Peak-19252
Peak-7836	1.71563942117934e-55	0.295597402177312	0.993	0.815	3.49492906488444e-50	Endo-Portal	Peak-7836
Peak-10053	7.04802981776574e-55	0.257337677231193	0.986	0.781	1.43575415417706e-49	Endo-Portal	Peak-10053
Peak-11544	1.2316759532584e-51	0.261712325153372	0.978	0.786	2.50904708438269e-46	Endo-Portal	Peak-11544
Peak-20951	4.75543214012719e-49	0.278024935385528	0.993	0.803	9.68729081265311e-44	Endo-Portal	Peak-20951
Peak-7890	8.17916956061707e-43	0.314884133602812	0.993	0.95	1.6661786311933e-37	Endo-Portal	Peak-7890
Peak-5308	1.70663152694363e-40	0.261881318606596	1	0.983	3.47657908353686e-35	Endo-Portal	Peak-5308
Peak-27409	1.75720965522874e-40	0.283233348115534	0.964	0.711	3.57961178866647e-35	Endo-Portal	Peak-27409
