p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
Peak-1144	2.99521978741461e-53	0.258889398670749	1	0.998	6.29738969864347e-48	Fibro-0	Peak-1144
Peak-6517	3.57151471662133e-46	0.267703080396677	1	1	7.50903826140201e-41	Fibro-0	Peak-6517
Peak-16176	1.14381653121394e-131	0.250856915564133	0.993	0.755	2.40485138054668e-126	Epi	Peak-16176
Peak-10141	1.37076018388415e-105	0.304623960993744	0.998	0.973	2.88199587141275e-100	Epi	Peak-10141
Peak-25372	2.01372128683849e-92	0.281494076901731	0.998	0.907	4.23380873115219e-87	Epi	Peak-25372
Peak-12426	8.09702059597732e-51	0.314896207023718	0.992	0.946	1.70238238626304e-45	SM-HHIP	Peak-12426
Peak-12718	1.74568787507929e-48	0.259766258144769	0.992	0.936	3.67027384359671e-43	SM-HHIP	Peak-12718
Peak-4543	1.19692100019776e-33	0.260836092087373	1	0.998	2.51650246449579e-28	SM-HHIP	Peak-4543
Peak-13723	1.85030384567377e-31	0.255453610561595	0.945	0.735	3.89022682945219e-26	SM-HHIP	Peak-13723
Peak-65204	3.15520059680837e-28	0.27632907060597	0.984	0.797	6.63374615077767e-23	SM-HHIP	Peak-65204
Peak-8663	2.86256048354214e-24	0.250491326719618	1	0.901	6.01847616543767e-19	Pericyte	Peak-8663
Peak-13076	2.24385266605761e-20	0.25065576848672	0.981	0.838	4.71765535333281e-15	Pericyte	Peak-13076
Peak-36784	2.56990006910677e-30	0.267786838764509	0.977	0.432	5.4031634972956e-25	Endo	Peak-36784
Peak-42271	2.20102232755465e-25	0.270154347117163	0.953	0.478	4.62760542323709e-20	Endo	Peak-42271
Peak-14470	5.03045140178211e-19	0.262763033952838	1	0.905	1.05764234632189e-13	Endo	Peak-14470
Peak-4702	1.22854435508044e-11	0.268564960595995	1	0.999	2.58298993566952e-06	Endo	Peak-4702
