orig.ident	nCount_ATAC	nFeature_ATAC	nCount_ACTIVITY	nFeature_ACTIVITY	tech	predicted.id	prediction.score.max
LC_1_1-1	LC	314250	32481	0.99999999999997	13741	atac	Fibro-0	0.934920998091641
LC_1_1-2	LC	357868	41567	0.999999999999927	14397	atac	Epi	0.857315234185107
LC_1_1-3	LC	282254	32232	0.999999999999998	13748	atac	SM-STC1	0.558413541366956
LC_1_1-4	LC	278621	32071	1.00000000000002	13637	atac	Fibro-0	0.661007134063948
LC_1_1-5	LC	264828	32059	0.99999999999998	13540	atac	Fibro-0	0.546415206815924
LC_1_1-6	LC	300346	31789	1.0000000000001	13589	atac	Fibro-0	0.845767817465813
LC_1_1-7	LC	320845	38504	0.999999999999935	14076	atac	Epi	0.772452523327201
LC_1_1-8	LC	373631	38406	0.999999999999951	14283	atac	Fibro-0	0.786482967822736
LC_1_2-1	LC	352809	36469	1	13926	atac	Fibro-0	0.887182066196826
LC_1_2-2	LC	173980	22455	1.00000000000005	12565	atac	Fibro-FOSB	0.329204766149706
LC_1_2-3	LC	376816	41450	0.999999999999987	14361	atac	Epi	0.94909931922255
LC_1_2-4	LC	248803	29515	1.00000000000009	13469	atac	SM-HHIP	0.818090873668922
LC_1_2-5	LC	240861	29875	0.999999999999905	13258	atac	Fibro-0	0.483552885795074
LC_1_2-6	LC	305300	36924	1	14000	atac	Epi	0.737787433657375
LC_1_2-7	LC	308953	35230	1.00000000000012	13922	atac	Epi	0.398898796087078
LC_1_2-8	LC	408613	44328	1.00000000000006	14634	atac	Epi	0.960499151138065
LC_1_3-1	LC	274766	32499	0.999999999999946	13611	atac	Fibro-0	0.894375919394699
LC_1_3-2	LC	253555	32252	0.999999999999921	13592	atac	Epi	0.655179770969378
LC_1_3-3	LC	213763	25121	0.999999999999945	13119	atac	SM-HHIP	0.688344246397635
LC_1_3-4	LC	230803	28061	0.999999999999979	13229	atac	Fibro-Prol	0.555917813792727
LC_1_3-5	LC	193601	25943	0.999999999999985	12659	atac	Fibro-0	0.534144934284835
LC_1_3-6	LC	371581	38791	1	14417	atac	Epi	0.80304503999489
LC_1_3-7	LC	186888	24945	0.99999999999996	12819	atac	Fibro-0	0.292788786960656
LC_1_3-8	LC	270689	30359	0.999999999999894	13707	atac	SM-HHIP	0.860815850386081
LC_1_4-1	LC	184232	24602	1.00000000000002	12614	atac	Fibro-0	0.704527013313788
LC_1_4-2	LC	210257	26076	1.00000000000007	13157	atac	Pericyte	0.452121295718626
LC_1_4-3	LC	292643	32056	0.999999999999983	13793	atac	SM-STC1	0.636670557960046
LC_1_4-4	LC	205258	26503	0.999999999999864	13053	atac	Fibro-0	0.501702499889082
LC_1_4-5	LC	155408	21384	0.999999999999912	12311	atac	Epi	0.287172831689724
