RNA_cell	ATAC_cell	score
FZW_C-B20_56	LC_1_1-1	0.136363636363636
FZY_C-C5_10	LC_1_1-1	0.272727272727273
FZY_C-C13_37	LC_1_1-1	0.318181818181818
FZW_C-B5_58	LC_1_1-2	0.681818181818182
FZW_C-B10_75	LC_1_1-3	0.318181818181818
FZY_C-C9_07	LC_1_1-3	0.227272727272727
FZY_C-C13_35	LC_1_1-3	0.772727272727273
FZW_C-B5_35	LC_1_1-4	0.318181818181818
FZY_C-C15_27	LC_1_1-4	0.227272727272727
FZY_C-C1_46	LC_1_1-6	0.181818181818182
FZY_C-C1_80	LC_1_1-6	0.136363636363636
FZY_C-C11_83	LC_1_1-6	0.5
FZY_C-C13_02	LC_1_1-6	0.363636363636364
FZY_C-C20_40	LC_1_1-6	0.318181818181818
FZY_C-C4_57	LC_1_2-1	0.318181818181818
FZY_C-C7_42	LC_1_2-1	0.5
FZY_C-C8_59	LC_1_2-1	0.136363636363636
FZY_C-C13_16	LC_1_2-1	0.409090909090909
FZY_C-C14_61	LC_1_2-1	0.363636363636364
FZW_C-B13_32	LC_1_2-2	0.363636363636364
FZW_C-B10_10	LC_1_2-3	0.636363636363636
FZW_C-B16_43	LC_1_2-3	0.636363636363636
FZW_C-B16_45	LC_1_2-3	0.590909090909091
FZY_C-C18_34	LC_1_2-5	0.681818181818182
FZW_C-B7_23	LC_1_2-6	0.363636363636364
FZY_C-C1_77	LC_1_2-8	1
FZY_C-C3_89	LC_1_2-8	1
FZY_C-C6_16	LC_1_3-1	0.5
FZY_C-C18_86	LC_1_3-1	0.363636363636364
FZW_C-B7_44	LC_1_3-3	0.409090909090909
FZW_C-B17_80	LC_1_3-3	0.545454545454545
FZW_C-B19_58	LC_1_3-3	0.545454545454545
FZY_C-C7_50	LC_1_3-3	0.681818181818182
FZY_C-C7_52	LC_1_3-3	0.454545454545455
FZW_C-B18_18	LC_1_3-4	1
FZY_C-C3_92	LC_1_3-4	0.727272727272727
FZW_C-B6_92	LC_1_3-5	0.818181818181818
FZY_C-C7_16	LC_1_3-5	0.954545454545455
FZW_C-B13_29	LC_1_3-7	0.0909090909090909
FZY_C-C13_55	LC_1_3-7	0.136363636363636
FZY_C-C1_64	LC_1_3-8	0.818181818181818
FZW_C-B12_86	LC_1_3-8	0.818181818181818
FZW_C-B16_58	LC_1_3-8	0.681818181818182
FZY_C-C11_47	LC_1_3-8	0.863636363636364
FZW_C-B9_20	LC_1_4-1	0.454545454545455
FZW_C-B17_81	LC_1_4-1	0.272727272727273
FZW_C-B18_58	LC_1_4-1	0.772727272727273
FZY_C-C13_48	LC_1_4-1	0.318181818181818
FZY_C-C2_96	LC_1_4-3	0.727272727272727
FZW_C-B15_81	LC_1_4-3	0.318181818181818
FZY_C-C14_90	LC_1_4-3	0.0909090909090909
