orig.ident	nCount_ATAC	nFeature_ATAC	nCount_ACTIVITY	nFeature_ACTIVITY	tech	predicted.id	prediction.score.max
Pan_1_1-1	Pan	378151	35345	1.00000000000005	13501	atac	Endo-FLT1	0.946995656974765
Pan_1_1-2	Pan	331525	34035	1.00000000000015	13090	atac	Glial	0.936601418716044
Pan_1_1-3	Pan	110955	17011	0.999999999999973	10129	atac	B-IGHM	0.235895164349604
Pan_1_1-4	Pan	164155	21691	1.00000000000009	11489	atac	B-IGHM	0.224601961535523
Pan_1_1-5	Pan	400284	38077	0.999999999999926	13833	atac	Epi-CADPS	0.941655881557575
Pan_1_1-6	Pan	336920	37568	1.00000000000009	13467	atac	Fibro-PAMR1+SOX6+	0.266717185804596
Pan_1_1-7	Pan	268468	28995	1	12738	atac	Fibro-PAMR1+SOX6-	0.850455166188244
Pan_1_1-8	Pan	340638	36414	0.999999999999888	13432	atac	Fibro-PAMR1+SOX6+	0.513864496587754
Pan_1_2-1	Pan	293136	34177	0.999999999999967	12951	atac	Fibro-PAMR1+SOX6-	0.517857459872021
Pan_1_2-2	Pan	215969	26187	0.999999999999973	11897	atac	B-IGHM	0.687410775540742
Pan_1_2-3	Pan	220621	26624	0.999999999999967	12299	atac	Epi-CADPS	0.834668721021896
Pan_1_2-4	Pan	252611	30762	0.999999999999872	12506	atac	Fibro-PAMR1+SOX6+	0.422231116308602
Pan_1_2-5	Pan	208276	24546	0.999999999999925	12125	atac	Endo-NTS	0.818683177879943
Pan_1_2-7	Pan	270865	31677	0.999999999999998	12607	atac	NKT	1
Pan_1_2-8	Pan	374902	39211	1.00000000000005	13714	atac	Epi-SPINK1	0.777119254064891
Pan_1_3-1	Pan	287583	33212	0.99999999999989	12920	atac	Fibro-PAMR1+SOX6+	0.670466355508103
Pan_1_3-2	Pan	241461	27472	0.999999999999968	12465	atac	Endo-FLT1	0.999990030959371
Pan_1_3-3	Pan	304902	34347	1.00000000000005	13225	atac	Epi-SPINK1	0.820346451756429
Pan_1_3-4	Pan	216423	25572	1.00000000000001	12090	atac	B-IGHM	0.943199573725125
Pan_1_3-5	Pan	238089	30360	1.00000000000004	12574	atac	Fibro-PAMR1+SOX6+	0.511193539319878
Pan_1_3-6	Pan	281925	31439	1.0000000000002	12777	atac	NKT	1
Pan_1_3-7	Pan	174695	22715	0.999999999999917	11455	atac	Fibro-THBS2	0.324667660457817
Pan_1_3-8	Pan	341631	30417	0.999999999999832	12934	atac	SM	0.370512701735521
Pan_1_4-1	Pan	294968	32768	1.00000000000017	13009	atac	Epi-SPINK1	0.884787832387953
Pan_1_4-2	Pan	211800	26269	1.00000000000016	12126	atac	SM	0.49316178311989
Pan_1_4-3	Pan	211847	26665	1.0000000000001	11856	atac	Fibro-PAMR1+SOX6+	0.58906677764123
Pan_1_4-4	Pan	344146	36674	0.999999999999826	13497	atac	Epi-SPINK1	0.811709567321472
Pan_1_4-5	Pan	217752	27715	1.00000000000007	12432	atac	Epi-CADPS	0.919199986775006
Pan_1_4-6	Pan	217295	26883	1.00000000000021	12165	atac	Fibro-PAMR1+SOX6+	0.282431314942174
Pan_1_4-7	Pan	250678	30278	1.00000000000004	12816	atac	Epi-SPINK1	0.844664168449609
Pan_1_4-8	Pan	307729	33143	0.999999999999861	13016	atac	SM	0.651371158899348
Pan_1_5-1	Pan	243569	28506	1.00000000000007	12692	atac	Endo-NTS	0.21837220013244
Pan_1_5-2	Pan	167874	21961	1.00000000000002	11128	atac	T	0.963764357119944
Pan_1_5-4	Pan	291667	31175	1.00000000000004	12772	atac	Fibro-PAMR1+SOX6+	0.401812162078778
Pan_1_5-5	Pan	467819	43164	0.99999999999991	13743	atac	Epi-SPINK1	0.795157400933611
Pan_1_5-6	Pan	319439	35214	1.00000000000009	12909	atac	NKT	0.876881723471164
Pan_1_5-7	Pan	241034	27669	1.0000000000001	12524	atac	Endo-FLT1	0.879548457706204
Pan_1_5-8	Pan	293473	33536	0.999999999999918	13160	atac	Glial	0.416811984813153
Pan_1_6-1	Pan	188639	25212	0.99999999999997	12042	atac	Epi-CADPS	0.468297603193253
Pan_1_6-2	Pan	253562	30598	0.999999999999889	12609	atac	Fibro-PAMR1+SOX6-	0.767108793451893
Pan_1_6-3	Pan	214098	27302	0.999999999999981	12277	atac	Glial	0.179916102285106
Pan_1_6-4	Pan	264718	30293	1.00000000000001	12882	atac	Epi-SPINK1	0.659366256401178
Pan_1_6-5	Pan	278643	33285	1.00000000000011	13107	atac	Epi-SPINK1	0.839909467110407
Pan_1_6-6	Pan	235189	26128	0.999999999999878	11998	atac	Erythrocyte	1
Pan_1_6-8	Pan	296493	30500	0.999999999999908	12799	atac	Endo-FLT1	1
Pan_1_7-1	Pan	370755	36158	0.999999999999828	13453	atac	Epi-SPINK1	0.771991301776291
Pan_1_7-2	Pan	305405	33410	0.999999999999912	12785	atac	Fibro-PAMR1+SOX6+	0.685835683794427
Pan_1_7-3	Pan	182171	22324	0.999999999999944	11635	atac	Glial	0.663332773659533
Pan_1_7-4	Pan	207451	27235	1.00000000000012	12242	atac	B-MME	0.187204320129851
Pan_1_7-5	Pan	252381	29242	1.00000000000012	12558	atac	Fibro-PAMR1+SOX6+	0.488046099857806
Pan_1_7-7	Pan	235403	28623	0.999999999999924	12342	atac	Fibro-PAMR1+SOX6+	0.399337465541817
Pan_1_7-8	Pan	172810	22815	1.00000000000017	11585	atac	T	0.954990420161209
Pan_1_8-1	Pan	240825	27955	0.999999999999829	12640	atac	Fibro-PAMR1+SOX6-	0.594710804181212
Pan_1_8-2	Pan	194962	22267	1.00000000000007	11579	atac	Endo-FLT1	0.793907839485952
Pan_1_8-3	Pan	244700	30258	1.0000000000001	12405	atac	Fibro-PAMR1+SOX6+	0.371379719422335
Pan_1_8-4	Pan	162848	21241	0.999999999999967	11358	atac	Fibro-PAMR1+SOX6-	0.405824466586662
Pan_1_8-5	Pan	276819	30333	1.00000000000016	12786	atac	Fibro-IGFBP3	0.373507635925175
Pan_1_8-6	Pan	315817	35490	0.999999999999955	13125	atac	Fibro-THBS2	0.346545939474364
Pan_1_8-7	Pan	360468	38401	0.999999999999848	13384	atac	T	0.927496742492006
Pan_1_8-8	Pan	366803	38773	0.999999999999773	13373	atac	Fibro-PAMR1+SOX6+	0.465017616905519
