orig.ident	nCount_ATAC	nFeature_ATAC	nCount_ACTIVITY	nFeature_ACTIVITY	tech	predicted.id	prediction.score.max
SIU_1_1-1	SIU	147771	26755	0.999999999999877	12930	atac	Fibro-COL14A1	0.740204032584635
SIU_1_1-2	SIU	131917	22983	0.9999999999998	12908	atac	SM-Vascular	0.946588003782915
SIU_1_1-3	SIU	88342	19518	0.999999999999872	11734	atac	Fibro-COL14A1	0.836446831786214
SIU_1_1-4	SIU	80914	19291	0.99999999999998	11765	atac	Fibro-COL14A1	0.511031350283983
SIU_1_1-5	SIU	156852	26494	0.999999999999957	13223	atac	SM-Vascular	0.869466930195544
SIU_1_1-6	SIU	83177	17696	0.999999999999842	11694	atac	Fibro-KCNN3	0.631670398715096
SIU_1_1-7	SIU	69068	16387	0.999999999999998	10828	atac	Fibro-COL14A1	0.500512337484708
SIU_1_1-8	SIU	73556	15591	1.00000000000008	10698	atac	Fibro-Prol	0.453504249065777
SIU_1_2-1	SIU	63683	14572	0.999999999999857	10597	atac	Fibro-COL14A1	0.289368335698806
SIU_1_2-3	SIU	117517	23091	0.999999999999848	12627	atac	Fibro-COL14A1	0.583518204733318
SIU_1_2-5	SIU	168787	24609	0.999999999999996	13044	atac	Glial	1
SIU_1_2-6	SIU	62065	14219	1.00000000000002	10325	atac	Endo	0.77838934442154
SIU_1_2-7	SIU	83770	17920	0.999999999999911	11479	atac	Fibro-GPC3	0.301640524919374
SIU_1_2-8	SIU	121157	23288	1.00000000000026	12737	atac	Fibro-COL14A1	0.490657559008527
SIU_1_3-1	SIU	125290	23728	1.00000000000003	12754	atac	Fibro-GPC3	0.594112666397508
SIU_1_3-2	SIU	91855	19366	1.00000000000007	11847	atac	Fibro-COL14A1	0.66596682573019
SIU_1_3-4	SIU	83305	16784	1.00000000000008	11359	atac	B	0.771259747995489
SIU_1_3-5	SIU	135887	23660	0.999999999999879	12713	atac	Fibro-KCNN3	0.537084389926372
SIU_1_3-6	SIU	71151	15550	1.00000000000021	11249	atac	SM-Vascular	0.993029444814207
SIU_1_3-7	SIU	91857	18013	0.999999999999783	11568	atac	Fibro-KCNN3	0.914893863872806
SIU_1_3-8	SIU	138071	22799	0.999999999999981	12766	atac	Fibro-COL6A5	0.814335931049488
SIU_1_4-1	SIU	145397	24268	0.999999999999914	13025	atac	Fibro-COL6A5	0.539544788314883
SIU_1_4-2	SIU	141611	25807	1.00000000000015	12892	atac	Fibro-COL14A1	0.765958519669031
SIU_1_4-3	SIU	133425	24596	1.00000000000001	12870	atac	Fibro-COL14A1	0.811259576875467
SIU_1_4-4	SIU	72707	17257	0.999999999999979	11166	atac	Fibro-Prol	0.328369146167816
SIU_1_4-5	SIU	144471	25030	1.00000000000008	12840	atac	Fibro-COL14A1	0.446333384119008
SIU_1_4-6	SIU	113820	19984	0.999999999999871	12391	atac	Fibro-COL6A5	0.612466523995989
SIU_1_4-7	SIU	141499	24270	1.00000000000022	13069	atac	Fibro-COL6A5	0.634896419353524
SIU_1_4-8	SIU	123009	21622	0.99999999999992	12419	atac	Fibro-GPC3	0.478454129406188
SIU_1_5-1	SIU	145934	23833	1.00000000000029	12970	atac	Fibro-COL6A5	0.591251634579184
SIU_1_5-2	SIU	213927	29465	1.00000000000011	13380	atac	Fibro-COL14A1	0.894452051025868
SIU_1_5-3	SIU	142446	24552	1.00000000000004	12819	atac	Fibro-COL14A1	0.855289181076943
SIU_1_5-4	SIU	88834	18637	0.999999999999957	11937	atac	SM-Vascular	0.937517420384583
SIU_1_5-5	SIU	184678	28424	0.999999999999855	13467	atac	Fibro-COL6A5	0.503853518152711
SIU_1_5-6	SIU	127195	21774	0.999999999999967	12658	atac	Fibro-COL6A5	0.643500590172658
SIU_1_5-7	SIU	62397	13847	1.00000000000005	10322	atac	Fibro-Prol	0.442551253356957
