RNA_cell	ATAC_cell	score
XCS_C-D2_48	SIU_1_1-1	0.25
XCZ_C-B19_31	SIU_1_1-1	0.178571428571429
XCX_C-C2_80	SIU_1_1-1	0.107142857142857
XCS_C-A1_45	SIU_1_1-2	0.607142857142857
XCZ_C-B24_13	SIU_1_1-2	0.535714285714286
XCX_C-B1_36	SIU_1_1-2	0.75
XCX_C-D2_61	SIU_1_1-2	0.607142857142857
XCZ_C-B23_44	SIU_1_1-5	0.0357142857142857
XCS_C-B1_93	SIU_1_1-6	0.464285714285714
XCZ_C-B19_94	SIU_1_1-6	0.214285714285714
XCS_C-D9_70	SIU_1_1-7	0.357142857142857
XCZ_C-C10_12	SIU_1_1-8	0.357142857142857
XCS_C-D6_06	SIU_1_2-5	0.964285714285714
XCX_C-A1_19	SIU_1_2-5	1
XCX_C-B7_06	SIU_1_2-5	1
XCX_C-C5_58	SIU_1_2-5	0.964285714285714
XCX_C-C7_25	SIU_1_2-5	1
XCS_C-D3_30	SIU_1_2-8	0.178571428571429
XCZ_C-B19_17	SIU_1_3-2	0.178571428571429
XCZ_C-C4_73	SIU_1_3-5	0.214285714285714
XCS_C-A6_23	SIU_1_3-7	0.75
XCS_C-A8_07	SIU_1_3-7	0.678571428571429
XCS_C-A5_49	SIU_1_3-8	0.5
XCS_C-C1_41	SIU_1_3-8	0.0714285714285714
XCS_C-C2_07	SIU_1_3-8	0.428571428571429
XCS_C-C5_38	SIU_1_3-8	0.357142857142857
XCX_C-B7_93	SIU_1_3-8	0.392857142857143
XCX_C-D4_88	SIU_1_4-5	0.107142857142857
XCX_C-D7_21	SIU_1_4-5	0
XCS_C-B1_25	SIU_1_4-6	0
XCZ_C-C6_75	SIU_1_5-1	0.464285714285714
XCS_C-B8_02	SIU_1_5-1	0.607142857142857
XCZ_C-B23_09	SIU_1_5-1	0.321428571428571
XCZ_C-B1_42	SIU_1_5-2	0.285714285714286
XCZ_C-C9_50	SIU_1_5-2	0.321428571428571
XCX_C-B2_50	SIU_1_5-2	0.464285714285714
XCX_C-B6_80	SIU_1_5-2	0.214285714285714
XCX_C-B8_77	SIU_1_5-2	0.392857142857143
XCZ_C-C5_62	SIU_1_5-5	0.285714285714286
XCS_C-B2_92	SIU_1_5-5	0.178571428571429
XCS_C-C1_85	SIU_1_5-5	0.25
XCS_C-C1_95	SIU_1_5-5	0.142857142857143
XCX_C-C2_87	SIU_1_5-5	0.107142857142857
XCS_C-B8_25	SIU_1_5-8	0.892857142857143
XCS_C-C3_17	SIU_1_5-8	1
XCX_C-A9_72	SIU_1_5-8	0.892857142857143
XCX_C-B7_23	SIU_1_5-8	0.964285714285714
XCX_C-C5_73	SIU_1_5-8	0.821428571428571
XCZ_C-B11_83	SIU_1_6-2	0.285714285714286
XCX_C-D1_51	SIU_1_6-2	0.428571428571429
XCS_C-C4_78	SIU_1_6-3	0.357142857142857
XCZ_C-C7_17	SIU_1_6-5	0.321428571428571
XCZ_C-C7_35	SIU_1_6-5	0.285714285714286
XCX_C-D1_22	SIU_1_6-5	0.357142857142857
XCS_C-B2_70	SIU_1_6-6	0.0357142857142857
XCS_C-D6_81	SIU_1_6-6	0.285714285714286
XCX_C-C1_92	SIU_1_6-6	0.214285714285714
XCS_C-A7_17	SIU_1_6-8	0.428571428571429
XCX_C-A7_09	SIU_1_6-8	0.535714285714286
XCX_C-C5_73	SIU_1_6-8	0.464285714285714
XCZ_C-C5_95	SIU_1_7-1	0.0714285714285714
XCZ_C-C9_33	SIU_1_7-1	0.428571428571429
XCZ_C-C10_49	SIU_1_7-1	0.25
XCS_C-D8_58	SIU_1_7-1	0.142857142857143
XCZ_C-B12_83	SIU_1_7-4	0.464285714285714
XCZ_C-C2_80	SIU_1_7-4	0.464285714285714
XCZ_C-C4_62	SIU_1_7-4	0.428571428571429
XCX_C-B5_52	SIU_1_7-4	0.714285714285714
XCX_C-B9_78	SIU_1_7-4	0.357142857142857
XCX_C-C1_47	SIU_1_7-6	0.25
XCZ_C-C5_52	SIU_1_7-7	0.892857142857143
XCZ_C-B19_39	SIU_1_7-7	0.464285714285714
XCX_C-D3_11	SIU_1_7-7	0.607142857142857
XCZ_C-B2_93	SIU_1_7-8	1
XCZ_C-C4_55	SIU_1_7-8	0.642857142857143
XCS_C-A4_17	SIU_1_7-8	1
XCS_C-B6_94	SIU_1_7-8	0.821428571428571
XCS_C-D8_37	SIU_1_7-8	0.678571428571429
XCX_C-B1_36	SIU_1_8-2	0.428571428571429
XCS_C-A4_39	SIU_1_8-4	0.464285714285714
XCS_C-A1_57	SIU_1_8-8	0.678571428571429
XCS_C-B4_22	SIU_1_8-8	0.714285714285714
XCS_C-B4_52	SIU_1_8-8	0.571428571428571
XCS_C-B8_63	SIU_1_8-8	0.535714285714286
XCX_C-B9_23	SIU_1_8-8	0.678571428571429
XCS_C-C9_63	SIU_1_9-3	0.25
XCZ_C-C2_70	SIU_1_9-4	0.535714285714286
XCS_C-A2_42	SIU_1_9-4	0.714285714285714
XCS_C-B7_23	SIU_1_9-4	0.571428571428571
XCS_C-C6_29	SIU_1_9-4	0.321428571428571
XCS_C-C9_37	SIU_1_9-4	0.607142857142857
XCS_C-D4_57	SIU_1_9-5	0.0714285714285714
XCX_C-D7_74	SIU_1_9-5	0.428571428571429
XCZ_C-B24_56	SIU_1_9-7	0.5
XCZ_C-C8_53	SIU_1_10-1	0.5
XCS_C-B2_10	SIU_1_10-2	0.464285714285714
XCS_C-B4_07	SIU_1_10-2	0.857142857142857
XCS_C-B5_14	SIU_1_10-2	0.821428571428571
XCZ_C-C5_54	SIU_1_10-3	0.0357142857142857
XCS_C-A1_21	SIU_1_10-6	0.964285714285714
XCS_C-B4_27	SIU_1_10-6	0.821428571428571
XCS_C-B7_83	SIU_1_10-6	0.714285714285714
XCZ_C-B24_65	SIU_1_10-6	0.821428571428571
XCS_C-B2_83	SIU_1_10-7	0.392857142857143
XCS_C-B8_34	SIU_1_10-7	0.107142857142857
XCS_C-C8_10	SIU_1_10-7	0.214285714285714
XCS_C-B7_22	SIU_1_10-8	0.607142857142857
XCZ_C-C2_61	SIU_1_11-1	0.5
XCZ_C-B16_01	SIU_1_11-1	0.25
XCX_C-A7_93	SIU_1_11-1	0.107142857142857
XCS_C-B4_75	SIU_1_11-2	0.607142857142857
XCS_C-B5_60	SIU_1_11-2	0.607142857142857
XCS_C-B9_63	SIU_1_11-2	0.857142857142857
