RNA_cell	ATAC_cell	score
PZ_C-B2_50	PZ_1_1-2	0.419124218051832
PZ_C-C5_83	PZ_1_1-2	0.151027703306524
PZ_D-C1_18	PZ_1_1-2	0.463806970509383
PZ_D-C1_25	PZ_1_1-2	0.329758713136729
PZ_D-C3_77	PZ_1_1-2	0.195710455764075
PZ_C-B1_37	PZ_1_1-3	0.731903485254692
PZ_C-C2_29	PZ_1_1-3	0.910634495084897
PZ_C-C2_84	PZ_1_1-3	0.776586237712243
PZ_C-C6_96	PZ_1_1-3	0.329758713136729
PZ_D-C5_69	PZ_1_1-3	0.508489722966935
PZ_D-C3_40	PZ_1_1-4	0.240393208221626
PZ_D-C5_07	PZ_1_1-4	0.151027703306524
PZ_D-C5_08	PZ_1_1-4	0.329758713136729
PZ_D-C5_85	PZ_1_1-4	0.329758713136729
PZ_C-B2_19	PZ_1_1-5	0.106344950848972
PZ_C-B3_65	PZ_1_1-5	0.553172475424486
PZ_C-C5_29	PZ_1_1-5	0.642537980339589
PZ_D-C1_75	PZ_1_1-5	0.553172475424486
PZ_D-C2_43	PZ_1_1-5	0.106344950848972
PZ_C-B3_05	PZ_1_1-6	0.329758713136729
PZ_C-B3_47	PZ_1_1-6	0.463806970509383
PZ_C-C5_01	PZ_1_1-6	0.195710455764075
PZ_C-C6_74	PZ_1_1-6	0.374441465594281
PZ_D-C3_87	PZ_1_1-6	0.195710455764075
PZ_C-B2_90	PZ_1_1-7	0.776586237712243
PZ_C-C2_46	PZ_1_1-7	0.776586237712243
PZ_C-C5_05	PZ_1_1-7	0.329758713136729
PZ_D-C2_04	PZ_1_1-7	0.776586237712243
PZ_D-C5_82	PZ_1_1-7	0.68722073279714
PZ_C-B1_19	PZ_1_1-8	0.106344950848972
PZ_C-C2_83	PZ_1_2-1	0.106344950848972
PZ_C-C5_68	PZ_1_2-1	0.285075960679178
PZ_D-C1_14	PZ_1_2-1	0.285075960679178
PZ_C-C4_37	PZ_1_2-2	0.195710455764075
