p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
Peak-2052	1.48642383884926e-108	0.319045146445912	1	1	2.21654036425363e-103	Fibro-FBLN1	Peak-2052
Peak-9864	8.20397399594384e-106	0.32884048065975	1	0.991	1.22336839830115e-100	Fibro-FBLN1	Peak-9864
Peak-13751	5.74265977478128e-96	0.594581361460424	0.973	0.693	8.5633968295561e-91	Epi	Peak-13751
Peak-42492	6.18244460241174e-69	0.32644567737174	0.936	0.577	9.21919956667036e-64	Epi	Peak-42492
Peak-44873	4.28444401450006e-64	0.273389198949076	0.952	0.203	6.38892006998235e-59	DC/Macro	Peak-44873
Peak-14589	2.75703608241883e-41	0.251527672672973	1	0.489	4.11126463574214e-36	DC/Macro	Peak-14589
Peak-17437	4.88727911680032e-40	0.337521448414099	0.984	0.563	7.28786174618147e-35	DC/Macro	Peak-17437
Peak-10541	3.46932463213064e-29	0.297182467061924	1	0.872	5.1734221981869e-24	DC/Macro	Peak-10541
Peak-12005	3.63382134489474e-28	0.286377379685909	0.968	0.714	5.41871805129359e-23	DC/Macro	Peak-12005
Peak-9008	3.30600991403448e-27	0.458985196220141	1	0.994	4.92988892370907e-22	DC/Macro	Peak-9008
Peak-32661	9.55994021666854e-26	0.254141274995617	0.841	0.373	1.4255687251694e-20	DC/Macro	Peak-32661
Peak-9963	3.07827393912267e-25	0.299824103838372	1	0.908	4.59029131528034e-20	DC/Macro	Peak-9963
Peak-6734	4.61653607442949e-25	0.343101608239392	0.984	0.962	6.88413242882851e-20	DC/Macro	Peak-6734
Peak-198	2.95605266354727e-23	0.277908500730283	1	1	4.40803617135505e-18	DC/Macro	Peak-198
Peak-4097	5.02441392967444e-23	0.272881537895478	1	0.983	7.49235580779123e-18	DC/Macro	Peak-4097
Peak-4908	1.99328324743996e-22	0.315939708906017	0.984	0.977	2.97236404574999e-17	DC/Macro	Peak-4908
Peak-15564	5.64955959520084e-22	0.255907055344251	0.984	0.865	8.42456677276754e-17	DC/Macro	Peak-15564
Peak-2930	6.81929890419489e-22	0.265838606979807	1	0.984	1.01688703329464e-16	DC/Macro	Peak-2930
Peak-3304	4.13922752050923e-21	0.274216487086492	1	0.993	6.17237468630815e-16	DC/Macro	Peak-3304
Peak-2111	2.2302138494179e-19	0.259640077289513	1	1	3.32567259011347e-14	DC/Macro	Peak-2111
Peak-33024	9.51309313905441e-19	0.284194382590958	0.984	0.729	1.41858293580265e-13	DC/Macro	Peak-33024
Peak-5385	1.82161027759672e-18	0.27597125919366	1	0.998	2.71636702984945e-13	DC/Macro	Peak-5385
Peak-1836	1.84398858747612e-17	0.280400861936104	1	0.998	2.74973734175852e-12	DC/Macro	Peak-1836
Peak-17276	1.58013108470458e-180	0.259096214622475	0.976	0.398	2.35627567220062e-175	Endo	Peak-17276
Peak-15004	5.69473201605981e-172	0.511346750463721	1	0.839	8.49192743502822e-167	Endo	Peak-15004
Peak-22042	5.10788939503081e-171	0.345937603409755	0.97	0.478	7.61683358697599e-166	Endo	Peak-22042
Peak-17492	4.63948451278253e-170	0.307983685671331	0.976	0.475	6.91835291061619e-165	Endo	Peak-17492
Peak-27528	1.95097800846973e-162	0.272728913553189	0.953	0.408	2.90927889644997e-157	Endo	Peak-27528
Peak-15527	1.99970831678512e-162	0.354607638759227	0.982	0.609	2.98194504490681e-157	Endo	Peak-15527
Peak-13505	2.13278645256855e-161	0.361044674815077	0.997	0.697	3.18038983020569e-156	Endo	Peak-13505
Peak-19770	7.66214910423781e-153	0.254046091016921	0.973	0.499	1.14257201227484e-147	Endo	Peak-19770
Peak-16705	5.85726873875728e-149	0.29125983262551	0.967	0.552	8.73430057054746e-144	Endo	Peak-16705
Peak-20149	6.7032445692978e-144	0.256702749512264	0.958	0.518	9.99581126929118e-139	Endo	Peak-20149
Peak-18616	9.08572094964523e-143	0.262204911017699	0.967	0.538	1.35485362229015e-137	Endo	Peak-18616
Peak-15249	2.48852643134679e-133	0.338346721073875	0.997	0.875	3.71086572916002e-128	Endo	Peak-15249
Peak-12137	2.40091137880671e-129	0.264429845014386	0.97	0.661	3.58021503896277e-124	Endo	Peak-12137
Peak-8881	7.39335201068931e-129	0.277187469398088	1	0.885	1.10248925848198e-123	Endo	Peak-8881
Peak-13197	3.08328469476669e-120	0.268537006720127	0.991	0.823	4.59776330398915e-115	Endo	Peak-13197
Peak-13621	1.02273857579176e-109	0.264969909453375	0.997	0.915	1.52509753683491e-104	Endo	Peak-13621
Peak-6967	3.05623549197077e-109	0.27563821477944	0.997	0.925	4.5574278032719e-104	Endo	Peak-6967
Peak-14216	1.90677605127889e-104	0.270665419098148	0.988	0.921	2.84336537990656e-99	Endo	Peak-14216
Peak-90081	7.7882428524081e-101	0.38201990401422	1	0.993	1.16137498590824e-95	Endo	Peak-9008
Peak-7367	4.45254197563597e-98	0.26352364186976	1	0.973	6.63958606864859e-93	Endo	Peak-7367
Peak-10586	3.27002583111682e-96	0.256937596033932	1	0.958	4.87622981910309e-91	Endo	Peak-10586
Peak-24861	4.65562839808437e-89	0.280778845352855	0.991	0.843	6.94242651093943e-84	Endo	Peak-24861
Peak-4973	1.53450661086351e-83	0.267467666498188	0.997	0.991	2.28824091305355e-78	Endo	Peak-4973
Peak-6857	2.50738896291359e-38	0.266904426728077	0.982	0.886	3.73899334760711e-33	Fibro-KCNJ8	Peak-6857
Peak-28975	5.9298910741222e-72	0.296565224556027	0.977	0.3	8.84259427082028e-67	Glial	Peak-28975
Peak-41768	6.29839808873603e-69	0.312971857035334	0.931	0.265	9.39210824594229e-64	Glial	Peak-41768
Peak-18405	1.02954575548859e-54	0.251687859730029	0.966	0.401	1.53524833512703e-49	Glial	Peak-18405
Peak-6378	5.87892051647683e-41	0.32551344383179	1	0.905	8.76658748496508e-36	Glial	Peak-6378
Peak-10961	2.40786807500595e-39	0.311419066979578	1	0.957	3.59058879476812e-34	Glial	Peak-10961
Peak-14124	1.23923825400902e-35	0.259694194493325	0.931	0.628	1.84793969199571e-30	Glial	Peak-14124
Peak-5873	1.47098602339888e-32	0.260000640927933	0.989	0.885	2.19351964823218e-27	Glial	Peak-5873
Peak-38966	2.04883832690078e-61	0.257167137430693	0.888	0.225	3.05520722469118e-56	T	Peak-38966
Peak-10266	5.25770184960007e-39	0.344113832059003	0.962	0.694	7.84023242110513e-34	T	Peak-10266
Peak-6033	8.85192108335744e-31	0.276002996489427	0.975	0.868	1.31998962002918e-25	T	Peak-6033
Peak-22598	1.78566290468548e-15	0.252888366870775	1	0.335	2.66276266683794e-10	CACNA1A-ELF3+	Peak-22598
Peak-29094	1.15190069966741e-13	0.29692470769933	1	0.466	1.71770280433704e-08	CACNA1A-ELF3+	Peak-29094
Peak-23567	1.87710312163245e-13	0.259867613264534	1	0.421	2.79911740394709e-08	CACNA1A-ELF3+	Peak-23567
Peak-21242	2.3383018769696e-13	0.342637510211401	1	0.497	3.4868523759183e-08	CACNA1A-ELF3+	Peak-21242
Peak-33646	3.59347525419184e-13	0.271906071021165	1	0.461	5.35855436429833e-08	CACNA1A-ELF3+	Peak-33646
