p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
Peak-6534-7	1.11340222932763e-08	0.229673976493489	0.847	0.412	0.00371446571334907	Fibro	Peak-6534-7
Peak-7993-9	1.05705919665512e-20	0.189669944151561	0.846	0.103	3.526497468329e-15	Immune	Peak-7993-9
Peak-38832-3	7.42596322786e-20	0.114610838585679	0.615	0.045	2.47740529629928e-14	Immune	Peak-38832-3
Peak-167541-1	2.31588875058683e-19	0.0507617796938738	0.462	0.013	7.72612909638274e-14	Immune	Peak-167541-1
Peak-165254-1	3.82036915163254e-19	0.0593637778608942	0.385	0.004	1.27452863415274e-13	Immune	Peak-165254-1
Peak-25132-1	3.85704197121968e-19	0.228882932044711	0.885	0.148	1.28676320018648e-13	Immune	Peak-25132-1
Peak-55820-1	6.56841566844261e-19	0.187391861477301	0.692	0.072	2.19131542481181e-13	Immune	Peak-55820-1
Peak-26592-2	7.29971032793732e-19	0.206848443229219	0.769	0.108	2.43528556134448e-13	Immune	Peak-26592-2
Peak-116084-1	2.13987106856646e-18	0.0800312068513187	0.462	0.018	7.13890946668731e-13	Immune	Peak-116084-1
Peak-37803-3	3.09774244002588e-18	0.244187638784376	0.808	0.135	1.03345024638679e-12	Immune	Peak-37803-3
Peak-60677-1	1.58964351443059e-17	0.191862782352886	0.654	0.076	5.30327331423247e-12	Immune	Peak-60677-1
Peak-43820-1	1.79864747264561e-17	0.105836568513273	0.615	0.054	6.00053977939191e-12	Immune	Peak-43820-1
Peak-99539-1	2.14254670657988e-17	0.0618328042931241	0.385	0.009	7.14783576968939e-12	Immune	Peak-99539-1
Peak-29958-1	2.16452935056096e-17	0.154693822107389	0.692	0.081	7.22117294758043e-12	Immune	Peak-29958-1
Peak-38969-1	2.95304602954051e-17	0.109873847437546	0.615	0.054	9.85177498099126e-12	Immune	Peak-38969-1
Peak-122639-1	2.98816587304314e-17	0.078855335174697	0.385	0.009	9.96893969569414e-12	Immune	Peak-122639-1
Peak-50014-1	4.16097649512209e-17	0.172827069593826	0.654	0.072	1.38816001244366e-11	Immune	Peak-50014-1
Peak-129391-1	4.59205084643575e-17	0.0516467714289896	0.308	0	1.53197245108281e-11	Immune	Peak-129391-1
Peak-60572-1	5.26836288159783e-17	0.100488881291645	0.577	0.045	1.75759961438138e-11	Immune	Peak-60572-1
Peak-159953-1	5.33945543649375e-17	0.106785261700115	0.5	0.031	1.78131708599043e-11	Immune	Peak-159953-1
Peak-29664-4	5.35868098336272e-17	0.100640193423538	0.577	0.049	1.78773099758357e-11	Immune	Peak-29664-4
Peak-39393-1	5.40634584443942e-17	0.123500217705035	0.692	0.085	1.80363266254681e-11	Immune	Peak-39393-1
Peak-73606-1	5.9974568577448e-17	0.138821669513717	0.615	0.058	2.00083557213967e-11	Immune	Peak-73606-1
Peak-39063-4	6.74303037860957e-17	0.167343040472633	0.731	0.094	2.24956933672945e-11	Immune	Peak-39063-4
Peak-99442-1	8.10119116731167e-17	0.104050182822509	0.577	0.049	2.70267079009152e-11	Immune	Peak-99442-1
Peak-28743-1	9.27379271742448e-17	0.179994525735583	0.769	0.112	3.09386708363085e-11	Immune	Peak-28743-1
Peak-67315-1	9.42512811984367e-17	0.0969263919984278	0.5	0.031	3.14435469257353e-11	Immune	Peak-67315-1
Peak-50481-2	1.01087652695257e-16	0.139509259504394	0.654	0.076	3.37242561662754e-11	Immune	Peak-50481-2
Peak-24869-1	1.09691046971348e-16	0.14437260446572	0.692	0.085	3.65944689442993e-11	Immune	Peak-24869-1
Peak-70703-1	1.09965973055975e-16	0.110779437420794	0.5	0.031	3.6686188135096e-11	Immune	Peak-70703-1
Peak-65298-1	1.13556956600231e-16	0.14604240372318	0.577	0.054	3.78841905192296e-11	Immune	Peak-65298-1
Peak-76387-1	1.40050074206376e-16	0.0956093205874309	0.577	0.049	4.6722665456286e-11	Immune	Peak-76387-1
Peak-108435-1	2.5219349452832e-16	0.075795631961205	0.538	0.04	8.41352804835708e-11	Immune	Peak-108435-1
Peak-65811-1	3.1985974557662e-16	0.0740519990185782	0.538	0.04	1.06709689160799e-10	Immune	Peak-65811-1
Peak-64066-1	3.66214483816799e-16	0.143367905376657	0.654	0.076	1.22174278804058e-10	Immune	Peak-64066-1
Peak-114386-1	3.68745190871904e-16	0.0776858879356143	0.538	0.04	1.23018558107539e-10	Immune	Peak-114386-1
Peak-130532-1	3.87308298142253e-16	0.0538563254470262	0.423	0.018	1.2921147057643e-10	Immune	Peak-130532-1
Peak-111372-1	4.10280855587732e-16	0.0512141182203776	0.423	0.018	1.36875437356046e-10	Immune	Peak-111372-1
Peak-77429-1	4.57217108704651e-16	0.167786507137596	0.654	0.085	1.52534028503393e-10	Immune	Peak-77429-1
Peak-75054-1	5.23755182864676e-16	0.140071893555349	0.654	0.076	1.74732061576216e-10	Immune	Peak-75054-1
Peak-98570-1	5.43372123789416e-16	0.115522635644702	0.5	0.036	1.81276547705882e-10	Immune	Peak-98570-1
Peak-43598-2	5.50915229098678e-16	0.121585639117988	0.615	0.067	1.83793033240526e-10	Immune	Peak-43598-2
Peak-147096-1	6.47790059060728e-16	0.0814445008095976	0.385	0.013	2.16111832763486e-10	Immune	Peak-147096-1
Peak-50992-1	7.08348462922643e-16	0.13898258020867	0.731	0.108	2.36314964109475e-10	Immune	Peak-50992-1
Peak-79652-1	8.8612295736158e-16	0.0878440470698496	0.5	0.036	2.95623024297226e-10	Immune	Peak-79652-1
Peak-63054-1	8.91910220294105e-16	0.175417506026505	0.692	0.099	2.97553736233197e-10	Immune	Peak-63054-1
Peak-17744-1	9.30291403311151e-16	0.114434225738181	0.538	0.049	3.10358236224246e-10	Immune	Peak-17744-1
Peak-9432-2	1.01752417494786e-15	0.1808266328137	0.846	0.179	3.39460310101056e-10	Immune	Peak-9432-2
Peak-57485-1	1.13010828748927e-15	0.0917002897742462	0.5	0.036	3.77019946222445e-10	Immune	Peak-57485-1
Peak-102529-1	1.33214547956078e-15	0.134042298306217	0.538	0.049	4.44422382018191e-10	Immune	Peak-102529-1
Peak-70810-1	1.42885355939478e-15	0.0858394430961004	0.385	0.013	4.76685551363931e-10	Immune	Peak-70810-1
Peak-82787-1	1.71821419738864e-15	0.0624765619564852	0.346	0.009	5.73220311247615e-10	Immune	Peak-82787-1
Peak-55497-1	1.73374819982624e-15	0.168267141362177	0.692	0.103	5.78402671936832e-10	Immune	Peak-55497-1
Peak-102195-1	1.99057762258346e-15	0.126597326785548	0.538	0.049	6.64084562980557e-10	Immune	Peak-102195-1
Peak-35261-3	2.04513085162384e-15	0.160643678266059	0.731	0.121	6.82284283933637e-10	Immune	Peak-35261-3
Peak-127606-1	2.06601611910146e-15	0.0790309484688129	0.423	0.022	6.89251901557916e-10	Immune	Peak-127606-1
Peak-169608-1	2.08953033767359e-15	0.0717789881098717	0.346	0.009	6.97096574072637e-10	Immune	Peak-169608-1
Peak-87901-1	2.61375060548329e-15	0.103260041060177	0.577	0.058	8.71983794497701e-10	Immune	Peak-87901-1
Peak-67796-1	2.67533827401091e-15	0.118211315168762	0.5	0.04	8.92530302945875e-10	Immune	Peak-67796-1
Peak-74667-1	2.72617838292641e-15	0.0997476022219561	0.577	0.058	9.09491275041612e-10	Immune	Peak-74667-1
Peak-102262-1	2.72617838292641e-15	0.095438083622076	0.577	0.058	9.09491275041612e-10	Immune	Peak-102262-1
Peak-61328-1	2.76393374435017e-15	0.164440900473134	0.692	0.103	9.22086992187638e-10	Immune	Peak-61328-1
Peak-33814-2	2.77750221399345e-15	0.192034643409297	0.769	0.152	9.2661362361921e-10	Immune	Peak-33814-2
Peak-163323-1	3.08486941493464e-15	0.0508629165947853	0.346	0.009	1.02915562499401e-09	Immune	Peak-163323-1
Peak-104120-1	3.14213341911484e-15	0.111028222746797	0.462	0.031	1.04825969848458e-09	Immune	Peak-104120-1
Peak-117344-1	3.21368342723937e-15	0.162803134751909	0.577	0.063	1.07212978289504e-09	Immune	Peak-117344-1
Peak-52726-1	3.24141941159194e-15	0.104153078528449	0.538	0.049	1.08138289557883e-09	Immune	Peak-52726-1
Peak-48103-1	3.27795719139422e-15	0.114141363234477	0.654	0.081	1.09357241044979e-09	Immune	Peak-48103-1
