orig.ident	nCount_ATAC	nFeature_ATAC	nCount_ACTIVITY	nFeature_ACTIVITY	tech	predicted.id	prediction.score.max	tSNE_1	tSNE_2	EPCAM	VIM	PTPRC	HBG1
PG_2_1-1	PG	91594	34016	34770.1236497014	13902	atac	Fibro	0.995097249719547	3.49659617430627	1.52938881216772	-1.16755975969159	0.581012382528173	-0.183673748062475	-0.145132059478249
PG_2_1-2	PG	87091	33203	33717.7641833983	13830	atac	Fibro	0.992987652503359	-0.13215250853209	-3.23426048499995	0.201124373886057	-0.948264866255149	-0.183673748062475	-0.145132059478249
PG_2_1-3	PG	85331	31850	32845.2474010014	13511	atac	Fibro	1	2.71928892149089	-6.29870574982089	-1.16755975969159	-0.745514245117846	-0.183673748062475	-0.145132059478249
PG_2_1-4	PG	117839	43117	43611.5866986283	15076	atac	Fibro	1	-2.64681517896358	-1.96654355180378	0.821588945798612	1.02341187581606	-0.183673748062475	-0.145132059478249
PG_2_1-5	PG	86948	32679	33678.3150386687	13727	atac	Fibro	1	-0.527452723416322	-1.70120508996186	0.202536107458465	1.02069781664001	-0.183673748062475	-0.145132059478249
PG_2_1-6	PG	110817	40081	40568.9381047193	14521	atac	Fibro	0.990843995663179	2.41625658035176	0.978701505167451	-0.00647280147580573	0.75748141259957	-0.183673748062475	-0.145132059478249
PG_2_1-7	PG	136778	47031	46767.2089844507	15213	atac	Fibro	0.975205067531337	1.42179797354	-1.99971819899411	-0.146425468171725	1.5530115623834	-0.183673748062475	9.48025642138454
PG_2_1-8	PG	125821	38536	39406.0115742318	14464	atac	Fibro	1	-1.32872329308496	2.61724943350645	0.0241908178259826	-0.948264866255149	-0.183673748062475	-0.145132059478249
PG_2_2-1	PG	178927	54173	54453.1150760258	16288	atac	Fibro	0.998214901966653	-1.35367223462505	-1.457280162532	1.73477022374509	0.312150300039852	-0.183673748062475	-0.145132059478249
PG_2_2-2	PG	95908	34149	34725.4545195421	13711	atac	Fibro	1	4.48725728393299	-3.81121643368062	0.166029134582144	-0.948264866255149	-0.183673748062475	-0.145132059478249
PG_2_2-3	PG	117393	42853	42632.8837664345	15313	atac	Immune	0.588645659320059	8.41790797426627	-1.7609237363353	0.85948717830576	-0.948264866255149	-0.183673748062475	-0.145132059478249
PG_2_2-4	PG	79439	30962	31258.3263909922	13329	atac	Fibro	1	0.808147135940659	-9.6556401342471	0.295121524355512	0.148298703441393	-0.183673748062475	-0.145132059478249
PG_2_2-5	PG	69494	26722	27396.0938841362	12449	atac	Fibro	1	-2.792637080001	-5.55934223585475	-1.16755975969159	-0.948264866255149	-0.183673748062475	-0.145132059478249
PG_2_2-6	PG	67812	26202	26739.9791130455	12673	atac	Fibro	0.905752720651033	-5.85442590719711	-6.71738610661208	0.506637623817765	-0.948264866255149	-0.183673748062475	-0.145132059478249
PG_2_2-7	PG	84533	32365	32579.0875707149	13610	atac	Fibro	1	1.1805600790929	-7.82029820764331	0.243086249044063	-0.948264866255149	-0.183673748062475	-0.145132059478249
PG_2_2-8	PG	128624	45479	45836.6596625072	15538	atac	Fibro	0.945737480281716	3.94759248243541	-2.16845816053388	-0.127613462641542	-0.948264866255149	-0.183673748062475	-0.145132059478249
