RNA_cell	ATAC_cell	score
PG_D-C2_58	PG_2_1-1	0.692307692307692
PG_D-C3_37	PG_2_1-1	0.307692307692308
PG_D-C3_41	PG_2_1-1	0.461538461538462
PG_D-C3_42	PG_2_1-1	0.307692307692308
PG_D-C4_58	PG_2_1-1	0.615384615384615
PG_D-C1_06	PG_2_1-2	1
PG_D-C1_81	PG_2_1-2	0.461538461538462
PG_D-C5_02	PG_2_1-2	0.615384615384615
PG_D-C5_54	PG_2_1-2	0.307692307692308
PG_D-C1_05	PG_2_1-3	0.461538461538462
PG_D-C2_05	PG_2_1-3	0.538461538461538
PG_D-C3_38	PG_2_1-3	0.384615384615385
PG_D-C3_92	PG_2_1-3	0.538461538461538
PG_D-C4_80	PG_2_1-3	0
PG_D-C1_77	PG_2_1-4	0.615384615384615
PG_D-C1_88	PG_2_1-4	0.461538461538462
PG_D-C2_55	PG_2_1-4	0.461538461538462
PG_D-C3_17	PG_2_1-4	0.923076923076923
PG_D-C4_32	PG_2_1-4	0.384615384615385
PG_D-C1_06	PG_2_1-5	0.923076923076923
PG_D-C3_72	PG_2_1-5	0.769230769230769
PG_D-C4_19	PG_2_1-5	0.692307692307692
PG_D-C4_86	PG_2_1-5	0.384615384615385
PG_D-C4_96	PG_2_1-5	0.461538461538462
PG_D-C3_17	PG_2_1-6	0.538461538461538
PG_D-C3_87	PG_2_1-6	0.923076923076923
PG_D-C5_28	PG_2_1-6	0.384615384615385
PG_D-C2_92	PG_2_1-7	0.307692307692308
PG_D-C3_44	PG_2_1-7	0.384615384615385
PG_D-C3_72	PG_2_1-7	0.0769230769230769
PG_D-C4_62	PG_2_1-7	0.461538461538462
PG_D-C4_96	PG_2_1-7	0.307692307692308
PG_D-C2_72	PG_2_1-8	0.230769230769231
PG_D-C3_44	PG_2_1-8	0.384615384615385
PG_D-C3_61	PG_2_1-8	0.538461538461538
PG_D-C3_72	PG_2_1-8	0.461538461538462
PG_D-C5_13	PG_2_1-8	0.461538461538462
PG_D-C1_81	PG_2_2-1	0.461538461538462
PG_D-C2_54	PG_2_2-1	0.769230769230769
PG_D-C2_73	PG_2_2-1	0.538461538461538
PG_D-C4_04	PG_2_2-1	0.461538461538462
PG_D-C4_39	PG_2_2-1	0.230769230769231
PG_D-C2_85	PG_2_2-2	0.461538461538462
PG_D-C3_25	PG_2_2-2	0.769230769230769
PG_D-C4_28	PG_2_2-2	0.846153846153846
PG_D-C5_81	PG_2_2-2	0.461538461538462
PG_D-C3_10	PG_2_2-4	1
PG_D-C3_78	PG_2_2-4	0.230769230769231
PG_D-C4_54	PG_2_2-4	0.307692307692308
PG_D-C4_96	PG_2_2-4	0.538461538461538
PG_D-C5_63	PG_2_2-4	0.692307692307692
PG_D-C3_59	PG_2_2-5	0.153846153846154
PG_D-C3_89	PG_2_2-5	0.923076923076923
PG_D-C5_41	PG_2_2-5	0.153846153846154
PG_D-C5_43	PG_2_2-5	0.307692307692308
PG_D-C5_59	PG_2_2-5	0.153846153846154
PG_D-C3_31	PG_2_2-6	1
PG_D-C5_18	PG_2_2-6	0.538461538461538
PG_D-C5_65	PG_2_2-6	0.307692307692308
PG_D-C2_32	PG_2_2-7	0.307692307692308
PG_D-C4_07	PG_2_2-7	0.461538461538462
PG_D-C5_72	PG_2_2-7	0.461538461538462
PG_D-C1_57	PG_2_2-8	0.461538461538462
PG_D-C3_68	PG_2_2-8	0.692307692307692
PG_D-C3_88	PG_2_2-8	0.307692307692308
PG_D-C4_96	PG_2_2-8	0.538461538461538
PG_D-C5_48	PG_2_2-8	0.538461538461538
PG_D-C1_22	PG_2_3-3	0.846153846153846
PG_D-C5_46	PG_2_3-3	1
PG_D-C3_10	PG_2_3-4	1
PG_D-C4_34	PG_2_3-4	0.230769230769231
PG_D-C4_71	PG_2_3-4	0.461538461538462
PG_D-C2_93	PG_2_3-5	0.384615384615385
PG_D-C3_37	PG_2_3-5	0.692307692307692
PG_D-C4_28	PG_2_3-5	1
PG_D-C1_70	PG_2_3-6	0.769230769230769
PG_D-C2_73	PG_2_3-7	0.461538461538462
PG_D-C4_88	PG_2_3-7	0.769230769230769
PG_D-C5_32	PG_2_3-7	1
PG_D-C1_03	PG_2_3-8	1
PG_D-C1_77	PG_2_3-8	0.384615384615385
PG_D-C4_04	PG_2_4-1	0.846153846153846
PG_D-C1_49	PG_2_4-2	1
PG_D-C3_51	PG_2_4-2	1
PG_D-C3_73	PG_2_4-2	1
PG_D-C5_46	PG_2_4-2	1
PG_D-C1_05	PG_2_4-3	0.0769230769230769
PG_D-C1_82	PG_2_4-3	0.307692307692308
PG_D-C3_36	PG_2_4-3	0.538461538461538
PG_D-C4_46	PG_2_4-3	0.461538461538462
PG_D-C1_04	PG_2_4-5	0.461538461538462
PG_D-C3_11	PG_2_4-5	0.692307692307692
PG_D-C3_91	PG_2_4-5	0.0769230769230769
