RNA_cell	ATAC_cell	score
GJ_C-C1_41	GJ_1_1-1	0.761904761904762
GJ_C-C3_93	GJ_1_1-1	0.80952380952381
GJ_C-C1_05	GJ_1_1-2	0.476190476190476
GJ_C-C1_08	GJ_1_1-2	0.714285714285714
GJ_C-C2_58	GJ_1_1-2	0.380952380952381
GJ_C-C5_16	GJ_1_1-2	0.238095238095238
GJ_C-C5_73	GJ_1_1-2	0.476190476190476
GJ_C-C1_75	GJ_1_1-3	0.476190476190476
GJ_C-C1_79	GJ_1_1-3	0.285714285714286
GJ_C-C3_12	GJ_1_1-3	0.19047619047619
GJ_C-C3_45	GJ_1_1-3	0.523809523809524
GJ_C-C5_17	GJ_1_1-3	0.142857142857143
GJ_C-C5_92	GJ_1_1-5	0.476190476190476
GJ_C-C1_41	GJ_1_1-6	0.380952380952381
GJ_C-C2_19	GJ_1_2-1	0
GJ_C-C4_87	GJ_1_2-1	0
GJ_C-C1_36	GJ_1_2-2	0.238095238095238
GJ_C-C2_86	GJ_1_2-2	0.80952380952381
GJ_C-C3_35	GJ_1_2-2	0.238095238095238
GJ_C-C4_88	GJ_1_2-2	0.285714285714286
GJ_C-C2_66	GJ_1_2-4	0.857142857142857
GJ_C-C4_52	GJ_1_2-4	1
GJ_C-C4_77	GJ_1_2-4	1
GJ_C-C5_63	GJ_1_2-4	1
GJ_C-C4_50	GJ_1_2-5	0.285714285714286
GJ_C-C2_58	GJ_1_2-6	0.238095238095238
GJ_C-C3_66	GJ_1_2-6	0.285714285714286
GJ_C-C3_80	GJ_1_2-6	0.333333333333333
GJ_C-C3_23	GJ_1_2-7	0.19047619047619
GJ_C-C4_92	GJ_1_2-7	0.19047619047619
GJ_C-C5_03	GJ_1_2-7	0.142857142857143
GJ_C-C5_78	GJ_1_2-8	0.333333333333333
GJ_C-C3_92	GJ_1_3-1	0.380952380952381
GJ_C-C5_93	GJ_1_3-1	0.333333333333333
GJ_C-C2_86	GJ_1_3-3	0.714285714285714
GJ_C-C4_88	GJ_1_3-3	0.761904761904762
GJ_C-C1_53	GJ_1_3-4	0.19047619047619
GJ_C-C3_54	GJ_1_3-4	0.476190476190476
GJ_C-C3_75	GJ_1_3-4	0.571428571428571
GJ_C-C1_27	GJ_1_3-5	1
GJ_C-C3_02	GJ_1_3-5	1
GJ_C-C3_46	GJ_1_3-5	1
GJ_C-C3_50	GJ_1_3-5	1
GJ_C-C5_22	GJ_1_3-5	1
GJ_C-C2_07	GJ_1_3-6	0.333333333333333
GJ_C-C3_66	GJ_1_3-6	0
GJ_C-C4_23	GJ_1_3-7	0.0476190476190476
GJ_C-C4_46	GJ_1_3-7	0.380952380952381
GJ_C-C4_75	GJ_1_3-7	0.571428571428571
GJ_C-C2_35	GJ_1_3-8	0.571428571428571
GJ_C-C3_56	GJ_1_3-8	0.428571428571429
GJ_C-C3_58	GJ_1_3-8	0.142857142857143
GJ_C-C3_68	GJ_1_3-8	0.333333333333333
GJ_C-C5_06	GJ_1_3-8	0.476190476190476
GJ_C-C1_38	GJ_1_4-1	0.904761904761905
GJ_C-C2_32	GJ_1_4-1	0.952380952380952
GJ_C-C2_70	GJ_1_4-1	1
GJ_C-C3_82	GJ_1_4-1	0.80952380952381
GJ_C-C1_27	GJ_1_4-3	1
GJ_C-C4_25	GJ_1_4-6	0.380952380952381
GJ_C-C3_72	GJ_1_4-7	0.571428571428571
GJ_C-C1_77	GJ_1_5-1	0.380952380952381
GJ_C-C4_17	GJ_1_5-1	0.428571428571429
GJ_C-C1_64	GJ_1_5-2	0.19047619047619
GJ_C-C5_91	GJ_1_5-2	0.19047619047619
GJ_C-C2_78	GJ_1_5-3	0.142857142857143
GJ_C-C2_93	GJ_1_5-3	0.619047619047619
GJ_C-C3_03	GJ_1_5-3	0.19047619047619
GJ_C-C1_30	GJ_1_5-4	0
GJ_C-C3_25	GJ_1_5-4	0
GJ_C-C3_49	GJ_1_5-5	0.523809523809524
GJ_C-C3_72	GJ_1_5-5	0.285714285714286
GJ_C-C1_11	GJ_1_5-6	0.523809523809524
GJ_C-C3_64	GJ_1_5-6	0.380952380952381
GJ_C-C2_89	GJ_1_5-8	0.0952380952380952
GJ_C-C2_90	GJ_1_6-1	0.380952380952381
GJ_C-C2_01	GJ_1_6-2	0.714285714285714
GJ_C-C2_65	GJ_1_6-2	0.619047619047619
GJ_C-C3_39	GJ_1_6-2	1
GJ_C-C5_32	GJ_1_6-2	0.619047619047619
GJ_C-C5_61	GJ_1_6-2	0.857142857142857
GJ_C-C1_03	GJ_1_6-3	0.523809523809524
GJ_C-C1_57	GJ_1_6-3	0.380952380952381
GJ_C-C3_10	GJ_1_6-3	0.238095238095238
GJ_C-C4_26	GJ_1_6-3	0.333333333333333
GJ_C-C5_04	GJ_1_6-3	0.19047619047619
GJ_C-C1_01	GJ_1_6-4	0.19047619047619
GJ_C-C2_63	GJ_1_6-4	0.380952380952381
GJ_C-C3_03	GJ_1_6-4	0.285714285714286
GJ_C-C5_30	GJ_1_6-4	0.0952380952380952
GJ_C-C5_57	GJ_1_6-4	0.476190476190476
GJ_C-C2_57	GJ_1_6-5	0.714285714285714
GJ_C-C3_51	GJ_1_6-5	0.476190476190476
GJ_C-C3_79	GJ_1_6-5	0.714285714285714
GJ_C-C4_24	GJ_1_6-5	0.142857142857143
GJ_C-C5_77	GJ_1_6-5	0.19047619047619
GJ_C-C2_30	GJ_1_6-7	0.380952380952381
GJ_C-C1_31	GJ_1_6-8	0.476190476190476
GJ_C-C1_61	GJ_1_6-8	0.333333333333333
GJ_C-C2_83	GJ_1_6-8	0.333333333333333
GJ_C-C3_35	GJ_1_6-8	0.238095238095238
