orig.ident	nCount_ATAC	nFeature_ATAC	nCount_ACTIVITY	nFeature_ACTIVITY	tech	predicted.id	prediction.score.max	tSNE_1	tSNE_2	EPCAM	VIM	PTPRC	HBG1
SD_3_1-1	SD	119425	41543	43764.8006782301	15400	atac	Immune	0.917110471192812	-9.81683156429568	-20.9684804992499	1.14812409603433	-1.25970007750967	-0.137956072117848	-0.141805348212713
SD_3_1-2	SD	94168	35961	38655.6831412644	14789	atac	Fibro-PLPPR4	0.45093531826192	-2.18531693011142	-21.0516043633405	-1.16128106213436	0.563367984321834	-0.137956072117848	-0.141805348212713
SD_3_1-3	SD	121255	41208	44744.8538148327	15465	atac	Endo	0.707099338751529	-6.40119738712319	-23.4743158599109	1.10582461465319	-0.323156014837537	-0.137956072117848	-0.141805348212713
SD_3_1-4	SD	212071	64354	67437.1934796235	17688	atac	Epi	0.609268727817295	-10.0052676648061	-21.8352145228186	0.137757686228687	1.37131025315401	-0.137956072117848	-0.141805348212713
SD_3_1-5	SD	74182	32352	34621.6620286431	13861	atac	Fibro-PLPPR4	0.504442030267178	-5.87335823033081	-19.2294297977858	-1.16128106213436	-0.230755469247176	-0.137956072117848	-0.141805348212713
SD_3_1-6	SD	139665	48816	52440.5827822062	16449	atac	Fibro-C7	0.497372252529896	-5.26051015466119	-23.4330783019191	-0.376471334849185	1.44273761690894	-0.137956072117848	-0.141805348212713
SD_3_1-7	SD	79375	31655	33606.3901127749	14069	atac	Epi	0.626521936988427	-0.791382541357803	-22.8798694222972	-1.16128106213436	-1.25970007750967	-0.137956072117848	10
SD_3_1-8	SD	165681	52870	56261.7179947655	16980	atac	Epi	0.316653686366369	-2.93325207696896	-23.011694551336	0.210861446174066	-0.500099396164423	-0.137956072117848	-0.141805348212713
SD_3_2-2	SD	78536	31345	32959.0210702189	13955	atac	Immune	0.520496852754052	-9.13085418381028	-21.6694335048973	-1.16128106213436	-1.25970007750967	-0.137956072117848	-0.141805348212713
SD_3_2-3	SD	103764	39318	41330.1711646573	15340	atac	Glial	0.945543888322374	19.1947490416221	-15.3578724340778	1.26045948173121	0.464761592669393	-0.137956072117848	-0.141805348212713
SD_3_2-5	SD	59605	23738	25972.8409672224	12542	atac	Fibro-LRRC17	0.261593802868471	-0.860724567414876	-24.6327751519256	-1.16128106213436	1.3915032869028	-0.137956072117848	-0.141805348212713
SD_3_3-1	SD	96442	35236	37634.4809741258	14666	atac	Epi	0.48771869735273	-2.86256395955507	-24.5544359790928	0.284576367807594	-1.25970007750967	-0.137956072117848	-0.141805348212713
SD_3_3-3	SD	77014	29074	31611.3921362156	13378	atac	Glial	0.468781275953394	19.221958730529	-16.1776220146944	-0.632526769266281	-1.25970007750967	-0.137956072117848	-0.141805348212713
SD_3_3-4	SD	82015	32873	35118.0314316249	14335	atac	Fibro-C7	0.260868182935975	-0.257632641723311	-21.8313896918323	2.33266163088058	-0.0962929450568704	-0.137956072117848	-0.141805348212713
SD_3_3-5	SD	63001	26939	29214.3305720328	12844	atac	Fibro-PLPPR4	0.542887419419876	-4.21581845098847	-9.4126730531216	0.645044421754083	2.02066481644603	-0.137956072117848	-0.141805348212713
SD_3_3-7	SD	45479	20283	21835.2236504451	11448	atac	Fibro-LRRC17	0.443026166942802	3.06248848546996	21.8191771121307	2.82841586291735	-1.25970007750967	-0.137956072117848	-0.141805348212713
SD_3_3-8	SD	114173	41957	44689.9601982308	15775	atac	Epi	0.684986120936017	-2.15564624933347	-22.4617293805778	0.0777637997150488	0.355185930999962	-0.137956072117848	-0.141805348212713
