RNA_cell	ATAC_cell	score
SD_D-A5_95	SD_3_2-3	0.633333333333333
SD_D-A1_57	SD_3_4-3	0.133333333333333
SD_D-A2_36	SD_3_4-6	0.266666666666667
SD_D-A3_73	SD_3_4-7	0.166666666666667
SD_D-A1_34	SD_3_4-8	1
SD_D-A3_92	SD_3_5-2	0.1
SD_D-A1_88	SD_3_5-3	0.2
SD_D-A4_51	SD_3_5-3	0.1
SD_D-A1_19	SD_3_5-7	0.433333333333333
SD_D-A2_94	SD_3_5-7	0.233333333333333
SD_D-A3_04	SD_3_6-1	0.1
SD_D-A1_04	SD_3_6-6	0.633333333333333
SD_D-A5_45	SD_3_6-6	0.7
SD_D-A1_37	SD_3_7-3	0.0666666666666667
SD_D-A4_26	SD_3_7-5	0.0666666666666667
SD_D-A1_14	SD_3_8-1	0.166666666666667
SD_D-A5_55	SD_3_8-1	0.1
SD_D-A5_95	SD_3_8-4	0.733333333333333
SD_D-A2_03	SD_3_9-1	0.5
SD_D-A4_45	SD_3_9-1	0.866666666666667
SD_D-A1_65	SD_3_9-2	0.933333333333333
SD_D-A1_71	SD_3_9-2	1
SD_D-A4_45	SD_3_9-2	0.933333333333333
SD_D-A3_47	SD_3_9-3	0.666666666666667
SD_D-A2_03	SD_3_10-5	0.333333333333333
SD_D-A1_64	SD_3_11-1	0.1
SD_D-A4_70	SD_3_11-2	0.233333333333333
SD_D-A2_49	SD_3_11-3	0.133333333333333
SD_D-A3_43	SD_3_12-2	0.133333333333333
SD_D-A4_84	SD_3_12-2	0.2
SD_D-A5_22	SD_3_12-2	0.366666666666667
SD_D-A3_04	SD_3_12-4	0.133333333333333
SD_D-A2_28	SD_1_1-2	0.333333333333333
SD_D-A4_39	SD_1_1-2	0.333333333333333
SD_D-A1_56	SD_1_1-3	0.233333333333333
SD_D-A5_69	SD_1_1-3	0.2
SD_D-A4_44	SD_1_1-6	0.666666666666667
SD_D-A5_24	SD_1_1-6	0.566666666666667
SD_D-A1_80	SD_1_2-1	0.4
SD_D-A1_82	SD_1_2-2	0.566666666666667
SD_D-A3_54	SD_1_2-3	0.2
SD_D-A4_93	SD_1_2-6	0.733333333333333
SD_D-A4_54	SD_1_2-8	0.266666666666667
SD_D-A3_44	SD_1_3-2	0.533333333333333
SD_D-A3_84	SD_1_3-3	0.566666666666667
SD_D-A5_34	SD_1_3-3	0.733333333333333
SD_D-A2_36	SD_1_4-2	0.2
SD_D-A1_94	SD_1_4-4	0.733333333333333
SD_D-A5_12	SD_1_4-5	0.6
SD_D-A1_15	SD_1_5-3	0.233333333333333
SD_D-A3_24	SD_1_5-6	0.133333333333333
SD_D-A5_19	SD_1_6-7	0.633333333333333
SD_D-A1_91	SD_1_6-8	1
SD_D-A2_88	SD_1_6-8	1
SD_D-A3_32	SD_1_6-8	1
SD_D-A4_06	SD_1_6-8	1
SD_D-A5_32	SD_1_6-8	1
SD_D-A4_51	SD_1_7-1	0.233333333333333
SD_D-A4_40	SD_1_7-2	0.433333333333333
SD_D-A5_40	SD_1_7-3	0.1
SD_D-A1_50	SD_1_7-4	1
SD_D-A3_88	SD_1_7-4	1
SD_D-A4_29	SD_1_7-6	0.2
SD_D-A3_89	SD_1_8-2	0.433333333333333
SD_D-A3_42	SD_1_9-5	1
SD_D-A3_47	SD_1_9-5	1
SD_D-A4_07	SD_1_9-5	1
SD_D-A5_45	SD_1_9-5	0.633333333333333
SD_D-A5_96	SD_1_9-5	0.833333333333333
SD_D-A2_53	SD_1_9-7	0.5
SD_D-A3_23	SD_1_9-8	0.2
SD_D-A4_05	SD_1_9-8	0.2
SD_D-A4_28	SD_1_9-8	0.266666666666667
SD_D-A4_26	SD_1_10-1	0.233333333333333
SD_D-A3_84	SD_1_10-2	0.666666666666667
SD_D-A5_78	SD_1_10-5	0.0666666666666667
SD_D-A2_46	SD_1_10-8	0.2
SD_D-A2_24	SD_1_11-3	0.233333333333333
SD_D-A3_61	SD_1_11-3	0.433333333333333
SD_D-A4_38	SD_1_11-4	0.566666666666667
SD_D-A4_82	SD_1_11-4	0.533333333333333
SD_D-A1_65	SD_1_11-6	0.766666666666667
SD_D-A1_71	SD_1_11-6	0.666666666666667
SD_D-A2_16	SD_1_11-6	1
SD_D-A3_18	SD_1_11-7	0.1
SD_D-A1_64	SD_1_12-4	0.0666666666666667
SD_D-A1_85	SD_1_12-6	0.0333333333333333
SD_D-A1_09	SD_10_1-2	0.8
SD_D-A2_27	SD_10_1-2	0.933333333333333
SD_D-A3_45	SD_10_1-2	1
SD_D-A1_67	SD_10_1-5	0.366666666666667
SD_D-A2_60	SD_10_1-5	0.2
SD_D-A5_21	SD_10_1-5	0.333333333333333
SD_D-A3_42	SD_10_1-7	1
SD_D-A3_47	SD_10_1-7	0.766666666666667
SD_D-A4_07	SD_10_1-7	0.866666666666667
SD_D-A5_45	SD_10_1-7	0.7
SD_D-A1_31	SD_10_2-1	0.233333333333333
SD_D-A4_54	SD_10_2-2	0.433333333333333
SD_D-A5_68	SD_10_2-2	0.333333333333333
SD_D-A1_09	SD_10_2-3	0.633333333333333
SD_D-A2_27	SD_10_2-4	0.933333333333333
SD_D-A4_22	SD_10_2-4	0.833333333333333
SD_D-A5_19	SD_10_2-5	0.233333333333333
SD_D-A5_87	SD_10_2-6	0.133333333333333
SD_D-A5_54	SD_10_2-7	0.266666666666667
SD_D-A5_87	SD_10_2-7	0.1
SD_D-A1_58	SD_10_3-4	1
SD_D-A1_75	SD_10_3-4	1
SD_D-A5_05	SD_10_3-4	1
SD_D-A4_90	SD_10_3-6	0.3
SD_D-A1_67	SD_10_4-2	0.2
SD_D-A3_93	SD_10_4-3	0.366666666666667
SD_D-A4_69	SD_10_4-3	0.266666666666667
SD_D-A1_25	SD_10_4-5	0.966666666666667
SD_D-A1_45	SD_10_4-5	0.7
SD_D-A4_85	SD_10_4-5	0.733333333333333
SD_D-A5_42	SD_10_4-5	0.733333333333333
SD_D-A5_17	SD_10_4-7	0.233333333333333
SD_D-A4_11	SD_10_4-8	0.433333333333333
SD_D-A5_91	SD_10_5-1	0.533333333333333
SD_D-A3_75	SD_10_5-2	0.166666666666667
SD_D-A5_74	SD_10_5-2	0.366666666666667
SD_D-A2_95	SD_10_5-4	0.1
SD_D-A4_11	SD_10_5-6	0.166666666666667
SD_D-A2_27	SD_10_5-8	0.866666666666667
SD_D-A4_78	SD_10_5-8	0.566666666666667
SD_D-A1_81	SD_10_6-1	0.2
SD_D-A2_49	SD_10_6-1	0.266666666666667
SD_D-A2_36	SD_10_6-2	0.433333333333333
SD_D-A5_23	SD_10_6-2	0.4
SD_D-A1_31	SD_10_6-3	0.366666666666667
SD_D-A2_43	SD_10_6-5	0.266666666666667
SD_D-A5_07	SD_10_6-5	0.166666666666667
SD_D-A5_84	SD_10_6-5	0.666666666666667
SD_D-A1_13	SD_10_6-7	0.666666666666667
SD_D-A1_45	SD_10_6-7	0.666666666666667
SD_D-A4_85	SD_10_6-7	0.666666666666667
SD_D-A2_53	SD_10_7-2	0.466666666666667
SD_D-A5_73	SD_10_7-2	0.4
SD_D-A5_78	SD_10_7-2	0.366666666666667
SD_D-A2_02	SD_10_7-3	0.433333333333333
SD_D-A2_40	SD_10_7-3	0.3
SD_D-A5_17	SD_10_7-3	0.1
SD_D-A3_24	SD_10_7-4	0.166666666666667
SD_D-A2_81	SD_10_7-8	0.733333333333333
SD_D-A3_01	SD_10_7-8	0.333333333333333
SD_D-A3_44	SD_10_7-8	0.6
SD_D-A4_13	SD_10_7-8	0.5
SD_D-A4_64	SD_10_7-8	0.633333333333333
SD_D-A1_17	SD_10_8-3	0.8
SD_D-A2_06	SD_10_8-3	0.666666666666667
SD_D-A4_04	SD_10_8-3	0.733333333333333
SD_D-A5_62	SD_10_8-4	0.133333333333333
SD_D-A5_84	SD_10_8-4	0.233333333333333
SD_D-A3_61	SD_10_8-5	0.1
SD_D-A4_04	SD_10_8-8	0.9
SD_D-A1_10	SD_10_9-3	0.233333333333333
SD_D-A4_47	SD_10_9-3	0.266666666666667
SD_D-A1_22	SD_10_9-5	1
SD_D-A3_88	SD_10_9-5	1
SD_D-A4_06	SD_10_9-5	1
SD_D-A4_24	SD_10_9-5	1
SD_D-A3_51	SD_10_9-6	0.733333333333333
SD_D-A5_16	SD_10_9-6	0.733333333333333
SD_D-A1_15	SD_10_9-7	0.3
SD_D-A1_60	SD_10_9-7	0.3
SD_D-A5_71	SD_10_9-7	0.333333333333333
SD_D-A2_62	SD_10_9-8	0.5
SD_D-A1_20	SD_10_10-4	0.833333333333333
SD_D-A1_52	SD_10_10-4	0.833333333333333
SD_D-A1_70	SD_10_10-4	1
SD_D-A5_24	SD_10_10-4	0.7
SD_D-A2_49	SD_10_10-5	0.2
SD_D-A3_53	SD_10_10-5	0
SD_D-A1_09	SD_10_10-8	0.766666666666667
SD_D-A3_29	SD_10_10-8	0.8
SD_D-A3_07	SD_10_11-1	0.0333333333333333
SD_D-A2_37	SD_10_11-2	0.466666666666667
SD_D-A3_14	SD_10_11-2	0.0333333333333333
