p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
Peak-44247-1	1.15086419642489e-50	0.27531891091395	0.852	0.371	3.83944408026094e-45	Fibro-ITM2A	Peak-44247-1
Peak-9610-1	1.89082138900693e-49	0.286933894833586	0.913	0.476	6.30804486872159e-44	Fibro-ITM2A	Peak-9610-1
Peak-31517-2	2.23445659948964e-46	0.20352299481317	0.76	0.281	7.45446003982137e-41	Fibro-ITM2A	Peak-31517-2
Peak-50835-1	8.99319285174635e-43	0.20367416710706	0.716	0.276	3.00025504004251e-37	Fibro-ITM2A	Peak-50835-1
Peak-39152-2	5.3238431210785e-42	0.213143808314952	0.803	0.353	1.77610859899548e-36	Fibro-ITM2A	Peak-39152-2
Peak-6805-4	3.01544441020378e-41	0.255435330046948	0.902	0.518	1.00599447146572e-35	Fibro-ITM2A	Peak-6805-4
Peak-38295-1	4.29572630059073e-41	0.220234013050809	0.781	0.334	1.43311443404528e-35	Fibro-ITM2A	Peak-38295-1
Peak-30282-1	6.16039545241831e-41	0.168787680429147	0.65	0.215	2.05519416846308e-35	Fibro-ITM2A	Peak-30282-1
Peak-34952-1	8.77582611256625e-41	0.164579002765765	0.678	0.239	2.92773845271768e-35	Fibro-ITM2A	Peak-34952-1
Peak-9451-3	1.48352119241685e-40	0.24796709647338	0.913	0.575	4.94923439086953e-35	Fibro-ITM2A	Peak-9451-3
Peak-7855-1	4.9595773476563e-40	0.204927351392322	0.902	0.509	1.65458443726101e-34	Fibro-ITM2A	Peak-7855-1
Peak-24762-1	3.58187454504955e-39	0.225610486920927	0.776	0.355	1.19496349447216e-33	Fibro-ITM2A	Peak-24762-1
Peak-8279-4	4.69841942326166e-39	0.202841736740363	0.885	0.478	1.56745849747202e-33	Fibro-ITM2A	Peak-8279-4
Peak-29164-1	5.17704196585606e-39	0.263416949386877	0.814	0.409	1.7271336783971e-33	Fibro-ITM2A	Peak-29164-1
Peak-16894-1	3.96534915888828e-38	0.24983253724479	0.891	0.549	1.32289599429335e-32	Fibro-ITM2A	Peak-16894-1
Peak-27609-2	1.08057740891554e-37	0.161213476044034	0.689	0.251	3.6049575169795e-32	Fibro-ITM2A	Peak-27609-2
Peak-19242-1	1.16528066364982e-37	0.214209158993697	0.803	0.389	3.8875394332287e-32	Fibro-ITM2A	Peak-19242-1
Peak-14839-2	2.29018420525658e-37	0.244706224283782	0.88	0.518	7.64037513452467e-32	Fibro-ITM2A	Peak-14839-2
Peak-29115-1	1.26878222256623e-36	0.143939626724034	0.694	0.253	4.23283512399209e-31	Fibro-ITM2A	Peak-29115-1
Peak-44006-1	1.72141650036462e-36	0.153512308504111	0.596	0.195	5.74288644352641e-31	Fibro-ITM2A	Peak-44006-1
Peak-58226-1	1.88129382581413e-36	0.162230435149546	0.661	0.245	6.27625958405157e-31	Fibro-ITM2A	Peak-58226-1
