p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
TFAP2B	1.27036197365876e-131	0.759878077569455	1	0.839	3.10031839671421e-127	LoH	TFAP2B
UMOD	7.19060681566637e-127	0.197364868810121	0.782	0.145	1.75486759336338e-122	LoH	UMOD
RP11-142A12.1	4.29262057528573e-125	0.258895975837351	0.911	0.249	1.04761405139848e-120	LoH	RP11-142A12.1
ATP1A1	8.85358405763994e-123	0.673627411678343	1	1	2.16071718926703e-118	LoH	ATP1A1
LINC01762	1.35420435484362e-117	0.484537019804769	1	0.969	3.30493572799585e-113	LoH	LINC01762
EEF1A1P2	6.17254763441082e-117	0.138435925457376	0.94	0.355	1.50641025017796e-112	LoH	EEF1A1P2
MECOM	7.41307124484954e-115	0.847860287218241	1	0.999	1.80916003730553e-110	LoH	MECOM
KCNJ1	4.53415414434314e-113	0.497076411416653	0.996	0.926	1.10656031892694e-108	LoH	KCNJ1
SCTR	1.03108032225192e-112	0.580479035686542	1	0.949	2.51635152645581e-108	LoH	SCTR
RP11-208K4.1	2.32053701106592e-112	0.416227906647847	0.992	0.696	5.66327057550638e-108	LoH	RP11-208K4.1
RPL7P37	5.6080837491754e-112	0.0744909972566544	0.956	0.373	1.36865283898626e-107	LoH	RPL7P37
MIR7975	9.12659877760672e-111	0.0720791908457686	0.444	0.03	2.22734643167492e-106	LoH	MIR7975
PTGER3	1.44628126227675e-110	0.60814889589163	1	0.776	3.52964942058641e-106	LoH	PTGER3
RP11-553P9.3	7.24660207483586e-109	0.0865312709046716	0.601	0.07	1.76853323636369e-104	LoH	RP11-553P9.3
CASR	1.05310801801139e-107	0.552421824715655	0.992	0.745	2.57011011795679e-103	LoH	CASR
ESRRG	4.49754372037982e-107	0.598514629849356	1	0.994	1.09762554495869e-102	LoH	ESRRG
RNU6-871P	4.54826012739967e-107	0.0823676776291466	0.544	0.058	1.11000288409189e-102	LoH	RNU6-871P
AC069154.4	5.56745694925113e-107	0.151472410027746	0.98	0.43	1.35873786846474e-102	LoH	AC069154.4
AP000695.6	6.16248059672991e-107	0.452556984843752	0.992	0.914	1.50395338963193e-102	LoH	AP000695.6
MAL	1.74359963180214e-106	0.574171177679995	1	0.975	4.25525490141313e-102	LoH	MAL
CFAP221	2.25225800562467e-105	0.42774843641345	1	0.966	5.49663566272701e-101	LoH	CFAP221
RNU1-23P	3.02809449798685e-104	0.0862844094212202	0.972	0.371	7.3900646223369e-100	LoH	RNU1-23P
RP1-60O19.1	1.50087751353515e-103	0.462191722597334	1	0.922	3.66289157178254e-99	LoH	RP1-60O19.1
LINC01680	3.57930002092465e-103	0.0910235580518294	0.956	0.291	8.7352817010666e-99	LoH	LINC01680
LINC01182	6.6326753709679e-103	0.656874352667557	1	0.897	1.61870442428472e-98	LoH	LINC01182
SIM1	7.2497158707161e-103	0.624620981685793	1	0.95	1.76929315824827e-98	LoH	SIM1
RP11-736P16.1	1.01198168029993e-102	0.144320577096539	0.798	0.168	2.46974129077199e-98	LoH	RP11-736P16.1
RP11-427E4.1	1.09662283902924e-101	0.0966177349175515	0.931	0.388	2.67630803865087e-97	LoH	RP11-427E4.1
SIM2	1.55738572448354e-101	0.735569266169417	1	0.943	3.80079986060209e-97	LoH	SIM2
PPARGC1A	9.08489406902979e-101	0.587164313062965	1	0.931	2.21716839754672e-96	LoH	PPARGC1A
CTD-2382H12.2	1.32229463995593e-100	0.18540277163528	0.935	0.413	3.22706006881245e-96	LoH	CTD-2382H12.2
LINC01350	1.44402324021911e-100	0.391328651126642	1	0.909	3.52413871775473e-96	LoH	LINC01350
MS4A5	2.4404271547097e-99	0.0852469100605498	0.585	0.078	5.95586247106902e-95	LoH	MS4A5
RP11-164P12.4	8.38403552811967e-99	0.177157557004835	0.94	0.36	2.04612387063761e-94	LoH	RP11-164P12.4
RP11-302F12.3	9.44497809659239e-98	0.100455947377811	0.952	0.371	2.30504690447337e-93	LoH	RP11-302F12.3
RP11-302F12.2	1.06274144279331e-97	0.107186159332097	0.968	0.383	2.59362049113707e-93	LoH	RP11-302F12.2
C8B	1.34401397037253e-97	0.111710577993299	0.919	0.364	3.28006609469416e-93	LoH	C8B
RP11-517M22.1	8.22376140633995e-96	0.257604858361454	1	0.902	2.00700897121727e-91	LoH	RP11-517M22.1
LINC01863	1.39177563824236e-95	0.271376541811747	0.996	0.942	3.39662844513049e-91	LoH	LINC01863
ATP1A1-AS1	3.53060142024705e-95	0.368593757168679	1	0.985	8.61643276611294e-91	LoH	ATP1A1-AS1
RP11-380P13.1	6.86073781168023e-95	0.309630729233127	0.984	0.581	1.67436306294056e-90	LoH	RP11-380P13.1
RP3-333B15.4	3.44660865888788e-94	0.170263067406874	0.931	0.427	8.41144843201587e-90	LoH	RP3-333B15.4
LINC00649	4.49712473679981e-94	0.543023758820247	1	0.844	1.09752329201599e-89	LoH	LINC00649
SLC34A2	7.06607617339042e-94	0.246015835392977	0.98	0.554	1.72447589011593e-89	LoH	SLC34A2
CIT	9.62304779678741e-94	0.476020399978792	1	0.973	2.34850481480597e-89	LoH	CIT
RP11-248E9.6	1.26824019533729e-93	0.112159482510056	0.815	0.216	3.09514019672066e-89	LoH	RP11-248E9.6
FGF9	7.19752905392371e-93	0.380845516653396	1	0.982	1.75655696561008e-88	LoH	FGF9
RP11-281A20.2	8.44585326524638e-93	0.310952116641844	0.895	0.445	2.06121048938338e-88	LoH	RP11-281A20.2
SNX29	1.35823591143334e-92	0.650344994232097	1	0.997	3.31477474185307e-88	LoH	SNX29
PRKCQ	5.00432030647709e-92	0.555486860501963	1	0.917	1.22130437079573e-87	LoH	PRKCQ
RP11-483K5.3	5.00677818221954e-92	0.115287387489867	0.673	0.123	1.22190421537068e-87	LoH	RP11-483K5.3
BSND	8.16398821211377e-92	0.250168265985935	0.988	0.867	1.99242132316636e-87	LoH	BSND
LINC01470	9.78821651925557e-92	0.348756946564595	0.984	0.583	2.38881424152432e-87	LoH	LINC01470
RP11-740D6.3	1.43842678414127e-90	0.069205623980394	0.968	0.496	3.51048056669676e-86	LoH	RP11-740D6.3
AC096559.2	1.70950503561457e-90	0.122240923579023	0.899	0.432	4.17204703941736e-86	LoH	AC096559.2
HLCS	1.81385115637634e-90	0.479498034044486	1	0.996	4.42670374713647e-86	LoH	HLCS
KCNJ5	3.9538129212328e-90	0.433531748174935	0.996	0.913	9.64928043426865e-86	LoH	KCNJ5
CTD-2308B18.2	6.77350886584765e-90	0.10227740522111	0.855	0.323	1.65307483871012e-85	LoH	CTD-2308B18.2
RP11-42O15.2	7.2954876985252e-90	0.120843223573871	0.96	0.404	1.78046377282508e-85	LoH	RP11-42O15.2
CCDC149	1.14043385973868e-89	0.422806348378669	1	0.98	2.78322883469225e-85	LoH	CCDC149
RP11-472K22.1	2.85749730379965e-89	0.0803037882941625	0.536	0.074	6.97372216992304e-85	LoH	RP11-472K22.1
DIAPH3	3.62463726015817e-89	0.441275725209998	1	0.976	8.84592723341602e-85	LoH	DIAPH3
CERKL	5.33026900079867e-89	0.331661235671221	1	0.887	1.30085214964492e-84	LoH	CERKL
RP11-323I1.1	1.24559529088271e-88	0.259581450155529	0.952	0.508	3.03987530739925e-84	LoH	RP11-323I1.1
XIAPP3	1.32578843015383e-88	0.106450528764788	0.694	0.138	3.23558666379042e-84	LoH	XIAPP3
PAPPA2	4.30137016295117e-88	0.545979262250056	0.996	0.853	1.04974938826823e-83	LoH	PAPPA2
IRX1	4.69620828764355e-88	0.459141484841852	0.968	0.701	1.14610963259941e-83	LoH	IRX1
MPPED2	4.73914272542415e-88	0.552502838719769	1	0.94	1.15658778213976e-83	LoH	MPPED2
APP	9.71320061207152e-88	0.432944593140259	1	0.991	2.37050660937606e-83	LoH	APP
RP11-453O5.1	1.00885042353394e-87	0.0818669705284018	0.94	0.44	2.46209945863457e-83	LoH	RP11-453O5.1
LINC01085	1.24472835588944e-87	0.106180332822478	0.726	0.158	3.03775955254818e-83	LoH	LINC01085
PLCL1	1.44614857758016e-87	0.380655085583972	1	0.966	3.52932560358439e-83	LoH	PLCL1
TFCP2L1	2.2423877109552e-87	0.386710973015586	1	0.96	5.47254720858617e-83	LoH	TFCP2L1
RP11-511B23.2	2.46940252045963e-87	0.604729833067563	1	0.944	6.02657685118172e-83	LoH	RP11-511B23.2
GRIN2B	5.29889350290464e-87	0.435646366918029	1	0.879	1.29319495938388e-82	LoH	GRIN2B
RP11-65M17.3	2.92594329093136e-86	0.443169552435782	1	0.921	7.14076460151798e-82	LoH	RP11-65M17.3
CGNL1	4.93181816729134e-86	0.543155219009438	1	0.998	1.20361022372745e-81	LoH	CGNL1
RN7SL575P	5.49908378326625e-86	0.166251397347906	1	0.942	1.34205139730613e-81	LoH	RN7SL575P
RP5-831C21.1	5.51140943685387e-86	0.221302790078362	0.992	0.8	1.34505947306419e-81	LoH	RP5-831C21.1
EPHA4	1.72628402705578e-85	0.388551429495234	1	0.993	4.21299616802962e-81	LoH	EPHA4
IGSF3	6.41449577788444e-85	0.384014904109994	1	0.977	1.5654576945927e-80	LoH	IGSF3
RP11-436H11.1	9.34396707124322e-85	0.0614982870162009	0.996	0.803	2.28039516373691e-80	LoH	RP11-436H11.1
RP11-414H23.2	1.93905638874247e-84	0.119881543580402	0.968	0.659	4.732267116726e-80	LoH	RP11-414H23.2
DEFA4	1.94316771376509e-84	0.113139797911635	0.988	0.734	4.7423008054437e-80	LoH	DEFA4
PACRG	2.10996376819304e-84	0.343203895034684	1	0.96	5.14936657627511e-80	LoH	PACRG
RP11-669M16.1	2.40065839004324e-84	0.349062077821006	0.952	0.549	5.85880680090053e-80	LoH	RP11-669M16.1
RP11-516J2.1	2.90849465256767e-84	0.208916652938241	0.956	0.617	7.09818119959141e-80	LoH	RP11-516J2.1
RP11-97O12.7	4.18449111063232e-84	0.222245868190954	0.944	0.449	1.02122505554982e-79	LoH	RP11-97O12.7
RP11-540H22.2	6.58946050485223e-84	0.0835727122835145	0.782	0.235	1.60815783620919e-79	LoH	RP11-540H22.2
RP11-563M4.1	8.60802030784684e-84	0.181451644113263	0.956	0.509	2.10078735613002e-79	LoH	RP11-563M4.1
ABHD17C	1.67130771896268e-83	0.351009248426806	0.996	0.865	4.07882648812843e-79	LoH	ABHD17C
RP11-284A20.2	1.78484434322218e-83	0.152909626684979	1	0.878	4.35591261963372e-79	LoH	RP11-284A20.2
NUDT4	2.09637446152224e-83	0.422317193749001	1	0.911	5.11620187334502e-79	LoH	NUDT4
RN7SKP291	4.84618591320379e-83	0.0639537580259529	0.96	0.467	1.18271167211739e-78	LoH	RN7SKP291
TFAP2D	6.24921483157787e-83	0.0897717304649286	0.976	0.502	1.52512087964658e-78	LoH	TFAP2D
RP11-1141N12.1	6.33632453824385e-83	0.0889406265751859	0.52	0.077	1.54638000355841e-78	LoH	RP11-1141N12.1
LNPEP	9.76370737460167e-83	0.40308291065114	0.98	0.723	2.38283278477154e-78	LoH	LNPEP
LINC00676	1.6174982844625e-82	0.125152328856624	0.968	0.601	3.94750456323073e-78	LoH	LINC00676
GS1-24F4.2	1.85932143742404e-82	0.374775226428653	1	0.95	4.53767396803337e-78	LoH	GS1-24F4.2
SLN	2.61983188480002e-82	0.100379458804726	0.859	0.25	6.39369971485445e-78	LoH	SLN
TP53AIP1	4.43199174963413e-82	0.237752387751824	1	0.795	1.08162758649821e-77	LoH	TP53AIP1
SIAH3	5.60636927362995e-82	0.316652518259537	0.992	0.747	1.36823442122939e-77	LoH	SIAH3
FAM155A	6.83277686980141e-82	0.430563018780917	0.996	0.92	1.66753919507504e-77	LoH	FAM155A
LINC01543	8.3873848199147e-82	0.117316677747429	0.835	0.313	2.04694126530018e-77	LoH	LINC01543
MTCO2P34	9.01866758479867e-82	0.120336129699038	0.754	0.196	2.20100582407011e-77	LoH	MTCO2P34
DOCK1	9.77401076585095e-82	0.374712300988278	1	0.993	2.38534732740592e-77	LoH	DOCK1
RP11-1012E15.2	1.24755251611855e-81	0.271697995886043	1	0.885	3.04465191558733e-77	LoH	RP11-1012E15.2
RP11-239E10.3	3.0819047204274e-81	0.100727658537379	0.992	0.651	7.52138847020306e-77	LoH	RP11-239E10.3
RP11-403N16.2	3.36550078637203e-81	0.0775176558651128	0.48	0.064	8.21350466914093e-77	LoH	RP11-403N16.2
RP11-573D15.8	7.40359059562442e-81	0.377717810848071	1	0.96	1.80684628486214e-76	LoH	RP11-573D15.8
RP11-24I21.1	8.98367060455011e-81	0.14314573489281	0.931	0.389	2.19246481104045e-76	LoH	RP11-24I21.1
TDRD1	9.2639767406651e-81	0.18803655078675	0.927	0.374	2.26087352355932e-76	LoH	TDRD1
MAN1A1	1.01951666543186e-80	0.41225775240997	1	0.989	2.48813042198647e-76	LoH	MAN1A1
AC004901.1	1.27797007070748e-80	0.298311021678949	1	0.955	3.1188859575616e-76	LoH	AC004901.1
PRKAB1	1.42984725538909e-80	0.320801160440411	0.988	0.722	3.48954222677708e-76	LoH	PRKAB1
LINC01889	1.86410046262551e-80	0.188689723030576	0.871	0.38	4.54933717903755e-76	LoH	LINC01889
BTBD11	3.51788857959431e-80	0.388575040905613	1	0.982	8.58540707849991e-76	LoH	BTBD11
CLCN5	3.88919725840186e-80	0.417148816927413	1	0.96	9.49158590912973e-76	LoH	CLCN5
RANBP3L	1.01536916499471e-79	0.239934822886444	0.968	0.663	2.4780084471696e-75	LoH	RANBP3L
EIF4A1P4	1.24152324772936e-79	0.0826122612323206	0.516	0.077	3.0299374860835e-75	LoH	EIF4A1P4
CTD-2012M11.3	1.35083261756464e-79	0.0758753309693803	0.935	0.539	3.29670700316651e-75	LoH	CTD-2012M11.3
MIR3681HG	6.15334088088013e-79	0.393786446692165	1	0.997	1.5017228419788e-74	LoH	MIR3681HG
C8A	7.37062041779998e-79	0.246971797059361	0.935	0.445	1.79879991296409e-74	LoH	C8A
