orig.ident	nCount_ATAC	nFeature_ATAC	nCount_ACTIVITY	nFeature_ACTIVITY	tech	predicted.id	prediction.score.max	tSNE_1	tSNE_2	EPCAM	VIM	PTPRC	HBG1
RC_3_1-1	RC	121308	43064	49148.380975374	15846	atac	LoH	0.994036030178866	20.3933552356217	-7.79657661997554	-0.12786392858284	1.78596513168365	-0.137176119874149	-0.239124391960033
RC_3_1-2	RC	68077	27092	30236.8241833835	12881	atac	Fibro-CYP1B1	0.483036261907023	-6.89393635425139	-1.77716002911099	0.503697489761796	2.91209825480848	-0.137176119874149	-0.239124391960033
RC_3_1-3	RC	118828	43417	49090.6572165323	16343	atac	PC-BCAT1	0.681134098679004	15.470443882644	-6.09322980521229	-0.126572372719663	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_1-4	RC	94324	34073	38711.7404317879	15231	atac	LoH	0.35098329389239	13.3717625473601	-8.6020984120914	0.754721306454107	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_1-5	RC	46984	22918	25125.6844689938	11669	atac	Fibro-PTGER2	0.202273870735446	6.0702975663007	15.5575999569894	-1.42462653000719	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_1-6	RC	59043	25646	28878.428224086	12787	atac	Fibro-ALDH1A2	0.829301874293601	-7.73105619480462	-1.07170443401022	-0.295237801806637	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_1-7	RC	159877	56462	60672.1947169759	16700	atac	Fibro-PTGER2	0.424582552398895	6.06938300907662	15.5550470084496	-0.845140413971827	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_1-8	RC	58861	22778	26241.6301682202	12238	atac	Podocyte-PLA2R1	0.998918729467435	-12.861720282604	-17.1123670452677	0.353918269922846	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_2-1	RC	118959	45641	49019.2162111915	15315	atac	Podocyte-PLA2R1	0.255580819534788	-8.63876450730471	-6.6399187024068	0.652234750669642	1.79112475114333	-0.137176119874149	-0.239124391960033
RC_3_2-2	RC	39488	16902	18521.1885961806	9976	atac	Endo-TEK	0.380286872827602	15.7873154346125	-0.947737132474539	1.35680391392216	2.39767682203235	-0.137176119874149	-0.239124391960033
RC_3_2-3	RC	98923	36465	40971.9065010978	14910	atac	LoH	0.954343320578899	21.2266013957164	-13.41120791641	0.662121302769348	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_2-4	RC	123720	43412	48917.8205509309	16462	atac	CM	0.784343320987058	7.63169052692403	-17.7203535453149	0.391943635658977	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_2-6	RC	90978	34590	38093.3287362724	14329	atac	Fibro-CYP1B1	0.43795561054709	-9.51568130163169	-1.36571016094192	-0.897455548396569	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_2-7	RC	72019	28591	32760.8358588252	13742	atac	Podocyte-GPC3	0.791684541514968	4.28095932674582	-16.867322088034	-1.42462653000719	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_3-1	RC	69318	27884	31679.0947444901	13723	atac	Podocyte-GPC3	0.54823938626374	-4.68226682827648	-6.19641458355498	0.434222102908243	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_3-3	RC	58934	26794	30597.8780420489	12632	atac	Endo-TEK	0.405239958137158	-5.71892689330237	-28.3441373434284	2.69837199221292	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_3-4	RC	78180	29495	33601.0968803369	14099	atac	CM	0.817366225440099	9.48869811043573	-20.0453841667096	-0.435093344147928	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_3-5	RC	39533	14153	15823.0277520925	9460	atac	Erythrocyte	0.831572976137683	-28.4235972282716	-1.52518972069065	-1.42462653000719	2.79095300605527	-0.137176119874149	10
RC_3_3-6	RC	64603	26328	29486.5887805897	13050	atac	PC-BCAT1	0.601401119030118	9.29553566191607	-6.14334124517185	0.541977655532104	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_3-7	RC	52711	22394	25514.7132591467	12641	atac	PC-BCAT1	0.460198415533868	17.0977293343859	-2.79335975048527	-1.42462653000719	3.3935821213006	10	-0.239124391960033
RC_3_4-1	RC	115223	39260	44004.4896576945	15947	atac	CM	0.88870051249153	8.77984039414294	-19.0522169527909	-0.646838359479125	0.860585145333293	-0.137176119874149	-0.239124391960033
RC_3_4-2	RC	97822	35981	40621.4856169553	15183	atac	CM	0.9039519832371	7.63397997959712	-20.5230636963025	-0.588712042493013	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_4-3	RC	85079	33530	36700.8519819095	13739	atac	Podocyte-PLA2R1	0.830048268913243	-9.74831532158934	-15.8897814646596	-1.42462653000719	2.41973801094355	-0.137176119874149	-0.239124391960033
RC_3_4-5	RC	148935	49731	56822.5179907974	17124	atac	LoH	0.912201089555034	22.8339544648721	-12.6574446196778	2.32497796746559	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_4-6	RC	140695	46433	52682.0777992247	16599	atac	Podocyte-GPC3	0.981975252772637	-5.61915240700378	-18.8708962717005	1.11018078238591	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_4-7	RC	44917	22542	24473.6158736411	11518	atac	Endo-TEK	0.311792908837497	6.83090233076352	19.1929179178229	-1.42462653000719	-0.526283963774248	-0.137176119874149	7.02565567218826
RC_3_4-8	RC	121630	43875	50661.3531409534	15935	atac	PT	0.988592212514586	-1.96020056494137	-27.6455650778112	2.45411338233835	1.72721051071349	-0.137176119874149	-0.239124391960033
RC_3_5-1	RC	90565	33709	38565.7214291606	14420	atac	LoH	0.886769241652691	24.2576875275411	-15.3254646428936	0.76099499282993	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_5-2	RC	109458	38839	42503.9054547669	15609	atac	Immune	0.963164704643057	-29.2992092293227	-0.935412960174179	0.0401034721211447	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_5-3	RC	97112	35628	41052.8902512232	15365	atac	CM	0.551005634393795	9.00053776765615	-15.7764440725238	2.98415068781225	2.16163325209182	-0.137176119874149	-0.239124391960033
RC_3_5-4	RC	80976	30097	34028.8194971844	13603	atac	Podocyte-PLA2R1	0.733608007678488	-8.76557612426947	-6.93880718216126	-0.446058832213655	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_5-5	RC	111128	39134	44789.1166343175	15797	atac	PC-BCAT1	0.706565862955907	19.0833176064506	-0.190639753875642	0.522762473333934	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_5-6	RC	87284	33625	38307.1815900502	14952	atac	CM	0.704310573036396	10.1667334689628	-16.4067547410207	-0.122004846255996	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_5-7	RC	99326	36383	40623.3353629973	15462	atac	CM	0.908418468761786	6.55473525959963	-17.87239593307	0.0959534762291391	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_5-8	RC	120567	40069	45914.8391087597	15725	atac	PT	0.939872878545774	-1.15189081306145	-25.1272856443874	0.262240091611496	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_6-1	RC	157348	51138	57810.8253948377	17375	atac	LoH	0.31233397757166	10.3640364228249	-13.7116045239379	0.942449217214157	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_6-2	RC	144993	47522	53947.3350413623	16832	atac	LoH	0.662730317353494	15.4616973860003	-12.1485317715343	0.25488780674697	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_6-3	RC	56090	21450	24300.6459279579	11734	atac	Podocyte-PLA2R1	0.988969684920206	-9.87979985702837	-12.1322837304018	-1.42462653000719	3.54065631837633	-0.137176119874149	-0.239124391960033
RC_3_6-6	RC	47668	19879	22842.607849021	11772	atac	Podocyte-PLA2R1	0.741621557433918	-15.5909640069061	-7.74820984741047	-0.582272797260798	1.93285264263048	-0.137176119874149	-0.239124391960033
RC_3_6-8	RC	53942	21508	24599.4960707772	12240	atac	Podocyte-PLA2R1	0.916070172103935	-11.6640895861162	-14.8298698634852	0.835318028288123	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_7-1	RC	40865	17699	20313.3949007713	10731	atac	Podocyte-PLA2R1	0.850367121725209	-13.8989361823521	-18.6887717644326	0.0958469284201338	4.11569980384211	-0.137176119874149	-0.239124391960033
RC_3_7-2	RC	64509	26967	30981.8615363761	13597	atac	Podocyte-GPC3	0.549450270640071	-15.3068793211521	-19.2405398336344	-1.42462653000719	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_7-3	RC	101936	37397	40493.5470220364	14251	atac	Podocyte-PLA2R1	0.822267881086765	-9.93939275236631	-16.0186803080844	-1.42462653000719	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_7-5	RC	61043	26629	29385.8766853928	12593	atac	Fibro-ALDH1A2	0.627960649091497	6.82705961231568	19.187108477766	-0.312145877012629	-0.526283963774248	-0.137176119874149	5.97165357834792
RC_3_7-6	RC	85936	32280	36956.3314019749	14727	atac	PT	0.287101641300185	8.24515259959966	-9.25105324487039	2.61170934674616	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_7-7	RC	88440	35124	37910.2686520525	13363	atac	Podocyte-PLA2R1	0.318421475665202	6.83267311325344	19.1941299700418	0.184587403036655	-0.526283963774248	-0.137176119874149	8.74482550232204
RC_3_8-1	RC	93387	36219	41655.3573031918	14841	atac	PT	0.966142695683729	-2.13996579921965	-29.985973964221	-0.607380612062304	2.12946892245773	-0.137176119874149	-0.239124391960033
RC_3_8-2	RC	42153	18861	21278.5844921293	10980	atac	Fibro-ALDH1A2	0.325340864881536	-0.498457009853287	-2.99335938814554	-1.42462653000719	-0.526283963774248	-0.137176119874149	-0.239124391960033
RC_3_8-3	RC	114049	43831	50217.6127105324	15921	atac	PT	0.980215776004735	-1.45975172998241	-30.5340785551362	2.19450041780408	-0.526283963774248	-0.137176119874149	-0.239124391960033
