RNA_cell	ATAC_cell	score
HJC_D-C4_09	AC_1_1-2	0
JJC_D-A1_58	AC_1_1-3	0.75
HJC_D-C3_06	AC_1_1-3	1
SJC_D-A5_89	AC_1_1-3	0.861111111111111
JJC_D-A1_58	AC_1_1-5	0.944444444444444
HJC_D-C5_39	AC_1_1-5	0.916666666666667
JJC_D-A2_72	AC_1_1-5	1
SJC_D-A2_14	AC_1_1-5	1
SJC_D-A5_20	AC_1_1-5	0.833333333333333
HJC_D-C2_15	AC_1_1-6	1
HJC_D-C4_19	AC_1_1-6	1
JJC_D-A3_50	AC_1_1-6	1
SJC_D-A3_82	AC_1_1-6	1
SJC_D-A4_38	AC_1_1-6	1
SJC_D-A1_28	AC_1_1-8	0.416666666666667
HJC_D-C3_28	AC_1_1-8	0.611111111111111
HJC_D-C4_53	AC_1_1-8	0.305555555555556
SJC_D-A4_47	AC_1_1-8	0.416666666666667
JJC_D-A1_18	AC_1_2-1	0.555555555555556
HJC_D-C2_26	AC_1_2-1	1
JJC_D-A4_54	AC_1_2-1	0.888888888888889
JJC_D-A4_82	AC_1_2-1	0.75
HJC_D-C3_28	AC_1_2-2	0.694444444444444
HJC_D-C3_36	AC_1_2-2	0.777777777777778
HJC_D-C5_40	AC_1_2-2	0.472222222222222
HJC_D-C5_80	AC_1_2-2	0.583333333333333
HJC_D-C1_77	AC_1_2-3	0.722222222222222
JJC_D-A4_31	AC_1_2-3	0.472222222222222
SJC_D-A2_68	AC_1_2-3	0.75
SJC_D-A3_36	AC_1_2-3	0.833333333333333
HJC_D-C3_22	AC_1_2-5	0.972222222222222
HJC_D-C1_90	AC_1_2-8	0.416666666666667
HJC_D-C3_76	AC_1_2-8	0.0277777777777778
SJC_D-A4_59	AC_1_2-8	0.222222222222222
SJC_D-A1_70	AC_1_3-1	0.944444444444444
JJC_D-A4_17	AC_1_3-1	1
JJC_D-A4_36	AC_1_3-1	0.861111111111111
HJC_D-C1_13	AC_1_3-3	0.972222222222222
SJC_D-A1_15	AC_1_3-3	0.916666666666667
JJC_D-A3_96	AC_1_3-3	1
JJC_D-A5_28	AC_1_3-3	1
SJC_D-A2_61	AC_1_3-3	1
SJC_D-A1_50	AC_1_3-4	0.111111111111111
HJC_D-C2_51	AC_1_3-4	0.388888888888889
HJC_D-C5_25	AC_1_3-4	0.111111111111111
SJC_D-A4_58	AC_1_3-4	0.25
SJC_D-A5_03	AC_1_3-4	0.166666666666667
HJC_D-C1_64	AC_1_3-8	0.138888888888889
SJC_D-A1_08	AC_1_3-8	0.25
HJC_D-C5_41	AC_1_3-8	0.222222222222222
JJC_D-A1_18	AC_1_4-2	0.5
HJC_D-C3_45	AC_1_4-2	0.388888888888889
HJC_D-C3_12	AC_1_4-3	0.166666666666667
