orig.ident	nCount_ATAC	nFeature_ATAC	nCount_ACTIVITY	nFeature_ACTIVITY	tech	predicted.id	prediction.score.max	tSNE_1	tSNE_2	EPCAM	VIM	PTPRC	HBG1
S4_1_1-1	S4	120349	44275	54042.4313538233	16869	atac	B-MS4A1-	0.783975128330085	-8.46890403685774	13.9571714453771	-0.490106607317542	-0.72472042633341	-0.130278767803168	-0.651791930598913
S4_1_1-2	S4	92409	33517	40887.0519489831	15471	atac	NKT-IL2RB	0.948936858045255	-19.1326072989175	-3.1340919854688	-1.00171392438211	1.56578755022141	-0.130278767803168	-0.651791930598913
S4_1_1-3	S4	108114	36972	45025.5812523122	16059	atac	Endo-Portal	0.857088211044302	6.63277856022215	-22.8535956040798	-1.00171392438211	-0.72472042633341	-0.130278767803168	-0.651791930598913
S4_1_1-4	S4	54956	23899	28711.7906122267	13469	atac	B-MS4A1-	0.265341656554624	-15.9734315342768	-9.6398925970653	-1.00171392438211	0.822461743261354	-0.130278767803168	-0.651791930598913
S4_1_1-5	S4	61198	23721	28769.3707547571	13327	atac	Erythrocyte	0.897808747748813	1.41195421690212	11.7076460224518	-0.102753063608749	-0.72472042633341	-0.130278767803168	1.7721154591018
S4_1_1-6	S4	96797	35335	42752.2338429152	15253	atac	MPP	0.414337165863885	-6.53063526437018	13.2645941949228	2.39405100754553	-0.72472042633341	-0.130278767803168	-0.651791930598913
S4_1_1-7	S4	113508	41730	51145.9840689814	16960	atac	MPP	0.986792793925835	1.28472960625021	23.4748407241302	1.3149193282882	0.614967032453786	-0.130278767803168	-0.651791930598913
S4_1_1-8	S4	65410	25959	31745.9589641882	14131	atac	Erythrocyte	0.45701292060325	-2.75946143262296	-3.21036514139821	-0.176527595525963	0.693032275703852	-0.130278767803168	-0.651791930598913
S4_1_2-1	S4	85395	35129	42658.9449303509	15899	atac	Erythrocyte-Prol	0.537775262911419	-4.86572197558262	1.37308968801836	-0.367090433182005	-0.72472042633341	-0.130278767803168	-0.651791930598913
S4_1_2-2	S4	111539	35698	44354.1066610403	15891	atac	Endo-Portal	0.794069357402988	5.61933648560232	-23.7302668205528	-0.389040988078028	-0.72472042633341	-0.130278767803168	-0.651791930598913
S4_1_2-3	S4	137174	49945	62496.8989770556	18040	atac	MPP	0.411793499975036	15.0685459163507	2.70581515146362	1.00602926342844	0.578673734923577	-0.130278767803168	-0.651791930598913
S4_1_2-4	S4	101844	39901	49924.5589553987	16568	atac	Epi	0.871206401540773	26.2618231147736	-6.1069057110619	1.86140779419332	-0.72472042633341	-0.130278767803168	-0.651791930598913
S4_1_2-5	S4	42737	17479	21745.0381539249	11417	atac	Erythrocyte-Prol	0.958853655134544	6.63374390151541	7.01819045108205	0.138415753822587	1.05797518319296	-0.130278767803168	-0.651791930598913
S4_1_2-6	S4	79877	31571	38182.9983463189	15176	atac	T	0.756364262504311	-19.4658017678761	-1.18350031672421	0.267546814231484	-0.72472042633341	-0.130278767803168	-0.651791930598913
S4_1_2-7	S4	156880	53942	69531.3887047015	18253	atac	Epi	0.933747147157889	23.9678375151467	0.308959875007599	1.66944778133132	-0.72472042633341	-0.130278767803168	-0.651791930598913
S4_1_2-8	S4	274772	71519	92565.1417758725	19049	atac	Epi	0.953857773157107	24.3418358373367	-1.55035365746362	0.875230905709097	-0.72472042633341	-0.130278767803168	0.181737136163749
S4_1_3-1	S4	132372	47510	57383.2417594971	17593	atac	MPP	0.995563721193618	1.59031174005018	21.4348196347693	1.38191414084589	-0.72472042633341	-0.130278767803168	-0.651791930598913
S4_1_3-2	S4	80038	30003	35827.1742138977	14874	atac	Hepatocyte	0.635916212003177	-20.9297460844167	-17.2091133310823	-0.259898774241084	0.549792246437685	-0.130278767803168	-0.651791930598913
S4_1_3-3	S4	128936	45625	56088.1237576691	16967	atac	DC/Macro	1	-31.1132927819575	4.1545940341818	-1.00171392438211	-0.72472042633341	-0.130278767803168	0.681270997601971
S4_1_3-4	S4	174803	45211	56275.138611643	16546	atac	Erythrocyte-Prol	0.576224431398537	22.070688393738	5.47184382561744	-0.0853506206915532	-0.72472042633341	-0.130278767803168	1.81903842519128
