p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
Peak-45397-2	2.60627743129714e-77	0.21769526442929	0.93	0.483	8.69490638964763e-72	Fibro-0	Peak-45397-2
Peak-24936-1	3.41381922043245e-76	0.279561221973613	0.92	0.557	1.13889788540535e-70	Fibro-0	Peak-24936-1
Peak-48317-1	1.59442696630339e-75	0.240264566883909	0.889	0.45	5.31923157936338e-70	Fibro-0	Peak-48317-1
Peak-38285-1	1.49350870055552e-73	0.19354985140512	0.836	0.355	4.9825541162713e-68	Fibro-0	Peak-38285-1
Peak-52171-1	1.07646568352432e-72	0.190551951554592	0.798	0.31	3.59124022543284e-67	Fibro-0	Peak-52171-1
Peak-49751-1	1.90018700519197e-72	0.249200444574722	0.906	0.492	6.33928987550113e-67	Fibro-0	Peak-49751-1
Peak-47805-2	1.03092568676455e-69	0.223552887275388	0.934	0.56	3.43931242064267e-64	Fibro-0	Peak-47805-2
Peak-35766-1	1.04639752684083e-68	0.186978069299045	0.836	0.38	3.49092864519478e-63	Fibro-0	Peak-35766-1
Peak-18073-1	8.35493355899059e-68	0.192315744895469	0.875	0.431	2.78732280434909e-62	Fibro-0	Peak-18073-1
Peak-68402-1	2.19376563093137e-67	0.165995595193461	0.78	0.304	7.31870927197536e-62	Fibro-0	Peak-68402-1
Peak-43086-1	2.86041218597463e-67	0.232483201518239	0.864	0.445	9.54273551011739e-62	Fibro-0	Peak-43086-1
Peak-79281-1	8.21719469443372e-67	0.179724269374247	0.794	0.328	2.74137119078881e-61	Fibro-0	Peak-79281-1
Peak-42505-1	8.73193728380232e-67	0.178516204273557	0.801	0.332	2.91309652499843e-61	Fibro-0	Peak-42505-1
Peak-75164-1	2.1495757743915e-65	0.163932255107549	0.746	0.283	7.17128572397845e-60	Fibro-0	Peak-75164-1
Peak-22682-2	1.81393403650154e-64	0.232062235391823	0.937	0.597	6.05153789653425e-59	Fibro-0	Peak-22682-2
Peak-45397-1	5.65240960822187e-64	0.167031820008777	0.882	0.446	1.88572297903733e-58	Fibro-0	Peak-45397-1
Peak-67110-1	2.33778597515617e-63	0.227162116127462	0.857	0.464	7.79918130315751e-58	Fibro-0	Peak-67110-1
Peak-40544-2	3.91319885651854e-63	0.192420915904418	0.836	0.446	1.30549792331858e-57	Fibro-0	Peak-40544-2
Peak-27461-1	1.36781503969265e-62	0.220939248293378	0.906	0.568	4.56322246652025e-57	Fibro-0	Peak-27461-1
Peak-26446-2	2.47800150366182e-62	0.114502407697065	0.648	0.179	8.26695993642633e-57	Fibro-0	Peak-26446-2
Peak-33417-1	5.82397218143989e-62	0.2276905573652	0.902	0.549	1.94295865533889e-56	Fibro-0	Peak-33417-1
Peak-29453-2	1.23085275747785e-61	0.139533986199608	0.746	0.285	4.10629711833214e-56	Fibro-0	Peak-29453-2
Peak-14237-2	1.68078520809646e-61	0.22076423514181	0.93	0.604	5.60733476413891e-56	Fibro-0	Peak-14237-2
Peak-37263-1	2.73686497631909e-61	0.150224983924257	0.763	0.305	9.13056472209718e-56	Fibro-0	Peak-37263-1
Peak-10261-5	8.22959518266059e-61	0.218894853927165	0.937	0.632	2.74550816726813e-55	Fibro-0	Peak-10261-5
Peak-21408-2	1.01674273521809e-60	0.172977465939473	0.892	0.514	3.39199610867049e-55	Fibro-0	Peak-21408-2
Peak-37776-2	2.57569039459829e-60	0.211591782788691	0.923	0.572	8.59286375303515e-55	Fibro-0	Peak-37776-2
Peak-7447-30	1.68880058899911e-59	0.217741287151122	0.93	0.645	5.63407519698348e-54	Fibro-0	Peak-7447-30
Peak-25638-1	3.02119785050887e-59	0.173909719338138	0.767	0.339	1.00791389969967e-53	Fibro-0	Peak-25638-1
Peak-19072-3	8.65266910118097e-59	0.138775862031096	0.693	0.243	2.88665154952139e-53	Fibro-0	Peak-19072-3
Peak-49410-1	1.30133902214045e-58	0.170253340451096	0.749	0.314	4.34144916532364e-53	Fibro-0	Peak-49410-1
Peak-16202-2	1.33682112974613e-57	0.174991046596626	0.815	0.394	4.45982244379125e-52	Fibro-0	Peak-16202-2
Peak-32636-1	1.34801368619853e-57	0.140000692292341	0.7	0.259	4.49716237907438e-52	Fibro-0	Peak-32636-1
Peak-50157-1	1.42329026714243e-57	0.146831612430766	0.704	0.269	4.74829559182454e-52	Fibro-0	Peak-50157-1
Peak-72440-1	2.51901461233803e-57	0.147731623094077	0.718	0.279	8.40378540880539e-52	Fibro-0	Peak-72440-1
Peak-54832-1	3.00719466653948e-57	0.194881255281779	0.85	0.476	1.0032422414829e-51	Fibro-0	Peak-54832-1
Peak-37239-2	1.1353089577572e-56	0.124149659421296	0.77	0.33	3.78754962633212e-51	Fibro-0	Peak-37239-2
Peak-90822-1	1.90872057837781e-56	0.143274995241784	0.697	0.26	6.36775907034935e-51	Fibro-0	Peak-90822-1
Peak-56515-1	2.57885912154955e-56	0.208459453964521	0.875	0.515	8.60343506976631e-51	Fibro-0	Peak-56515-1
Peak-17903-1	4.25089589320563e-56	0.199357636338534	0.878	0.536	1.4181583825159e-50	Fibro-0	Peak-17903-1
Peak-8095-4	8.16606388990404e-56	0.208019410311074	0.972	0.799	2.72431323856645e-50	Fibro-0	Peak-8095-4
Peak-49436-1	9.15592481467854e-56	0.118860168216162	0.613	0.187	3.05454470112416e-50	Fibro-0	Peak-49436-1
Peak-9782-6	1.53436231919926e-55	0.161250918871622	0.843	0.45	5.11884750757342e-50	Fibro-0	Peak-9782-6
Peak-44811-2	2.35971178329208e-55	0.193641523408289	0.812	0.434	7.87232886871205e-50	Fibro-0	Peak-44811-2
Peak-57099-1	2.8373606739529e-55	0.1537266482376	0.721	0.303	9.46583243880124e-50	Fibro-0	Peak-57099-1
Peak-125726-1	3.60354331605957e-55	0.0939950624525498	0.554	0.138	1.2021924998439e-49	Fibro-0	Peak-125726-1
Peak-26822-1	4.61260472912289e-55	0.153120395589103	0.777	0.356	1.53882951410161e-49	Fibro-0	Peak-26822-1
Peak-48260-1	5.32596297128379e-55	0.174223614118676	0.843	0.457	1.77681581070187e-49	Fibro-0	Peak-48260-1
Peak-6996-1	6.08743603692364e-55	0.183251034018815	0.871	0.538	2.03085388602224e-49	Fibro-0	Peak-6996-1
Peak-19725-1	7.03533639554748e-55	0.160982703178034	0.787	0.389	2.34708671626418e-49	Fibro-0	Peak-19725-1
Peak-62627-1	1.22309246469697e-54	0.158921520513342	0.78	0.364	4.08040769517416e-49	Fibro-0	Peak-62627-1
Peak-24161-2	1.38682221354512e-54	0.17175477930474	0.819	0.462	4.62663305949642e-49	Fibro-0	Peak-24161-2
Peak-65946-1	1.64777274944198e-54	0.131851432804722	0.7	0.269	5.49720058032336e-49	Fibro-0	Peak-65946-1
Peak-41202-1	2.05516911158606e-54	0.166124614331698	0.767	0.354	6.8563318799267e-49	Fibro-0	Peak-41202-1
Peak-54135-1	2.18380124004121e-54	0.166272716208971	0.791	0.387	7.2854666689511e-49	Fibro-0	Peak-54135-1
Peak-29315-1	2.32182032226066e-54	0.167164601397069	0.763	0.347	7.74591764990668e-49	Fibro-0	Peak-29315-1
Peak-53558-1	4.03978032211266e-54	0.145860236857795	0.742	0.327	1.34772727238129e-48	Fibro-0	Peak-53558-1
Peak-13595-1	4.5359719653876e-54	0.198618594195535	0.885	0.555	1.51326375126082e-48	Fibro-0	Peak-13595-1
Peak-119419-1	4.76595717640625e-54	0.139243242314618	0.679	0.254	1.58999003744959e-48	Fibro-0	Peak-119419-1
Peak-46048-1	1.87673148814509e-53	0.122032238613925	0.679	0.244	6.26103898686034e-48	Fibro-0	Peak-46048-1
Peak-148675-1	2.25796738280843e-53	0.141844386900343	0.669	0.249	7.53289530448252e-48	Fibro-0	Peak-148675-1
Peak-32269-2	2.27088705319383e-53	0.17812762686174	0.794	0.398	7.57599713364206e-48	Fibro-0	Peak-32269-2
Peak-16766-2	2.30818322298622e-53	0.231275090997594	0.969	0.82	7.70042237753326e-48	Fibro-0	Peak-16766-2
Peak-10739-4	2.3083673073806e-53	0.163908420133845	0.805	0.4	7.70103650884472e-48	Fibro-0	Peak-10739-4
Peak-24753-2	2.35063480039629e-53	0.178324408249715	0.899	0.55	7.84204678299408e-48	Fibro-0	Peak-24753-2
Peak-23121-2	2.77689314861779e-53	0.148346259745899	0.76	0.325	9.26410430882974e-48	Fibro-0	Peak-23121-2
Peak-10870-3	8.51089676987116e-53	0.170669975523703	0.895	0.534	2.8393543149838e-47	Fibro-0	Peak-10870-3
Peak-10720-2	1.56821449865027e-52	0.167980861915245	0.923	0.624	5.23178311752711e-47	Fibro-0	Peak-10720-2
Peak-37115-1	2.50517494913466e-52	0.104099333199586	0.693	0.256	8.35761435480609e-47	Fibro-0	Peak-37115-1
Peak-14237-1	2.63794305593873e-52	0.155870081197328	0.805	0.433	8.80054734663943e-47	Fibro-0	Peak-14237-1
Peak-11578-2	2.92332657855299e-52	0.136246544940532	0.774	0.377	9.75262673177377e-47	Fibro-0	Peak-11578-2
Peak-80097-1	7.66963502256385e-52	0.129611930069129	0.662	0.249	2.55869761841762e-46	Fibro-0	Peak-80097-1
Peak-23261-2	8.73085767484778e-52	0.118395723868537	0.693	0.265	2.91273635233667e-46	Fibro-0	Peak-23261-2
Peak-59234-1	1.15606634883915e-51	0.169059865138312	0.721	0.316	3.85679918901623e-46	Fibro-0	Peak-59234-1
Peak-28118-1	1.31403513762947e-51	0.131545792986772	0.672	0.264	4.38380518405117e-46	Fibro-0	Peak-28118-1
Peak-58585-1	1.34610625773768e-51	0.170683472112374	0.718	0.316	4.49079893068899e-46	Fibro-0	Peak-58585-1
Peak-84709-1	2.79842317318596e-51	0.105731909959701	0.613	0.207	9.3359314849926e-46	Fibro-0	Peak-84709-1
Peak-58459-1	3.02431601991346e-51	0.14918772204438	0.714	0.29	1.00895416466741e-45	Fibro-0	Peak-58459-1
Peak-20871-2	3.84757667483762e-51	0.166370096001871	0.808	0.438	1.28360544479928e-45	Fibro-0	Peak-20871-2
Peak-76512-1	6.48760691953849e-51	0.124810012203434	0.69	0.292	2.16435649485491e-45	Fibro-0	Peak-76512-1
Peak-40049-3	6.86879790501858e-51	0.147248428966979	0.714	0.312	2.29152714428487e-45	Fibro-0	Peak-40049-3
Peak-24753-1	8.43313344732694e-51	0.109220806901836	0.742	0.325	2.81341138189653e-45	Fibro-0	Peak-24753-1
