RNA_cell	ATAC_cell	score
FZW_C-B6_89	LC_1_1-2	0.727272727272727
FZY_C-C16_72	LC_1_1-2	0.757575757575758
FZY_C-C2_78	LC_1_1-4	0.424242424242424
FZW_C-B9_64	LC_1_1-4	0.0606060606060606
FZW_C-B12_41	LC_1_1-4	0.333333333333333
FZY_C-C8_14	LC_1_1-4	0.333333333333333
FZY_C-C18_80	LC_1_1-4	0.242424242424242
FZW_C-B14_81	LC_1_1-5	0.363636363636364
FZY_C-C4_68	LC_1_1-5	0.454545454545455
FZY_C-C8_30	LC_1_1-5	0.212121212121212
FZY_C-C11_75	LC_1_1-5	0.121212121212121
FZY_C-C13_49	LC_1_1-5	0.181818181818182
FZW_C-B4_37	LC_1_1-6	0.242424242424242
FZW_C-B17_19	LC_1_1-6	0.333333333333333
FZY_C-C3_61	LC_1_1-7	0.333333333333333
FZY_C-C13_76	LC_1_1-7	0.242424242424242
FZW_C-B5_51	LC_1_1-8	0.151515151515152
FZY_C-C9_85	LC_1_1-8	0.393939393939394
FZY_C-C11_31	LC_1_1-8	0.333333333333333
FZY_C-C11_93	LC_1_1-8	0.454545454545455
FZY_C-C13_65	LC_1_1-8	0.333333333333333
FZW_C-B7_89	LC_1_2-1	0.0909090909090909
FZW_C-B17_59	LC_1_2-1	0.303030303030303
FZY_C-C4_15	LC_1_2-1	0.151515151515152
FZY_C-C8_59	LC_1_2-1	0.151515151515152
FZY_C-C19_77	LC_1_2-1	0.0909090909090909
FZW_C-B1_05	LC_1_2-2	0.393939393939394
FZW_C-B4_52	LC_1_2-3	0.666666666666667
FZY_C-C3_23	LC_1_2-3	0.636363636363636
FZY_C-C6_93	LC_1_2-3	0.606060606060606
FZY_C-C7_56	LC_1_2-3	0.787878787878788
FZY_C-C15_47	LC_1_2-3	0.666666666666667
FZW_C-B2_10	LC_1_2-5	0.181818181818182
FZW_C-B16_75	LC_1_2-5	0.181818181818182
FZY_C-C15_33	LC_1_2-5	0.242424242424242
FZW_C-B2_38	LC_1_2-6	0.515151515151515
FZW_C-B10_10	LC_1_2-6	0.606060606060606
FZY_C-C20_81	LC_1_2-6	0.606060606060606
FZY_C-C19_96	LC_1_2-7	0.333333333333333
FZW_C-B4_54	LC_1_3-1	0.303030303030303
FZW_C-B19_84	LC_1_3-1	0.363636363636364
FZY_C-C3_93	LC_1_3-1	0.212121212121212
FZY_C-C5_11	LC_1_3-1	0.484848484848485
FZY_C-C8_17	LC_1_3-1	0.333333333333333
FZY_C-C1_38	LC_1_3-2	0.575757575757576
FZY_C-C5_40	LC_1_3-2	0.666666666666667
FZY_C-C6_25	LC_1_3-2	0.818181818181818
FZY_C-C6_27	LC_1_3-2	0.696969696969697
FZY_C-C6_32	LC_1_3-2	0.606060606060606
FZW_C-B7_26	LC_1_3-3	0.424242424242424
FZW_C-B15_30	LC_1_3-3	0.727272727272727
FZY_C-C3_65	LC_1_3-3	0.393939393939394
FZY_C-C5_30	LC_1_3-3	0.272727272727273
FZY_C-C8_81	LC_1_3-3	0.303030303030303
FZY_C-C4_94	LC_1_3-5	0.181818181818182
FZY_C-C7_20	LC_1_3-5	0.454545454545455
FZY_C-C7_81	LC_1_3-5	0.515151515151515
FZY_C-C11_72	LC_1_3-5	0.303030303030303
FZY_C-C18_83	LC_1_3-5	0.333333333333333
