RNA_cell	ATAC_cell	score
YX_C-A1_83	Pan_1_1-1	0.853658536585366
YX_C-A6_83	Pan_1_1-1	0.804878048780488
YX_C-A9_04	Pan_1_1-1	0.878048780487805
YX_C-A20_60	Pan_1_1-1	0.75609756097561
YX_C-C13_08	Pan_1_1-1	0.780487804878049
YX_C-A1_75	Pan_1_1-2	1
YX_C-A7_21	Pan_1_1-2	1
YX_C-C7_81	Pan_1_1-2	1
YX_C-C12_74	Pan_1_1-2	1
YX_C-C16_02	Pan_1_1-2	1
YX_C-C1_70	Pan_1_1-5	1
YX_C-A22_53	Pan_1_1-5	1
YX_C-C3_91	Pan_1_1-5	1
YX_C-C6_61	Pan_1_1-5	0.975609756097561
YX_C-C6_65	Pan_1_1-5	1
YX_C-A10_22	Pan_1_1-6	0.0731707317073171
YX_C-A2_29	Pan_1_1-7	0.268292682926829
YX_C-A5_11	Pan_1_1-7	0.317073170731707
YX_C-C4_16	Pan_1_1-7	0.146341463414634
YX_C-C12_65	Pan_1_1-7	0.292682926829268
YX_C-C10_58	Pan_1_1-8	0.195121951219512
YX_C-C11_14	Pan_1_1-8	0.146341463414634
YX_C-C3_18	Pan_1_2-4	0.0487804878048781
YX_C-A8_37	Pan_1_2-5	0.780487804878049
YX_C-A16_41	Pan_1_2-5	0.75609756097561
YX_C-A18_27	Pan_1_2-5	0.780487804878049
YX_C-A18_41	Pan_1_2-5	0.780487804878049
YX_C-C6_33	Pan_1_2-5	0.780487804878049
YX_C-C2_07	Pan_1_2-7	1
YX_C-C2_15	Pan_1_2-7	1
YX_C-A13_29	Pan_1_2-7	1
YX_C-C12_93	Pan_1_2-7	1
YX_C-C16_13	Pan_1_2-7	1
YX_C-A20_40	Pan_1_2-8	0.780487804878049
YX_C-A1_73	Pan_1_3-1	0.341463414634146
YX_C-C3_73	Pan_1_3-1	0.0731707317073171
YX_C-C7_17	Pan_1_3-1	0.024390243902439
YX_C-C14_69	Pan_1_3-1	0.195121951219512
YX_C-C18_95	Pan_1_3-1	0.268292682926829
YX_C-A7_95	Pan_1_3-3	0.75609756097561
YX_C-A17_27	Pan_1_3-3	0.731707317073171
YX_C-A18_08	Pan_1_3-3	0.682926829268293
YX_C-A4_26	Pan_1_3-4	0.975609756097561
YX_C-A12_25	Pan_1_3-4	0.878048780487805
YX_C-C4_95	Pan_1_3-4	0.975609756097561
YX_C-C18_87	Pan_1_3-4	0.682926829268293
YX_C-C18_90	Pan_1_3-4	0.707317073170732
YX_C-A2_82	Pan_1_3-5	0.024390243902439
YX_C-C2_47	Pan_1_3-5	0.121951219512195
YX_C-C4_31	Pan_1_3-5	0.317073170731707
YX_C-C8_05	Pan_1_3-5	0.268292682926829
YX_C-C2_07	Pan_1_3-6	1
YX_C-A22_03	Pan_1_3-6	1
YX_C-C2_48	Pan_1_3-7	0.268292682926829
YX_C-A7_54	Pan_1_3-7	0.0487804878048781
YX_C-C7_23	Pan_1_3-7	0.195121951219512
YX_C-C18_81	Pan_1_3-7	0.0487804878048781
YX_C-A3_86	Pan_1_3-8	0.170731707317073
YX_C-A19_25	Pan_1_3-8	0.24390243902439
YX_C-A7_72	Pan_1_4-1	0.804878048780488
YX_C-A4_43	Pan_1_4-2	0.341463414634146
YX_C-C6_82	Pan_1_4-2	0.268292682926829
YX_C-C9_43	Pan_1_4-2	0.195121951219512
YX_C-C11_59	Pan_1_4-2	0.170731707317073
YX_C-A1_50	Pan_1_4-3	0.195121951219512
YX_C-A4_42	Pan_1_4-3	0.146341463414634
YX_C-A6_57	Pan_1_4-3	0.292682926829268
YX_C-A14_80	Pan_1_4-3	0.0731707317073171
YX_C-C3_76	Pan_1_4-3	0.0975609756097561
YX_C-A4_61	Pan_1_4-5	0.975609756097561
YX_C-A15_21	Pan_1_4-5	0.951219512195122
YX_C-C6_65	Pan_1_4-5	1
YX_C-C10_81	Pan_1_4-5	1
YX_C-C12_48	Pan_1_4-5	0.975609756097561
YX_C-A22_38	Pan_1_4-6	0.268292682926829
YX_C-C11_72	Pan_1_4-7	0.0975609756097561
YX_C-C17_33	Pan_1_5-1	0.170731707317073
YX_C-A2_48	Pan_1_5-2	0.829268292682927
YX_C-A5_49	Pan_1_5-2	0.902439024390244
YX_C-C15_89	Pan_1_5-2	0.682926829268293
YX_C-C16_34	Pan_1_5-2	0.902439024390244
YX_C-A3_12	Pan_1_5-4	0.170731707317073
YX_C-A12_17	Pan_1_5-5	0.853658536585366
YX_C-A16_82	Pan_1_5-5	0.878048780487805
YX_C-A18_67	Pan_1_5-5	0.878048780487805
YX_C-C7_84	Pan_1_5-5	0.829268292682927
YX_C-C8_17	Pan_1_5-5	0.780487804878049
YX_C-A8_96	Pan_1_6-2	0.365853658536585
YX_C-A16_40	Pan_1_6-2	0.341463414634146
YX_C-A17_60	Pan_1_6-2	0.341463414634146
YX_C-C12_53	Pan_1_6-2	0.24390243902439
YX_C-C18_50	Pan_1_6-3	0.170731707317073
YX_C-A3_02	Pan_1_6-5	0.170731707317073
YX_C-A8_42	Pan_1_6-5	0.121951219512195
YX_C-C1_64	Pan_1_6-6	1
YX_C-A9_34	Pan_1_6-6	1
YX_C-A20_23	Pan_1_6-6	1
YX_C-C5_59	Pan_1_6-6	1
YX_C-C9_05	Pan_1_6-6	1
YX_C-A5_84	Pan_1_6-8	0.780487804878049
YX_C-A22_37	Pan_1_6-8	0.707317073170732
YX_C-A19_94	Pan_1_7-2	0.121951219512195
YX_C-C14_46	Pan_1_7-2	0.121951219512195
YX_C-C16_42	Pan_1_7-2	0.317073170731707
YX_C-C18_61	Pan_1_7-2	0.0975609756097561
YX_C-A9_17	Pan_1_7-5	0.0487804878048781
YX_C-A10_33	Pan_1_7-5	0.195121951219512
YX_C-A4_58	Pan_1_7-7	0.0731707317073171
YX_C-A22_75	Pan_1_7-7	0.024390243902439
YX_C-C3_64	Pan_1_7-7	0
YX_C-A15_78	Pan_1_7-8	0.365853658536585
YX_C-A17_02	Pan_1_7-8	0.170731707317073
YX_C-A21_52	Pan_1_7-8	0.463414634146341
YX_C-C17_52	Pan_1_7-8	0.195121951219512
YX_C-C7_41	Pan_1_8-1	0.268292682926829
YX_C-A3_86	Pan_1_8-2	0.317073170731707
YX_C-A13_31	Pan_1_8-2	0.536585365853659
YX_C-A16_15	Pan_1_8-2	0.317073170731707
YX_C-A18_39	Pan_1_8-2	0.609756097560976
YX_C-C14_57	Pan_1_8-2	0.365853658536585
YX_C-A2_25	Pan_1_8-3	0.121951219512195
YX_C-C12_64	Pan_1_8-3	0.195121951219512
YX_C-C15_90	Pan_1_8-3	0.219512195121951
YX_C-C17_11	Pan_1_8-3	0.0731707317073171
YX_C-A11_01	Pan_1_8-4	0.341463414634146
YX_C-A11_68	Pan_1_8-4	0.317073170731707
YX_C-C1_08	Pan_1_8-5	0.75609756097561
YX_C-A5_75	Pan_1_8-5	0.902439024390244
YX_C-C6_64	Pan_1_8-5	0.853658536585366
YX_C-C11_78	Pan_1_8-5	0.829268292682927
YX_C-C1_68	Pan_1_8-6	0.24390243902439
YX_C-C15_42	Pan_1_8-6	0.0975609756097561
YX_C-C16_47	Pan_1_8-6	0.170731707317073
YX_C-A14_07	Pan_1_8-7	0.975609756097561
YX_C-A22_18	Pan_1_8-7	0.975609756097561
YX_C-C7_30	Pan_1_8-7	0.951219512195122
YX_C-C8_67	Pan_1_8-7	0.902439024390244
YX_C-C9_93	Pan_1_8-7	0.902439024390244
YX_C-A9_30	Pan_1_8-8	0.0975609756097561
YX_C-A13_68	Pan_1_8-8	0.195121951219512
YX_C-A14_22	Pan_1_8-8	0.219512195121951
YX_C-A15_74	Pan_1_8-8	0.0487804878048781
YX_C-C14_78	Pan_1_8-8	0.24390243902439
YX_C-C2_41	Pan_1_9-1	0.0975609756097561
YX_C-C6_70	Pan_1_9-2	0.390243902439024
YX_C-C11_65	Pan_1_9-2	0.317073170731707
YX_C-C14_78	Pan_1_9-2	0.365853658536585
YX_C-C15_80	Pan_1_9-2	0.146341463414634
YX_C-C1_93	Pan_1_9-4	1
YX_C-A5_86	Pan_1_9-4	1
YX_C-A7_21	Pan_1_9-4	1
YX_C-A12_75	Pan_1_9-4	1
YX_C-C14_60	Pan_1_9-4	1
YX_C-C10_23	Pan_1_9-7	0.268292682926829
YX_C-C18_40	Pan_1_9-7	0.195121951219512
YX_C-A17_01	Pan_1_9-8	1
YX_C-C3_06	Pan_1_9-8	1
YX_C-C7_10	Pan_1_9-8	1
YX_C-C8_82	Pan_1_9-8	0.951219512195122
YX_C-C10_61	Pan_1_9-8	1
YX_C-A7_27	Pan_1_10-3	0.170731707317073
YX_C-C18_43	Pan_1_10-3	0.24390243902439
YX_C-A17_76	Pan_1_10-8	0.585365853658537
YX_C-C4_13	Pan_1_10-8	0.536585365853659
YX_C-C18_51	Pan_1_10-8	0.317073170731707
YX_C-A6_54	Pan_1_11-2	0.24390243902439
YX_C-A20_69	Pan_1_11-2	0.121951219512195
YX_C-C2_78	Pan_1_11-4	0.341463414634146
YX_C-A15_74	Pan_1_11-4	0.146341463414634
YX_C-A19_24	Pan_1_11-4	0.219512195121951
YX_C-C18_59	Pan_1_11-4	0.317073170731707
YX_C-A1_77	Pan_1_11-5	0.024390243902439
YX_C-C12_59	Pan_1_11-5	0.0487804878048781
YX_C-A13_83	Pan_1_11-7	0.731707317073171
YX_C-C12_45	Pan_1_11-7	0.707317073170732
YX_C-A19_88	Pan_1_11-8	0.585365853658537
YX_C-A20_44	Pan_1_11-8	0.682926829268293
YX_C-A8_63	Pan_1_12-1	0.146341463414634
YX_C-A12_11	Pan_1_12-3	0.829268292682927
YX_C-C9_55	Pan_1_12-3	0.878048780487805
YX_C-C13_91	Pan_1_12-3	0.902439024390244
YX_C-A4_74	Pan_1_12-4	0.609756097560976
YX_C-A5_84	Pan_1_12-4	0.634146341463415
YX_C-A18_86	Pan_1_12-4	0.560975609756098
YX_C-C4_21	Pan_1_12-4	0.682926829268293
YX_C-C6_91	Pan_1_12-4	0.536585365853659
YX_C-C17_87	Pan_1_12-5	0.560975609756098
YX_C-C5_62	Pan_10_1-1	0.853658536585366
YX_C-C15_75	Pan_10_1-1	0.780487804878049
YX_C-A4_74	Pan_10_1-6	0.658536585365854
YX_C-A17_21	Pan_10_1-6	0.560975609756098
YX_C-C14_51	Pan_10_1-6	0.536585365853659
YX_C-C14_83	Pan_10_1-6	0.560975609756098
YX_C-C18_86	Pan_10_1-6	0.682926829268293
YX_C-C12_82	Pan_10_2-1	0
YX_C-A8_05	Pan_10_2-4	0.146341463414634
YX_C-A20_84	Pan_10_2-4	0.268292682926829
YX_C-A22_78	Pan_10_2-4	0.0975609756097561
YX_C-C5_56	Pan_10_2-5	0.414634146341463
YX_C-C3_83	Pan_10_2-7	0.146341463414634
YX_C-C6_46	Pan_10_2-7	0.170731707317073
YX_C-C8_45	Pan_10_2-7	0.121951219512195
YX_C-C10_76	Pan_10_2-8	0.682926829268293
YX_C-A14_68	Pan_10_3-1	0.024390243902439
YX_C-A22_14	Pan_10_3-1	0.170731707317073
YX_C-C18_40	Pan_10_3-1	0.146341463414634
YX_C-A1_39	Pan_10_3-2	1
YX_C-C5_62	Pan_10_3-2	1
YX_C-C9_55	Pan_10_3-2	1
YX_C-C13_91	Pan_10_3-2	1
YX_C-C17_29	Pan_10_3-2	1
YX_C-A13_41	Pan_10_3-3	0.951219512195122
YX_C-C15_86	Pan_10_3-3	1
YX_C-A6_52	Pan_10_5-2	0
YX_C-C10_76	Pan_10_5-4	0.707317073170732
YX_C-C11_81	Pan_10_5-4	0.658536585365854
YX_C-C2_90	Pan_10_5-5	0.926829268292683
YX_C-A5_38	Pan_10_5-5	0.780487804878049
YX_C-A8_89	Pan_10_5-5	0.804878048780488
YX_C-C1_95	Pan_10_5-6	0.268292682926829
YX_C-A11_34	Pan_10_5-6	0.195121951219512
YX_C-C5_48	Pan_10_5-6	0.341463414634146
YX_C-C10_03	Pan_10_5-6	0.292682926829268
YX_C-C13_47	Pan_10_5-7	0.121951219512195
YX_C-C2_32	Pan_10_5-8	0.414634146341463
YX_C-C2_50	Pan_10_5-8	0.48780487804878
YX_C-A15_58	Pan_10_5-8	0.24390243902439
YX_C-A19_36	Pan_10_5-8	0.365853658536585
YX_C-A5_77	Pan_10_6-1	0.658536585365854
YX_C-A17_53	Pan_10_6-1	0.341463414634146
YX_C-A21_90	Pan_10_6-1	0.170731707317073
YX_C-C11_83	Pan_10_6-1	0.292682926829268
YX_C-A18_52	Pan_10_6-2	0.121951219512195
YX_C-A22_24	Pan_10_6-2	0.195121951219512
YX_C-A22_74	Pan_10_6-2	0.219512195121951
YX_C-C10_58	Pan_10_6-2	0.24390243902439
YX_C-A4_83	Pan_10_6-4	0.902439024390244
YX_C-A14_85	Pan_10_6-5	0.634146341463415
YX_C-A19_34	Pan_10_6-6	1
YX_C-A22_53	Pan_10_6-6	0.975609756097561
YX_C-C6_61	Pan_10_6-6	1
YX_C-A4_67	Pan_10_6-7	0.536585365853659
YX_C-A18_39	Pan_10_6-7	0.292682926829268
YX_C-A14_87	Pan_10_7-1	0.121951219512195
YX_C-C18_52	Pan_10_7-2	0.341463414634146
YX_C-A14_29	Pan_10_7-3	0.24390243902439
YX_C-C3_58	Pan_10_7-3	0.0731707317073171
YX_C-C12_54	Pan_10_7-3	0.24390243902439
YX_C-C18_42	Pan_10_7-3	0.24390243902439
YX_C-A16_75	Pan_10_7-4	0.682926829268293
YX_C-C2_93	Pan_10_7-6	1
YX_C-A11_23	Pan_10_7-6	1
YX_C-A21_01	Pan_10_7-6	1
YX_C-A22_51	Pan_10_7-6	1
YX_C-C13_44	Pan_10_7-6	1
YX_C-A9_60	Pan_10_7-8	0.902439024390244
YX_C-C3_04	Pan_10_7-8	0.853658536585366
YX_C-C17_18	Pan_10_7-8	0.926829268292683
YX_C-A4_74	Pan_10_8-2	0.75609756097561
YX_C-A22_37	Pan_10_8-2	0.707317073170732
YX_C-C9_20	Pan_10_8-2	0.585365853658537
YX_C-C14_93	Pan_10_8-2	0.609756097560976
YX_C-C18_86	Pan_10_8-2	0.804878048780488
YX_C-A18_78	Pan_10_8-8	0.24390243902439
YX_C-C5_56	Pan_10_8-8	0.317073170731707
YX_C-A7_60	Pan_10_9-2	0.24390243902439
YX_C-C12_76	Pan_10_9-2	0.24390243902439
YX_C-A4_19	Pan_10_9-3	1
YX_C-A13_57	Pan_10_9-3	1
YX_C-C7_81	Pan_10_9-3	0.975609756097561
YX_C-C12_74	Pan_10_9-3	0.975609756097561
YX_C-C14_60	Pan_10_9-3	1
YX_C-A3_77	Pan_10_9-5	0.658536585365854
YX_C-C11_33	Pan_10_9-5	0.609756097560976
YX_C-C12_76	Pan_10_9-5	0.609756097560976
YX_C-C17_87	Pan_10_9-5	0.682926829268293
YX_C-C18_88	Pan_10_9-5	0.658536585365854
YX_C-A4_76	Pan_10_9-8	0.341463414634146
YX_C-A14_32	Pan_10_9-8	0.195121951219512
YX_C-A17_47	Pan_10_9-8	0.317073170731707
YX_C-C5_91	Pan_10_9-8	0.390243902439024
YX_C-C11_85	Pan_10_9-8	0.341463414634146
YX_C-A16_11	Pan_10_10-1	0.853658536585366
YX_C-A17_59	Pan_10_10-1	0.975609756097561
YX_C-C4_67	Pan_10_10-1	0.926829268292683
YX_C-C9_46	Pan_10_10-1	0.902439024390244
YX_C-C9_93	Pan_10_10-1	1
YX_C-C2_43	Pan_10_10-2	0.853658536585366
YX_C-A3_06	Pan_10_10-2	0.975609756097561
YX_C-A6_42	Pan_10_10-2	0.878048780487805
YX_C-A6_68	Pan_10_10-2	1
YX_C-A18_62	Pan_10_10-2	0.926829268292683
YX_C-C16_06	Pan_10_10-5	0.146341463414634
YX_C-C1_64	Pan_10_10-6	1
YX_C-A9_34	Pan_10_10-6	1
YX_C-A15_80	Pan_10_10-6	1
YX_C-A20_23	Pan_10_10-6	1
YX_C-A22_92	Pan_10_10-6	1
YX_C-A4_83	Pan_10_10-8	0.804878048780488
YX_C-A16_96	Pan_10_11-1	0.463414634146341
YX_C-A2_47	Pan_10_11-2	0.829268292682927
YX_C-A10_10	Pan_10_11-2	0.731707317073171
YX_C-A18_60	Pan_10_11-2	0.682926829268293
YX_C-A22_82	Pan_10_11-2	0.780487804878049
YX_C-C14_80	Pan_10_11-2	0.853658536585366
YX_C-C5_60	Pan_10_11-3	0.24390243902439
YX_C-C11_58	Pan_10_11-5	0.146341463414634
YX_C-A19_21	Pan_10_11-6	0.975609756097561
YX_C-C6_65	Pan_10_11-6	1
YX_C-C1_35	Pan_10_11-8	0.219512195121951
YX_C-A8_62	Pan_10_11-8	0.195121951219512
YX_C-A22_34	Pan_10_11-8	0.268292682926829
YX_C-A14_32	Pan_10_12-1	0.51219512195122
YX_C-A21_64	Pan_10_12-1	0.317073170731707
YX_C-C6_68	Pan_10_12-1	0.341463414634146
YX_C-A15_67	Pan_10_12-8	0.780487804878049
YX_C-A20_65	Pan_10_12-8	0.878048780487805
YX_C-C12_90	Pan_10_12-8	0.658536585365854
YX_C-C15_76	Pan_10_12-8	0.609756097560976
YX_C-C17_56	Pan_10_12-8	0.804878048780488
YX_C-A2_48	Pan_11_1-1	0.75609756097561
YX_C-A5_41	Pan_11_1-1	0.804878048780488
YX_C-A11_30	Pan_11_1-1	0.707317073170732
YX_C-C4_67	Pan_11_1-1	0.804878048780488
YX_C-A13_82	Pan_11_1-5	0.365853658536585
YX_C-A15_81	Pan_11_1-6	0.926829268292683
YX_C-A20_64	Pan_11_1-6	0.878048780487805
YX_C-A22_30	Pan_11_1-6	0.853658536585366
YX_C-C3_56	Pan_11_1-6	0.853658536585366
YX_C-C7_30	Pan_11_1-6	0.878048780487805
YX_C-A8_84	Pan_11_1-8	0
YX_C-A17_72	Pan_11_2-1	0.731707317073171
YX_C-C5_17	Pan_11_2-1	0.585365853658537
YX_C-C15_96	Pan_11_2-1	0.75609756097561
YX_C-C18_03	Pan_11_2-1	0.731707317073171
YX_C-C18_65	Pan_11_2-1	0.731707317073171
YX_C-A2_54	Pan_11_2-2	1
YX_C-A4_23	Pan_11_2-3	0.682926829268293
YX_C-A5_74	Pan_11_2-3	0.707317073170732
YX_C-A17_48	Pan_11_2-3	0.658536585365854
YX_C-C4_89	Pan_11_2-3	0.51219512195122
YX_C-C17_35	Pan_11_2-3	0.560975609756098
YX_C-A4_82	Pan_11_2-6	0.439024390243902
YX_C-A11_09	Pan_11_2-6	0.341463414634146
YX_C-C6_10	Pan_11_2-6	0.0975609756097561
YX_C-C1_08	Pan_11_2-7	0.780487804878049
YX_C-A4_59	Pan_11_2-7	0.75609756097561
YX_C-A9_43	Pan_11_2-7	0.536585365853659
YX_C-A12_04	Pan_11_3-1	0.146341463414634
YX_C-A4_39	Pan_11_3-3	1
YX_C-C3_41	Pan_11_3-3	1
YX_C-C3_81	Pan_11_3-3	1
YX_C-A19_42	Pan_11_3-4	0.219512195121951
YX_C-C4_55	Pan_11_3-4	0.121951219512195
YX_C-C17_37	Pan_11_3-4	0.195121951219512
YX_C-C2_04	Pan_11_3-8	0.0487804878048781
YX_C-A16_59	Pan_11_3-8	0.0487804878048781
YX_C-C18_80	Pan_11_3-8	0.146341463414634
YX_C-C1_46	Pan_11_4-2	0.24390243902439
YX_C-C10_87	Pan_11_4-2	0.170731707317073
YX_C-C14_04	Pan_11_4-2	0.219512195121951
YX_C-A1_75	Pan_11_4-5	1
YX_C-C1_93	Pan_11_4-5	1
YX_C-C7_81	Pan_11_4-5	1
