RNA_cell	ATAC_cell	score
XCS_C-A4_65	SIL_1_1-2	0.485714285714286
XCS_C-D5_75	SIL_1_1-2	0.657142857142857
XCX_C-A5_13	SIL_1_1-2	0.428571428571429
XCX_C-A9_17	SIL_1_1-2	0.457142857142857
XCX_C-D9_94	SIL_1_1-2	0.485714285714286
XCZ_C-C4_66	SIL_1_1-3	0.314285714285714
XCS_C-A1_35	SIL_1_1-3	0.485714285714286
XCS_C-C9_68	SIL_1_1-3	0.314285714285714
XCX_C-C7_05	SIL_1_1-3	0.542857142857143
XCX_C-D1_47	SIL_1_1-3	0.314285714285714
XCX_C-A1_53	SIL_1_1-5	0.885714285714286
XCZ_C-B20_40	SIL_1_1-5	0.628571428571429
XCZ_C-B25_29	SIL_1_1-5	0.771428571428571
XCX_C-C2_31	SIL_1_1-5	0.971428571428571
XCX_C-D9_02	SIL_1_1-5	0.685714285714286
XCS_C-B2_61	SIL_1_1-6	0.857142857142857
XCS_C-C5_78	SIL_1_1-6	0.742857142857143
XCS_C-C7_74	SIL_1_1-6	0.828571428571429
XCS_C-B3_65	SIL_1_1-8	0.114285714285714
XCS_C-A5_56	SIL_1_2-1	1
XCS_C-A8_68	SIL_1_2-1	1
XCZ_C-B20_33	SIL_1_2-1	0.885714285714286
XCS_C-A1_22	SIL_1_2-2	0.542857142857143
XCS_C-A5_76	SIL_1_2-2	0.8
XCS_C-A6_78	SIL_1_2-2	0.542857142857143
XCS_C-D5_75	SIL_1_2-2	0.771428571428571
XCS_C-D8_31	SIL_1_2-2	0.685714285714286
XCS_C-C6_04	SIL_1_2-3	0.485714285714286
XCZ_C-B17_75	SIL_1_2-3	0.685714285714286
XCZ_C-C3_90	SIL_1_2-5	0.0857142857142857
XCZ_C-B3_35	SIL_1_2-6	1
XCZ_C-B14_90	SIL_1_2-6	0.885714285714286
XCZ_C-C6_76	SIL_1_2-6	1
XCX_C-A1_13	SIL_1_2-6	0.971428571428571
XCZ_C-B1_62	SIL_1_2-8	0.542857142857143
XCS_C-A2_83	SIL_1_2-8	0.4
XCS_C-A4_25	SIL_1_2-8	0.6
XCX_C-C6_34	SIL_1_2-8	0.2
XCS_C-A9_63	SIL_1_3-1	0.371428571428571
XCX_C-D3_42	SIL_1_3-1	0.285714285714286
XCS_C-A8_60	SIL_1_3-2	0.457142857142857
XCZ_C-B20_37	SIL_1_3-2	0.571428571428571
XCX_C-A4_48	SIL_1_3-2	0.485714285714286
XCX_C-A9_33	SIL_1_3-2	0.457142857142857
XCX_C-B5_15	SIL_1_3-2	0.571428571428571
XCS_C-B4_74	SIL_1_3-4	0.428571428571429
XCZ_C-B16_02	SIL_1_3-4	0.542857142857143
XCZ_C-B18_24	SIL_1_3-4	0.857142857142857
XCZ_C-B5_96	SIL_1_3-6	0.542857142857143
XCZ_C-B11_17	SIL_1_3-6	0.428571428571429
XCZ_C-B13_69	SIL_1_3-6	0.485714285714286
XCZ_C-C7_49	SIL_1_3-6	0.457142857142857
