RNA_cell	ATAC_cell	score
WT_C-B1_39	WT_1_1-1	0.0581270182992465
WDOU_C-C10_35	WT_1_1-2	0.461786867599569
WT_C-D6_34	WT_1_2-2	0.192680301399354
WDOU_C-D6_02	WT_1_3-5	0.11194833153929
WD_C-C3_19	WT_1_3-5	0.085037674919268
WD_C-C3_85	WT_1_4-3	0.192680301399354
WD_C-C3_93	WT_1_4-3	0.138858988159311
WD_C-C6_01	WT_1_4-8	0.596340150699677
WDOU_C-B7_19	WT_1_5-3	0.327233584499462
WD_C-B7_92	WT_1_5-3	0.381054897739505
WDOU_C-B3_24	WT_1_5-8	0.0581270182992465
WD_C-C2_79	WT_1_6-3	0.138858988159311
WD_C-C8_75	WT_1_6-3	0.165769644779333
WDOU_C-C4_95	WT_1_7-2	0.085037674919268
WD_C-C7_78	WT_1_8-1	0.138858988159311
WD_C-B8_22	WT_1_8-2	0.219590958019376
WD_C-C1_17	WT_1_8-3	0.407965554359526
WDOU_C-B2_94	WT_1_8-6	1
WDOU_C-B5_82	WT_1_8-6	0.919268030139935
WT_C-B3_46	WT_1_8-8	0.11194833153929
WDOU_C-B5_83	WT_1_9-3	0.165769644779333
WT_C-B1_03	WT_1_9-7	1
WD_C-B8_70	WT_1_10-2	0.219590958019376
WDOU_C-B6_52	WT_1_10-3	0.031216361679225
WT_C-D9_69	WT_1_10-6	0.138858988159311
WD_C-B5_85	WT_1_10-6	0.219590958019376
WD_C-B6_38	WT_1_10-6	0.327233584499462
WD_C-B9_47	WT_1_10-6	0.354144241119483
WDOU_C-D5_19	WT_1_12-3	0.031216361679225
WT_C-C10_14	WT_1_12-3	0.085037674919268
WT_C-D6_74	WT_1_12-3	0.031216361679225
WT_C-C9_10	WT_1_12-4	0.246501614639397
WT_C-D9_67	WT_2_1-1	0.11194833153929
WT_C-D10_72	WT_2_1-6	1
WD_C-B10_52	WT_2_1-6	1
WT_C-B4_60	WT_2_2-4	1
WT_C-B7_73	WT_2_2-7	0.407965554359526
WT_C-D12_27	WT_2_3-1	0.00430570505920345
WD_C-C1_19	WT_2_3-1	0.0581270182992465
WDOU_C-B2_94	WT_2_3-4	1
WDOU_C-B6_15	WT_2_3-4	0.946178686759957
WDOU_C-B6_22	WT_2_3-4	1
WT_C-C3_76	WT_2_3-4	1
WT_C-B6_75	WT_2_3-4	1
WT_C-C4_34	WT_2_6-3	0.138858988159311
WD_C-C6_89	WT_2_6-3	0.085037674919268
WD_C-B1_86	WT_2_6-4	0
WT_C-D5_05	WT_2_6-5	0.219590958019376
WT_C-D11_62	WT_2_6-5	0.165769644779333
WD_C-B8_49	WT_2_6-5	0.246501614639397
WD_C-B1_46	WT_2_7-1	0.0581270182992465
WT_C-C9_10	WT_2_7-2	0.0581270182992465
WT_C-D11_64	WT_2_7-2	0.11194833153929
WT_C-D12_34	WT_2_7-2	0.00430570505920345
WD_C-B2_63	WT_2_7-2	0.00430570505920345
WDOU_C-B8_81	WT_2_7-6	0.677072120559742
WDOU_C-C9_09	WT_2_7-6	0.730893433799785
WD_C-B5_13	WT_2_8-1	0.031216361679225
WD_C-B5_53	WT_2_8-1	0.219590958019376
WT_C-C10_71	WT_2_9-3	0.30032292787944
WD_C-B2_63	WT_2_9-8	0.031216361679225
WT_C-D2_18	WT_2_10-4	0.192680301399354
WT_C-C10_82	WT_2_10-6	0.542518837459634
WD_C-B3_63	WT_2_11-7	0.354144241119483
WD_C-B7_07	WT_2_11-7	0.30032292787944
WD_C-C3_72	WT_2_11-7	0.542518837459634
WT_C-D1_41	WT_4_1-1	0.219590958019376
WD_C-B3_12	WT_4_1-1	0.246501614639397
WD_C-C8_10	WT_4_1-1	0.165769644779333
WT_C-B3_38	WT_4_1-1	0.085037674919268
WD_C-C7_30	WT_4_1-2	0.138858988159311
WDOU_C-C1_03	WT_4_1-6	0.569429494079656
WD_C-B10_79	WT_4_1-6	0.596340150699677
WT_C-B3_49	WT_4_1-6	0.515608180839613
WDOU_C-C1_93	WT_4_2-2	0.434876210979548
WDOU_C-C4_15	WT_4_2-2	0.488697524219591
WD_C-B7_85	WT_4_2-2	0.569429494079656
WD_C-C2_86	WT_4_2-3	0.407965554359526
WD_C-C7_06	WT_4_2-3	0.488697524219591
WD_C-C8_68	WT_4_2-3	0.515608180839613
WT_C-D6_34	WT_4_2-6	0.407965554359526
WT_C-D3_06	WT_4_3-2	0.757804090419806
WT_C-D7_39	WT_4_3-2	0.677072120559742
WDOU_C-C4_66	WT_4_3-3	0.165769644779333
WT_C-D3_93	WT_4_3-5	0.381054897739505
WD_C-C1_49	WT_4_3-7	0.165769644779333
WD_C-C2_05	WT_4_3-7	0.246501614639397
WD_C-C3_21	WT_4_3-7	0.273412271259419
WT_C-D8_43	WT_4_3-8	0.973089343379978
WD_C-B2_63	WT_4_4-3	0.246501614639397
WDOU_C-B2_93	WT_4_4-4	0.973089343379978
WDOU_C-B6_80	WT_4_4-4	0.946178686759957
WDOU_C-B8_56	WT_4_4-4	0.946178686759957
WT_C-C8_33	WT_4_4-4	0.973089343379978
WDOU_C-D7_82	WT_4_4-5	1
WT_C-D5_36	WT_4_4-5	1
WT_C-D6_18	WT_4_4-5	1
WD_C-B1_47	WT_4_4-5	1
WD_C-C1_31	WT_4_4-5	1
WDOU_C-B2_14	WT_4_4-7	0.892357373519914
WDOU_C-B7_47	WT_4_4-7	0.946178686759957
WDOU_C-B4_18	WT_4_4-8	0.757804090419806
WDOU_C-C10_35	WT_4_4-8	0.703982777179763
WDOU_C-D5_84	WT_4_4-8	0.488697524219591
WT_C-D9_21	WT_4_4-8	0.488697524219591
WD_C-B5_39	WT_4_4-8	0.757804090419806
WT_C-C8_34	WT_4_5-2	0.569429494079656
WDOU_C-C4_06	WT_4_5-4	0.165769644779333
